// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61951		9.621962	0.784501	1.544263	0.038917	0.010972	-0.001942	-0.659180	-0.428711	0.262451	-0.328780	-0.606016	0.231947	-0.686184
61952		9.616905	0.808312	1.533082	0.050872	0.006328	-0.008089	-0.664795	-0.431641	0.261475	-0.328582	-0.606135	0.231598	-0.686292
61953		9.635212	0.810453	1.524613	0.055856	0.009166	-0.012430	-0.662598	-0.428711	0.265625	-0.328390	-0.606256	0.231191	-0.686414
61954		9.591597	0.785570	1.581411	0.053730	0.007996	-0.005113	-0.657959	-0.431152	0.260254	-0.328163	-0.606367	0.230836	-0.686544
61955		9.623238	0.781900	1.577225	0.059030	0.009923	0.000184	-0.657959	-0.431885	0.265869	-0.327883	-0.606471	0.230471	-0.686708
61956		9.616638	0.838091	1.608186	0.063833	0.018133	-0.003123	-0.655273	-0.425781	0.268066	-0.327614	-0.606546	0.230040	-0.686915
61957		9.595183	0.850776	1.637347	0.059559	0.017312	-0.003457	-0.658936	-0.434570	0.268311	-0.327368	-0.606614	0.229632	-0.687109
61958		9.564919	0.852012	1.576632	0.052978	0.007247	-0.011915	-0.663818	-0.428955	0.263428	-0.327188	-0.606734	0.229243	-0.687219
61959		9.628301	0.844756	1.567625	0.048243	0.009990	-0.019737	-0.665527	-0.426270	0.265869	-0.327084	-0.606840	0.228830	-0.687312
61960		9.732499	0.872956	1.571092	0.044336	0.031129	-0.023628	-0.657227	-0.428955	0.252441	-0.327064	-0.606822	0.228361	-0.687493
61961		9.761182	0.907671	1.565971	0.020763	0.057938	-0.028911	-0.660400	-0.427490	0.264893	-0.327247	-0.606598	0.227924	-0.687749
61962		9.697342	0.997993	1.557458	0.001212	0.057716	-0.032588	-0.659668	-0.429688	0.269531	-0.327553	-0.606331	0.227577	-0.687954
61963		9.637494	1.043775	1.537637	-0.019582	0.052598	-0.039327	-0.654541	-0.425049	0.265869	-0.328000	-0.606056	0.227319	-0.688069
61964		9.640986	1.053048	1.532932	-0.030336	0.046260	-0.037533	-0.661133	-0.429443	0.261719	-0.328489	-0.605792	0.227136	-0.688128
61965		9.605212	0.989190	1.573308	-0.047023	0.051343	-0.033531	-0.667725	-0.429932	0.267578	-0.329061	-0.605456	0.227041	-0.688182
61966		9.556890	0.954080	1.584735	-0.067914	0.050180	-0.027624	-0.667969	-0.429199	0.261963	-0.329711	-0.605065	0.227091	-0.688199
61967		9.559314	0.911848	1.582788	-0.078049	0.051687	-0.028197	-0.654785	-0.433594	0.260742	-0.330422	-0.604639	0.227184	-0.688201
61968		9.516152	0.856516	1.557096	-0.076104	0.040840	-0.026865	-0.660400	-0.432129	0.258789	-0.331086	-0.604280	0.227304	-0.688157
61969		9.516515	0.821073	1.618842	-0.064474	0.026514	-0.026814	-0.666504	-0.428467	0.249023	-0.331666	-0.604037	0.227399	-0.688060
61970		9.563416	0.803334	1.604189	-0.053765	0.013259	-0.015339	-0.661621	-0.427490	0.260010	-0.332100	-0.603865	0.227524	-0.687960
61971		9.580972	0.777007	1.623303	-0.055676	0.013521	-0.004169	-0.659424	-0.430908	0.262939	-0.332463	-0.603671	0.227742	-0.687884
61972		9.610529	0.803259	1.663203	-0.058395	0.012244	-0.005786	-0.658936	-0.435303	0.261230	-0.332839	-0.603483	0.227982	-0.687787
61973		9.576077	0.820218	1.638918	-0.056565	-0.004915	-0.004890	-0.663574	-0.430176	0.257568	-0.333170	-0.603395	0.228262	-0.687611
61974		9.565562	0.814888	1.615286	-0.048020	-0.018708	-0.006994	-0.662842	-0.427002	0.259033	-0.333438	-0.603399	0.228527	-0.687389
61975		9.591895	0.782893	1.598342	-0.042801	-0.011735	-0.008522	-0.656738	-0.433105	0.264404	-0.333686	-0.603378	0.228749	-0.687213
61976		9.634703	0.782419	1.615819	-0.032920	0.001125	-0.004317	-0.667480	-0.428467	0.252441	-0.333880	-0.603320	0.228907	-0.687118
61977		9.675956	0.840146	1.651283	-0.027297	0.003272	-0.008912	-0.652344	-0.438232	0.252686	-0.334078	-0.603243	0.229004	-0.687057
61978		9.660798	0.880190	1.640715	-0.019753	-0.004054	-0.001834	-0.656250	-0.426025	0.254639	-0.334192	-0.603226	0.229103	-0.686983
61979		9.601798	0.868243	1.661301	-0.019123	-0.007081	0.003591	-0.664062	-0.434570	0.256592	-0.334234	-0.603208	0.229258	-0.686926
61980		9.570635	0.895084	1.688201	-0.020763	-0.013018	0.004500	-0.663574	-0.430908	0.260742	-0.334297	-0.603229	0.229428	-0.686821
61981		9.582509	0.924382	1.683914	-0.032669	-0.015200	0.002412	-0.651123	-0.443115	0.251953	-0.334413	-0.603236	0.229667	-0.686678
61982		9.599109	0.935003	1.644402	-0.045095	0.001501	-0.000882	-0.660645	-0.430664	0.254883	-0.334702	-0.603109	0.229877	-0.686579
61983		9.600777	0.898299	1.652752	-0.057224	0.010975	0.001778	-0.652832	-0.431396	0.259277	-0.335007	-0.602881	0.230169	-0.686533
61984		9.583189	0.839250	1.646613	-0.061285	0.004756	0.000371	-0.663086	-0.433594	0.260254	-0.335323	-0.602705	0.230489	-0.686426
61985		9.622294	0.798095	1.684676	-0.055760	-0.005364	-0.003663	-0.659912	-0.432373	0.249512	-0.335617	-0.602605	0.230789	-0.686269
61986		9.588089	0.815574	1.658803	-0.056555	-0.009189	-0.010724	-0.668945	-0.433350	0.252686	-0.335962	-0.602495	0.231071	-0.686102
61987		9.588327	0.815303	1.657558	-0.066846	-0.016890	-0.007228	-0.666504	-0.433350	0.260010	-0.336313	-0.602392	0.231462	-0.685888
61988		9.647263	0.803649	1.611258	-0.069548	-0.012281	-0.009738	-0.664551	-0.430664	0.250732	-0.336676	-0.602293	0.231844	-0.685668
61989		9.682302	0.811966	1.611325	-0.065306	-0.006435	-0.016145	-0.655273	-0.428955	0.253906	-0.337070	-0.602146	0.232164	-0.685495
61990		9.691897	0.769698	1.634413	-0.058063	-0.007797	-0.025494	-0.663818	-0.440674	0.256836	-0.337455	-0.602080	0.232395	-0.685286
61991		9.623685	0.721233	1.639065	-0.050438	-0.004106	-0.029464	-0.666260	-0.439941	0.256836	-0.337873	-0.602027	0.232547	-0.685075
61992		9.602834	0.760419	1.641531	-0.045825	-0.005006	-0.028683	-0.660400	-0.431885	0.250000	-0.338243	-0.601983	0.232693	-0.684881
61993		9.590339	0.813255	1.684441	-0.043180	-0.010136	-0.027428	-0.656250	-0.439453	0.247070	-0.338559	-0.601941	0.232861	-0.684704
61994		9.561188	0.834886	1.693696	-0.029665	-0.007861	-0.025362	-0.660400	-0.436523	0.255127	-0.338865	-0.601916	0.232944	-0.684547
61995		9.536889	0.838031	1.666890	-0.019251	0.001172	-0.021650	-0.663574	-0.438232	0.253418	-0.339048	-0.601894	0.232959	-0.684471
61996		9.504491	0.842118	1.720540	-0.002899	0.002479	-0.015583	-0.655762	-0.433838	0.257080	-0.339127	-0.601879	0.232912	-0.684460
61997		9.554546	0.812674	1.731114	0.000038	-0.007531	-0.014151	-0.664551	-0.432373	0.256104	-0.339129	-0.601968	0.232867	-0.684397
61998		9.594870	0.827428	1.717902	0.013413	-0.002968	-0.014500	-0.658203	-0.436279	0.251953	-0.339046	-0.602031	0.232752	-0.684422
61999		9.590612	0.900486	1.705896	0.030838	0.011384	-0.008626	-0.655518	-0.435547	0.260010	-0.338942	-0.602037	0.232517	-0.684547
62000		9.620411	0.955165	1.721249	0.037059	0.025943	-0.004864	-0.661377	-0.430664	0.251465	-0.338763	-0.602039	0.232192	-0.684745
62001		9.605424	0.913158	1.721159	0.042549	0.022167	-0.005277	-0.661865	-0.438965	0.251221	-0.338562	-0.601991	0.231888	-0.684990
62002		9.645433	0.927122	1.710016	0.047935	0.000599	0.000307	-0.667236	-0.443848	0.254395	-0.338334	-0.602068	0.231627	-0.685122
62003		9.629554	0.946222	1.676025	0.037807	0.010261	-0.006795	-0.666260	-0.431641	0.245850	-0.338222	-0.602080	0.231354	-0.685259
62004		9.559804	0.954216	1.699033	0.033718	0.004433	-0.003641	-0.660889	-0.434082	0.249268	-0.338071	-0.602038	0.231181	-0.685429
62005		9.540877	0.956725	1.707877	0.036654	0.002644	-0.008769	-0.665283	-0.434814	0.255127	-0.337947	-0.602075	0.230936	-0.685540
62006		9.505148	0.925493	1.731789	0.039546	0.003569	-0.014995	-0.665771	-0.435547	0.255127	-0.337792	-0.602157	0.230624	-0.685649
62007		9.488250	0.894077	1.746236	0.041949	-0.005267	-0.011938	-0.665283	-0.434814	0.254150	-0.337601	-0.602285	0.230339	-0.685728
62008		9.481780	0.976353	1.749965	0.037106	-0.010441	-0.005207	-0.661865	-0.435059	0.258789	-0.337394	-0.602402	0.230134	-0.685795
62009		9.496276	1.017845	1.798661	0.031261	-0.018680	0.006895	-0.663818	-0.430908	0.255859	-0.337109	-0.602583	0.230011	-0.685818
62010		9.531965	1.025554	1.795543	0.030183	-0.022228	0.010986	-0.660156	-0.437988	0.255371	-0.336786	-0.602729	0.229945	-0.685870
62011		9.558683	0.969667	1.752150	0.025716	-0.025923	0.018319	-0.661133	-0.439697	0.265869	-0.336548	-0.602876	0.229937	-0.685860
62012		9.523882	0.910099	1.748459	0.026601	-0.021650	0.026696	-0.664551	-0.437744	0.259277	-0.336183	-0.603079	0.229901	-0.685873
62013		9.532810	0.901337	1.713377	0.023632	-0.020743	0.025964	-0.655029	-0.434082	0.263672	-0.335886	-0.603181	0.229926	-0.685921
62014		9.563336	0.901969	1.723185	0.020708	-0.022553	0.026341	-0.662109	-0.432861	0.258301	-0.335544	-0.603378	0.229921	-0.685917
62015		9.597453	0.938332	1.761282	0.010543	-0.030181	0.026545	-0.661865	-0.431641	0.260010	-0.335272	-0.603489	0.230056	-0.685906
62016		9.642899	0.985860	1.722402	0.001645	-0.054663	0.023286	-0.658447	-0.429932	0.259277	-0.334993	-0.603737	0.230285	-0.685748
62017		9.633063	0.928895	1.691729	-0.002065	-0.062625	0.022316	-0.661377	-0.432373	0.255371	-0.334729	-0.604027	0.230545	-0.685533
62018		9.574923	0.868503	1.656307	-0.008970	-0.058367	0.020730	-0.659912	-0.434326	0.254150	-0.334600	-0.604208	0.230863	-0.685330
62019		9.539723	0.892446	1.641284	-0.018374	-0.045715	0.014757	-0.666748	-0.432861	0.262451	-0.334629	-0.604291	0.231172	-0.685139
62020		9.545217	0.951568	1.638620	-0.027676	-0.044426	0.011959	-0.656738	-0.433350	0.251465	-0.334594	-0.604393	0.231503	-0.684954
62021		9.571317	0.974875	1.633475	-0.038220	-0.047630	0.010686	-0.659180	-0.427246	0.258301	-0.334776	-0.604423	0.231914	-0.684700
62022		9.627773	0.921538	1.599966	-0.045393	-0.056225	0.011702	-0.659912	-0.435791	0.253418	-0.334788	-0.604547	0.232361	-0.684433
62023		9.651437	0.850740	1.548131	-0.046277	-0.041495	0.011020	-0.658447	-0.435303	0.254639	-0.335037	-0.604513	0.232812	-0.684188
62024		9.613297	0.884055	1.554970	-0.037388	-0.026114	0.015009	-0.657959	-0.435791	0.267090	-0.335223	-0.604434	0.233176	-0.684042
62025		9.591383	0.818920	1.556501	-0.034249	-0.019798	0.021995	-0.668701	-0.435059	0.261719	-0.335229	-0.604469	0.233476	-0.683906
62026		9.621486	0.821680	1.518791	-0.032336	-0.018374	0.025911	-0.658691	-0.437744	0.264404	-0.335237	-0.604355	0.233861	-0.683872
62027		9.656535	0.801958	1.492814	-0.037420	-0.019055	0.027888	-0.659668	-0.440430	0.256348	-0.335293	-0.604330	0.234231	-0.683740
62028		9.694999	0.821086	1.447751	-0.041456	-0.015782	0.030352	-0.658936	-0.430420	0.260254	-0.335494	-0.604168	0.234673	-0.683633
62029		9.691174	0.833853	1.483115	-0.042892	-0.009361	0.027423	-0.664551	-0.432861	0.262939	-0.335504	-0.604041	0.235053	-0.683609
62030		9.641617	0.860067	1.472153	-0.037289	-0.003191	0.032138	-0.648682	-0.439697	0.262695	-0.335483	-0.603879	0.235435	-0.683631
62031		9.645212	0.867134	1.477755	-0.032539	-0.000434	0.034371	-0.665527	-0.438721	0.256592	-0.335583	-0.603822	0.235721	-0.683534
62032		9.651001	0.755014	1.497444	-0.029232	0.008771	0.033655	-0.657471	-0.427246	0.258789	-0.335707	-0.603533	0.236064	-0.683610
62033		9.687431	0.666004	1.603271	-0.026962	0.007706	0.028790	-0.659668	-0.430908	0.253174	-0.335612	-0.603374	0.236301	-0.683715
62034		9.629665	0.701954	1.576426	-0.034996	-0.004674	0.022718	-0.655762	-0.430664	0.257812	-0.335695	-0.603188	0.236627	-0.683726
62035		9.610636	0.785828	1.529778	-0.035177	-0.005609	0.020134	-0.666504	-0.432129	0.267578	-0.335743	-0.603101	0.236909	-0.683681
62036		9.601635	0.821672	1.555536	-0.034032	0.005105	0.025606	-0.652832	-0.436768	0.256592	-0.335690	-0.602990	0.237214	-0.683700
62037		9.606310	0.768028	1.592342	-0.036044	-0.002000	0.030546	-0.655029	-0.428955	0.253906	-0.335829	-0.602866	0.237538	-0.683628
62038		9.625513	0.761481	1.582578	-0.046341	-0.013340	0.029362	-0.659424	-0.434814	0.264893	-0.335873	-0.602742	0.237954	-0.683571
62039		9.693923	0.810766	1.528688	-0.051113	0.004440	0.023289	-0.656250	-0.427490	0.248779	-0.336006	-0.602620	0.238316	-0.683487
62040		9.693678	0.809327	1.482218	-0.063318	0.010223	0.024651	-0.658203	-0.435547	0.257568	-0.336232	-0.602257	0.238760	-0.683540
62041		9.676391	0.773350	1.451420	-0.072781	0.010591	0.019347	-0.659424	-0.429688	0.264404	-0.336594	-0.601979	0.239222	-0.683446
