// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
55664		8.544446	-0.877308	4.707671	0.060874	-0.012380	0.045906	-0.245605	0.008545	-0.194824	0.844497	0.046059	-0.507487	0.164805
55665		8.548053	-0.877286	4.735595	0.059260	-0.016195	0.043514	-0.242432	0.009277	-0.196533	0.844346	0.046315	-0.507536	0.165355
55666		8.561451	-0.866778	4.702746	0.062829	-0.014376	0.035479	-0.231934	0.008301	-0.194824	0.844214	0.046625	-0.507561	0.165866
55667		8.552041	-0.849077	4.731359	0.048329	-0.009819	0.027004	-0.237061	0.005615	-0.202637	0.844116	0.046864	-0.507573	0.166256
55668		8.527606	-0.789401	4.714859	0.032119	-0.009502	0.027197	-0.239258	0.001465	-0.198730	0.844026	0.046989	-0.507606	0.166579
55669		8.534455	-0.810930	4.655707	0.018190	-0.003036	0.027719	-0.239502	0.003174	-0.198242	0.843968	0.047007	-0.507611	0.166848
55670		8.550202	-0.785866	4.637437	0.018813	-0.002852	0.014691	-0.246826	0.006592	-0.190674	0.843929	0.047088	-0.507611	0.167026
55671		8.537429	-0.783334	4.653227	0.017542	-0.003707	0.003745	-0.243164	0.000488	-0.192139	0.843901	0.047211	-0.507616	0.167119
55672		8.591727	-0.845548	4.665207	0.022815	-0.011462	0.000478	-0.242188	0.002441	-0.184570	0.843842	0.047401	-0.507668	0.167205
55673		8.663567	-0.865379	4.657723	0.024388	-0.008585	-0.009444	-0.244141	0.004883	-0.195068	0.843806	0.047643	-0.507697	0.167227
55674		8.621634	-0.816635	4.629674	0.016273	0.000939	-0.000242	-0.239258	0.006836	-0.196045	0.843798	0.047777	-0.507680	0.167282
55675		8.506362	-0.839433	4.540460	0.007664	-0.003515	-0.011328	-0.247559	0.006836	-0.205078	0.843787	0.047909	-0.507708	0.167217
55676		8.509969	-0.821294	4.553351	0.001154	-0.005499	-0.021958	-0.238037	0.013428	-0.200439	0.843779	0.048045	-0.507763	0.167048
55677		8.511308	-0.859331	4.599018	-0.013483	-0.009196	-0.024955	-0.244873	0.003174	-0.204346	0.843762	0.048099	-0.507871	0.166791
55678		8.511166	-0.885100	4.614036	-0.020161	-0.010490	-0.027155	-0.239258	0.005615	-0.197754	0.843742	0.048118	-0.508001	0.166491
55679		8.488517	-0.891070	4.674055	-0.026797	-0.015159	-0.025345	-0.236084	0.001709	-0.203369	0.843700	0.048085	-0.508177	0.166174
55680		8.445672	-0.926664	4.708035	-0.027747	-0.017846	-0.028452	-0.237793	0.007812	-0.198975	0.843654	0.048058	-0.508368	0.165834
55681		8.505603	-0.957555	4.730820	-0.023817	-0.009816	-0.035422	-0.231201	0.003906	-0.207275	0.843653	0.048066	-0.508488	0.165470
55682		8.507087	-0.967908	4.744756	-0.026507	-0.007593	-0.039248	-0.231934	0.007568	-0.206787	0.843671	0.048058	-0.508585	0.165078
55683		8.418643	-0.985172	4.754138	-0.038195	-0.009696	-0.037254	-0.234863	0.000244	-0.197754	0.843686	0.047949	-0.508708	0.164655
55684		8.450887	-0.986083	4.762970	-0.045220	-0.018614	-0.026844	-0.235840	0.011230	-0.200439	0.843657	0.047745	-0.508895	0.164283
55685		8.528848	-1.005642	4.796331	-0.041123	-0.022993	-0.019129	-0.234131	0.006348	-0.198242	0.843603	0.047525	-0.509101	0.163990
55686		8.479472	-0.996197	4.856836	-0.023560	-0.022055	-0.019456	-0.244141	-0.004150	-0.199951	0.843551	0.047416	-0.509265	0.163778
55687		8.484053	-0.952080	4.835902	-0.009862	-0.022176	-0.018245	-0.230713	0.006836	-0.193359	0.843498	0.047389	-0.509397	0.163644
55688		8.471328	-0.934834	4.818748	-0.003336	-0.021072	-0.018634	-0.242188	0.011475	-0.202881	0.843459	0.047400	-0.509496	0.163539
55689		8.445693	-0.914760	4.817837	0.001156	-0.021205	-0.019524	-0.240234	0.010498	-0.204590	0.843425	0.047428	-0.509575	0.163456
55690		8.387099	-0.935615	4.822836	-0.008014	-0.023474	-0.018950	-0.240723	0.012451	-0.204590	0.843395	0.047387	-0.509666	0.163339
55691		8.389548	-0.947425	4.834988	-0.014577	-0.022304	-0.021225	-0.237061	0.013428	-0.210449	0.843385	0.047301	-0.509740	0.163186
55692		8.438792	-0.975975	4.887495	-0.016729	-0.015918	-0.018709	-0.236816	0.010010	-0.207031	0.843413	0.047168	-0.509751	0.163045
55693		8.432059	-0.992827	4.828478	-0.016107	-0.007037	-0.015126	-0.237793	0.009277	-0.203613	0.843480	0.047012	-0.509689	0.162938
55694		8.389953	-0.945734	4.800140	-0.009907	-0.004361	-0.011006	-0.234375	0.013916	-0.206787	0.843551	0.046874	-0.509597	0.162896
55695		8.404980	-0.946517	4.797768	-0.005854	-0.005377	-0.007302	-0.238281	0.018311	-0.206543	0.843618	0.046743	-0.509496	0.162901
55696		8.452372	-0.948658	4.821169	0.000121	-0.007611	-0.003017	-0.232666	0.005859	-0.204590	0.843670	0.046629	-0.509396	0.162978
55697		8.483748	-0.949772	4.831453	0.009045	-0.009108	-0.004763	-0.237549	0.007080	-0.209961	0.843717	0.046606	-0.509299	0.163045
