// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51504		9.574633	-0.083533	-2.831756	0.029444	0.019413	-0.022719	-0.610840	0.434326	0.521729	0.263044	-0.722712	-0.345784	-0.537520
51505		9.503979	-0.107097	-2.808707	0.012776	0.021420	-0.025662	-0.619873	0.427246	0.519531	0.263068	-0.722514	-0.345949	-0.537669
51506		9.480400	-0.184330	-2.797272	0.008683	0.023077	-0.033178	-0.622559	0.428955	0.514648	0.263032	-0.722289	-0.346141	-0.537866
51507		9.424390	-0.118298	-2.798835	0.028237	0.019582	-0.033741	-0.620117	0.430908	0.514893	0.263108	-0.722042	-0.346427	-0.537976
51508		9.449247	-0.020602	-2.810918	0.029235	0.019858	-0.029183	-0.616699	0.429443	0.520752	0.263212	-0.721806	-0.346689	-0.538073
51509		9.453616	-0.011034	-2.883402	0.022092	0.020617	-0.013883	-0.613770	0.428955	0.518555	0.263342	-0.721626	-0.346826	-0.538163
51510		9.444731	-0.031533	-2.857366	0.016884	0.017649	-0.006131	-0.616943	0.447021	0.521484	0.263464	-0.721494	-0.346902	-0.538230
51511		9.379850	-0.017224	-2.822657	-0.007407	0.010488	0.012697	-0.614990	0.430664	0.512207	0.263501	-0.721505	-0.346774	-0.538281
51512		9.364208	-0.182457	-2.837465	-0.019287	0.012272	0.026600	-0.622070	0.425293	0.519531	0.263530	-0.721575	-0.346508	-0.538344
51513		9.360043	-0.253141	-2.833642	-0.008617	0.014692	0.029848	-0.615967	0.427734	0.519043	0.263649	-0.721625	-0.346262	-0.538377
51514		9.371237	-0.248714	-2.846833	-0.000354	0.017696	0.024535	-0.619385	0.434326	0.517090	0.263810	-0.721635	-0.346072	-0.538406
51515		9.451093	-0.209443	-2.836525	-0.006348	0.013743	0.020697	-0.617188	0.429443	0.516602	0.263914	-0.721673	-0.345882	-0.538427
51516		9.413332	-0.110708	-2.859919	-0.026265	0.018892	0.023774	-0.621826	0.435791	0.518555	0.263933	-0.721746	-0.345567	-0.538522
51517		9.418061	-0.161661	-2.853056	-0.045923	0.019240	0.032367	-0.615479	0.422852	0.514648	0.263871	-0.721891	-0.345113	-0.538649
51518		9.388987	-0.200012	-2.821202	-0.045947	0.017766	0.030641	-0.616211	0.428955	0.517578	0.263797	-0.722040	-0.344674	-0.538766
51519		9.410958	-0.213334	-2.810240	-0.049817	0.016567	0.028115	-0.617676	0.435059	0.520264	0.263691	-0.722205	-0.344229	-0.538882
51520		9.452965	-0.239849	-2.765604	-0.050711	0.018318	0.027252	-0.615234	0.432861	0.514648	0.263589	-0.722369	-0.343773	-0.539003
51521		9.449984	-0.221682	-2.726916	-0.046026	0.019237	0.028131	-0.611084	0.436035	0.518311	0.263530	-0.722517	-0.343325	-0.539119
51522		9.447088	-0.204278	-2.687825	-0.035778	0.022753	0.031961	-0.615967	0.430176	0.520996	0.263570	-0.722640	-0.342885	-0.539214
