// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
51504		4.849367	2.706292	8.050878	0.002524	0.001357	-0.001260	-0.056641	-0.066895	-0.730469	0.931738	0.084713	-0.285032	-0.208436
51505		4.810653	2.777386	8.054315	0.008904	-0.001347	-0.001585	-0.061523	-0.075195	-0.728760	0.931725	0.084783	-0.285057	-0.208428
51506		4.839152	2.795193	8.039648	0.009962	0.001184	-0.000536	-0.062744	-0.071777	-0.734131	0.931717	0.084873	-0.285073	-0.208405
51507		4.797748	2.792177	8.042291	0.009845	0.002730	-0.001782	-0.062500	-0.067871	-0.730469	0.931714	0.084960	-0.285067	-0.208394
51508		4.823042	2.752547	8.045771	0.010452	0.000794	-0.001306	-0.061035	-0.068115	-0.730469	0.931705	0.085049	-0.285078	-0.208380
51509		4.802789	2.734637	8.028144	0.008858	0.001470	-0.001226	-0.058105	-0.069824	-0.731445	0.931700	0.085128	-0.285080	-0.208369
51510		4.822667	2.755286	8.045059	0.008230	-0.000679	-0.003666	-0.059814	-0.053223	-0.726807	0.931686	0.085206	-0.285095	-0.208380
51511		4.806798	2.791948	8.023550	0.009278	-0.000191	-0.003601	-0.058350	-0.066162	-0.734619	0.931672	0.085295	-0.285107	-0.208389
51512		4.803313	2.752751	8.059959	0.005647	-0.001264	-0.003028	-0.062256	-0.074463	-0.731201	0.931658	0.085358	-0.285121	-0.208405
51513		4.807880	2.791282	8.037149	0.007694	0.002528	-0.002538	-0.057861	-0.072510	-0.726807	0.931654	0.085445	-0.285107	-0.208410
51514		4.797032	2.784288	8.021078	0.007372	-0.001441	-0.000882	-0.060791	-0.066406	-0.731201	0.931642	0.085524	-0.285123	-0.208407
51515		4.814144	2.747179	8.056049	0.006637	-0.000003	-0.003586	-0.060059	-0.068359	-0.730225	0.931629	0.085612	-0.285124	-0.208428
51516		4.823431	2.759630	8.057145	0.008292	-0.001451	-0.003044	-0.063965	-0.067627	-0.729736	0.931613	0.085711	-0.285137	-0.208443
51517		4.831384	2.775362	8.043876	0.009771	-0.000581	-0.004372	-0.062256	-0.076660	-0.734619	0.931595	0.085829	-0.285143	-0.208465
51518		4.810769	2.774972	8.044763	0.011857	-0.001647	-0.005223	-0.059814	-0.071777	-0.731201	0.931571	0.085969	-0.285160	-0.208490
51519		4.801971	2.748482	8.023904	0.009273	-0.002232	-0.004584	-0.061035	-0.066162	-0.726318	0.931549	0.086088	-0.285176	-0.208518
51520		4.804886	2.744069	8.051754	0.009264	-0.004275	-0.005566	-0.058350	-0.067139	-0.734863	0.931520	0.086202	-0.285207	-0.208557
51521		4.798149	2.809311	8.050102	0.010253	-0.003014	-0.006124	-0.054199	-0.065918	-0.727783	0.931495	0.086334	-0.285223	-0.208595
51522		4.798819	2.793678	8.030770	0.005024	-0.003414	-0.005468	-0.058350	-0.067139	-0.728271	0.931473	0.086422	-0.285231	-0.208643
51523		4.803647	2.768433	8.054386	0.005280	-0.002415	-0.001014	-0.063232	-0.074463	-0.736816	0.931460	0.086512	-0.285236	-0.208658
51524		4.825827	2.768269	8.066789	0.001460	-0.003218	-0.003289	-0.058594	-0.071289	-0.727783	0.931443	0.086594	-0.285233	-0.208702
51525		4.804160	2.769780	8.053617	0.004535	-0.003022	-0.004699	-0.057861	-0.069092	-0.733643	0.931423	0.086687	-0.285235	-0.208750
51526		4.814085	2.765228	8.035860	0.009707	-0.001848	-0.005980	-0.069092	-0.065430	-0.729004	0.931403	0.086831	-0.285228	-0.208791
51527		4.815014	2.781096	8.068188	0.009209	-0.003500	-0.006192	-0.063232	-0.067383	-0.724609	0.931371	0.086958	-0.285254	-0.208847
51528		4.805834	2.771704	8.066002	0.010258	-0.003011	-0.006128	-0.060791	-0.064209	-0.730957	0.931342	0.087087	-0.285272	-0.208898
51529		4.790839	2.791159	8.025467	0.003970	-0.005946	-0.006514	-0.066162	-0.066895	-0.737305	0.931315	0.087165	-0.285288	-0.208962
51530		4.775491	2.763525	8.050449	0.000337	-0.007022	-0.005938	-0.063232	-0.065918	-0.738281	0.931288	0.087235	-0.285306	-0.209030
51531		4.758399	2.818935	8.033330	-0.002602	-0.004675	-0.001319	-0.058838	-0.072266	-0.734375	0.931281	0.087272	-0.285294	-0.209064
51532		4.841795	2.746456	8.055160	-0.010985	-0.008590	-0.001833	-0.060303	-0.071777	-0.719727	0.931270	0.087250	-0.285286	-0.209128
51533		4.807096	2.760585	8.016677	-0.012823	-0.008568	0.002493	-0.059814	-0.062500	-0.724121	0.931258	0.087159	-0.285313	-0.209184
51534		4.826310	2.735310	8.084786	-0.006928	-0.009174	-0.004786	-0.055420	-0.065430	-0.727539	0.931235	0.087111	-0.285341	-0.209269
51535		4.851161	2.777550	8.045943	-0.005390	-0.009075	-0.005492	-0.061279	-0.067871	-0.730225	0.931218	0.087091	-0.285345	-0.209346
51536		4.842561	2.766254	8.044067	-0.002857	-0.005672	-0.005776	-0.060059	-0.069336	-0.727051	0.931200	0.087114	-0.285344	-0.209420
51537		4.804850	2.755874	8.075198	-0.001198	-0.007117	-0.005236	-0.054443	-0.063477	-0.724121	0.931176	0.087143	-0.285362	-0.209490
51538		4.816806	2.747660	8.071525	0.006248	-0.007279	-0.004522	-0.057129	-0.070068	-0.730957	0.931157	0.087192	-0.285377	-0.209533
51539		4.862681	2.807702	8.063867	0.001817	-0.006148	-0.007272	-0.057861	-0.067627	-0.730957	0.931139	0.087260	-0.285365	-0.209600
51540		4.876008	2.779926	8.055846	0.009707	-0.001841	-0.005989	-0.062988	-0.053955	-0.727783	0.931127	0.087382	-0.285342	-0.209635
51541		4.855244	2.779797	8.056764	0.015503	0.001487	-0.004836	-0.062988	-0.064941	-0.737549	0.931117	0.087465	-0.285338	-0.209648
51542		4.780440	2.787483	8.049513	0.015941	0.003912	-0.005250	-0.061523	-0.071777	-0.732910	0.931114	0.087636	-0.285295	-0.209649
51543		4.802336	2.771975	8.043059	0.013411	0.000510	-0.004965	-0.062012	-0.069824	-0.734375	0.931099	0.087810	-0.285279	-0.209667
51544		4.779777	2.791686	8.048451	0.009967	-0.000840	-0.001535	-0.064453	-0.075195	-0.725342	0.931091	0.087936	-0.285269	-0.209662
51545		4.819321	2.801033	8.030600	0.014589	0.001501	-0.002675	-0.065186	-0.075684	-0.725342	0.931065	0.088116	-0.285288	-0.209676
51546		4.795488	2.823252	8.021811	0.004924	-0.001517	0.001979	-0.059082	-0.071533	-0.731201	0.931045	0.088207	-0.285323	-0.209678
51547		4.825872	2.756669	8.049636	0.004064	0.001460	-0.001974	-0.058838	-0.070068	-0.724609	0.931049	0.088298	-0.285275	-0.209688
51548		4.803295	2.775280	8.055410	0.004675	-0.000474	-0.001497	-0.061035	-0.072021	-0.728516	0.931043	0.088360	-0.285258	-0.209710
51549		4.835586	2.752243	8.031947	0.005784	-0.000756	-0.000809	-0.067627	-0.069824	-0.726807	0.931036	0.088449	-0.285252	-0.209715
51550		4.809424	2.811271	8.046380	0.005784	-0.000756	-0.000809	-0.058838	-0.073975	-0.729004	0.931011	0.088504	-0.285300	-0.209736
51551		4.811379	2.791523	8.041792	0.000618	0.000110	0.001457	-0.062012	-0.071533	-0.736816	0.931019	0.088567	-0.285263	-0.209724
51552		4.811464	2.791421	8.041776	-0.000430	-0.000380	0.001394	-0.055420	-0.067871	-0.722656	0.931029	0.088609	-0.285233	-0.209704
51553		4.822646	2.782223	8.038919	-0.001532	0.001945	0.001687	-0.056641	-0.068848	-0.732666	0.931050	0.088595	-0.285163	-0.209712
51554		4.821337	2.785052	8.024659	0.001230	-0.001824	0.001935	-0.063477	-0.071777	-0.730225	0.931068	0.088621	-0.285112	-0.209688
51555		4.811719	2.790951	8.041787	-0.002224	-0.001481	-0.002354	-0.060303	-0.065918	-0.728271	0.931056	0.088641	-0.285121	-0.209721
51556		4.833919	2.790149	8.054397	0.001291	-0.002596	0.002559	-0.057861	-0.066650	-0.729492	0.931060	0.088620	-0.285118	-0.209716
