// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62092		6.892644	-4.404006	5.402606	-0.001111	-0.001287	-0.003268	-1.379395	0.381104	-0.115723	-0.009470	-0.396433	0.259358	-0.880616
62093		6.911845	-4.395302	5.401209	-0.002695	0.000265	-0.004254	-1.375244	0.395020	-0.113037	-0.009511	-0.396440	0.259363	-0.880611
62094		6.925403	-4.375068	5.392735	-0.001983	0.001168	-0.004849	-1.378906	0.382812	-0.109863	-0.009539	-0.396439	0.259372	-0.880608
62095		6.901322	-4.393971	5.410714	-0.001982	0.001168	-0.004849	-1.380859	0.386719	-0.110596	-0.009584	-0.396442	0.259370	-0.880607
62096		6.909408	-4.384489	5.419125	-0.000596	0.000541	-0.004118	-1.377441	0.395996	-0.114746	-0.009617	-0.396447	0.259360	-0.880608
62097		6.899597	-4.391526	5.385234	-0.006536	-0.000956	-0.006501	-1.378418	0.387451	-0.100830	-0.009685	-0.396468	0.259385	-0.880590
62098		6.911086	-4.391980	5.375203	-0.000635	-0.001891	-0.002196	-1.383545	0.390137	-0.107178	-0.009701	-0.396488	0.259381	-0.880582
62099		6.906109	-4.425004	5.415660	-0.004793	-0.000013	-0.004390	-1.381836	0.387207	-0.112793	-0.009750	-0.396500	0.259400	-0.880570
62100		6.908427	-4.381849	5.392849	0.000393	0.001767	-0.003895	-1.379639	0.389160	-0.107666	-0.009782	-0.396498	0.259383	-0.880576
62101		6.897560	-4.380828	5.402546	-0.001507	0.000564	-0.003777	-1.377441	0.386230	-0.110107	-0.009818	-0.396505	0.259380	-0.880573
62102		6.920019	-4.404106	5.407266	-0.001506	0.000564	-0.003777	-1.386719	0.385010	-0.112793	-0.009855	-0.396513	0.259375	-0.880571
62103		6.914592	-4.392133	5.400270	0.000630	0.003274	-0.005562	-1.375732	0.389160	-0.113037	-0.009904	-0.396506	0.259348	-0.880581
62104		6.911457	-4.381717	5.418753	0.000432	0.004199	-0.005817	-1.381836	0.383789	-0.110107	-0.009957	-0.396493	0.259321	-0.880594
