// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59515		7.980873	-5.518308	-0.946901	-0.009098	-0.018395	-0.029962	-0.579834	0.769775	0.570068	0.365449	-0.740257	0.022343	-0.563886
59516		7.914758	-5.587981	-0.924144	-0.028327	-0.007959	-0.021076	-0.576660	0.766846	0.577881	0.365177	-0.740385	0.022322	-0.563895
59517		7.904835	-5.674225	-0.987121	-0.027451	-0.012155	-0.017973	-0.581299	0.765381	0.573975	0.364920	-0.740536	0.022306	-0.563864
59518		7.954111	-5.629717	-0.954839	-0.016241	-0.021917	-0.019011	-0.581543	0.763916	0.574219	0.364736	-0.740692	0.022201	-0.563782
59519		7.967210	-5.641567	-0.929058	-0.022846	-0.023225	-0.017555	-0.576416	0.773438	0.568848	0.364521	-0.740874	0.022133	-0.563685
59520		7.977028	-5.636215	-0.830751	-0.025724	-0.016079	-0.017493	-0.575684	0.759033	0.568604	0.364289	-0.741030	0.022103	-0.563631
59521		7.977843	-5.671313	-0.908928	-0.021149	-0.015651	-0.014500	-0.575928	0.765625	0.576660	0.364105	-0.741165	0.022075	-0.563573
59522		7.962058	-5.708775	-0.904049	-0.017905	-0.012924	-0.013762	-0.575439	0.765869	0.580566	0.363950	-0.741275	0.022049	-0.563530
59523		7.968652	-5.746854	-0.956472	-0.012700	-0.011238	-0.013614	-0.578369	0.767090	0.581055	0.363837	-0.741357	0.022012	-0.563496
59524		7.934404	-5.781977	-0.927791	-0.010323	-0.005905	-0.020773	-0.574219	0.760010	0.572021	0.363713	-0.741407	0.021946	-0.563513
59525		7.953629	-5.861581	-1.002702	0.013672	-0.006936	-0.028692	-0.582275	0.760742	0.572998	0.363715	-0.741388	0.021728	-0.563546
59526		7.952911	-5.887392	-1.020726	0.030724	-0.000006	-0.035940	-0.581299	0.764648	0.577148	0.363802	-0.741285	0.021424	-0.563636
59527		8.027338	-5.803742	-0.965166	0.044270	-0.007935	-0.045093	-0.577148	0.760254	0.580566	0.363948	-0.741182	0.020995	-0.563694
59528		8.055719	-5.690212	-0.912963	0.022292	0.005124	-0.036824	-0.578613	0.762695	0.574463	0.364006	-0.741081	0.020770	-0.563797
59529		7.985330	-5.657321	-0.994782	0.000180	0.012764	-0.025625	-0.579834	0.760742	0.578613	0.363988	-0.741004	0.020752	-0.563911
59530		7.919581	-5.719284	-0.947757	-0.000910	0.022067	-0.010115	-0.582031	0.758789	0.566650	0.364040	-0.740886	0.020866	-0.564028
59531		7.923909	-5.698464	-0.943699	0.012176	0.012574	0.001708	-0.584961	0.761230	0.578125	0.364234	-0.740764	0.020984	-0.564059
59532		7.974695	-5.646556	-0.922154	0.010790	0.004652	0.010331	-0.583984	0.765137	0.570068	0.364493	-0.740685	0.021140	-0.563989
59533		7.973342	-5.685921	-0.994429	0.002406	0.009157	0.013889	-0.583984	0.765137	0.570068	0.364723	-0.740603	0.021395	-0.563939
59534		7.896197	-5.726661	-0.995786	0.015015	0.004789	0.012528	-0.580566	0.763916	0.577148	0.365027	-0.740506	0.021574	-0.563862
59535		7.864587	-5.692994	-0.965538	0.023323	-0.007061	0.009327	-0.577637	0.758057	0.582275	0.365372	-0.740458	0.021636	-0.563699
59536		7.888588	-5.689630	-0.943890	0.020615	-0.010140	0.007389	-0.579346	0.766357	0.576416	0.365662	-0.740446	0.021653	-0.563526
59537		7.917850	-5.631627	-0.962217	0.012087	-0.008180	0.003352	-0.576904	0.763672	0.579346	0.365936	-0.740440	0.021758	-0.563352
59538		7.901429	-5.552817	-1.002669	-0.004274	0.001781	0.000380	-0.581543	0.760742	0.566406	0.366068	-0.740450	0.021919	-0.563247
59539		7.894087	-5.621391	-1.060644	-0.012567	0.006604	-0.004725	-0.582031	0.763184	0.567627	0.366066	-0.740424	0.022162	-0.563273
59540		7.864191	-5.835581	-1.066514	0.000613	0.004117	-0.013374	-0.579102	0.766846	0.572510	0.366137	-0.740384	0.022289	-0.563275
59541		7.886735	-5.735530	-0.999794	0.028186	-0.018146	-0.025476	-0.583252	0.761963	0.581787	0.366369	-0.740401	0.022140	-0.563108
59542		7.914652	-5.580377	-0.973733	0.026414	-0.032768	-0.030388	-0.579346	0.773193	0.572510	0.366592	-0.740510	0.021846	-0.562830
59543		7.867239	-5.558230	-0.962073	0.004726	-0.024503	-0.027061	-0.582031	0.764648	0.581543	0.366739	-0.740636	0.021824	-0.562570
59544		7.865740	-5.556452	-0.929173	-0.006582	-0.016676	-0.022153	-0.583252	0.770752	0.566650	0.366808	-0.740781	0.021770	-0.562337
59545		7.913381	-5.601961	-0.965203	-0.006266	-0.010622	-0.020073	-0.572998	0.770264	0.578369	0.366864	-0.740824	0.021939	-0.562236
59546		7.892237	-5.636569	-0.983354	-0.008693	-0.015308	-0.017344	-0.577148	0.766846	0.574951	0.366901	-0.740988	0.021956	-0.561995
59547		7.903545	-5.730092	-1.007115	-0.005062	-0.016729	-0.010083	-0.568359	0.768311	0.575928	0.366958	-0.741106	0.022021	-0.561800
59548		7.931042	-5.661147	-0.974081	0.002406	-0.016737	-0.018976	-0.581055	0.761963	0.573486	0.366968	-0.741235	0.021983	-0.561625
59549		7.978914	-5.678517	-0.954336	-0.001111	-0.012444	-0.020864	-0.580078	0.769043	0.574951	0.366958	-0.741289	0.021966	-0.561560
59550		7.936088	-5.702710	-0.895304	0.001353	-0.013513	-0.024880	-0.575439	0.761475	0.573486	0.367051	-0.741362	0.021953	-0.561404
59551		7.942557	-5.655027	-0.954934	0.004908	-0.018128	-0.020773	-0.580078	0.765625	0.577637	0.367016	-0.741432	0.021875	-0.561337
59552		7.887658	-5.655725	-0.908101	0.001206	-0.013187	-0.020660	-0.578613	0.759521	0.578125	0.367103	-0.741508	0.021823	-0.561182
59553		7.898708	-5.663488	-0.939294	-0.002066	-0.010179	-0.020104	-0.576172	0.763916	0.572021	0.367069	-0.741576	0.021739	-0.561118
59554		7.890915	-5.659969	-0.929666	0.004647	-0.015243	-0.018421	-0.572510	0.758545	0.576904	0.367087	-0.741613	0.021738	-0.561057
59555		7.957564	-5.688723	-0.950728	0.000076	-0.015705	-0.021406	-0.579834	0.764160	0.571045	0.366994	-0.741710	0.021638	-0.560994
59556		7.984080	-5.699856	-0.969079	0.001516	-0.016404	-0.020796	-0.577148	0.766846	0.567871	0.367025	-0.741736	0.021649	-0.560938
59557		7.972764	-5.716617	-0.960934	0.005399	-0.016560	-0.019407	-0.577637	0.763428	0.572021	0.367092	-0.741739	0.021703	-0.560889
59558		8.002559	-5.707768	-0.977963	0.008800	-0.022128	-0.018099	-0.583984	0.759277	0.571289	0.367163	-0.741785	0.021653	-0.560782
59559		8.041648	-5.700018	-1.006217	0.008497	-0.018923	-0.017966	-0.582275	0.763428	0.573242	0.367204	-0.741782	0.021585	-0.560763
59560		8.008773	-5.682976	-0.980634	-0.005622	-0.011961	-0.014606	-0.576416	0.768799	0.574951	0.367238	-0.741816	0.021621	-0.560694
59561		7.905713	-5.745651	-1.006819	-0.001992	-0.010831	-0.015661	-0.576416	0.763428	0.567139	0.367352	-0.741876	0.021647	-0.560539
59562		7.896406	-5.666692	-1.024130	0.021151	-0.024880	-0.024166	-0.572021	0.760742	0.580566	0.367432	-0.741866	0.021545	-0.560504
59563		7.982082	-5.697053	-1.067034	0.019972	-0.021642	-0.023626	-0.585693	0.763672	0.569336	0.367504	-0.741983	0.021294	-0.560311
59564		7.992443	-5.729202	-1.038365	0.018956	-0.017440	-0.020289	-0.577881	0.769531	0.574219	0.367662	-0.741920	0.021188	-0.560296
59565		7.966710	-5.690074	-1.046002	0.024082	-0.022768	-0.022022	-0.585205	0.765869	0.586426	0.367932	-0.741950	0.021003	-0.560085
59566		7.967336	-5.574004	-1.000772	0.015006	-0.024341	-0.023534	-0.577637	0.767334	0.571533	0.368173	-0.742086	0.020649	-0.559759
59567		7.937754	-5.569665	-0.933208	-0.011946	-0.004730	-0.019341	-0.582520	0.767334	0.578613	0.368149	-0.742118	0.020727	-0.559730
59568		7.922362	-5.663627	-1.035831	-0.002995	-0.000605	-0.019701	-0.578613	0.760010	0.574219	0.368257	-0.742138	0.020651	-0.559635
59569		7.917092	-5.729861	-1.093685	0.011945	-0.010807	-0.026636	-0.581543	0.767578	0.576904	0.368219	-0.742149	0.020497	-0.559651
59570		7.914822	-5.633325	-1.048988	0.023923	-0.025046	-0.031849	-0.575928	0.767578	0.585205	0.368427	-0.742198	0.020169	-0.559461
59571		7.855807	-5.573547	-0.916033	0.004582	-0.024963	-0.034321	-0.578369	0.765381	0.570557	0.368555	-0.742409	0.019796	-0.559110
59572		7.811176	-5.611625	-0.954891	0.003894	-0.025592	-0.035915	-0.577393	0.766602	0.578369	0.368494	-0.742473	0.019649	-0.559070
59573		7.827265	-5.554180	-1.008302	0.014208	-0.027573	-0.032734	-0.579102	0.756348	0.575195	0.368621	-0.742589	0.019336	-0.558843
59574		7.932426	-5.566198	-1.038447	0.012416	-0.029407	-0.028046	-0.577148	0.767578	0.580322	0.368509	-0.742697	0.019109	-0.558782
59575		7.926757	-5.670981	-0.961587	-0.004878	-0.010828	-0.023886	-0.586914	0.761963	0.575928	0.368594	-0.742808	0.018962	-0.558584
59576		7.857880	-5.619441	-1.045879	0.012807	-0.023375	-0.032422	-0.573242	0.761719	0.581543	0.368611	-0.742843	0.018682	-0.558535
59577		7.832974	-5.578726	-1.054875	0.016163	-0.028324	-0.035565	-0.582031	0.758789	0.576172	0.368660	-0.743011	0.018312	-0.558292
59578		7.935150	-5.634345	-1.026649	0.006026	-0.018045	-0.036312	-0.574951	0.767090	0.578857	0.368538	-0.743074	0.018080	-0.558295
59579		7.972396	-5.658953	-0.978339	0.002191	-0.010869	-0.035837	-0.577637	0.760742	0.571777	0.368596	-0.743156	0.017865	-0.558155
59580		7.966468	-5.643760	-0.949587	-0.000773	-0.003726	-0.035772	-0.582031	0.753662	0.583496	0.368433	-0.743143	0.017805	-0.558281
59581		7.943812	-5.716200	-1.002438	0.002164	0.009301	-0.033077	-0.588623	0.762939	0.572021	0.368264	-0.743173	0.017596	-0.558360
59582		7.925874	-5.658980	-0.945492	0.008414	0.022853	-0.030021	-0.574707	0.758789	0.578369	0.368266	-0.742955	0.017538	-0.558651
59583		7.944209	-5.683167	-0.867929	0.017305	0.037630	-0.021175	-0.576660	0.764893	0.580322	0.368320	-0.742782	0.017529	-0.558845
59584		8.046398	-5.673761	-0.911525	0.020232	0.048457	-0.012387	-0.577393	0.767090	0.576416	0.368588	-0.742548	0.017534	-0.558980
59585		8.125093	-5.784445	-1.019187	0.037368	0.059405	-0.005136	-0.584961	0.759033	0.578613	0.369016	-0.742165	0.017571	-0.559204
59586		8.102385	-6.023435	-0.987326	0.042872	0.074246	-0.001107	-0.586670	0.768311	0.578125	0.369334	-0.741719	0.017589	-0.559585
59587		8.085194	-5.974416	-0.857493	0.078061	0.065911	-0.003396	-0.579590	0.762207	0.576172	0.370070	-0.741180	0.017354	-0.559820
59588		8.104385	-5.854143	-0.623351	0.074436	0.085076	0.022740	-0.580322	0.762939	0.568848	0.370750	-0.740606	0.017434	-0.560129
59589		8.172825	-5.935648	-0.575027	0.068723	0.111335	0.048485	-0.586914	0.765137	0.574463	0.371448	-0.739856	0.017884	-0.560642
59590		8.087550	-6.201478	-0.615226	0.067220	0.141865	0.072852	-0.584717	0.769043	0.570068	0.372353	-0.739003	0.018408	-0.561149
59591		8.051675	-6.029723	-0.589893	0.105671	0.147782	0.089809	-0.582275	0.767578	0.562988	0.373617	-0.737974	0.018922	-0.561647
59592		7.968204	-5.931041	-0.478329	0.116157	0.156120	0.120316	-0.586182	0.768555	0.559326	0.374959	-0.736838	0.019721	-0.562216
59593		7.983321	-5.956989	-0.381730	0.118638	0.179026	0.146373	-0.586670	0.774414	0.552979	0.376398	-0.735553	0.020734	-0.562900
59594		7.957783	-6.131635	-0.414973	0.145295	0.192841	0.169417	-0.583740	0.785645	0.550537	0.378156	-0.734061	0.021831	-0.563627
59595		8.006784	-6.070170	-0.441695	0.177075	0.198269	0.185475	-0.582520	0.780762	0.549072	0.380401	-0.732431	0.022826	-0.564197
59596		7.992246	-6.097082	-0.431896	0.185344	0.207930	0.209016	-0.580566	0.790771	0.549072	0.382624	-0.730774	0.023974	-0.564795
59597		7.959291	-6.084251	-0.361115	0.181253	0.224801	0.232642	-0.581543	0.787109	0.544434	0.385134	-0.729067	0.025211	-0.565241
59598		7.946754	-6.063735	-0.387493	0.201700	0.237365	0.246228	-0.581055	0.795898	0.530273	0.387633	-0.727235	0.026524	-0.565832
59599		7.960907	-6.196821	-0.443706	0.205233	0.270963	0.255049	-0.574951	0.799561	0.521973	0.390183	-0.725109	0.028116	-0.566731
59600		7.942016	-6.225035	-0.282649	0.191814	0.291595	0.249691	-0.575928	0.802002	0.518066	0.392565	-0.722916	0.029901	-0.567796
59601		7.907432	-6.140298	-0.231560	0.168431	0.310343	0.247458	-0.572754	0.802246	0.511475	0.394762	-0.720715	0.031809	-0.568964
59602		7.783220	-6.120046	-0.252850	0.173760	0.324916	0.253546	-0.569336	0.812012	0.507812	0.396901	-0.718425	0.033854	-0.570253
59603		7.812806	-6.266542	-0.018099	0.184817	0.357481	0.288830	-0.563721	0.818604	0.501221	0.399448	-0.715938	0.036071	-0.571466
59604		7.895864	-6.570389	0.352045	0.197800	0.428894	0.329636	-0.568359	0.821777	0.499268	0.402295	-0.713046	0.038720	-0.572909
59605		7.859427	-6.810650	0.622621	0.248803	0.490241	0.374597	-0.558838	0.828125	0.485352	0.405618	-0.709681	0.041502	-0.574547
59606		7.729696	-6.740246	0.973251	0.320094	0.538488	0.428745	-0.568848	0.830566	0.468994	0.409576	-0.705761	0.044572	-0.576336
59607		7.639209	-6.650576	1.131381	0.385185	0.596299	0.513963	-0.559570	0.844238	0.458008	0.414104	-0.701146	0.048081	-0.578446
59608		7.528419	-6.992400	1.183599	0.433495	0.697660	0.612213	-0.553223	0.849854	0.440918	0.419531	-0.695798	0.052214	-0.580631
59609		7.489414	-7.045171	1.272263	0.492857	0.774711	0.692001	-0.549561	0.864014	0.430420	0.425521	-0.689736	0.056893	-0.583061
59610		7.387522	-7.080985	1.358441	0.565783	0.827568	0.759842	-0.535645	0.879395	0.406006	0.432352	-0.683080	0.061654	-0.585382
