// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
15358		8.896653	1.968161	3.443433	0.061020	0.036863	0.024138	-0.552490	0.030029	-0.635986	0.787316	-0.043306	-0.566973	-0.238328
15359		8.910191	1.938926	3.405205	0.044923	0.037816	0.028813	-0.552979	0.023926	-0.637207	0.787568	-0.043073	-0.566804	-0.237940
15360		8.962742	1.883182	3.387919	0.037150	0.035346	0.030085	-0.550781	0.029297	-0.637939	0.787806	-0.042893	-0.566637	-0.237581
15361		9.034510	1.814250	3.381780	0.028557	0.043603	0.028655	-0.551758	0.024414	-0.640137	0.788079	-0.042756	-0.566397	-0.237272
15362		9.057758	1.791118	3.440113	0.030314	0.035387	0.028902	-0.552246	0.031006	-0.646240	0.788312	-0.042629	-0.566217	-0.236948
15363		9.093381	1.807598	3.399586	0.023186	0.047175	0.028114	-0.555420	0.029297	-0.644043	0.788598	-0.042527	-0.565947	-0.236663
15364		9.071689	1.817512	3.396867	0.010500	0.060650	0.020927	-0.548828	0.026611	-0.636475	0.788926	-0.042455	-0.565569	-0.236484
15365		9.069087	1.815421	3.404925	0.008599	0.049775	0.013894	-0.560303	0.021973	-0.637207	0.789187	-0.042392	-0.565266	-0.236350
15366		9.042032	1.860789	3.452526	0.005289	0.035982	0.008163	-0.551025	0.020020	-0.640137	0.789367	-0.042359	-0.565055	-0.236258
15367		8.927098	1.844702	3.442400	-0.002744	0.022734	-0.001084	-0.553711	0.025635	-0.643799	0.789463	-0.042369	-0.564922	-0.236255
15368		8.872833	1.875555	3.457034	-0.008819	0.014752	-0.011050	-0.546387	0.027588	-0.647461	0.789499	-0.042394	-0.564835	-0.236339
15369		8.810774	1.854515	3.442142	-0.013494	0.007648	-0.015313	-0.547119	0.027588	-0.636230	0.789491	-0.042447	-0.564787	-0.236468
15370		8.833649	1.796678	3.410551	-0.022331	0.009704	-0.012812	-0.552002	0.029785	-0.644531	0.789496	-0.042570	-0.564708	-0.236619
15371		8.887155	1.778730	3.392866	-0.028000	0.005725	-0.006873	-0.549316	0.032715	-0.639648	0.789492	-0.042778	-0.564643	-0.236750
15372		8.915426	1.770506	3.414757	-0.030163	0.003862	-0.002029	-0.552734	0.022705	-0.633789	0.789486	-0.043036	-0.564589	-0.236851
15373		8.938888	1.771467	3.479092	-0.033864	0.004797	0.005433	-0.550537	0.020996	-0.643799	0.789497	-0.043362	-0.564527	-0.236906
15374		8.977633	1.742887	3.501379	-0.027025	0.002740	0.013635	-0.561035	0.029053	-0.638916	0.789516	-0.043702	-0.564488	-0.236870
15375		9.036506	1.734491	3.449843	-0.017098	0.003363	0.019306	-0.543945	0.026123	-0.643555	0.789557	-0.044033	-0.564462	-0.236735
15376		9.089064	1.723802	3.448961	-0.018095	0.008878	0.020272	-0.550293	0.038574	-0.640869	0.789629	-0.044344	-0.564391	-0.236609
15377		9.051725	1.758016	3.421809	-0.008446	0.006397	0.016176	-0.544678	0.033447	-0.637451	0.789686	-0.044618	-0.564356	-0.236449
15378		9.030638	1.779196	3.429790	-0.004204	0.005783	0.016301	-0.553955	0.031738	-0.641113	0.789741	-0.044843	-0.564341	-0.236259
15379		9.026015	1.725724	3.376207	0.007351	-0.001044	0.011313	-0.545410	0.026123	-0.635986	0.789745	-0.045039	-0.564417	-0.236024
15380		9.004919	1.748905	3.383202	0.008467	0.005717	0.005484	-0.545166	0.027832	-0.639893	0.789772	-0.045126	-0.564459	-0.235817
15381		9.002439	1.759947	3.402160	0.000930	0.018442	0.001013	-0.541504	0.030273	-0.636230	0.789842	-0.045241	-0.564407	-0.235686
15382		8.966209	1.824355	3.446497	-0.002477	0.026917	0.002000	-0.557129	0.026367	-0.637451	0.789962	-0.045336	-0.564282	-0.235566
15383		8.930762	1.805475	3.470410	0.002689	0.018127	0.006209	-0.546387	0.022217	-0.648926	0.790021	-0.045543	-0.564275	-0.235344
15384		8.941447	1.739255	3.454172	0.009273	0.011890	0.011364	-0.550537	0.029297	-0.642090	0.790057	-0.045703	-0.564306	-0.235116
15385		8.941223	1.678358	3.444703	0.011030	0.011573	0.016560	-0.547119	0.023682	-0.645996	0.790119	-0.045894	-0.564324	-0.234828
15386		8.928958	1.646549	3.452521	0.017483	0.020398	0.019031	-0.547119	0.032959	-0.643311	0.790225	-0.046019	-0.564302	-0.234500
15387		8.952116	1.644920	3.432458	0.019241	0.020086	0.024227	-0.545166	0.029541	-0.642578	0.790362	-0.046179	-0.564243	-0.234149
15388		8.933628	1.667104	3.416751	0.018125	0.022328	0.028283	-0.540527	0.026855	-0.639648	0.790520	-0.046327	-0.564170	-0.233759
15389		8.945300	1.672558	3.490027	0.014904	0.025723	0.029892	-0.546387	0.027100	-0.646240	0.790714	-0.046410	-0.564059	-0.233356
15390		8.965916	1.703944	3.497556	0.010222	0.025235	0.033079	-0.547119	0.024902	-0.643555	0.790880	-0.046674	-0.563964	-0.232972
15391		8.947582	1.665134	3.471290	0.013777	0.018982	0.035723	-0.550049	0.030762	-0.638428	0.791026	-0.046907	-0.563926	-0.232520
15392		8.961275	1.619840	3.439639	0.011488	0.016236	0.034418	-0.555664	0.034424	-0.639648	0.791170	-0.047173	-0.563888	-0.232066
15393		9.004602	1.579982	3.420802	0.020350	0.023155	0.030157	-0.543213	0.020752	-0.639648	0.791324	-0.047457	-0.563836	-0.231609
15394		9.060125	1.609182	3.482830	0.022970	0.016429	0.028254	-0.539795	0.033203	-0.645996	0.791466	-0.047462	-0.563841	-0.231111
15395		9.085632	1.655025	3.456099	0.022341	0.021468	0.024221	-0.548096	0.028564	-0.645264	0.791639	-0.047563	-0.563726	-0.230779
15396		9.052499	1.703784	3.396998	0.005672	0.022852	0.016734	-0.553467	0.029053	-0.648438	0.791757	-0.047813	-0.563647	-0.230516
15397		9.015573	1.775802	3.372098	-0.004347	0.013320	0.006393	-0.546631	0.031250	-0.639893	0.791771	-0.048213	-0.563645	-0.230387
15398		8.972339	1.787903	3.384842	-0.005420	-0.004377	-0.005494	-0.549561	0.027100	-0.643555	0.791731	-0.048384	-0.563731	-0.230279
15399		8.978174	1.793428	3.419896	-0.007335	0.001375	-0.013570	-0.548096	0.039062	-0.637695	0.791666	-0.048565	-0.563817	-0.230255
15400		8.955368	1.724279	3.415240	-0.008376	0.006975	-0.019046	-0.546143	0.033936	-0.639893	0.791655	-0.048711	-0.563802	-0.230298
15401		8.944930	1.721398	3.407000	-0.010687	0.012246	-0.021849	-0.543213	0.026855	-0.641846	0.791654	-0.048795	-0.563766	-0.230372
15402		8.953381	1.741164	3.413736	-0.010068	0.046557	-0.014394	-0.546387	0.027832	-0.639648	0.791827	-0.048748	-0.563519	-0.230393
15403		8.970393	1.720900	3.500905	-0.000480	0.064695	-0.006985	-0.547607	0.027832	-0.644775	0.792090	-0.048665	-0.563193	-0.230301
15404		8.981753	1.731098	3.555655	0.006536	0.065851	0.004574	-0.542969	0.027344	-0.642334	0.792361	-0.048675	-0.562866	-0.230167
15405		8.984867	1.711335	3.590347	0.015142	0.057492	0.012502	-0.548096	0.029053	-0.648193	0.792647	-0.048564	-0.562582	-0.229900
15406		8.945971	1.724492	3.558879	0.026914	0.044753	0.019128	-0.545654	0.029297	-0.641846	0.792845	-0.048608	-0.562413	-0.229620
15407		8.982394	1.718765	3.510181	0.034787	0.047857	0.019864	-0.542480	0.030029	-0.642090	0.793096	-0.048472	-0.562236	-0.229216
15408		8.989897	1.699391	3.517515	0.032136	0.053643	0.022034	-0.540771	0.030273	-0.645264	0.793395	-0.048318	-0.561988	-0.228822
15409		8.973035	1.739509	3.559016	0.032155	0.062741	0.013807	-0.539551	0.033691	-0.640137	0.793721	-0.048132	-0.561662	-0.228528
15410		8.973253	1.741059	3.541779	0.039897	0.056626	0.005725	-0.542236	0.031006	-0.644775	0.794025	-0.047840	-0.561389	-0.228206
15411		8.949023	1.767081	3.555062	0.033485	0.049466	-0.001527	-0.528809	0.026123	-0.644775	0.794243	-0.047636	-0.561180	-0.228005
15412		8.925197	1.793933	3.566815	0.031820	0.035372	-0.008476	-0.532227	0.029053	-0.644287	0.794474	-0.047167	-0.560981	-0.227784
15413		8.900466	1.794037	3.507236	0.022129	0.022930	-0.014582	-0.539795	0.037109	-0.649902	0.794605	-0.046867	-0.560866	-0.227674
15414		8.900138	1.809599	3.502057	0.010027	0.020802	-0.017736	-0.538086	0.018555	-0.645996	0.794655	-0.046934	-0.560741	-0.227794
15415		8.883839	1.802585	3.459021	0.000014	0.009830	-0.019148	-0.529541	0.018555	-0.644287	0.794647	-0.046710	-0.560779	-0.227775
15416		8.917429	1.763466	3.429788	-0.013838	0.006607	-0.018554	-0.537842	0.031982	-0.650146	0.794687	-0.046453	-0.560746	-0.227770
15417		8.969442	1.734902	3.420765	-0.021488	0.007764	-0.022705	-0.537842	0.021484	-0.645752	0.794659	-0.046627	-0.560665	-0.228030
15418		9.064269	1.649610	3.467980	-0.027973	0.014296	-0.023745	-0.529785	0.022705	-0.655273	0.794643	-0.046608	-0.560616	-0.228209
15419		9.122825	1.578848	3.476928	-0.028862	0.014171	-0.030542	-0.542969	0.021973	-0.650391	0.794692	-0.046547	-0.560438	-0.228491
15420		9.202921	1.521330	3.481352	-0.022484	0.022200	-0.040626	-0.533203	0.024170	-0.652344	0.794635	-0.046519	-0.560381	-0.228833
15421		9.214953	1.501835	3.527912	0.004194	0.010227	-0.049180	-0.540527	0.029541	-0.649170	0.794608	-0.046229	-0.560345	-0.229072
15422		9.180369	1.446212	3.529253	0.042646	-0.005384	-0.059268	-0.539795	0.022217	-0.642822	0.794435	-0.045862	-0.560550	-0.229246
15423		9.169200	1.417890	3.516284	0.067787	0.001600	-0.068257	-0.537354	0.022461	-0.649170	0.794284	-0.045108	-0.560823	-0.229250
15424		9.168911	1.482384	3.508649	0.085274	0.009831	-0.087843	-0.534424	0.022949	-0.654053	0.794175	-0.044178	-0.561009	-0.229354
15425		9.104015	1.577905	3.586498	0.098272	0.004718	-0.097908	-0.538330	0.024414	-0.650146	0.794063	-0.043168	-0.561187	-0.229498
15426		8.989073	1.671238	3.646061	0.122238	-0.012217	-0.108337	-0.540527	0.012939	-0.651611	0.793818	-0.042080	-0.561571	-0.229607
