// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
15358		9.414461	1.766943	-1.471100	0.070382	0.004214	0.038721	-0.740479	0.211426	0.256348	0.299977	-0.597334	-0.468033	-0.578058
15359		9.436860	1.756907	-1.452088	0.058542	0.005507	0.038839	-0.738525	0.212402	0.255127	0.300477	-0.597312	-0.468108	-0.577760
15360		9.558734	1.732563	-1.561174	0.079109	-0.001823	0.034954	-0.736572	0.217773	0.258301	0.301033	-0.597259	-0.468319	-0.577355
15361		9.645119	1.793705	-1.624828	0.102037	-0.004429	0.026043	-0.737305	0.213135	0.255127	0.301649	-0.597127	-0.468691	-0.576868
15362		9.610618	1.823703	-1.629462	0.106448	0.004052	0.020123	-0.738525	0.220947	0.249023	0.302290	-0.596920	-0.469093	-0.576419
15363		9.642192	1.862139	-1.574533	0.086312	-0.001732	0.016821	-0.743408	0.217773	0.248779	0.302790	-0.596781	-0.469432	-0.576025
15364		9.705262	1.848767	-1.537612	0.045741	-0.009160	0.022361	-0.738037	0.216064	0.255859	0.303083	-0.596800	-0.469569	-0.575739
15365		9.686586	1.858759	-1.582328	0.006537	-0.013699	0.030311	-0.747559	0.212891	0.258545	0.303198	-0.596970	-0.469493	-0.575564
15366		9.661949	1.887131	-1.596317	-0.019712	-0.011683	0.038658	-0.738770	0.214355	0.255371	0.303227	-0.597229	-0.469247	-0.575481
15367		9.589699	1.825077	-1.548190	-0.048985	-0.013345	0.043314	-0.745361	0.217041	0.251465	0.303119	-0.597587	-0.468847	-0.575491
15368		9.520778	1.729945	-1.528547	-0.063441	-0.016716	0.045574	-0.734619	0.219727	0.251709	0.302933	-0.598006	-0.468379	-0.575537
15369		9.503978	1.636945	-1.542850	-0.058147	-0.019358	0.042285	-0.736816	0.218506	0.261475	0.302747	-0.598411	-0.467958	-0.575555
15370		9.444247	1.596199	-1.570047	-0.034715	-0.012036	0.041154	-0.739746	0.221436	0.256104	0.302705	-0.598723	-0.467634	-0.575516
15371		9.424459	1.585213	-1.507144	-0.023390	-0.007331	0.038249	-0.736084	0.224365	0.257568	0.302730	-0.598980	-0.467364	-0.575455
15372		9.522675	1.591279	-1.502348	-0.007801	-0.007131	0.032490	-0.740967	0.215332	0.266357	0.302815	-0.599179	-0.467190	-0.575345
15373		9.566208	1.600440	-1.589449	0.012299	-0.005448	0.029789	-0.738281	0.215332	0.255371	0.302998	-0.599314	-0.467117	-0.575167
15374		9.627570	1.640640	-1.627927	0.031169	-0.003626	0.019592	-0.748779	0.228271	0.258789	0.303243	-0.599356	-0.467176	-0.574946
15375		9.636525	1.623299	-1.597310	0.039766	-0.000617	0.010843	-0.731689	0.220947	0.256104	0.303504	-0.599345	-0.467307	-0.574713
15376		9.627279	1.576517	-1.615657	0.041112	-0.003794	0.003235	-0.737549	0.229736	0.259033	0.303725	-0.599309	-0.467493	-0.574483
15377		9.631037	1.600437	-1.662044	0.042656	-0.015024	0.000565	-0.729492	0.227295	0.258789	0.303908	-0.599332	-0.467717	-0.574179
15378		9.687434	1.618455	-1.659542	0.036240	-0.021306	0.001352	-0.742676	0.223633	0.257080	0.304038	-0.599405	-0.467928	-0.573863
15379		9.669587	1.578217	-1.629100	0.019113	-0.026320	0.011810	-0.730225	0.218750	0.264893	0.304115	-0.599603	-0.468013	-0.573545
15380		9.636223	1.624911	-1.657546	0.011741	-0.031476	0.017031	-0.733887	0.222168	0.256836	0.304156	-0.599855	-0.468070	-0.573213
15381		9.553353	1.684024	-1.654539	0.011893	-0.038529	0.016977	-0.731201	0.224121	0.260742	0.304176	-0.600145	-0.468128	-0.572852
15382		9.492989	1.647537	-1.666076	-0.007566	-0.042268	0.019429	-0.740723	0.224121	0.264160	0.304090	-0.600515	-0.468099	-0.572533
15383		9.482627	1.590781	-1.627038	-0.010772	-0.053954	0.019842	-0.732910	0.220215	0.256348	0.303944	-0.600981	-0.468082	-0.572136
15384		9.533830	1.533064	-1.633846	-0.011708	-0.061901	0.015241	-0.737061	0.229004	0.258301	0.303732	-0.601422	-0.468109	-0.571762
15385		9.563273	1.583052	-1.669294	-0.004770	-0.054706	0.006174	-0.733398	0.223877	0.258545	0.303562	-0.601818	-0.468160	-0.571395
15386		9.516335	1.611889	-1.626074	-0.008876	-0.056256	-0.005091	-0.733398	0.230469	0.260254	0.303303	-0.602162	-0.468273	-0.571077
15387		9.523215	1.609642	-1.665337	-0.018198	-0.049152	-0.019109	-0.729004	0.228516	0.264404	0.302971	-0.602462	-0.468369	-0.570858
15388		9.536119	1.571715	-1.607189	-0.015169	-0.043498	-0.027480	-0.728027	0.226807	0.267578	0.302631	-0.602683	-0.468530	-0.570674
15389		9.552530	1.569444	-1.654896	0.015557	-0.029033	-0.036961	-0.734619	0.223877	0.260986	0.302457	-0.602718	-0.468857	-0.570459
15390		9.578270	1.544504	-1.605940	0.054798	-0.011543	-0.046174	-0.732910	0.218994	0.264404	0.302508	-0.602530	-0.469350	-0.570226
15391		9.659207	1.489214	-1.617623	0.071847	0.004506	-0.059725	-0.737793	0.225342	0.270508	0.302637	-0.602153	-0.469980	-0.570036
15392		9.659598	1.510197	-1.640048	0.092840	0.015045	-0.071980	-0.742432	0.229736	0.267090	0.302884	-0.601691	-0.470709	-0.569791
