// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25672		6.876155	-4.115807	5.646031	-0.000609	-0.000530	-0.006316	-0.697021	0.438477	-0.411133	0.319207	-0.453904	0.077620	-0.828284
25673		6.883670	-4.101546	5.675129	0.000142	0.002714	-0.007766	-0.682373	0.448730	-0.410156	0.319144	-0.453895	0.077587	-0.828315
25674		6.883080	-4.121524	5.677515	-0.003191	-0.000862	-0.004843	-0.692139	0.454834	-0.401855	0.319099	-0.453912	0.077589	-0.828323
25675		6.869027	-4.102766	5.650042	-0.001352	-0.001580	-0.005443	-0.697510	0.447754	-0.406250	0.319058	-0.453930	0.077574	-0.828331
25676		6.893176	-4.111360	5.670571	-0.000629	0.001560	-0.005455	-0.685547	0.439941	-0.408691	0.319018	-0.453923	0.077562	-0.828351
25677		6.893892	-4.123370	5.654109	-0.002851	0.002799	-0.003988	-0.684326	0.440186	-0.404785	0.318978	-0.453912	0.077575	-0.828371
25678		6.894927	-4.102417	5.651882	-0.000984	0.002185	-0.006026	-0.688965	0.439697	-0.408203	0.318933	-0.453901	0.077566	-0.828395
25679		6.877394	-4.099930	5.662927	-0.000678	0.003547	-0.003156	-0.692627	0.442383	-0.407227	0.318907	-0.453879	0.077570	-0.828417
25680		6.893326	-4.109894	5.671452	-0.002133	0.003745	-0.003424	-0.695068	0.446045	-0.411377	0.318875	-0.453858	0.077584	-0.828440
25681		6.886049	-4.122953	5.642953	0.000812	0.005648	-0.004903	-0.690674	0.450684	-0.410645	0.318842	-0.453816	0.077577	-0.828476
25682		6.892964	-4.109146	5.672434	-0.002161	0.003641	-0.001987	-0.691162	0.453125	-0.406250	0.318821	-0.453795	0.077598	-0.828494
25683		6.875744	-4.119410	5.666972	-0.003582	0.006137	-0.004270	-0.687988	0.437744	-0.404053	0.318777	-0.453761	0.077627	-0.828527
25684		6.868658	-4.099736	5.652688	-0.002126	0.005940	-0.004002	-0.693115	0.435059	-0.399170	0.318741	-0.453722	0.077648	-0.828560
25685		6.867409	-4.120121	5.655593	-0.002154	0.005835	-0.002564	-0.681641	0.455811	-0.414307	0.318716	-0.453683	0.077674	-0.828588
25686		6.875422	-4.131256	5.651903	-0.001770	0.005316	-0.003432	-0.688721	0.447510	-0.400879	0.318690	-0.453643	0.077699	-0.828618
25687		6.882909	-4.129788	5.664863	-0.000641	0.005846	-0.005173	-0.695068	0.449219	-0.409668	0.318655	-0.453603	0.077711	-0.828652
25688		6.875795	-4.109905	5.650767	-0.001763	0.007510	-0.004009	-0.685059	0.451660	-0.405273	0.318625	-0.453549	0.077742	-0.828690
25689		6.883006	-4.108144	5.664271	0.003028	0.010892	-0.006664	-0.682617	0.450684	-0.411621	0.318593	-0.453463	0.077741	-0.828750
25690		6.848079	-4.115758	5.670162	-0.001740	0.005420	-0.004872	-0.690674	0.446777	-0.413574	0.318560	-0.453421	0.077767	-0.828783
25691		6.882956	-4.119406	5.649314	-0.000306	0.007313	-0.003742	-0.693848	0.441650	-0.406738	0.318538	-0.453358	0.077791	-0.828824
25692		6.855175	-4.113822	5.683922	-0.000283	0.005222	-0.004603	-0.682861	0.451904	-0.402832	0.318505	-0.453320	0.077800	-0.828856
25693		6.881885	-4.105935	5.667234	0.001201	0.005129	-0.005773	-0.680420	0.445068	-0.405273	0.318483	-0.453278	0.077807	-0.828887
25694		6.864849	-4.115593	5.661994	0.000101	0.004703	-0.005471	-0.689453	0.440674	-0.409424	0.318451	-0.453237	0.077815	-0.828921
25695		6.866552	-4.106525	5.643478	0.001994	0.002000	-0.008369	-0.693848	0.443115	-0.406494	0.318403	-0.453208	0.077785	-0.828958
25696		6.872934	-4.112611	5.675314	0.002296	0.003362	-0.005498	-0.686768	0.446533	-0.407227	0.318375	-0.453176	0.077770	-0.828987
25697		6.857034	-4.101731	5.667403	-0.000266	0.000937	-0.004888	-0.697266	0.445068	-0.402588	0.318353	-0.453162	0.077778	-0.829003
25698		6.866339	-4.124867	5.646634	-0.000981	-0.000010	-0.005453	-0.686035	0.441650	-0.408691	0.318317	-0.453174	0.077776	-0.829011
25699		6.866122	-4.111832	5.663183	0.000858	-0.000726	-0.006051	-0.694580	0.452393	-0.404297	0.318284	-0.453163	0.077760	-0.829031
25700		6.875841	-4.101766	5.656621	0.000504	-0.000102	-0.006623	-0.687988	0.441650	-0.407959	0.318263	-0.453170	0.077766	-0.829034
25701		6.875397	-4.121758	5.658865	-0.001372	-0.001685	-0.004008	-0.690430	0.442383	-0.416748	0.318234	-0.453174	0.077767	-0.829043
25702		6.892779	-4.111050	5.664428	-0.001372	-0.001685	-0.004008	-0.691162	0.450195	-0.408447	0.318209	-0.453151	0.077773	-0.829065
25703		6.860261	-4.110849	5.650050	-0.000987	-0.002205	-0.004876	-0.690918	0.446777	-0.410400	0.318197	-0.453165	0.077790	-0.829060
25704		6.868434	-4.109266	5.662242	-0.000626	-0.000634	-0.004882	-0.694092	0.436279	-0.403076	0.318176	-0.453158	0.077799	-0.829071
25705		6.903968	-4.112886	5.640611	-0.002465	0.000082	-0.004284	-0.678955	0.439697	-0.411865	0.318111	-0.453183	0.077783	-0.829084
25706		6.878310	-4.099258	5.655438	0.000800	-0.000935	-0.003174	-0.687012	0.443359	-0.412354	0.318099	-0.453147	0.077776	-0.829109
25707		6.860983	-4.097080	5.665987	-0.003241	-0.001074	-0.001972	-0.692383	0.444580	-0.408203	0.318084	-0.453134	0.077806	-0.829119
25708		6.893278	-4.117461	5.682205	-0.001070	-0.000323	-0.001137	-0.696045	0.431396	-0.407471	0.318076	-0.453139	0.077822	-0.829118
25709		6.869336	-4.141417	5.647215	-0.002910	0.000393	-0.000539	-0.689209	0.448730	-0.404053	0.318003	-0.453148	0.077791	-0.829144
25710		6.878012	-4.119747	5.657151	-0.001395	0.000405	-0.003148	-0.687988	0.441650	-0.410645	0.317998	-0.453170	0.077832	-0.829130
25711		6.877359	-4.139740	5.659659	0.000156	0.002718	-0.007773	-0.686035	0.449951	-0.409668	0.317948	-0.453130	0.077818	-0.829172
25712		6.877935	-4.105912	5.674105	-0.000204	0.001147	-0.007768	-0.692383	0.445068	-0.404297	0.317938	-0.453109	0.077849	-0.829185
25713		6.879769	-4.097179	5.655170	-0.001394	0.000405	-0.003148	-0.681885	0.449707	-0.405029	0.317914	-0.453139	0.077868	-0.829176
25714		6.868452	-4.102147	5.697249	-0.003589	0.001745	-0.003122	-0.687012	0.442871	-0.403076	0.317925	-0.453136	0.077952	-0.829165
25715		6.861625	-4.115676	5.667942	-0.003600	-0.002645	-0.001966	-0.692871	0.447998	-0.407959	0.317901	-0.453184	0.077977	-0.829146
25716		6.874154	-4.090186	5.623050	-0.006144	0.001513	-0.003089	-0.685303	0.443604	-0.402588	0.317876	-0.453197	0.078044	-0.829142
25717		6.879731	-4.085069	5.670823	-0.004689	0.001317	-0.002820	-0.687500	0.447266	-0.407959	0.317845	-0.453220	0.078092	-0.829137
25718		6.878701	-4.106007	5.673108	-0.006584	0.004018	0.000079	-0.691406	0.439209	-0.404297	0.317846	-0.453196	0.078188	-0.829141
25719		6.861269	-4.117110	5.667331	-0.005899	0.004860	0.002084	-0.690186	0.436768	-0.416016	0.317803	-0.453200	0.078220	-0.829152
25720		6.868370	-4.149776	5.665365	-0.007334	0.000771	0.001529	-0.691406	0.453857	-0.410645	0.317756	-0.453132	0.078230	-0.829206
25721		6.870602	-4.121884	5.643626	-0.007334	0.000771	0.001529	-0.690674	0.442627	-0.413574	0.317803	-0.453130	0.078364	-0.829176
25722		6.861442	-4.099083	5.663983	-0.008757	0.001072	-0.000181	-0.688477	0.442139	-0.407227	0.317767	-0.453093	0.078420	-0.829205
25723		6.861271	-4.132710	5.649168	-0.007277	-0.001214	-0.000773	-0.681396	0.447266	-0.402832	0.317727	-0.453114	0.078463	-0.829205
25724		6.869184	-4.132133	5.660948	-0.007246	-0.001108	-0.002213	-0.695557	0.445801	-0.410645	0.317732	-0.453151	0.078568	-0.829173
25725		6.854332	-4.101853	5.649637	-0.007251	-0.003304	-0.001637	-0.686768	0.439453	-0.408691	0.317694	-0.453188	0.078603	-0.829164
25726		6.896653	-4.125547	5.642348	-0.006110	0.001620	-0.004531	-0.696045	0.444336	-0.404297	0.317617	-0.453161	0.078612	-0.829207
25727		6.880672	-4.115352	5.634044	-0.004296	0.002995	-0.004266	-0.684326	0.441650	-0.407227	0.317542	-0.453213	0.078624	-0.829206
25728		6.872115	-4.136972	5.623981	-0.005749	0.003191	-0.004536	-0.694580	0.443848	-0.407471	0.317492	-0.453179	0.078664	-0.829240
25729		6.862363	-4.133800	5.647044	-0.002461	0.000085	-0.004287	-0.692627	0.444824	-0.409180	0.317432	-0.453210	0.078653	-0.829247
25730		6.879067	-4.110528	5.669388	-0.000206	-0.001042	-0.007192	-0.682129	0.443115	-0.408691	0.317382	-0.453219	0.078628	-0.829264
