// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25672		0.939799	3.160065	9.167531	0.010558	0.002170	0.004813	-0.119141	0.202881	-0.645996	0.645345	0.066879	-0.154968	-0.745011
25673		0.944289	3.090976	9.195813	0.006602	-0.003868	0.001155	-0.105957	0.212158	-0.645508	0.645339	0.066885	-0.155039	-0.745001
25674		0.999305	3.097738	9.201208	0.008122	-0.006734	-0.001122	-0.115479	0.212891	-0.637695	0.645319	0.066889	-0.155124	-0.745000
25675		1.033006	3.142578	9.259359	0.000831	-0.006563	0.002738	-0.120361	0.212646	-0.642090	0.645327	0.066849	-0.155166	-0.744988
25676		1.013362	3.091018	9.203155	-0.000036	-0.000746	-0.001119	-0.111084	0.206055	-0.644531	0.645319	0.066845	-0.155171	-0.744994
25677		0.987904	3.062746	9.249869	-0.001199	-0.005285	-0.001183	-0.107178	0.202881	-0.639160	0.645306	0.066806	-0.155194	-0.745005
25678		0.987715	3.055045	9.230586	0.003244	-0.007263	-0.001910	-0.108643	0.201904	-0.644531	0.645283	0.066777	-0.155252	-0.745015
25679		1.013247	3.041140	9.234920	0.008375	-0.005545	-0.007652	-0.117676	0.203613	-0.643066	0.645225	0.066792	-0.155328	-0.745048
25680		1.034767	3.000281	9.261892	0.009905	-0.002403	-0.005863	-0.117676	0.209229	-0.646484	0.645182	0.066828	-0.155394	-0.745068
25681		1.047317	2.963665	9.254057	0.017281	0.002518	-0.000973	-0.112793	0.214111	-0.645508	0.645173	0.066919	-0.155479	-0.745050
25682		0.985912	3.011451	9.260503	0.018829	0.006849	0.009778	-0.114258	0.213623	-0.642334	0.645238	0.067021	-0.155550	-0.744970
25683		1.031826	3.063243	9.259263	0.026393	0.006641	0.010802	-0.109375	0.201416	-0.638428	0.645305	0.067155	-0.155662	-0.744876
25684		0.985794	3.061729	9.206718	0.027119	0.008672	0.009354	-0.116943	0.196289	-0.635986	0.645367	0.067303	-0.155767	-0.744787
25685		1.024731	3.027960	9.241351	0.028287	0.008393	0.014319	-0.104248	0.218018	-0.647217	0.645460	0.067446	-0.155881	-0.744671
25686		1.022815	3.024352	9.220919	0.031749	0.014037	0.020738	-0.111572	0.206787	-0.638672	0.645598	0.067624	-0.155979	-0.744514
25687		0.959944	3.066037	9.207561	0.031726	0.014490	0.028586	-0.119385	0.209473	-0.647949	0.645788	0.067790	-0.156082	-0.744312
