// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07456		6.582561	-4.235044	5.810578	0.029435	0.033346	-0.036979	-0.220703	0.515137	-0.240479	0.716783	-0.420858	-0.158094	-0.533016
07457		6.602026	-4.158243	5.903652	0.038403	0.033624	-0.052455	-0.231445	0.522705	-0.244629	0.716729	-0.420410	-0.158248	-0.533397
07458		6.698915	-4.159559	5.846514	0.030162	0.024936	-0.049541	-0.228516	0.528076	-0.237549	0.716643	-0.420055	-0.158412	-0.533744
07459		6.706990	-4.238714	5.797356	0.023214	0.022238	-0.046252	-0.229004	0.523438	-0.245850	0.716547	-0.419755	-0.158546	-0.534068
07460		6.671053	-4.097771	5.910697	0.016791	0.020032	-0.043837	-0.230957	0.527344	-0.240967	0.716436	-0.419509	-0.158658	-0.534378
07461		6.707948	-4.114354	5.891878	-0.000479	0.002328	-0.026889	-0.221680	0.517822	-0.245117	0.716315	-0.419463	-0.158742	-0.534550
07462		6.730070	-4.197255	5.815475	-0.008396	-0.014508	-0.017484	-0.225098	0.528564	-0.248047	0.716185	-0.419550	-0.158864	-0.534621
07463		6.722707	-4.234344	5.793725	-0.010990	-0.014069	-0.017540	-0.228027	0.519775	-0.250488	0.716044	-0.419651	-0.158977	-0.534696
07464		6.700870	-4.125652	5.857260	-0.010459	-0.008463	-0.014773	-0.223877	0.525635	-0.243652	0.715921	-0.419733	-0.159053	-0.534774
07465		6.736178	-4.202619	5.857089	-0.010820	-0.015582	-0.008819	-0.222656	0.524170	-0.241455	0.715813	-0.419854	-0.159155	-0.534794
07466		6.724550	-4.210567	5.777541	-0.014137	-0.007515	-0.007248	-0.226318	0.527344	-0.246338	0.715707	-0.419962	-0.159194	-0.534838
07467		6.671176	-4.188952	5.805739	-0.009149	0.000442	-0.011486	-0.225098	0.519531	-0.239746	0.715607	-0.420004	-0.159229	-0.534929
07468		6.706442	-4.188954	5.854840	-0.010611	0.003276	-0.016221	-0.225098	0.522705	-0.245605	0.715483	-0.420038	-0.159261	-0.535059
07469		6.707729	-4.180622	5.806770	-0.009017	0.007666	-0.015916	-0.234375	0.518799	-0.250488	0.715369	-0.420042	-0.159276	-0.535203
07470		6.727264	-4.172546	5.750706	-0.006310	0.013745	-0.015176	-0.219482	0.518799	-0.253174	0.715274	-0.420006	-0.159272	-0.535361
07471		6.668853	-4.121744	5.870526	-0.006960	0.014048	-0.010628	-0.231689	0.515137	-0.244873	0.715192	-0.419983	-0.159255	-0.535492
07472		6.710302	-4.145714	5.863084	-0.013125	0.000786	-0.004615	-0.230957	0.524414	-0.242920	0.715097	-0.420059	-0.159272	-0.535555
07473		6.730341	-4.203299	5.808744	-0.015269	-0.001895	-0.003321	-0.231201	0.522705	-0.246582	0.714992	-0.420158	-0.159298	-0.535610
07474		6.707269	-4.152937	5.828751	-0.014374	-0.000105	-0.001369	-0.232422	0.525635	-0.243896	0.714899	-0.420250	-0.159317	-0.535656
07475		6.697411	-4.191876	5.808552	-0.010687	0.004064	-0.005254	-0.232422	0.522217	-0.247559	0.714803	-0.420295	-0.159345	-0.535740
07476		6.692573	-4.177032	5.846274	-0.014728	0.004421	-0.005662	-0.229492	0.515869	-0.241455	0.714693	-0.420364	-0.159360	-0.535829
07477		6.697073	-4.165080	5.829769	-0.012917	0.000688	-0.006125	-0.227051	0.528320	-0.238525	0.714590	-0.420436	-0.159393	-0.535899
07478		6.700266	-4.201219	5.787796	-0.009629	0.002854	-0.007713	-0.223877	0.523682	-0.244629	0.714484	-0.420478	-0.159437	-0.535995
07479		6.700301	-4.200835	5.788035	-0.003083	0.009391	-0.010155	-0.225830	0.520996	-0.244873	0.714407	-0.420448	-0.159485	-0.536108
07480		6.682563	-4.186736	5.848818	-0.002870	0.009292	-0.011669	-0.229492	0.517090	-0.241943	0.714323	-0.420419	-0.159541	-0.536225
07481		6.706303	-4.201249	5.802767	-0.001592	0.007982	-0.015644	-0.230469	0.522461	-0.249268	0.714225	-0.420384	-0.159619	-0.536361
07482		6.716760	-4.161484	5.822860	-0.000892	0.002560	-0.016545	-0.234131	0.520996	-0.247559	0.714110	-0.420365	-0.159757	-0.536487
07483		6.730225	-4.158062	5.801075	-0.005677	0.001802	-0.009466	-0.227783	0.521484	-0.237061	0.714003	-0.420390	-0.159854	-0.536581
07484		6.716428	-4.208186	5.797324	-0.000107	0.002225	-0.006539	-0.228516	0.515869	-0.243652	0.713936	-0.420394	-0.159925	-0.536645
07485		6.712079	-4.156508	5.809890	-0.004447	0.001982	-0.007598	-0.231934	0.515869	-0.247070	0.713861	-0.420416	-0.160000	-0.536705
07486		6.710485	-4.176458	5.806582	-0.005081	0.002994	-0.008164	-0.230957	0.517822	-0.249023	0.713775	-0.420432	-0.160088	-0.536780
07487		6.705107	-4.201456	5.771354	-0.004305	0.006292	-0.007641	-0.226562	0.515869	-0.245605	0.713700	-0.420427	-0.160162	-0.536862
07488		6.712984	-4.182689	5.788501	0.002819	0.008924	-0.012411	-0.227051	0.519531	-0.240723	0.713647	-0.420365	-0.160245	-0.536957
07489		6.706080	-4.150597	5.799113	0.004516	0.011090	-0.005564	-0.238770	0.517334	-0.242676	0.713619	-0.420309	-0.160279	-0.537028
07490		6.671844	-4.171981	5.827905	0.000651	0.013549	-0.006751	-0.223877	0.528320	-0.239014	0.713542	-0.420271	-0.160321	-0.537148
07491		6.690608	-4.199072	5.798534	0.002537	0.014149	-0.014530	-0.224609	0.527100	-0.250977	0.713462	-0.420208	-0.160335	-0.537299
07492		6.691667	-4.148658	5.825803	0.004018	0.012026	-0.014909	-0.226318	0.516602	-0.242432	0.713400	-0.420117	-0.160414	-0.537428
07493		6.731261	-4.190788	5.816713	0.003463	0.013734	-0.013308	-0.224854	0.520752	-0.236328	0.713358	-0.420033	-0.160447	-0.537541
07494		6.699383	-4.155057	5.823515	0.004663	0.016836	-0.015809	-0.228516	0.523926	-0.250000	0.713296	-0.419951	-0.160441	-0.537688
07495		6.698889	-4.152891	5.825629	0.003847	0.015743	-0.015594	-0.228516	0.517334	-0.252441	0.713233	-0.419843	-0.160500	-0.537839
07496		6.710866	-4.184080	5.831808	0.006060	0.019125	-0.014712	-0.230225	0.523926	-0.245361	0.713210	-0.419686	-0.160560	-0.537973
07497		6.722564	-4.179720	5.812802	0.001810	0.025395	-0.015078	-0.222900	0.524414	-0.251221	0.713141	-0.419567	-0.160526	-0.538168
07498		6.708769	-4.144192	5.811801	0.007372	0.020721	-0.015775	-0.223877	0.525635	-0.238525	0.713129	-0.419403	-0.160545	-0.538305
07499		6.711185	-4.137107	5.846611	0.004885	0.018927	-0.009301	-0.219727	0.524414	-0.248047	0.713099	-0.419329	-0.160485	-0.538421
