// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07456		9.580803	1.625433	1.849159	0.024726	-0.049256	0.037521	-0.599854	-0.480957	0.285645	-0.345991	-0.609457	0.186761	-0.688457
07457		9.634499	1.780578	1.902519	0.008574	-0.039730	0.021515	-0.609131	-0.470947	0.284912	-0.345763	-0.609676	0.186935	-0.688330
07458		9.579853	1.972670	1.871434	-0.009672	-0.045073	0.008967	-0.608154	-0.466064	0.288818	-0.345678	-0.609887	0.187171	-0.688121
07459		9.517027	1.900440	1.871441	-0.024120	-0.053453	0.002966	-0.605713	-0.473145	0.283203	-0.345703	-0.610121	0.187475	-0.687819
07460		9.632995	1.788323	1.924007	-0.051029	-0.031794	0.000732	-0.610107	-0.466797	0.288818	-0.345916	-0.610157	0.187853	-0.687577
07461		9.653296	1.957511	2.075353	-0.101760	0.004691	-0.022609	-0.601318	-0.474365	0.286377	-0.346581	-0.609872	0.188294	-0.687374
07462		9.615725	2.073955	2.147265	-0.146731	0.009056	-0.043325	-0.599609	-0.469971	0.279297	-0.347611	-0.609461	0.188861	-0.687062
07463		9.565343	2.038358	2.097058	-0.177883	0.016811	-0.051895	-0.603271	-0.476562	0.277100	-0.348878	-0.608921	0.189520	-0.686718
07464		9.492617	1.997170	2.130550	-0.213460	0.030996	-0.059216	-0.599854	-0.475098	0.279297	-0.350406	-0.608201	0.190282	-0.686367
07465		9.460724	1.867939	2.082311	-0.240114	0.056934	-0.064800	-0.599365	-0.476562	0.280518	-0.352161	-0.607253	0.191068	-0.686090
07466		9.397912	1.708545	2.103953	-0.251219	0.084325	-0.066915	-0.601562	-0.474854	0.277100	-0.354040	-0.606108	0.191810	-0.685929
07467		9.328962	1.576404	2.143981	-0.251882	0.095156	-0.066451	-0.597656	-0.483154	0.274170	-0.355944	-0.604881	0.192516	-0.685828
07468		9.194562	1.564694	2.256556	-0.244960	0.100682	-0.060872	-0.599609	-0.482422	0.265137	-0.357790	-0.603613	0.193193	-0.685795
07469		9.088760	1.594196	2.254012	-0.220136	0.046108	-0.051961	-0.606934	-0.489014	0.258545	-0.359377	-0.602686	0.193931	-0.685572
07470		9.110256	1.542277	2.076302	-0.178058	0.008690	-0.035903	-0.593506	-0.487305	0.257812	-0.360611	-0.602044	0.194614	-0.685294
07471		9.254998	1.469098	2.060264	-0.139517	0.025903	-0.020920	-0.605713	-0.494385	0.261230	-0.361581	-0.601391	0.195106	-0.685217
07472		9.373181	1.515932	2.069749	-0.109443	0.044565	-0.006648	-0.604980	-0.484131	0.261230	-0.362360	-0.600670	0.195453	-0.685338
07473		9.457464	1.513823	2.031684	-0.092225	0.047521	0.009483	-0.601562	-0.488037	0.258057	-0.362940	-0.599957	0.195779	-0.685564
07474		9.589246	1.507094	1.889244	-0.066393	0.048251	0.028842	-0.606934	-0.485352	0.258789	-0.363268	-0.599294	0.196070	-0.685886
07475		9.723840	1.506405	1.875250	-0.057144	0.072886	0.033185	-0.605225	-0.488281	0.254639	-0.363553	-0.598511	0.196271	-0.686361
07476		9.697552	1.529933	1.994976	-0.033668	0.088096	0.032374	-0.603027	-0.491211	0.259766	-0.363730	-0.597741	0.196315	-0.686925
07477		9.537940	1.587886	2.077235	-0.017977	0.069845	0.028652	-0.600098	-0.483643	0.260986	-0.363801	-0.597141	0.196334	-0.687404
07478		9.400045	1.568792	2.124987	-0.005888	0.061341	0.030637	-0.598633	-0.487305	0.254639	-0.363753	-0.596650	0.196308	-0.687863
07479		9.258356	1.582141	2.069192	0.006972	0.053480	0.030072	-0.603760	-0.486572	0.252441	-0.363648	-0.596246	0.196237	-0.688289
07480		9.296604	1.606452	2.100705	-0.006423	0.097321	0.015427	-0.603027	-0.491943	0.258301	-0.363777	-0.595556	0.196035	-0.688876
07481		9.363349	1.737872	2.155683	-0.022569	0.123560	0.008568	-0.607422	-0.490967	0.247559	-0.364074	-0.594675	0.195822	-0.689540
07482		9.358466	1.854092	2.162916	-0.037726	0.104754	-0.005590	-0.609131	-0.485107	0.249512	-0.364527	-0.593868	0.195668	-0.690040
07483		9.449239	1.816304	2.159937	-0.041172	0.088025	-0.011866	-0.606689	-0.487061	0.260010	-0.364993	-0.593171	0.195514	-0.690436
07484		9.528982	1.626198	2.144441	-0.045676	0.095615	-0.012235	-0.607178	-0.494629	0.244873	-0.365482	-0.592442	0.195353	-0.690849
07485		9.512000	1.512355	2.173664	-0.039645	0.096651	-0.007238	-0.610352	-0.495605	0.242920	-0.365973	-0.591709	0.195204	-0.691259
07486		9.452416	1.500044	2.126503	-0.031676	0.097812	-0.003597	-0.611084	-0.487305	0.239014	-0.366408	-0.590974	0.195038	-0.691705
07487		9.415585	1.515115	2.081982	-0.024487	0.111092	0.000973	-0.603760	-0.493164	0.244873	-0.366746	-0.590195	0.194800	-0.692258
07488		9.389760	1.529048	2.143810	-0.010725	0.119330	0.003260	-0.608154	-0.489502	0.246094	-0.367005	-0.589458	0.194499	-0.692832
07489		9.279427	1.502452	2.224961	0.003538	0.099830	0.006769	-0.617432	-0.490234	0.240234	-0.367115	-0.588865	0.194192	-0.693364
07490		9.221242	1.532258	2.221250	0.001959	0.093832	0.007045	-0.602539	-0.479736	0.245117	-0.367253	-0.588244	0.193926	-0.693892
