// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
07456		4.985062	3.358505	8.662921	0.170721	-0.118673	0.051073	-0.103027	-0.023193	-0.772949	0.893669	0.068833	-0.289836	-0.335579
07457		4.784195	3.336876	8.416088	0.098359	-0.052725	0.025016	-0.116943	-0.012939	-0.774658	0.893554	0.069357	-0.290518	-0.335186
07458		4.593892	3.049710	8.005911	0.069443	-0.059965	-0.009425	-0.114746	-0.012695	-0.773438	0.893339	0.069710	-0.291163	-0.335126
07459		4.522145	3.134506	8.025871	0.070196	-0.096310	-0.057720	-0.111816	-0.019287	-0.777832	0.892903	0.070103	-0.292042	-0.335441
07460		4.603270	3.259695	8.193327	0.053417	-0.125599	-0.097092	-0.115967	-0.011963	-0.769043	0.892295	0.070386	-0.293066	-0.336107
07461		4.523645	3.143821	8.077229	0.015053	-0.148343	-0.148995	-0.109863	-0.025146	-0.770264	0.891506	0.070450	-0.294117	-0.337267
07462		4.628755	2.853926	7.934057	-0.007775	-0.191023	-0.197013	-0.113770	-0.014404	-0.775146	0.890489	0.070343	-0.295385	-0.338864
07463		5.311779	2.883364	8.187741	-0.020396	-0.201435	-0.242123	-0.119385	-0.021973	-0.777100	0.889325	0.070209	-0.296662	-0.340828
07464		5.175016	2.950433	8.181675	-0.102833	-0.168012	-0.279607	-0.115723	-0.017090	-0.771240	0.888179	0.069618	-0.297451	-0.343240
07465		4.979307	2.417820	7.910528	-0.177183	-0.179614	-0.292891	-0.116943	-0.019287	-0.766113	0.887004	0.068446	-0.298116	-0.345928
07466		5.195862	2.187634	7.714429	-0.164101	-0.204612	-0.284758	-0.125244	-0.009277	-0.767578	0.885783	0.067219	-0.299008	-0.348517
07467		5.681582	2.199555	7.647016	-0.141535	-0.211943	-0.246821	-0.121582	-0.020020	-0.761963	0.884643	0.065957	-0.300057	-0.350745
07468		5.578221	2.141268	7.334361	-0.137356	-0.214521	-0.187886	-0.124512	-0.014404	-0.768555	0.883663	0.064469	-0.301225	-0.352487
07469		5.352729	2.056310	7.070403	-0.127456	-0.274970	-0.112243	-0.138184	-0.015381	-0.773682	0.882742	0.062583	-0.302968	-0.353639
07470		5.636736	2.080797	7.225587	-0.087630	-0.341912	-0.047163	-0.128662	-0.016357	-0.773438	0.881817	0.060523	-0.305412	-0.354203
07471		6.324131	2.326561	7.665147	-0.018886	-0.328485	-0.011953	-0.145508	-0.021973	-0.765625	0.880982	0.058836	-0.308038	-0.354290
07472		6.643803	2.551030	7.923144	0.038635	-0.217483	-0.020420	-0.147705	-0.011719	-0.762451	0.880383	0.057807	-0.310105	-0.354146
07473		5.821909	2.515770	7.637935	0.030165	-0.135063	-0.009180	-0.145508	-0.013428	-0.765381	0.880019	0.056864	-0.311609	-0.353883
07474		5.726200	2.376670	7.724499	0.031673	-0.130000	0.025285	-0.148682	-0.011475	-0.763184	0.879750	0.055785	-0.313160	-0.353353
07475		5.956073	2.667268	7.961009	0.057092	-0.057149	0.029754	-0.151611	-0.015381	-0.766602	0.879684	0.055052	-0.314248	-0.352667
07476		5.486434	2.779077	7.686960	0.026801	-0.019207	0.054371	-0.150391	-0.023682	-0.761230	0.879794	0.054010	-0.315063	-0.351826
