// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
10197		7.495070	-5.438019	-3.242530	0.067498	-0.045626	-0.028101	-0.183838	0.768311	0.079102	0.540794	-0.682349	-0.446827	-0.205637
10198		7.330496	-5.553939	-3.115795	0.025408	-0.016390	-0.015547	-0.177734	0.772461	0.080811	0.540851	-0.682205	-0.447033	-0.205519
10199		7.357314	-5.699512	-3.112272	0.061754	-0.039693	-0.020291	-0.184814	0.763916	0.071045	0.541020	-0.681924	-0.447427	-0.205150
10200		7.423234	-5.564638	-3.124469	0.052836	-0.028891	-0.014524	-0.184570	0.768555	0.073730	0.541190	-0.681682	-0.447727	-0.204851
10201		7.317080	-5.748137	-3.113974	0.019679	-0.010444	-0.007736	-0.182617	0.772705	0.080078	0.541256	-0.681582	-0.447846	-0.204749
10202		7.328087	-5.688430	-3.116523	0.022178	-0.013574	-0.015244	-0.191406	0.770020	0.085693	0.541319	-0.681450	-0.448019	-0.204645
10203		7.347221	-5.654433	-3.045858	-0.016808	0.007041	-0.004237	-0.183350	0.772949	0.078125	0.541263	-0.681501	-0.447961	-0.204745
10204		7.238030	-5.910063	-3.086061	-0.004547	0.001195	-0.011413	-0.184082	0.768066	0.077881	0.541255	-0.681480	-0.447982	-0.204791
10205		7.396665	-5.548792	-3.130941	0.021529	-0.016942	-0.017408	-0.189697	0.764404	0.073242	0.541334	-0.681356	-0.448144	-0.204642
10206		7.574764	-5.358126	-3.277211	-0.066352	0.041981	0.006192	-0.180176	0.767578	0.082520	0.541181	-0.681615	-0.447750	-0.205044
10207		7.301092	-5.798569	-3.155434	-0.103817	0.072066	0.017280	-0.181641	0.766357	0.087158	0.540941	-0.682031	-0.447100	-0.205714
