// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
04826		8.589926	-3.279087	3.564951	-0.162135	0.126909	-0.045183	-0.290039	0.377930	-0.143799	0.662765	-0.476292	-0.304352	-0.491181
04827		8.534477	-3.287260	3.436415	-0.147945	0.127286	-0.043504	-0.290771	0.375000	-0.141602	0.662322	-0.476477	-0.303216	-0.492301
04828		8.493739	-3.395828	3.413875	-0.124633	0.119305	-0.052163	-0.284912	0.366211	-0.145508	0.661911	-0.476544	-0.302255	-0.493378
04829		8.579934	-3.456069	3.404999	-0.111031	0.099730	-0.048087	-0.287109	0.384033	-0.140137	0.661523	-0.476627	-0.301439	-0.494317
04830		8.995911	-3.598621	3.595795	-0.113858	0.105818	0.002501	-0.290771	0.372559	-0.137695	0.661345	-0.476832	-0.300375	-0.495004
04831		9.052358	-3.767360	3.629978	-0.118618	0.166500	0.111479	-0.289551	0.374512	-0.142822	0.661747	-0.477092	-0.298522	-0.495338
04832		8.573333	-3.826124	3.503451	-0.069386	0.227316	0.166467	-0.279541	0.373779	-0.136475	0.662719	-0.476974	-0.296313	-0.495477
04833		9.425070	-3.857056	3.958688	-0.054871	0.244883	0.208450	-0.286621	0.382080	-0.140625	0.663965	-0.476823	-0.293886	-0.495400
04834		11.041635	-4.619613	4.505447	-0.156647	0.431300	0.536108	-0.274170	0.383301	-0.140381	0.666602	-0.477265	-0.288695	-0.494485
04835		9.977385	-5.105394	4.295311	-0.006688	0.781613	0.861818	-0.269043	0.389160	-0.150635	0.671969	-0.476203	-0.280864	-0.492751
04836		7.222554	-3.714971	3.531624	0.242574	0.939669	0.829841	-0.261475	0.393555	-0.154297	0.678505	-0.473017	-0.273231	-0.491153
