// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
65356		4.429619	-1.488790	8.344320	0.005208	-0.062353	-0.032444	-0.169189	0.083740	-0.446533	0.965659	-0.095715	-0.233399	-0.062176
65357		4.512935	-1.486088	8.400975	0.028509	-0.095316	-0.010480	-0.171631	0.085449	-0.447266	0.965491	-0.095515	-0.234190	-0.062129
65358		4.481234	-1.503802	8.488814	0.063891	-0.110112	0.023635	-0.177979	0.085693	-0.441406	0.965338	-0.095106	-0.235091	-0.061726
65359		4.277240	-1.428151	8.507376	0.101939	-0.133653	0.039974	-0.174316	0.083252	-0.445312	0.965176	-0.094433	-0.236186	-0.061099
65360		4.233874	-1.340893	8.692490	0.119248	-0.142157	0.032503	-0.179443	0.088623	-0.438232	0.965007	-0.093608	-0.237358	-0.060491
65361		4.162973	-1.363126	8.843455	0.133895	-0.133067	0.024949	-0.178711	0.087402	-0.443848	0.964866	-0.092639	-0.238457	-0.059922
65362		4.017752	-1.264735	8.936339	0.100375	-0.111863	0.043233	-0.175537	0.083252	-0.444092	0.964754	-0.091957	-0.239331	-0.059290
65363		3.829210	-1.303750	8.909753	0.078789	-0.119017	0.040741	-0.173584	0.078369	-0.439453	0.964618	-0.091433	-0.240216	-0.058715
65364		3.874100	-1.166742	9.008714	0.035861	-0.110662	0.007504	-0.171387	0.091553	-0.437012	0.964464	-0.091168	-0.240986	-0.058500
65365		3.846039	-1.221618	9.015235	-0.017760	-0.099002	-0.032199	-0.171387	0.076660	-0.440430	0.964290	-0.091225	-0.241607	-0.058722
65366		3.904903	-1.367761	8.968022	-0.035140	-0.082618	-0.058089	-0.173096	0.075928	-0.442627	0.964142	-0.091337	-0.242041	-0.059200
65367		3.961687	-1.506636	8.950021	-0.024506	-0.066828	-0.061251	-0.177490	0.082520	-0.430176	0.964049	-0.091339	-0.242288	-0.059692
65368		4.074578	-1.544517	8.909862	-0.017177	-0.051074	-0.044627	-0.174805	0.077393	-0.433350	0.964018	-0.091308	-0.242335	-0.060042
65369		4.112223	-1.479013	8.800512	-0.015565	-0.048769	-0.022972	-0.177246	0.085938	-0.433838	0.964019	-0.091312	-0.242288	-0.060212
65370		4.162806	-1.286140	8.661468	-0.015595	-0.042415	-0.008019	-0.174072	0.080566	-0.437256	0.964053	-0.091344	-0.242129	-0.060257
65371		4.315136	-1.081799	8.639993	-0.032138	-0.045345	-0.016943	-0.177246	0.080322	-0.431641	0.964074	-0.091476	-0.241956	-0.060414
65372		4.439149	-1.101098	8.625454	-0.035535	-0.039131	-0.056638	-0.176758	0.083252	-0.434326	0.964088	-0.091520	-0.241761	-0.060911
65373		4.315321	-1.208635	8.481400	-0.024883	-0.045910	-0.087668	-0.183594	0.083008	-0.430908	0.964087	-0.091384	-0.241634	-0.061629
65374		4.355060	-1.352084	8.495725	-0.022365	-0.064809	-0.070444	-0.179932	0.081543	-0.435303	0.964059	-0.091257	-0.241648	-0.062200
65375		4.279255	-1.413726	8.610087	-0.012341	-0.077615	-0.039314	-0.177979	0.075928	-0.434814	0.964035	-0.091115	-0.241722	-0.062492
65376		4.262386	-1.324596	8.658832	0.001778	-0.092603	-0.024003	-0.180420	0.077393	-0.431885	0.963996	-0.090913	-0.241913	-0.062648
65377		4.526030	-1.304663	8.782661	0.004178	-0.094520	-0.028022	-0.177734	0.085449	-0.430420	0.963953	-0.090685	-0.242125	-0.062823
65378		4.583435	-1.390343	8.781840	0.005730	-0.069446	-0.027949	-0.174072	0.073242	-0.431396	0.963961	-0.090424	-0.242161	-0.062943
65379		4.197699	-1.437976	8.640669	0.015639	-0.064092	-0.023767	-0.183838	0.080811	-0.432617	0.963974	-0.090111	-0.242180	-0.063113
65380		4.222933	-1.382660	8.729376	0.014045	-0.072335	-0.013766	-0.180176	0.069824	-0.424805	0.964004	-0.089812	-0.242163	-0.063141
65381		4.102786	-1.442916	8.785405	0.011616	-0.068706	-0.003421	-0.184570	0.071533	-0.433350	0.964000	-0.089619	-0.242235	-0.063203
65382		4.214308	-1.365372	8.777673	0.012448	-0.064444	0.000783	-0.177734	0.074951	-0.420654	0.964062	-0.089377	-0.242073	-0.063212
65383		4.207396	-1.299401	8.728652	0.005764	-0.057428	-0.003499	-0.180664	0.071289	-0.421387	0.964071	-0.089255	-0.242086	-0.063207
65384		4.215512	-1.272743	8.703787	0.006476	-0.059188	-0.012345	-0.180664	0.073975	-0.425293	0.964083	-0.089094	-0.242065	-0.063330
65385		4.137339	-1.318184	8.696467	0.000591	-0.064218	-0.018753	-0.180664	0.070312	-0.421143	0.964105	-0.088938	-0.242001	-0.063467
65386		4.106636	-1.438720	8.811549	0.017062	-0.068843	-0.020963	-0.177246	0.074951	-0.424316	0.964106	-0.088674	-0.242047	-0.063643
65387		4.074310	-1.467148	8.860997	0.031967	-0.066459	-0.015950	-0.181641	0.079834	-0.420654	0.964150	-0.088293	-0.242008	-0.063647
65388		4.113100	-1.409173	8.889683	0.026365	-0.059881	0.000085	-0.187988	0.073975	-0.423340	0.964212	-0.087995	-0.241919	-0.063457
65389		4.210422	-1.449308	8.955314	0.014992	-0.045956	0.014584	-0.181152	0.067139	-0.424072	0.964320	-0.087798	-0.241597	-0.063313
65390		3.993908	-1.388969	8.897906	0.017467	-0.024879	0.012258	-0.173584	0.073975	-0.428955	0.964455	-0.087601	-0.241134	-0.063306
65391		4.128052	-1.280010	8.899085	0.004149	-0.023596	0.005198	-0.178711	0.073242	-0.423340	0.964612	-0.087479	-0.240576	-0.063199
65392		4.204196	-1.392277	8.862953	-0.000885	-0.008618	-0.002686	-0.176758	0.074707	-0.418213	0.964765	-0.087384	-0.239991	-0.063217
65393		4.159212	-1.380436	8.785630	0.004047	0.001648	-0.006186	-0.181641	0.074707	-0.426025	0.964909	-0.087267	-0.239455	-0.063213
65394		4.115131	-1.440162	8.725092	0.002632	-0.008393	0.012310	-0.183350	0.065186	-0.417236	0.965095	-0.087158	-0.238780	-0.063079
65395		4.318892	-1.343039	8.682847	-0.000342	-0.006231	0.035543	-0.180908	0.072510	-0.427002	0.965221	-0.087189	-0.238274	-0.063022
65396		4.475308	-1.139138	8.525687	0.001249	-0.010008	0.032527	-0.183838	0.075195	-0.418701	0.965405	-0.087147	-0.237607	-0.062775
65397		4.749666	-0.972308	8.329554	-0.004838	-0.017464	0.012662	-0.190430	0.074219	-0.425049	0.965508	-0.087134	-0.237232	-0.062634
