// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
17325		5.493630	8.176557	-0.530630	-0.019465	-0.003453	0.001906	-0.914062	-0.736328	-0.531982	0.495984	0.154054	-0.709381	-0.476494
17326		5.480721	8.043934	-0.502723	-0.006093	0.001703	0.000078	-0.916260	-0.749023	-0.528320	0.496002	0.154035	-0.709350	-0.476527
17327		5.416526	8.027937	-0.534850	0.008049	-0.000276	-0.005846	-0.914062	-0.744385	-0.517822	0.495957	0.154111	-0.709381	-0.476503
17328		5.462633	8.112167	-0.530353	-0.006222	-0.000458	-0.006834	-0.920166	-0.745361	-0.534668	0.495935	0.154124	-0.709349	-0.476568
17329		5.446487	8.080444	-0.529700	-0.015606	-0.004757	-0.010796	-0.911621	-0.738770	-0.525879	0.495885	0.154104	-0.709293	-0.476711
17330		5.457164	8.043903	-0.574456	-0.000881	-0.002267	-0.013160	-0.915527	-0.737549	-0.527100	0.495820	0.154168	-0.709283	-0.476773
17331		5.489460	8.258526	-0.517162	0.013507	-0.003720	-0.009100	-0.916260	-0.739014	-0.529297	0.495745	0.154261	-0.709342	-0.476732
17332		5.424270	8.464457	-0.426287	-0.021410	-0.002181	-0.003396	-0.911377	-0.738770	-0.535156	0.495746	0.154184	-0.709263	-0.476874
17333		5.381133	8.183503	-0.505740	-0.070035	-0.006678	0.008304	-0.920410	-0.744629	-0.531738	0.495826	0.153826	-0.709018	-0.477271
17334		5.369219	7.960054	-0.548268	-0.038049	-0.002671	-0.000185	-0.920898	-0.743652	-0.526611	0.495853	0.153671	-0.708870	-0.477513
17335		5.420571	8.055555	-0.563284	-0.004229	-0.008254	-0.005746	-0.919678	-0.739746	-0.533936	0.495780	0.153664	-0.708875	-0.477582
17336		5.428116	8.175896	-0.501094	0.009466	-0.008732	-0.004496	-0.923340	-0.741943	-0.525879	0.495691	0.153705	-0.708943	-0.477562
17337		5.499527	8.227727	-0.450110	-0.007217	-0.009586	0.001371	-0.913574	-0.743652	-0.530029	0.495640	0.153641	-0.708953	-0.477621
17338		5.501519	8.173561	-0.418503	-0.015274	-0.006242	0.004946	-0.914795	-0.744873	-0.530273	0.495636	0.153535	-0.708917	-0.477711
17339		5.520706	8.139040	-0.449824	-0.014743	-0.005936	0.007335	-0.913818	-0.739014	-0.531250	0.495650	0.153416	-0.708879	-0.477792
17340		5.491723	8.073287	-0.449700	-0.009502	0.001498	0.005610	-0.916992	-0.740967	-0.531250	0.495700	0.153351	-0.708826	-0.477839
17341		5.458270	7.990131	-0.460146	-0.000319	0.002566	-0.000808	-0.917480	-0.739746	-0.535156	0.495727	0.153362	-0.708795	-0.477855
