// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
17325		4.209944	8.749244	-0.607945	-0.004528	0.005687	-0.010366	-0.566650	-0.798828	-0.436523	0.509822	0.278101	-0.673745	-0.456955
17326		4.252224	8.783698	-0.570131	0.007884	0.007637	-0.020776	-0.566650	-0.811523	-0.434326	0.509768	0.278281	-0.673695	-0.456982
17327		4.173027	8.933863	-0.674208	-0.010339	0.009568	-0.024327	-0.561035	-0.805176	-0.420654	0.509746	0.278419	-0.673561	-0.457120
17328		4.105499	8.892532	-0.598851	0.008140	0.007798	-0.012957	-0.568604	-0.809814	-0.440186	0.509719	0.278577	-0.673515	-0.457120
17329		4.174141	8.810385	-0.569401	0.011919	-0.003325	-0.004155	-0.565918	-0.803223	-0.428467	0.509654	0.278642	-0.673564	-0.457081
17330		4.251653	8.865223	-0.583568	0.040432	-0.006479	-0.005969	-0.566650	-0.799072	-0.427246	0.509498	0.278826	-0.673729	-0.456899
17331		4.256349	8.959220	-0.650447	0.021968	0.000264	-0.011988	-0.566650	-0.803955	-0.428955	0.509403	0.278944	-0.673812	-0.456810
17332		4.165828	9.048998	-0.645215	0.018525	-0.001898	-0.012476	-0.564697	-0.801270	-0.435303	0.509299	0.279090	-0.673859	-0.456769
17333		4.054871	8.973768	-0.607299	-0.022186	0.017759	-0.011408	-0.571777	-0.807617	-0.430908	0.509398	0.279138	-0.673667	-0.456911
17334		4.081573	8.911521	-0.558679	-0.005296	0.002494	-0.008050	-0.572510	-0.806641	-0.429688	0.509379	0.279189	-0.673608	-0.456989
17335		4.191034	8.835173	-0.563538	-0.005656	-0.015211	-0.009562	-0.570312	-0.800293	-0.434082	0.509252	0.279186	-0.673613	-0.457125
17336		4.221549	8.841513	-0.539684	0.013275	-0.013853	-0.011759	-0.574219	-0.805908	-0.425537	0.509082	0.279281	-0.673676	-0.457164
17337		4.222305	8.917197	-0.647327	0.020042	-0.009893	-0.011781	-0.567383	-0.810791	-0.432373	0.508922	0.279417	-0.673743	-0.457159
17338		4.201211	9.009073	-0.662319	-0.000955	0.000939	-0.018150	-0.564697	-0.810791	-0.431152	0.508846	0.279543	-0.673670	-0.457273
17339		4.200759	8.960407	-0.617602	-0.023930	0.017216	-0.017495	-0.564941	-0.802490	-0.430420	0.508912	0.279635	-0.673443	-0.457479
17340		4.190006	8.824605	-0.572201	-0.023068	0.012490	-0.019814	-0.568848	-0.807129	-0.429443	0.508939	0.279726	-0.673233	-0.457702
