// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
14215		9.584441	1.049269	-1.956565	0.010092	-0.002354	-0.005582	-0.781006	-0.373291	-0.021729	0.573812	0.401106	-0.662221	0.267052
14216		9.578823	1.113368	-1.948473	0.019005	0.001091	-0.013412	-0.775391	-0.373291	-0.030029	0.573784	0.401268	-0.662129	0.267097
14217		9.567940	1.126962	-1.920082	0.009731	0.002101	-0.008768	-0.778809	-0.374756	-0.028320	0.573792	0.401355	-0.662062	0.267114
14218		9.568087	1.160166	-1.903301	0.007836	0.003023	-0.011843	-0.771240	-0.375488	-0.023438	0.573810	0.401452	-0.661990	0.267110
14219		9.563348	1.181776	-1.928590	-0.005243	0.000089	-0.008565	-0.775391	-0.379883	-0.027100	0.573850	0.401475	-0.661970	0.267039
14220		9.623709	1.104518	-1.984892	-0.017593	-0.004181	-0.009966	-0.769287	-0.373291	-0.027344	0.573912	0.401459	-0.661992	0.266875
14221		9.555289	1.132452	-1.968947	-0.006670	0.002333	-0.009495	-0.772461	-0.374268	-0.022217	0.573973	0.401480	-0.661959	0.266794
14222		9.563019	1.218833	-1.911648	0.001081	0.002000	-0.007399	-0.776123	-0.374023	-0.039062	0.574002	0.401529	-0.661918	0.266761
14223		9.558596	1.126040	-1.925415	-0.004170	0.000511	-0.004554	-0.780518	-0.370361	-0.029053	0.574039	0.401545	-0.661899	0.266702
14224		9.603613	1.073059	-1.900220	-0.005020	-0.002143	-0.005105	-0.772461	-0.374023	-0.030029	0.574068	0.401567	-0.661892	0.266625
14225		9.587326	1.156717	-1.942232	-0.003411	-0.002825	-0.008108	-0.774902	-0.368652	-0.029785	0.574098	0.401614	-0.661871	0.266541
14226		9.560018	1.221185	-1.972290	-0.016142	-0.002432	-0.007553	-0.777100	-0.376709	-0.028564	0.574175	0.401600	-0.661876	0.266386
14227		9.551663	1.098596	-1.967361	-0.009893	-0.002302	-0.003857	-0.779785	-0.375488	-0.034180	0.574225	0.401602	-0.661875	0.266274
14228		9.529548	1.060315	-1.944085	0.005737	-0.003395	-0.006208	-0.774658	-0.372070	-0.021973	0.574223	0.401696	-0.661838	0.266232
14229		9.654526	1.128440	-1.881061	0.001488	-0.004667	-0.008235	-0.774170	-0.372559	-0.027832	0.574229	0.401782	-0.661811	0.266153
14230		9.537319	1.065948	-1.860365	-0.013141	-0.003356	-0.010754	-0.773438	-0.373047	-0.028564	0.574306	0.401808	-0.661795	0.265988
14231		9.560308	1.135035	-1.964289	-0.011442	-0.010045	-0.010385	-0.773193	-0.380615	-0.031250	0.574345	0.401851	-0.661805	0.265816
14232		9.573285	1.165944	-1.995524	-0.000381	-0.005747	-0.010188	-0.776123	-0.373047	-0.033936	0.574373	0.401941	-0.661767	0.265714
14233		9.554521	1.296517	-1.908360	0.002838	-0.008691	-0.004782	-0.773682	-0.375977	-0.028564	0.574359	0.402027	-0.661754	0.265645
14234		9.573482	1.117225	-1.953125	-0.005007	-0.003937	0.001163	-0.770264	-0.385498	-0.032471	0.574393	0.402043	-0.661750	0.265558
14235		9.555959	1.025832	-1.921109	0.002339	-0.003595	0.003729	-0.774658	-0.380371	-0.031250	0.574405	0.402083	-0.661731	0.265519
14236		9.578872	1.053838	-1.962726	-0.004417	-0.003045	-0.003240	-0.776367	-0.376953	-0.032959	0.574455	0.402121	-0.661703	0.265423
14237		9.566437	1.014510	-1.950312	0.002606	-0.000459	-0.007877	-0.766602	-0.380859	-0.025635	0.574500	0.402206	-0.661635	0.265365
14238		9.573356	1.182679	-1.921540	-0.002432	-0.002393	-0.007839	-0.772705	-0.379883	-0.036133	0.574534	0.402259	-0.661612	0.265271
14239		9.560654	1.112020	-1.925740	-0.002737	-0.001943	-0.008774	-0.774414	-0.380127	-0.029053	0.574596	0.402323	-0.661555	0.265181
14240		9.525418	1.084479	-1.934196	0.001934	-0.001549	-0.012364	-0.774414	-0.375977	-0.025391	0.574647	0.402429	-0.661483	0.265089
14241		9.592219	1.071822	-1.933173	0.007623	-0.002727	-0.014557	-0.776611	-0.372803	-0.032715	0.574662	0.402569	-0.661411	0.265022
14242		9.568311	1.159632	-1.904358	0.012252	-0.006118	-0.014496	-0.766846	-0.377686	-0.037842	0.574652	0.402727	-0.661334	0.264996
14243		9.556034	1.192080	-1.938232	0.008367	-0.005851	-0.012972	-0.776367	-0.373779	-0.035156	0.574663	0.402857	-0.661261	0.264957
14244		9.549375	1.161424	-1.980726	0.014358	-0.007478	-0.014233	-0.773193	-0.379395	-0.035156	0.574651	0.403029	-0.661175	0.264937
14245		9.588705	1.204252	-1.931861	-0.001646	-0.007735	-0.010275	-0.772461	-0.379150	-0.031982	0.574686	0.403115	-0.661136	0.264827
14246		9.574338	1.049490	-1.968804	0.002536	-0.002453	-0.010501	-0.768066	-0.377930	-0.031982	0.574730	0.403214	-0.661069	0.264749
14247		9.553822	1.096188	-1.913641	0.021770	-0.005343	-0.014206	-0.777832	-0.375244	-0.028076	0.574687	0.403421	-0.660975	0.264762
14248		9.583147	1.292639	-1.927032	0.009817	-0.004096	-0.010558	-0.773438	-0.369385	-0.026367	0.574680	0.403544	-0.660915	0.264738
14249		9.553614	1.201715	-1.944201	-0.015131	-0.004031	-0.006147	-0.765381	-0.373047	-0.031982	0.574727	0.403513	-0.660944	0.264611
14250		9.562704	1.138107	-1.988655	-0.008195	-0.003008	-0.003115	-0.779785	-0.378174	-0.028809	0.574770	0.403500	-0.660946	0.264531
14251		9.590271	1.178827	-1.988265	0.002359	-0.004014	-0.006568	-0.773438	-0.378418	-0.026611	0.574792	0.403581	-0.660904	0.264466
