// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
05288		11.711514	-6.246824	0.502018	-1.780758	-1.335962	-0.967594	-0.490234	-0.189453	0.634033	-0.026533	-0.591724	0.350072	-0.725678
05289		12.836544	-5.289510	2.080686	-2.329763	-1.269109	-0.995024	-0.467773	-0.225586	0.640137	-0.040328	-0.601621	0.359437	-0.712202
05290		13.533435	-4.956247	3.807720	-2.765741	-1.267968	-1.097874	-0.459473	-0.260254	0.637451	-0.057339	-0.611800	0.370094	-0.696738
05291		13.846066	-5.604464	5.487986	-2.985193	-1.351539	-1.200991	-0.447021	-0.302734	0.643555	-0.077427	-0.619572	0.378222	-0.683435
05292		12.300712	-8.576423	6.001909	-2.781703	-1.558585	-1.280325	-0.416260	-0.339355	0.646973	-0.098457	-0.622268	0.379364	-0.677623
05293		11.014921	-9.799579	3.340040	-2.161828	-2.004582	-1.319508	-0.382568	-0.364990	0.643555	-0.110583	-0.616914	0.377424	-0.681718
05294		12.529889	-8.296978	-0.978957	-1.883409	-2.416802	-1.236172	-0.349121	-0.397705	0.661377	-0.110714	-0.607856	0.381909	-0.687313
05295		13.896244	-6.331815	-3.851094	-2.101341	-2.201948	-1.113837	-0.312500	-0.419189	0.660889	-0.108421	-0.603216	0.394530	-0.684633
05296		13.853814	-3.913893	-3.743491	-2.371823	-1.444657	-0.982365	-0.305176	-0.449463	0.656006	-0.111844	-0.605420	0.410925	-0.672382
05297		10.684071	-3.568982	-5.286795	-2.149497	-0.963252	-0.744979	-0.276855	-0.472412	0.645264	-0.120837	-0.612785	0.423646	-0.656061
05298		9.451203	-2.185576	-10.931979	-0.968491	-1.279463	-0.552867	-0.268066	-0.479492	0.645264	-0.123375	-0.627296	0.431656	-0.636358
05299		10.037529	-1.267612	-8.951758	-1.139345	-0.655099	-0.228188	-0.256592	-0.493408	0.642822	-0.127944	-0.644575	0.444807	-0.608522
05300		7.482861	-2.265449	-3.028496	-1.891601	0.687920	0.413198	-0.263916	-0.505859	0.624756	-0.140815	-0.653189	0.462080	-0.583093
05301		5.032586	-2.197811	-3.755260	-0.744378	1.048142	0.848642	-0.267822	-0.502197	0.620361	-0.147208	-0.654771	0.472907	-0.570932
05302		4.564457	-0.392087	-5.030480	0.881079	1.007236	1.192327	-0.293213	-0.484131	0.619385	-0.142013	-0.654307	0.477846	-0.568664
05303		5.829432	1.018129	-5.772699	1.248605	1.526193	1.447508	-0.317383	-0.448486	0.618164	-0.135979	-0.650271	0.481463	-0.571709
05304		5.624582	1.080943	-6.297353	1.255162	2.154920	1.692419	-0.353516	-0.428711	0.621582	-0.133061	-0.642413	0.484900	-0.578336
05305		5.181800	1.009488	-5.768781	1.550230	2.613019	1.983617	-0.381592	-0.392334	0.604980	-0.130279	-0.631562	0.487637	-0.588529
05306		5.305054	0.508913	-4.575172	1.738876	3.011949	2.229036	-0.422607	-0.356689	0.596191	-0.127682	-0.617460	0.489977	-0.601965
05307		5.642684	0.019124	-4.811497	2.071354	3.225636	2.298753	-0.457031	-0.317871	0.576904	-0.124386	-0.601306	0.490179	-0.618614
05308		6.087067	-0.402241	-5.494426	2.436426	3.405902	2.340831	-0.495117	-0.271484	0.556885	-0.119902	-0.583451	0.488032	-0.637991
05309		6.537117	-0.980250	-5.526126	2.665023	3.601726	2.436155	-0.540039	-0.221680	0.533447	-0.114534	-0.563654	0.484565	-0.659069
05310		7.478064	-1.436496	-5.779687	2.998273	3.754460	2.436103	-0.576416	-0.159912	0.491943	-0.107989	-0.542594	0.478650	-0.681780
05311		8.313846	-1.477054	-5.845391	3.259527	3.898042	2.351642	-0.604492	-0.114258	0.457275	-0.101142	-0.520672	0.470190	-0.705402
05312		9.765313	-1.412548	-5.457522	3.196966	4.086425	2.249598	-0.634033	-0.065186	0.415283	-0.096062	-0.497475	0.460874	-0.728619
05313		10.380282	-2.503979	-5.638980	3.178300	4.152756	2.167681	-0.648438	-0.012451	0.367676	-0.092601	-0.473674	0.450531	-0.751053
05314		10.395444	-3.464858	-5.365837	3.313152	3.972567	1.964726	-0.671631	0.029297	0.314697	-0.089390	-0.451595	0.438026	-0.772143
05315		11.225889	-3.290892	-4.156532	3.187738	3.667482	1.778191	-0.682861	0.060059	0.266602	-0.086268	-0.431935	0.425282	-0.790649
05316		10.978314	-3.201198	-3.358899	2.820903	3.284197	1.686540	-0.688721	0.090332	0.214111	-0.083943	-0.414577	0.414339	-0.805855
05317		9.612601	-2.991299	-3.127525	2.542723	2.567379	1.567760	-0.698242	0.118652	0.179932	-0.081194	-0.401922	0.404896	-0.817267
05318		8.507592	-2.847257	-3.579505	2.039663	1.686917	1.311935	-0.688232	0.140381	0.145508	-0.078745	-0.395495	0.398324	-0.823845
05319		6.816772	-3.130689	-3.659564	1.212200	0.732966	0.838903	-0.692627	0.156494	0.136475	-0.078414	-0.396510	0.396375	-0.824329
05320		4.915646	-3.453346	-3.665992	0.265523	-0.407710	0.273350	-0.688477	0.155273	0.138184	-0.079749	-0.406486	0.399665	-0.817727
05321		5.579732	-4.535567	-5.120732	-0.147843	-1.571590	-0.177375	-0.687988	0.159912	0.161133	-0.079017	-0.425154	0.404519	-0.805832
05322		11.129251	-6.100338	-1.306221	-0.489581	-2.179423	-0.439388	-0.685303	0.149902	0.184814	-0.076014	-0.448022	0.410272	-0.790680
05323		18.469032	-7.577833	11.949353	0.041405	-1.208570	-0.276906	-0.677490	0.159180	0.203857	-0.073102	-0.462808	0.411750	-0.781618
05324		5.234612	-4.829826	3.538842	2.471288	-2.724409	-0.440555	-0.667969	0.151855	0.227539	-0.061566	-0.485699	0.397526	-0.776066
05325		17.447692	1.386708	0.563314	1.757027	-2.952055	-0.612520	-0.661621	0.151855	0.255615	-0.051723	-0.508992	0.386581	-0.767338
05326		14.589370	1.888369	-4.901980	0.363072	-2.641526	-0.618899	-0.658691	0.136230	0.284668	-0.054259	-0.527549	0.385609	-0.755019
05327		9.563838	-5.436717	-4.071335	-0.384888	-2.402198	-0.506112	-0.651367	0.134766	0.320312	-0.062424	-0.542802	0.390688	-0.740832
05328		7.831836	-6.530177	-4.883471	-0.106806	-2.422762	-0.312296	-0.639893	0.134277	0.351318	-0.064697	-0.557978	0.394203	-0.727378
05329		9.741446	-2.350307	-7.279409	-0.795669	-2.034912	-0.173192	-0.629883	0.120605	0.369385	-0.066971	-0.570534	0.401238	-0.713452
05330		9.715539	-1.998189	-6.731758	-2.069073	-0.901238	0.056173	-0.624756	0.104248	0.387207	-0.077052	-0.574727	0.416018	-0.700487
05331		8.210257	-5.791445	-5.329834	-2.110615	-0.568687	-0.031164	-0.619629	0.095947	0.409180	-0.088683	-0.576951	0.430139	-0.688653
05332		8.916632	-5.295096	-2.511569	-0.999290	-0.924215	-0.109945	-0.624268	0.078125	0.419922	-0.092129	-0.582718	0.436848	-0.679055
05333		9.911572	-2.995449	-2.154393	-0.345234	-1.076642	-0.097260	-0.612061	0.078125	0.426758	-0.091011	-0.589793	0.439628	-0.671259
05334		10.030530	-3.533719	-2.710378	-0.479892	-0.831459	-0.059659	-0.602295	0.067383	0.445801	-0.091848	-0.594778	0.443345	-0.664265
05335		8.938572	-5.024581	-3.472738	-1.021739	-0.358111	-0.016207	-0.610107	0.061523	0.450684	-0.097127	-0.596273	0.449967	-0.657689
05336		7.693876	-6.514063	-3.526847	-1.249394	-0.085329	-0.022082	-0.611084	0.049316	0.447754	-0.103889	-0.596250	0.457206	-0.651656
05337		7.547008	-6.768293	-2.142169	-0.853070	-0.191816	-0.072510	-0.605957	0.039795	0.453125	-0.107166	-0.597829	0.461448	-0.646669
05338		8.614057	-4.964713	-1.364766	-0.475970	-0.336350	-0.129994	-0.611572	0.036865	0.456787	-0.107309	-0.601087	0.462984	-0.642514
05339		9.174673	-3.790264	-1.244012	-0.567032	-0.233982	-0.088301	-0.608398	0.023682	0.464600	-0.108234	-0.603384	0.465144	-0.638635
05340		8.757746	-4.892687	-0.840913	-0.672183	-0.163997	-0.062818	-0.613770	0.017334	0.465332	-0.110487	-0.604722	0.468195	-0.634742
