// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
05288		9.285758	-3.451106	4.508516	0.207274	-1.825231	-1.449556	-0.623779	-0.409912	-0.270996	-0.517338	-0.275454	0.459173	-0.667568
05289		9.107451	-3.963628	4.880211	0.386126	-2.438100	-2.018221	-0.620605	-0.447510	-0.250977	-0.518167	-0.298304	0.462741	-0.654514
05290		8.598537	-3.604202	5.812400	0.591658	-3.282391	-2.595399	-0.630371	-0.478516	-0.218750	-0.518993	-0.328555	0.466218	-0.636662
05291		9.438818	-4.258819	6.666919	0.901442	-4.079058	-3.231855	-0.630371	-0.528809	-0.165283	-0.517729	-0.364419	0.468542	-0.616137
05292		12.226616	-5.314008	7.062571	0.996197	-4.541230	-4.106031	-0.608398	-0.582031	-0.109619	-0.518624	-0.400752	0.466526	-0.593953
05293		16.607440	-4.194040	5.699256	0.788082	-4.298019	-5.040504	-0.564453	-0.639160	-0.063477	-0.524758	-0.430458	0.459715	-0.572710
05294		18.700085	-4.701827	3.747979	0.330099	-3.781789	-5.812182	-0.509033	-0.703857	-0.016846	-0.536363	-0.455795	0.451343	-0.548503
05295		18.128224	-3.647016	4.999324	0.309149	-3.123246	-6.533742	-0.430420	-0.763184	0.014404	-0.548008	-0.479724	0.443589	-0.522284
05296		13.179910	-5.080654	3.352619	-0.466005	-3.470020	-6.496935	-0.361572	-0.813721	0.041748	-0.559464	-0.498546	0.441747	-0.493266
05297		17.457961	-6.654849	7.958412	-1.430346	-4.247267	-6.428938	-0.267822	-0.854248	0.044189	-0.567348	-0.512938	0.451195	-0.459819
05298		33.731599	-15.007367	6.725170	-3.123092	-2.331498	-2.031670	-0.250977	-0.856201	0.025146	-0.572120	-0.486794	0.476388	-0.456908
05299		17.367019	-21.381375	6.728579	-2.151275	1.317188	0.629716	-0.254395	-0.847168	-0.001953	-0.565268	-0.428975	0.502275	-0.494138
05300		3.203746	-13.166857	2.726649	-0.879473	2.520848	0.358407	-0.251465	-0.839355	-0.015625	-0.551550	-0.361103	0.520981	-0.542196
05301		2.092096	-7.270444	2.217717	-0.813565	2.303985	0.666590	-0.245850	-0.826660	-0.021484	-0.534783	-0.295160	0.538086	-0.580819
05302		2.155588	-7.254468	2.584920	-1.460753	1.509724	1.658289	-0.270508	-0.807861	-0.039307	-0.514430	-0.233742	0.557896	-0.607848
05303		5.120992	-9.600687	2.319663	-1.659115	1.060071	2.590152	-0.300293	-0.774170	-0.057861	-0.489720	-0.176144	0.576892	-0.629558
05304		8.726748	-9.204616	2.547558	-1.249064	1.244358	3.456945	-0.342529	-0.753174	-0.061523	-0.461998	-0.120361	0.590925	-0.650291
05305		9.729237	-6.691102	3.226968	-0.765139	1.596592	4.347874	-0.379395	-0.716553	-0.072266	-0.433564	-0.066293	0.598647	-0.670261
05306		9.672722	-3.471870	3.692042	-0.586740	1.801017	4.905190	-0.427734	-0.676025	-0.080566	-0.406633	-0.015834	0.600997	-0.687896
05307		10.081890	-1.026563	4.687062	-0.808468	1.771610	5.140718	-0.469971	-0.631592	-0.101318	-0.381597	0.029344	0.600860	-0.701776
05308		12.372120	-0.083046	5.824745	-1.255094	1.651830	5.335548	-0.515625	-0.578369	-0.120850	-0.357045	0.069188	0.600025	-0.712532
05309		15.484299	-0.811815	5.838921	-1.523662	1.814205	5.512328	-0.560303	-0.517334	-0.141602	-0.333945	0.104723	0.597427	-0.721523
05310		16.852553	-1.868120	5.117084	-1.335150	2.186048	5.595468	-0.594971	-0.442627	-0.176758	-0.314816	0.136701	0.591482	-0.729625
05311		17.426769	-1.668244	4.733030	-0.938680	2.351676	5.663397	-0.617920	-0.379150	-0.207520	-0.299335	0.165355	0.582576	-0.737334
05312		18.615762	-0.825774	4.513886	-0.661733	2.237864	5.722295	-0.636963	-0.312500	-0.228760	-0.285852	0.190483	0.572303	-0.744630
05313		20.034047	0.225241	4.275941	-0.515315	2.002851	5.720665	-0.636475	-0.234131	-0.252686	-0.273910	0.211964	0.561831	-0.751259
05314		21.774252	2.554649	4.173790	-0.399164	1.823866	5.575832	-0.653809	-0.165039	-0.278564	-0.264547	0.229935	0.551416	-0.757024
