// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
05288		10.705760	-7.316537	-2.660404	-0.553144	0.299864	0.036206	-0.626709	-0.322510	0.428955	-0.148025	-0.519078	0.575138	-0.614706
05289		11.011184	-7.662744	-2.107723	-0.556290	0.712038	0.267890	-0.624756	-0.331299	0.416992	-0.152467	-0.513444	0.578250	-0.615431
05290		10.944299	-7.949864	-1.243925	-0.491466	1.143253	0.518627	-0.641357	-0.321289	0.402344	-0.158110	-0.505080	0.581247	-0.618099
05291		10.779896	-7.602219	-0.143539	-0.338782	1.649566	0.823879	-0.661377	-0.320312	0.385254	-0.163256	-0.491171	0.583423	-0.625873
05292		10.374920	-6.905511	0.679279	-0.247225	2.094505	1.150447	-0.669434	-0.306396	0.362793	-0.169054	-0.471646	0.583307	-0.639316
05293		9.742667	-6.570621	0.609261	-0.245708	2.516374	1.503054	-0.683594	-0.284668	0.326904	-0.176358	-0.446440	0.580030	-0.658144
05294		9.396493	-6.838904	0.350967	-0.255329	2.676255	1.835914	-0.697754	-0.263184	0.301758	-0.183167	-0.418270	0.575479	-0.678472
05295		9.847890	-6.789464	-0.739292	-0.117112	2.598701	2.073372	-0.710938	-0.234863	0.267334	-0.187014	-0.390257	0.571426	-0.697279
05296		11.527135	-6.147075	-1.900980	0.068278	2.241852	2.119939	-0.735596	-0.207275	0.245605	-0.188142	-0.367803	0.569717	-0.710454
05297		12.369213	-4.671726	-2.579673	0.257885	1.861146	2.010176	-0.734863	-0.181152	0.220215	-0.189871	-0.354877	0.569733	-0.716530
05298		12.854151	-3.957435	-2.878503	0.430194	1.584246	1.937589	-0.749756	-0.149658	0.206055	-0.193571	-0.350965	0.570134	-0.717148
05299		12.435035	-4.763992	-2.262233	0.572803	1.513955	2.037671	-0.755127	-0.122314	0.187744	-0.198292	-0.351897	0.570487	-0.715118
05300		11.614054	-5.430310	-1.998967	0.521669	1.359779	2.187438	-0.756348	-0.090088	0.174561	-0.201493	-0.353495	0.571993	-0.712226
05301		10.657325	-5.119676	-2.814567	0.642258	1.285418	2.259734	-0.746338	-0.053711	0.167236	-0.202246	-0.353825	0.573612	-0.710544
05302		9.268394	-4.626839	-2.409223	0.680539	1.078373	2.266715	-0.756104	-0.023438	0.150391	-0.200303	-0.354011	0.576435	-0.708715
05303		8.328195	-4.161454	-1.773751	0.794057	0.729583	2.105498	-0.758545	0.019775	0.143311	-0.195646	-0.355642	0.578999	-0.707108
05304		7.563433	-4.327677	-1.376735	1.146863	0.415731	1.834512	-0.757812	0.043701	0.144043	-0.188941	-0.359053	0.579105	-0.707121
05305		6.897433	-4.477000	-1.089062	1.583779	0.117756	1.559531	-0.748779	0.070312	0.139648	-0.179903	-0.364319	0.576122	-0.709218
05306		6.300176	-3.901256	-0.871849	1.969181	-0.160512	1.335355	-0.745605	0.095947	0.144531	-0.168490	-0.371068	0.570460	-0.713088
05307		5.848360	-2.656974	-1.387376	1.968295	-0.394372	1.149617	-0.738770	0.114258	0.141357	-0.156280	-0.378631	0.564296	-0.716788
05308		5.947039	-0.785913	-1.856328	1.539852	-0.474151	0.940134	-0.736084	0.128906	0.147949	-0.145972	-0.386320	0.559937	-0.718275
05309		6.195058	0.453193	-1.832975	1.061792	-0.482073	0.733184	-0.736328	0.141846	0.156738	-0.138997	-0.394216	0.557510	-0.717256
05310		6.110353	0.395576	-1.729250	0.601383	-0.470420	0.589723	-0.735107	0.160889	0.151123	-0.135720	-0.401916	0.557047	-0.713962
05311		5.833379	0.039739	-1.431649	0.131370	-0.430852	0.480539	-0.728516	0.160400	0.155273	-0.135963	-0.408829	0.558819	-0.708586
05312		5.447523	-0.561008	-0.803021	-0.286207	-0.341225	0.375835	-0.728516	0.164062	0.163086	-0.139495	-0.414423	0.562533	-0.701677
05313		5.475157	-1.392766	-0.316240	-0.729595	-0.251314	0.196403	-0.715332	0.170654	0.171387	-0.146578	-0.418713	0.568055	-0.693186
05314		5.727246	-2.398097	-0.067695	-1.000522	-0.270375	-0.096418	-0.726074	0.164795	0.175537	-0.156503	-0.422940	0.574077	-0.683421
05315		5.292960	-4.536740	0.416898	-0.823421	-0.413848	-0.371198	-0.721924	0.149902	0.182861	-0.166660	-0.428367	0.578278	-0.674034
05316		5.297207	-7.945652	1.468025	-0.273117	-0.665023	-0.631344	-0.722656	0.139404	0.187256	-0.174174	-0.436203	0.578812	-0.666608
05317		6.035579	-12.009058	2.057902	0.235014	-0.797695	-0.776158	-0.729248	0.125488	0.197510	-0.178274	-0.445223	0.576156	-0.661845
05318		6.617517	-14.936997	2.037478	0.489617	-0.765741	-0.594206	-0.721924	0.115234	0.194580	-0.178005	-0.452866	0.572559	-0.659850
05319		6.772491	-16.170631	2.798238	0.946172	-0.953129	-0.220843	-0.724121	0.118164	0.207520	-0.169879	-0.460213	0.567751	-0.661062
05320		6.896456	-14.789623	2.755683	1.224594	-1.065823	0.211029	-0.716553	0.124756	0.218750	-0.154979	-0.466252	0.562661	-0.664833
05321		6.688586	-10.685094	1.094850	1.039677	-0.865170	0.463963	-0.709229	0.136475	0.224365	-0.138529	-0.469505	0.558744	-0.669463
05322		6.746839	-7.057389	0.189706	0.635428	-0.664229	0.534438	-0.709717	0.145996	0.228516	-0.123544	-0.470931	0.556732	-0.673061
