// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
30588		0.991825	-9.717040	0.117556	0.009727	-0.004824	-0.002775	-0.207031	0.941162	0.429932	0.402888	-0.454848	0.535849	-0.586225
30589		0.970256	-9.740209	0.149224	0.010270	-0.006636	-0.002111	-0.204102	0.942627	0.439941	0.402946	-0.454855	0.535769	-0.586253
30590		0.991625	-9.716854	0.141365	0.010599	-0.005232	-0.002292	-0.201172	0.930176	0.435791	0.403055	-0.454849	0.535724	-0.586225
30591		0.991958	-9.716794	0.143127	0.011878	-0.001756	-0.001714	-0.204102	0.943848	0.429688	0.403158	-0.454813	0.535681	-0.586221
30592		0.975947	-9.714943	0.113406	0.014647	0.003772	-0.002598	-0.200928	0.940430	0.425781	0.403212	-0.454750	0.535624	-0.586284
30593		0.981842	-9.723968	0.105219	0.007710	0.005599	-0.001994	-0.198242	0.941650	0.424561	0.403250	-0.454696	0.535619	-0.586305
30594		0.987780	-9.732997	0.096471	0.007417	0.006333	-0.003116	-0.200684	0.933838	0.421143	0.403298	-0.454640	0.535623	-0.586312
30595		0.974776	-9.739965	0.118041	0.009583	0.002670	-0.006226	-0.196289	0.941650	0.428223	0.403317	-0.454617	0.535575	-0.586360
30596		0.981176	-9.748946	0.109461	0.008170	0.003099	-0.004489	-0.194824	0.941895	0.423096	0.403396	-0.454576	0.535570	-0.586342
30597		0.994608	-9.741713	0.111745	0.012492	0.000712	-0.003655	-0.200195	0.934814	0.430420	0.403504	-0.454530	0.535538	-0.586333
30598		0.992147	-9.707330	0.123776	0.011623	-0.000670	-0.001253	-0.198486	0.940674	0.434570	0.403588	-0.454492	0.535497	-0.586341
30599		0.984148	-9.723422	0.135742	0.011951	0.000734	-0.001435	-0.194336	0.942871	0.422363	0.403690	-0.454444	0.535469	-0.586335
30600		0.971671	-9.730518	0.136869	0.008752	0.001635	-0.002244	-0.204834	0.937256	0.422607	0.403780	-0.454400	0.535457	-0.586318
30601		0.975485	-9.705362	0.117420	0.006431	0.000336	0.000314	-0.198242	0.937500	0.432129	0.403793	-0.454381	0.535426	-0.586352
30602		0.995091	-9.741362	0.140196	0.005360	-0.002773	-0.005182	-0.203125	0.938232	0.427979	0.403844	-0.454403	0.535406	-0.586318
30603		1.007016	-9.759452	0.121061	0.007607	-0.005746	-0.005130	-0.197510	0.942139	0.429688	0.403886	-0.454427	0.535334	-0.586336
30604		1.015107	-9.743093	0.133361	0.014289	-0.006485	-0.005273	-0.193848	0.940186	0.431152	0.403998	-0.454428	0.535248	-0.586337
30605		0.997476	-9.741039	0.145585	0.020506	-0.004720	-0.002923	-0.198486	0.942627	0.426025	0.404156	-0.454391	0.535154	-0.586342
30606		0.977502	-9.704812	0.147672	0.020586	-0.004025	0.000236	-0.196533	0.936279	0.424316	0.404299	-0.454325	0.535047	-0.586393
30607		0.979094	-9.679419	0.170891	0.011872	-0.003527	0.001176	-0.201172	0.945068	0.429199	0.404413	-0.454281	0.534981	-0.586409
30608		0.990038	-9.697623	0.152023	0.004243	-0.004864	0.000564	-0.198730	0.950928	0.426514	0.404471	-0.454300	0.534959	-0.586373
30609		1.024644	-9.701257	0.174718	0.000467	-0.004292	0.000394	-0.196777	0.942139	0.426270	0.404542	-0.454307	0.534954	-0.586323
30610		1.017472	-9.717511	0.164180	0.000831	-0.000754	-0.001096	-0.196533	0.942383	0.430664	0.404587	-0.454310	0.534943	-0.586301
30611		1.002031	-9.749887	0.164169	0.005520	-0.001386	0.001136	-0.205322	0.948730	0.432373	0.404656	-0.454316	0.534926	-0.586263
30612		0.952777	-9.753104	0.183529	0.006017	-0.001754	-0.002663	-0.190674	0.941650	0.428711	0.404657	-0.454359	0.534884	-0.586268
30613		0.905771	-9.756569	0.161804	0.008998	0.000563	-0.002704	-0.206787	0.938232	0.429932	0.404759	-0.454331	0.534839	-0.586260
30614		0.915129	-9.714864	0.194392	0.007545	0.000646	-0.002547	-0.197021	0.951172	0.427734	0.404729	-0.454355	0.534779	-0.586317
30615		0.916470	-9.714963	0.174321	0.000210	-0.001425	-0.002035	-0.195801	0.946045	0.429443	0.404788	-0.454353	0.534769	-0.586287
30616		0.939780	-9.725846	0.175162	-0.003858	-0.000122	-0.003328	-0.188721	0.942627	0.431396	0.404819	-0.454375	0.534782	-0.586237
30617		0.933942	-9.742224	0.143551	-0.000508	0.003945	-0.001974	-0.201416	0.938477	0.420898	0.404895	-0.454361	0.534809	-0.586170
30618		0.967009	-9.711616	0.155105	-0.001960	0.004027	-0.001818	-0.197998	0.946533	0.432617	0.404863	-0.454317	0.534795	-0.586239
30619		0.991191	-9.722647	0.135281	-0.002504	0.005837	-0.002485	-0.195068	0.936035	0.425293	0.404859	-0.454326	0.534829	-0.586203
30620		1.021684	-9.717256	0.146983	0.000476	0.008155	-0.002526	-0.197266	0.950439	0.430908	0.404852	-0.454282	0.534834	-0.586237
30621		1.049410	-9.737109	0.158486	-0.005911	0.008159	-0.001260	-0.197998	0.940430	0.425781	0.404849	-0.454271	0.534891	-0.586198
30622		1.107112	-9.717723	0.129213	-0.005291	0.008831	-0.000320	-0.198242	0.943359	0.428711	0.404811	-0.454241	0.534928	-0.586213
30623		1.094172	-9.724910	0.128023	-0.004631	0.009850	0.002198	-0.196045	0.942871	0.429932	0.404785	-0.454216	0.534978	-0.586205
30624		1.101363	-9.708657	0.138028	-0.005005	0.009890	-0.002083	-0.196533	0.951904	0.425781	0.404751	-0.454223	0.535014	-0.586189
30625		1.087662	-9.715674	0.158035	0.001428	0.008444	0.001118	-0.205811	0.939453	0.428223	0.404788	-0.454155	0.535009	-0.586221
30626		1.089483	-9.715962	0.117046	0.001679	0.007366	0.000662	-0.208008	0.932617	0.430420	0.404697	-0.454164	0.534993	-0.586291
30627		1.045557	-9.728330	0.126079	0.005631	0.003233	0.000105	-0.203125	0.948975	0.429688	0.404589	-0.454222	0.534949	-0.586362
30628		1.039815	-9.719231	0.137085	0.005419	0.004659	0.002140	-0.197510	0.958984	0.431885	0.404584	-0.454214	0.534911	-0.586406
30629		0.978435	-9.729805	0.134636	-0.001049	0.003969	0.000245	-0.196533	0.954590	0.429688	0.404626	-0.454224	0.534902	-0.586376
30630		0.967166	-9.711604	0.154813	0.001568	0.002747	0.001696	-0.196777	0.941406	0.422363	0.404691	-0.454217	0.534878	-0.586359
30631		0.958708	-9.727747	0.165207	0.001820	0.001669	0.001240	-0.195068	0.948730	0.420898	0.404729	-0.454195	0.534830	-0.586395
30632		0.945772	-9.734916	0.164893	0.000948	0.002076	0.000756	-0.195801	0.944336	0.424316	0.404804	-0.454143	0.534776	-0.586432
30633		0.920146	-9.749235	0.164036	0.002324	-0.000489	0.000328	-0.201416	0.943848	0.427002	0.404868	-0.454139	0.534723	-0.586440
30634		0.934744	-9.716680	0.185593	0.001992	-0.000104	-0.002374	-0.195312	0.940430	0.426758	0.404849	-0.454171	0.534675	-0.586471
30635		0.933365	-9.742030	0.164853	-0.003665	0.005191	-0.001207	-0.204102	0.943359	0.428955	0.404852	-0.454189	0.534684	-0.586447
30636		0.954465	-9.718744	0.154975	-0.001200	-0.000997	-0.000300	-0.195312	0.946533	0.419678	0.404801	-0.454241	0.534667	-0.586457
30637		0.957179	-9.693512	0.154641	-0.002324	0.000489	-0.000328	-0.207520	0.941895	0.421143	0.404874	-0.454196	0.534619	-0.586486
30638		0.960110	-9.727856	0.144082	-0.004900	0.002058	-0.000200	-0.198730	0.928467	0.428467	0.404757	-0.454188	0.534602	-0.586588
30639		0.957335	-9.753110	0.143352	-0.005582	0.007778	0.001440	-0.206543	0.943115	0.428467	0.404666	-0.454234	0.534680	-0.586544
