// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
30588		8.880590	3.362326	-2.460669	0.025330	0.012850	-0.050366	-0.837402	-0.281006	-0.324707	0.597028	0.110206	-0.783129	-0.134617
30589		8.799637	3.386745	-2.386751	0.026795	-0.002337	-0.052079	-0.831543	-0.280029	-0.314209	0.596930	0.110677	-0.783122	-0.134703
30590		8.778541	3.437816	-2.326700	0.009169	-0.024548	-0.053512	-0.825928	-0.292480	-0.319824	0.596693	0.111039	-0.783212	-0.134929
30591		8.885442	3.446751	-2.524555	-0.019066	-0.019784	-0.044110	-0.836426	-0.279297	-0.325439	0.596527	0.111372	-0.783220	-0.135344
30592		8.854088	3.320003	-2.551822	-0.019877	0.008019	-0.030657	-0.828125	-0.284912	-0.328857	0.596564	0.111438	-0.783137	-0.135607
30593		8.833520	3.188741	-2.440943	0.004827	-0.005189	-0.034566	-0.826660	-0.279053	-0.325195	0.596483	0.111734	-0.783128	-0.135768
30594		8.943794	3.304631	-2.415494	0.024408	-0.027341	-0.032890	-0.828369	-0.288818	-0.328125	0.596245	0.112018	-0.783266	-0.135787
30595		8.976252	3.449934	-2.451308	0.010045	-0.011911	-0.013471	-0.822021	-0.279541	-0.321045	0.596143	0.112214	-0.783311	-0.135813
30596		8.973417	3.421386	-2.493634	0.000200	-0.001447	-0.005899	-0.822021	-0.282471	-0.327637	0.596131	0.112245	-0.783312	-0.135834
30597		8.896280	3.301868	-2.465710	0.006585	0.005051	0.002876	-0.824951	-0.289551	-0.319336	0.596167	0.112257	-0.783295	-0.135762
30598		8.876507	3.335207	-2.437508	-0.001717	-0.010145	0.002212	-0.825684	-0.286133	-0.318604	0.596110	0.112297	-0.783330	-0.135783
30599		8.907071	3.384138	-2.424608	-0.006153	-0.013995	0.014856	-0.821045	-0.280762	-0.325928	0.596050	0.112184	-0.783396	-0.135757
30600		8.925358	3.337454	-2.488875	-0.011361	-0.008829	0.026098	-0.832520	-0.286621	-0.329102	0.596048	0.111932	-0.783445	-0.135690
30601		8.841231	3.286548	-2.543624	0.004136	0.016195	0.023915	-0.827393	-0.286865	-0.317871	0.596191	0.111833	-0.783381	-0.135515
30602		8.850575	3.288848	-2.433433	0.030030	-0.002770	0.019723	-0.832764	-0.285889	-0.320801	0.596159	0.111884	-0.783452	-0.135204
30603		8.905971	3.301659	-2.389586	0.039763	-0.023574	0.017003	-0.825684	-0.282959	-0.322021	0.596005	0.111947	-0.783620	-0.134853
30604		8.957032	3.478604	-2.476503	0.029479	-0.012674	0.025397	-0.821533	-0.280029	-0.318115	0.595946	0.111911	-0.783729	-0.134512
30605		8.923032	3.501119	-2.527265	0.012888	0.014853	0.031265	-0.828125	-0.280029	-0.322266	0.596068	0.111780	-0.783704	-0.134223
30606		8.901376	3.418260	-2.457787	0.007689	0.004913	0.026812	-0.828125	-0.286133	-0.322021	0.596155	0.111625	-0.783696	-0.134011
30607		8.956687	3.377274	-2.444644	0.010913	-0.007625	0.018238	-0.828125	-0.275146	-0.318115	0.596143	0.111589	-0.783738	-0.133851
30608		8.973492	3.446220	-2.623782	0.004830	0.008382	0.013472	-0.829590	-0.270020	-0.321777	0.596219	0.111475	-0.783720	-0.133710
30609		8.925478	3.443028	-2.587159	0.012450	0.022940	0.009856	-0.827637	-0.278076	-0.319580	0.596395	0.111397	-0.783630	-0.133521
30610		8.888544	3.393411	-2.413103	0.025529	0.004572	0.002909	-0.827637	-0.282227	-0.318604	0.596402	0.111495	-0.783645	-0.133321
30611		8.918987	3.514596	-2.515553	0.023012	-0.005713	-0.008256	-0.835205	-0.273682	-0.313965	0.596331	0.111679	-0.783691	-0.133212
30612		8.919183	3.550041	-2.489992	0.013132	-0.000728	-0.013546	-0.821289	-0.281738	-0.322510	0.596279	0.111754	-0.783726	-0.133173
30613		8.885250	3.491607	-2.539489	0.006742	-0.003415	-0.016800	-0.835693	-0.282471	-0.319336	0.596246	0.111946	-0.783711	-0.133253
30614		8.872566	3.488643	-2.556841	0.002636	-0.005843	-0.019551	-0.829102	-0.272461	-0.318604	0.596187	0.112081	-0.783717	-0.133365
30615		8.813437	3.451525	-2.506071	0.012295	-0.022340	-0.025842	-0.827393	-0.277588	-0.318359	0.595989	0.112228	-0.783831	-0.133457
30616		8.814981	3.507923	-2.571239	0.024440	-0.033204	-0.030148	-0.817871	-0.280518	-0.317383	0.595699	0.112503	-0.784002	-0.133517
30617		8.845097	3.552098	-2.534631	0.021830	-0.020372	-0.030101	-0.829590	-0.286377	-0.322998	0.595483	0.112844	-0.784103	-0.133600
30618		8.809391	3.463364	-2.459611	0.012353	-0.035774	-0.034166	-0.828125	-0.277100	-0.315674	0.595210	0.113150	-0.784233	-0.133797
30619		8.832298	3.418719	-2.547443	0.015435	-0.048976	-0.035001	-0.824219	-0.288818	-0.318115	0.594802	0.113377	-0.784478	-0.133975
30620		8.786480	3.387457	-2.577452	0.009501	-0.024639	-0.036462	-0.826904	-0.274414	-0.314941	0.594580	0.113732	-0.784558	-0.134192
30621		8.673385	3.365238	-2.534706	0.011735	-0.024535	-0.042341	-0.829102	-0.287354	-0.320068	0.594324	0.113973	-0.784682	-0.134400
30622		8.729354	3.370253	-2.437316	0.013646	-0.040271	-0.051193	-0.827393	-0.281738	-0.314697	0.593990	0.114383	-0.784829	-0.134670
30623		8.830671	3.371826	-2.423335	-0.008281	-0.035424	-0.049509	-0.822754	-0.284424	-0.313965	0.593681	0.114616	-0.784962	-0.135058
30624		8.842137	3.324704	-2.523414	-0.028025	-0.017722	-0.042656	-0.825195	-0.275391	-0.317871	0.593525	0.114758	-0.784979	-0.135523
30625		8.807238	3.306376	-2.545130	-0.024287	-0.007519	-0.045818	-0.835449	-0.289795	-0.316162	0.593456	0.114836	-0.784945	-0.135955
30626		8.762070	3.211228	-2.467927	-0.020106	-0.016996	-0.050471	-0.837646	-0.295166	-0.315430	0.593296	0.115076	-0.784956	-0.136387
30627		8.806159	3.292306	-2.620736	0.001602	-0.021973	-0.053565	-0.829590	-0.280762	-0.313721	0.593077	0.115481	-0.785011	-0.136685
30628		8.860153	3.449419	-2.609179	0.016551	-0.000303	-0.060534	-0.824951	-0.276611	-0.311279	0.592969	0.115872	-0.785000	-0.136878
30629		8.859801	3.502737	-2.548378	0.024156	0.009168	-0.064223	-0.823975	-0.278076	-0.317871	0.592898	0.116289	-0.784966	-0.137028
30630		8.757537	3.649932	-2.539253	0.000870	0.006081	-0.071988	-0.821777	-0.289795	-0.322266	0.592875	0.116637	-0.784870	-0.137386
30631		8.651634	3.695817	-2.611673	-0.033986	-0.020816	-0.086154	-0.822510	-0.284424	-0.320801	0.592727	0.117011	-0.784801	-0.138097
30632		8.605125	3.764184	-2.672246	-0.041879	-0.064592	-0.128293	-0.822754	-0.291748	-0.315918	0.592232	0.117496	-0.784922	-0.139116
30633		8.588872	4.128508	-2.782075	-0.026491	-0.068251	-0.179855	-0.827148	-0.294189	-0.312744	0.591592	0.118478	-0.785046	-0.140302
30634		8.547708	4.213839	-2.661463	-0.030156	-0.079018	-0.237291	-0.819336	-0.298584	-0.315918	0.590770	0.119804	-0.785190	-0.141826
30635		8.585568	4.109507	-2.664818	-0.020265	-0.102117	-0.293661	-0.826904	-0.301025	-0.311279	0.589756	0.121565	-0.785352	-0.143637
30636		8.595770	4.172877	-2.722593	-0.024766	-0.098824	-0.349381	-0.817871	-0.303223	-0.320312	0.588642	0.123633	-0.785476	-0.145750
30637		8.493641	4.374965	-2.723649	-0.048853	-0.100726	-0.397780	-0.827637	-0.314941	-0.317139	0.587576	0.125871	-0.785440	-0.148307
30638		8.499174	4.382498	-2.664709	-0.073498	-0.119972	-0.447657	-0.818359	-0.331543	-0.308594	0.586284	0.128356	-0.785432	-0.151299
30639		8.590170	4.306765	-2.740935	-0.103481	-0.131114	-0.496890	-0.822998	-0.320557	-0.308105	0.584823	0.131204	-0.785376	-0.154766
