// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
28000		7.773755	-4.441389	4.568443	-0.000442	0.008461	0.078733	-1.167969	0.310059	0.219482	0.040928	-0.465551	0.236710	-0.851796
28001		7.819540	-4.382288	4.638296	-0.013107	0.007526	0.081708	-1.170898	0.313232	0.217529	0.041442	-0.465341	0.237122	-0.851771
28002		7.856550	-4.410592	4.729879	-0.039545	0.007193	0.099335	-1.171143	0.310059	0.212646	0.041980	-0.465104	0.237790	-0.851688
28003		7.878808	-4.522413	4.675666	-0.036451	0.018872	0.127061	-1.169189	0.314697	0.220703	0.042702	-0.464730	0.238546	-0.851645
28004		7.773034	-4.405265	4.625664	-0.013241	0.042191	0.155557	-1.167725	0.328369	0.211426	0.043670	-0.464124	0.239255	-0.851727
28005		7.691490	-4.234661	4.566966	-0.023295	0.037473	0.174789	-1.173096	0.318359	0.210449	0.044744	-0.463516	0.240104	-0.851764
28006		7.772854	-4.193834	4.606355	-0.037764	0.037862	0.177697	-1.172119	0.336426	0.210693	0.045776	-0.462905	0.241057	-0.851772
28007		7.768975	-4.226828	4.613878	-0.050893	0.054736	0.198292	-1.168457	0.337158	0.210693	0.046860	-0.462140	0.242174	-0.851811
28008		7.606890	-4.266236	4.586494	-0.049597	0.066370	0.235979	-1.163818	0.347900	0.214355	0.048183	-0.461219	0.243413	-0.851883
28009		7.514602	-4.183248	4.596249	-0.034057	0.072397	0.241009	-1.162598	0.347168	0.209961	0.049581	-0.460238	0.244547	-0.852009
28010		7.503797	-4.107432	4.651095	-0.038561	0.078122	0.233779	-1.159180	0.363037	0.210449	0.050887	-0.459230	0.245664	-0.852154
28011		7.560265	-4.190940	4.658913	-0.056924	0.087485	0.232569	-1.161133	0.356689	0.201904	0.052078	-0.458164	0.246878	-0.852306
28012		7.562844	-4.351645	4.765571	-0.076293	0.103275	0.255873	-1.159668	0.364014	0.206055	0.053312	-0.456946	0.248293	-0.852472
28013		7.485973	-4.440556	4.755209	-0.079007	0.124667	0.274700	-1.161377	0.373047	0.205566	0.054614	-0.455531	0.249779	-0.852713
28014		7.374381	-4.495858	4.782883	-0.090585	0.130988	0.276900	-1.171143	0.382324	0.202637	0.055863	-0.454060	0.251335	-0.852959
28015		7.427679	-4.673121	4.809455	-0.099898	0.146557	0.276196	-1.157959	0.384277	0.207275	0.057027	-0.452468	0.252937	-0.853255
28016		7.335722	-4.824634	4.839980	-0.093719	0.169773	0.289432	-1.162109	0.392090	0.187012	0.058286	-0.450669	0.254563	-0.853638
28017		7.308882	-4.863439	4.920222	-0.111247	0.173176	0.302170	-1.164307	0.401367	0.192139	0.059546	-0.448807	0.256329	-0.854004
28018		7.408864	-4.965178	4.992617	-0.160036	0.191020	0.310581	-1.158203	0.403809	0.190186	0.060645	-0.446785	0.258489	-0.854335
28019		7.380165	-5.323993	4.940793	-0.190332	0.209728	0.340590	-1.158447	0.417725	0.179688	0.061835	-0.444571	0.260996	-0.854643
28020		7.163089	-5.607840	4.830667	-0.181483	0.223306	0.374328	-1.145508	0.422363	0.179443	0.063274	-0.442146	0.263554	-0.855010
28021		7.127263	-5.726673	4.763282	-0.161294	0.226378	0.408477	-1.143799	0.433350	0.174316	0.065118	-0.439621	0.266184	-0.855359
28022		7.172428	-5.642303	4.791347	-0.166060	0.231909	0.437871	-1.150635	0.452881	0.168945	0.067152	-0.436957	0.268999	-0.855686
28023		7.224769	-5.618909	4.813852	-0.210722	0.224516	0.472588	-1.136963	0.461426	0.163574	0.069283	-0.434233	0.272268	-0.855869
