// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
28000		-3.105140	-6.387915	6.970937	0.026052	-0.010500	0.003538	0.362305	0.846924	-0.279785	0.751077	-0.185455	0.339794	-0.534817
28001		-3.163892	-6.605487	6.935584	0.046082	-0.021032	0.006809	0.361328	0.847412	-0.279541	0.751239	-0.185241	0.339468	-0.534872
28002		-3.036085	-6.162038	6.746867	0.029604	-0.030764	0.013569	0.356689	0.841309	-0.287109	0.751424	-0.185164	0.339159	-0.534834
28003		-2.969112	-6.054129	6.760191	-0.007688	-0.018872	0.021205	0.361572	0.843506	-0.280029	0.751539	-0.185263	0.339089	-0.534683
28004		-3.105654	-6.424434	6.877794	-0.015613	0.000673	0.027141	0.360840	0.853760	-0.285889	0.751636	-0.185277	0.339206	-0.534467
28005		-3.206639	-6.513153	6.932782	0.021269	-0.001496	0.024382	0.355469	0.838379	-0.285156	0.751754	-0.185115	0.339116	-0.534414
28006		-3.144505	-6.310449	6.796593	0.036126	-0.022247	0.016173	0.355469	0.848877	-0.288574	0.751920	-0.184973	0.338827	-0.534414
28007		-3.084160	-6.038969	6.737280	0.017745	-0.020468	0.013333	0.360840	0.845703	-0.283691	0.752016	-0.184973	0.338612	-0.534414
28008		-3.054003	-6.170077	6.844458	0.009506	0.000913	0.017160	0.359863	0.851562	-0.281738	0.752093	-0.184868	0.338606	-0.534346
28009		-3.128101	-6.424923	6.897945	0.030516	-0.009966	0.010815	0.362549	0.843994	-0.281738	0.752191	-0.184713	0.338414	-0.534384
28010		-3.146088	-6.196496	6.786917	0.023063	-0.034487	0.009492	0.364502	0.853027	-0.281494	0.752364	-0.184689	0.338128	-0.534330
28011		-3.093324	-6.107583	6.698394	-0.004564	-0.027902	0.004380	0.362793	0.841309	-0.289795	0.752444	-0.184829	0.338001	-0.534249
28012		-3.110875	-6.294872	6.852535	0.012782	-0.011487	0.002071	0.364746	0.840576	-0.285889	0.752511	-0.184768	0.337897	-0.534241
28013		-3.139442	-6.280283	6.810680	0.012631	-0.016958	0.000400	0.360352	0.843750	-0.282715	0.752589	-0.184733	0.337785	-0.534214
28014		-3.133035	-6.251810	6.848245	0.019357	-0.028537	-0.002163	0.350098	0.846680	-0.283691	0.752670	-0.184750	0.337564	-0.534234
28015		-3.093002	-6.069069	6.673390	-0.030384	-0.033377	0.005856	0.361572	0.842773	-0.276611	0.752682	-0.185121	0.337503	-0.534127
28016		-3.106742	-6.330425	6.746865	-0.041929	-0.011751	-0.001108	0.355713	0.842773	-0.290771	0.752629	-0.185424	0.337698	-0.533973
28017		-3.177024	-6.772644	7.003904	0.054978	-0.022912	-0.010436	0.354492	0.849121	-0.284424	0.752718	-0.185186	0.337294	-0.534186
28018		-3.225216	-6.422394	6.943524	0.099709	-0.071958	0.001117	0.355469	0.839844	-0.281738	0.753016	-0.184928	0.336466	-0.534378
28019		-3.089962	-5.980202	6.647582	0.028603	-0.068179	0.003372	0.354248	0.848877	-0.291260	0.753231	-0.185048	0.335992	-0.534331
28020		-2.964409	-6.018172	6.767774	-0.003774	-0.038567	-0.001121	0.367432	0.839111	-0.291992	0.753275	-0.185270	0.335832	-0.534294
28021		-3.011669	-6.319228	6.921204	0.005564	-0.025201	-0.000356	0.366943	0.842285	-0.293945	0.753372	-0.185263	0.335750	-0.534210
28022		-3.066689	-6.399466	7.083863	0.052753	-0.036377	-0.003207	0.355713	0.852539	-0.295654	0.753550	-0.185038	0.335384	-0.534267
28023		-3.139192	-6.276196	6.955324	0.064422	-0.057025	0.005343	0.362549	0.849121	-0.293213	0.753782	-0.184900	0.334814	-0.534344
28024		-3.092178	-6.075362	6.824533	0.023437	-0.043911	0.003036	0.358887	0.837646	-0.305420	0.753925	-0.184935	0.334553	-0.534295
28025		-3.002093	-6.108010	6.878896	-0.021763	-0.016462	-0.001868	0.354980	0.844482	-0.285645	0.753949	-0.185039	0.334548	-0.534229
28026		-2.995232	-6.395127	7.051580	0.014056	-0.013692	-0.005510	0.354980	0.837158	-0.283447	0.753938	-0.185045	0.334472	-0.534289
28027		-3.052093	-6.344518	6.984611	0.062949	-0.038371	0.006466	0.361328	0.843750	-0.292725	0.754143	-0.184795	0.334019	-0.534370
28028		-3.068101	-6.065216	6.736020	0.018922	-0.032938	0.014145	0.363281	0.843994	-0.287354	0.754309	-0.184760	0.333842	-0.534258
28029		-3.100231	-6.229592	6.766309	0.008496	-0.002934	0.012163	0.362793	0.843994	-0.295410	0.754359	-0.184676	0.333938	-0.534156
28030		-3.134265	-6.302560	6.888824	0.039531	-0.020465	0.006663	0.355957	0.837646	-0.293213	0.754492	-0.184457	0.333750	-0.534161
28031		-3.107486	-6.204366	6.836912	0.030886	-0.049433	0.001795	0.351562	0.842041	-0.295410	0.754664	-0.184439	0.333355	-0.534171
28032		-3.075443	-6.290524	6.937272	0.054163	-0.063589	-0.001622	0.361084	0.841064	-0.303467	0.754874	-0.184380	0.332753	-0.534270
28033		-3.113683	-6.212890	6.844976	0.097882	-0.094058	0.007456	0.355225	0.841553	-0.302246	0.755315	-0.184083	0.331818	-0.534331
28034		-3.068999	-5.913244	6.730507	0.048014	-0.095512	0.009758	0.363037	0.843018	-0.308594	0.755667	-0.184140	0.331084	-0.534268
28035		-2.961563	-5.935289	6.906457	-0.005508	-0.073196	0.000495	0.354736	0.850342	-0.303711	0.755864	-0.184403	0.330759	-0.534100
28036		-3.017352	-6.384128	7.087053	0.040240	-0.060034	-0.010003	0.358643	0.831787	-0.305176	0.756002	-0.184441	0.330280	-0.534189
28037		-2.952649	-6.305671	7.143900	0.123466	-0.079809	-0.005072	0.359375	0.847168	-0.300293	0.756399	-0.183906	0.329270	-0.534435
28038		-2.911308	-5.802159	6.837666	0.052088	-0.088941	0.010221	0.354248	0.845703	-0.304443	0.756731	-0.183961	0.328634	-0.534338
28039		-2.870241	-5.843552	6.838418	-0.045859	-0.030555	0.004985	0.352539	0.839844	-0.310791	0.756728	-0.184372	0.328732	-0.534140
28040		-2.991884	-6.334669	7.122371	-0.044721	0.009551	-0.006195	0.359619	0.846924	-0.308350	0.756595	-0.184548	0.328986	-0.534111
28041		-3.012066	-6.337580	7.178419	-0.007067	-0.009083	0.006458	0.358643	0.842285	-0.303711	0.756628	-0.184566	0.329057	-0.534014
28042		-3.066741	-6.079659	6.898580	-0.033698	-0.052072	0.017134	0.357910	0.843994	-0.308594	0.756783	-0.184921	0.328985	-0.533716
28043		-3.107283	-6.204623	6.833192	-0.074250	-0.044561	0.016082	0.356934	0.843994	-0.305420	0.756856	-0.185476	0.329116	-0.533338
28044		-3.098109	-6.655836	7.036453	-0.028735	-0.028970	0.006447	0.356689	0.836670	-0.306152	0.756903	-0.185719	0.329140	-0.533173
28045		-3.022445	-6.556899	7.017221	0.056012	-0.063883	0.021307	0.362549	0.837158	-0.300293	0.757255	-0.185502	0.328566	-0.533102
28046		-2.939661	-6.112873	6.752571	0.037892	-0.100638	0.038142	0.359619	0.844482	-0.306152	0.757754	-0.185562	0.327957	-0.532747
28047		-2.914772	-6.091334	6.805290	0.007360	-0.068827	0.024822	0.359375	0.840088	-0.305420	0.758043	-0.185739	0.327641	-0.532469
28048		-2.932434	-6.279311	7.145826	0.038523	-0.025281	0.017029	0.350098	0.841797	-0.301758	0.758231	-0.185531	0.327439	-0.532399
28049		-2.916681	-6.125468	7.074970	0.029589	-0.035998	0.022775	0.354492	0.843750	-0.306396	0.758406	-0.185503	0.327172	-0.532323
28050		-2.828374	-5.984717	6.983067	0.002785	-0.057953	0.027251	0.358887	0.828369	-0.311523	0.758645	-0.185691	0.326902	-0.532082
28051		-2.897856	-6.048537	6.964280	-0.021662	-0.053008	0.028720	0.355957	0.840576	-0.297607	0.758910	-0.185841	0.326716	-0.531766
28052		-3.029270	-6.088714	6.817074	-0.110840	-0.020626	0.026847	0.356445	0.846680	-0.311523	0.758855	-0.186627	0.327240	-0.531246
28053		-2.964839	-6.280014	6.944524	-0.114282	-0.002749	0.011641	0.354004	0.845947	-0.303223	0.758712	-0.187315	0.327782	-0.530876
