// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
28000		4.722203	-2.178834	8.631860	0.016067	0.058123	0.048386	-0.781250	0.832520	-0.482910	0.458100	-0.267509	-0.017084	-0.847520
28001		4.740593	-2.088624	8.689268	0.000462	0.069987	0.053239	-0.781738	0.833252	-0.485840	0.458487	-0.267021	-0.016702	-0.847473
28002		4.834007	-2.041679	8.759174	-0.021429	0.087005	0.051603	-0.781494	0.829102	-0.492188	0.458815	-0.266494	-0.016105	-0.847473
28003		4.803614	-2.222572	8.697349	-0.010779	0.116359	0.067885	-0.778076	0.830811	-0.484375	0.459285	-0.265722	-0.015436	-0.847473
28004		4.756584	-2.123984	8.582840	0.018831	0.139211	0.077854	-0.775391	0.841064	-0.495117	0.459893	-0.264677	-0.014867	-0.847480
28005		4.736682	-1.983662	8.491284	0.011663	0.153607	0.092821	-0.779297	0.829834	-0.499268	0.460591	-0.263563	-0.014162	-0.847461
28006		4.806254	-1.987299	8.478634	0.000557	0.162111	0.087863	-0.773682	0.842285	-0.504150	0.461226	-0.262432	-0.013368	-0.847479
28007		4.837064	-2.016168	8.473582	-0.002235	0.191835	0.088671	-0.769043	0.843018	-0.502686	0.461859	-0.261110	-0.012453	-0.847557
28008		4.703299	-1.995653	8.416133	0.008317	0.222986	0.105648	-0.762695	0.848145	-0.503174	0.462630	-0.259541	-0.011474	-0.847632
28009		4.586229	-1.876102	8.327623	0.021922	0.226740	0.109839	-0.758301	0.843506	-0.508545	0.463454	-0.257902	-0.010584	-0.847694
28010		4.606396	-1.819016	8.352721	0.023780	0.221824	0.099806	-0.754395	0.853516	-0.510010	0.464202	-0.256296	-0.009773	-0.847782
28011		4.637095	-1.866071	8.469733	0.012290	0.240104	0.088414	-0.750732	0.848145	-0.520996	0.464836	-0.254612	-0.008867	-0.847952
28012		4.584466	-1.887714	8.606640	0.006353	0.267744	0.088771	-0.744385	0.844482	-0.519287	0.465451	-0.252764	-0.007844	-0.848177
28013		4.473124	-1.915730	8.624168	0.010265	0.297526	0.086152	-0.742920	0.851807	-0.524902	0.466050	-0.250692	-0.006769	-0.848472
28014		4.293069	-1.849104	8.692542	0.009135	0.307064	0.078429	-0.749756	0.856201	-0.528809	0.466580	-0.248556	-0.005694	-0.848817
28015		4.272002	-1.978803	8.745407	0.004458	0.317656	0.066958	-0.734375	0.851562	-0.527832	0.467002	-0.246350	-0.004598	-0.849235
28016		4.171082	-2.015978	8.839779	0.021077	0.336649	0.063880	-0.739014	0.852051	-0.547607	0.467468	-0.243923	-0.003541	-0.849684
28017		4.045058	-1.936925	9.039435	0.011726	0.358558	0.060828	-0.734375	0.856445	-0.546875	0.467849	-0.241375	-0.002407	-0.850206
28018		4.139110	-1.993432	9.246258	-0.021138	0.391184	0.042537	-0.726562	0.852051	-0.548584	0.468038	-0.238675	-0.000936	-0.850866
28019		3.967720	-2.247286	9.309267	-0.037390	0.435190	0.037352	-0.720703	0.861816	-0.564453	0.468194	-0.235701	0.000837	-0.851609
28020		3.708832	-2.454554	9.269356	-0.025615	0.464619	0.058021	-0.706543	0.853516	-0.568604	0.468480	-0.232416	0.002591	-0.852351
28021		3.574639	-2.534849	9.294014	-0.002819	0.483803	0.085480	-0.697266	0.857422	-0.577881	0.469114	-0.228908	0.004425	-0.852944
28022		3.626472	-2.437896	9.413894	-0.002798	0.511585	0.099658	-0.701416	0.867188	-0.588379	0.469851	-0.225151	0.006414	-0.853526
28023		3.727310	-2.461881	9.444059	-0.039868	0.545207	0.112141	-0.681396	0.866943	-0.593262	0.470502	-0.221205	0.008791	-0.854177
28024		3.702147	-2.687380	9.376019	-0.045659	0.575053	0.150737	-0.680420	0.858398	-0.611328	0.471530	-0.217108	0.011479	-0.854629
28025		3.558194	-2.665545	9.297451	-0.007251	0.583754	0.198221	-0.670166	0.869385	-0.597900	0.472868	-0.212816	0.014079	-0.854931
28026		3.413417	-2.545635	9.426175	0.014071	0.590469	0.247700	-0.659424	0.864746	-0.606445	0.474627	-0.208427	0.016794	-0.854989
28027		3.233983	-2.393821	9.596468	0.016425	0.612018	0.279145	-0.644531	0.876221	-0.624023	0.476579	-0.203878	0.019654	-0.854939
28028		3.060765	-2.246736	9.732813	0.015527	0.649338	0.300820	-0.626709	0.875000	-0.627441	0.478686	-0.198995	0.022683	-0.854837
28029		2.969654	-2.125120	9.871591	0.018833	0.692375	0.287991	-0.611328	0.878662	-0.642334	0.480671	-0.193782	0.025854	-0.854831
28030		2.952440	-2.028388	9.919885	-0.003659	0.745413	0.274839	-0.603760	0.872559	-0.651611	0.482493	-0.188225	0.029358	-0.854933
28031		2.713127	-2.222592	9.910288	-0.008268	0.791172	0.260309	-0.589600	0.882080	-0.661865	0.484156	-0.182329	0.033023	-0.855137
28032		2.612721	-2.247338	10.048851	0.001417	0.837762	0.246539	-0.566406	0.880371	-0.676025	0.485708	-0.176032	0.036777	-0.855423
28033		2.603358	-2.214808	10.069002	-0.007242	0.896669	0.229660	-0.555664	0.881104	-0.684814	0.487081	-0.169328	0.040797	-0.855813
28034		2.370867	-2.286582	9.944940	-0.051233	0.945636	0.202246	-0.527588	0.881348	-0.698730	0.488146	-0.162445	0.045270	-0.856315
28035		2.317904	-2.515682	9.854219	-0.067290	0.961633	0.189979	-0.520264	0.890137	-0.702881	0.489065	-0.155505	0.049896	-0.856822
28036		2.444413	-2.601722	9.915435	-0.065969	0.982975	0.184732	-0.499512	0.869385	-0.713379	0.489905	-0.148419	0.054596	-0.857312
28037		2.478427	-2.467276	9.876073	-0.119936	1.017753	0.171065	-0.475342	0.885010	-0.714111	0.490523	-0.141343	0.059801	-0.857807
28038		2.273894	-2.833544	9.626230	-0.172776	1.024322	0.172041	-0.461426	0.883545	-0.721436	0.491039	-0.134475	0.065385	-0.858208
28039		2.108454	-3.120736	9.495589	-0.169947	1.005910	0.195272	-0.447510	0.876953	-0.736816	0.491691	-0.127769	0.070903	-0.858422
28040		1.958441	-3.223420	9.501474	-0.154493	0.983435	0.240502	-0.419922	0.883301	-0.737793	0.492653	-0.121194	0.076290	-0.858362
28041		1.800771	-3.233568	9.547645	-0.169443	0.956864	0.294364	-0.401367	0.877686	-0.737549	0.493961	-0.114897	0.081752	-0.857973
28042		1.551928	-3.300725	9.411848	-0.179073	0.907734	0.366732	-0.380859	0.881836	-0.744385	0.495768	-0.108992	0.087169	-0.857168
28043		1.197626	-3.011611	9.272880	-0.167611	0.814939	0.435131	-0.363525	0.881836	-0.744141	0.498102	-0.103698	0.092205	-0.855943
28044		0.939266	-2.525491	9.261026	-0.230815	0.681192	0.495731	-0.343994	0.879150	-0.743408	0.500885	-0.099591	0.097200	-0.854253
28045		0.884449	-2.696828	9.084390	-0.322027	0.528529	0.502839	-0.321045	0.876465	-0.734619	0.503739	-0.096936	0.102194	-0.852295
28046		1.055377	-2.950524	9.064289	-0.367739	0.389419	0.485098	-0.308350	0.888184	-0.735596	0.506526	-0.095477	0.106905	-0.850227
28047		1.310350	-3.371129	9.304984	-0.359699	0.312403	0.498200	-0.294922	0.885498	-0.728516	0.509458	-0.094540	0.111239	-0.848021
28048		1.455504	-3.433143	9.420665	-0.308633	0.291761	0.538174	-0.288818	0.889893	-0.719971	0.512706	-0.093540	0.115155	-0.845649
28049		1.466361	-3.266430	9.442523	-0.309541	0.299145	0.591041	-0.268555	0.891846	-0.720947	0.516291	-0.092492	0.119141	-0.843027
28050		1.359793	-3.324620	9.412019	-0.328626	0.311333	0.632287	-0.250000	0.880859	-0.719238	0.520110	-0.091439	0.123321	-0.840188
28051		1.149288	-3.550262	9.444217	-0.310215	0.326481	0.682155	-0.238037	0.892822	-0.698975	0.524244	-0.090183	0.127455	-0.837132
28052		0.979063	-3.549479	9.556156	-0.220060	0.345921	0.704226	-0.225098	0.898926	-0.707764	0.528549	-0.088400	0.131053	-0.834054
28053		0.947271	-3.201003	9.698680	-0.188651	0.377680	0.707957	-0.208740	0.898926	-0.701660	0.532838	-0.086269	0.134567	-0.830983
28054		0.857421	-3.056345	9.732158	-0.223239	0.412874	0.690789	-0.193848	0.900635	-0.695801	0.536915	-0.084072	0.138434	-0.827943
28055		0.852476	-3.016593	9.739759	-0.234376	0.444178	0.655364	-0.167236	0.895264	-0.697510	0.540677	-0.081746	0.142458	-0.825040
28056		0.747348	-2.880665	9.795975	-0.265278	0.489637	0.637609	-0.160156	0.900391	-0.684814	0.544214	-0.079267	0.146848	-0.822182
