// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48699		9.374039	1.002753	-2.893091	0.020940	0.005167	-0.023837	-0.765625	-0.393066	0.070801	0.528919	0.440845	-0.672573	0.271194
48700		9.353937	0.978241	-2.879666	0.013307	0.005284	-0.016569	-0.760498	-0.399658	0.076660	0.528937	0.440984	-0.672459	0.271215
48701		9.372874	1.006770	-2.877519	0.011855	0.002923	-0.015607	-0.763916	-0.390869	0.076172	0.528942	0.441128	-0.672360	0.271217
48702		9.363883	1.021022	-2.848415	0.007505	0.001181	-0.012576	-0.758057	-0.389404	0.071533	0.528949	0.441229	-0.672292	0.271208
48703		9.356693	1.002663	-2.834272	0.005624	0.003384	-0.012569	-0.758301	-0.399902	0.077637	0.528977	0.441316	-0.672217	0.271196
48704		9.346476	0.965227	-2.864615	0.008014	0.001973	-0.013606	-0.764160	-0.405029	0.075195	0.528992	0.441422	-0.672139	0.271190
48705		9.375203	0.999604	-2.818010	0.012842	0.001172	-0.012412	-0.765381	-0.394287	0.079102	0.528981	0.441544	-0.672058	0.271214
48706		9.383048	0.988113	-2.831934	0.009474	0.006345	-0.010229	-0.756104	-0.397461	0.072998	0.529009	0.441625	-0.671967	0.271249
48707		9.358076	0.942727	-2.833769	0.003712	0.002247	-0.007309	-0.766602	-0.398926	0.080078	0.529031	0.441672	-0.671918	0.271253
48708		9.300326	0.896774	-2.838218	0.002096	0.001173	-0.010595	-0.766602	-0.391846	0.079346	0.529061	0.441729	-0.671865	0.271233
48709		9.389337	0.894362	-2.890852	0.014374	0.000221	-0.011318	-0.758057	-0.396973	0.079590	0.529040	0.441841	-0.671787	0.271283
48710		9.360562	0.913963	-2.863337	0.027355	0.002111	-0.014075	-0.762451	-0.397461	0.075928	0.528984	0.442018	-0.671666	0.271407
48711		9.354644	0.928014	-2.878195	0.026256	0.003841	-0.014056	-0.761230	-0.401855	0.078369	0.528940	0.442180	-0.671541	0.271537
48712		9.357873	0.962692	-2.935910	0.023191	0.005743	-0.016232	-0.769531	-0.401611	0.074463	0.528919	0.442334	-0.671409	0.271653
48713		9.347697	0.891631	-2.951698	0.018454	0.005242	-0.011044	-0.766113	-0.397461	0.075684	0.528896	0.442438	-0.671314	0.271764
48714		9.353298	0.846548	-2.922442	0.025980	-0.000235	-0.015231	-0.759277	-0.392822	0.083008	0.528814	0.442609	-0.671217	0.271883
48715		9.362972	0.886476	-2.892839	0.034032	-0.006229	-0.011930	-0.757080	-0.394531	0.076660	0.528652	0.442809	-0.671146	0.272049
48716		9.371796	0.958632	-2.863092	0.037325	-0.000732	-0.011674	-0.762451	-0.395996	0.076660	0.528506	0.443004	-0.671048	0.272257
48717		9.369811	0.991494	-2.848468	0.024887	0.003509	-0.010879	-0.770020	-0.394043	0.080811	0.528427	0.443122	-0.670965	0.272423
