// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48699		8.287811	-2.470135	4.672856	0.000664	0.003125	-0.006721	-0.798828	-0.132812	-0.321045	-0.457778	-0.337314	0.385412	-0.726716
48700		8.261240	-2.450322	4.678286	0.001002	0.007564	-0.007797	-0.793701	-0.140869	-0.314697	-0.457847	-0.337297	0.385355	-0.726711
48701		8.262463	-2.439550	4.647691	0.000797	0.002202	-0.008797	-0.794678	-0.135254	-0.319092	-0.457909	-0.337325	0.385312	-0.726681
48702		8.245121	-2.438799	4.688469	-0.001448	0.004110	-0.005794	-0.791016	-0.135254	-0.324707	-0.457961	-0.337314	0.385289	-0.726666
48703		8.288860	-2.456660	4.644007	-0.001093	0.004573	-0.005034	-0.790771	-0.142334	-0.317139	-0.458010	-0.337298	0.385263	-0.726656
48704		8.259228	-2.426245	4.679985	-0.001519	0.005565	-0.005215	-0.795898	-0.145264	-0.322266	-0.458064	-0.337276	0.385236	-0.726647
48705		8.269510	-2.435171	4.684722	-0.003055	0.000660	-0.004345	-0.800781	-0.138184	-0.319092	-0.458102	-0.337276	0.385238	-0.726622
48706		8.269523	-2.434997	4.684789	-0.002832	0.002047	-0.001510	-0.790039	-0.141357	-0.322266	-0.458128	-0.337258	0.385239	-0.726613
48707		8.271235	-2.455426	4.685532	-0.001856	0.001127	-0.004140	-0.800293	-0.140137	-0.313232	-0.458165	-0.337259	0.385230	-0.726594
48708		8.239062	-2.458904	4.655921	-0.003747	0.003498	-0.000377	-0.801514	-0.133789	-0.313477	-0.458193	-0.337226	0.385232	-0.726591
48709		8.289809	-2.453681	4.694326	-0.003329	0.004494	-0.001113	-0.794922	-0.138184	-0.315918	-0.458226	-0.337190	0.385226	-0.726589
48710		8.261572	-2.436630	4.650806	-0.002477	0.002509	-0.000750	-0.796631	-0.136963	-0.320801	-0.458250	-0.337168	0.385223	-0.726587
48711		8.265938	-2.446416	4.668789	-0.004581	0.001507	0.001095	-0.799072	-0.141113	-0.318604	-0.458266	-0.337140	0.385241	-0.726580
48712		8.254395	-2.469295	4.647728	-0.004155	0.000515	0.001277	-0.803711	-0.140381	-0.321533	-0.458276	-0.337119	0.385259	-0.726573
48713		8.258943	-2.478922	4.665468	-0.001491	-0.000397	-0.002462	-0.801514	-0.137451	-0.320312	-0.458298	-0.337126	0.385257	-0.726558
48714		8.276152	-2.456012	4.673298	-0.001872	0.005102	-0.005975	-0.794434	-0.132568	-0.312256	-0.458358	-0.337107	0.385227	-0.726544
48715		8.252521	-2.447775	4.647849	-0.001935	0.004569	-0.004479	-0.791992	-0.132812	-0.316162	-0.458406	-0.337088	0.385206	-0.726534
48716		8.253962	-2.445594	4.696849	0.000605	0.002592	-0.005225	-0.797363	-0.139404	-0.318604	-0.458447	-0.337092	0.385174	-0.726524
48717		8.274124	-2.433637	4.674132	-0.002352	0.003573	-0.003743	-0.804443	-0.137939	-0.314453	-0.458493	-0.337074	0.385155	-0.726513
48718		8.246466	-2.446330	4.662543	-0.000727	0.003048	-0.003356	-0.794678	-0.146484	-0.319824	-0.458529	-0.337069	0.385131	-0.726505
