// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
41360		8.019409	-4.602996	-3.336312	-0.021325	0.016154	0.006129	-0.244385	0.663086	0.398193	0.426857	-0.777826	-0.254364	-0.384811
41361		7.978377	-4.633876	-3.401749	-0.035893	0.024967	0.008131	-0.244385	0.656006	0.394043	0.426704	-0.777890	-0.254107	-0.385020
41362		7.920537	-4.712868	-3.397421	-0.035834	0.026626	0.006596	-0.250488	0.657227	0.400635	0.426548	-0.777945	-0.253856	-0.385247
41363		7.882277	-4.788126	-3.397845	-0.030655	0.022089	0.010620	-0.240479	0.659668	0.405518	0.426431	-0.778006	-0.253609	-0.385415
41364		7.845467	-4.837141	-3.366995	-0.022262	0.016154	0.009723	-0.248291	0.663818	0.398438	0.426355	-0.778057	-0.253413	-0.385526
41365		7.835191	-4.849433	-3.328669	-0.014286	0.007851	0.006954	-0.248535	0.659424	0.404297	0.426308	-0.778103	-0.253285	-0.385569
41366		7.864985	-4.921600	-3.310109	-0.003182	0.001559	0.001716	-0.229004	0.645020	0.401855	0.426311	-0.778121	-0.253242	-0.385558
41367		7.876098	-4.899690	-3.288927	0.010463	-0.008583	-0.001575	-0.246094	0.658447	0.409668	0.426382	-0.778119	-0.253289	-0.385454
41368		7.869090	-4.851675	-3.275469	0.009955	-0.007545	-0.000990	-0.242920	0.665527	0.403564	0.426467	-0.778118	-0.253315	-0.385345
41369		7.885594	-4.826862	-3.229668	0.001554	-0.002957	-0.004955	-0.234619	0.659912	0.405518	0.426506	-0.778125	-0.253313	-0.385288
41370		7.870305	-4.837494	-3.260208	-0.006177	0.001536	-0.003764	-0.247803	0.659180	0.407959	0.426524	-0.778146	-0.253251	-0.385265
41371		7.883565	-4.865343	-3.277578	-0.007929	0.002043	-0.006211	-0.242432	0.654053	0.403320	0.426538	-0.778168	-0.253185	-0.385249
41372		7.893855	-4.868416	-3.288067	-0.005034	0.001444	-0.012877	-0.244629	0.654053	0.404297	0.426563	-0.778169	-0.253161	-0.385236
41373		7.869944	-4.873132	-3.308350	-0.001694	-0.000515	-0.013720	-0.244385	0.651123	0.397217	0.426618	-0.778164	-0.253147	-0.385193
41374		7.855369	-4.886258	-3.295162	0.003139	-0.005751	-0.013112	-0.245850	0.655518	0.409668	0.426709	-0.778163	-0.253148	-0.385094
41375		7.843176	-4.852343	-3.322538	0.004313	-0.008230	-0.013406	-0.243896	0.650635	0.410156	0.426823	-0.778170	-0.253151	-0.384952
41376		7.905150	-4.811830	-3.305321	0.009377	-0.006965	-0.015753	-0.253174	0.656982	0.402588	0.426968	-0.778154	-0.253174	-0.384809
41377		7.917144	-4.784519	-3.328256	0.002210	-0.007086	-0.014395	-0.248779	0.654541	0.400635	0.427097	-0.778166	-0.253136	-0.384667
41378		7.929180	-4.756873	-3.351528	-0.005176	-0.003239	-0.014658	-0.242188	0.654053	0.404053	0.427176	-0.778193	-0.253065	-0.384571
41379		7.950831	-4.737353	-3.341055	-0.009340	0.001901	-0.010111	-0.241699	0.662842	0.401855	0.427242	-0.778235	-0.252946	-0.384490
41380		7.934633	-4.691994	-3.377352	-0.016762	0.004241	-0.012037	-0.241211	0.659424	0.408691	0.427288	-0.778300	-0.252779	-0.384418
41381		7.952333	-4.664801	-3.331914	-0.026213	0.012079	-0.006760	-0.246826	0.656982	0.405518	0.427289	-0.778389	-0.252551	-0.384386
41382		7.947560	-4.681849	-3.329050	-0.034845	0.016730	-0.005184	-0.237549	0.661865	0.402832	0.427243	-0.778486	-0.252264	-0.384429
41383		7.967764	-4.688372	-3.350145	-0.041795	0.017864	-0.004487	-0.249268	0.657227	0.398926	0.427147	-0.778617	-0.251938	-0.384484
41384		7.963148	-4.704908	-3.347672	-0.045816	0.021249	-0.003921	-0.254639	0.659668	0.412354	0.427033	-0.778730	-0.251568	-0.384624
41385		7.919043	-4.729537	-3.336037	-0.050954	0.023536	-0.002310	-0.246826	0.657959	0.406738	0.426943	-0.778871	-0.251195	-0.384682
41386		7.890305	-4.820422	-3.364455	-0.049562	0.022319	-0.003265	-0.246338	0.655273	0.396484	0.426803	-0.779008	-0.250842	-0.384790
41387		7.866530	-4.824347	-3.385640	-0.031656	0.011421	-0.002933	-0.244141	0.655762	0.402832	0.426721	-0.779103	-0.250545	-0.384884
41388		7.905989	-4.746157	-3.385480	-0.017729	-0.002488	-0.007841	-0.252686	0.655029	0.411133	0.426694	-0.779201	-0.250403	-0.384806
41389		7.945629	-4.675418	-3.297428	-0.011606	0.003458	-0.011962	-0.244629	0.659424	0.401611	0.426743	-0.779250	-0.250315	-0.384710
41390		7.939190	-4.637865	-3.299854	-0.022895	0.008775	-0.012444	-0.240479	0.657715	0.407715	0.426712	-0.779324	-0.250119	-0.384722
41391		7.933018	-4.684253	-3.285787	-0.037569	0.007966	-0.016338	-0.246826	0.658203	0.415039	0.426541	-0.779455	-0.249968	-0.384745
41392		7.911491	-4.740932	-3.303143	-0.041593	0.004775	-0.018365	-0.245117	0.650635	0.409668	0.426372	-0.779603	-0.249856	-0.384704
41393		7.924503	-4.795143	-3.311043	-0.038600	0.002128	-0.022620	-0.242188	0.648193	0.410400	0.426122	-0.779715	-0.249811	-0.384785
41394		7.888539	-4.853112	-3.299675	-0.029416	-0.002043	-0.023126	-0.243896	0.653564	0.411865	0.425899	-0.779807	-0.249829	-0.384833
41395		7.875557	-4.846502	-3.316816	-0.013557	-0.011595	-0.027010	-0.242676	0.653809	0.417236	0.425816	-0.779877	-0.249912	-0.384730
41396		7.882133	-4.836098	-3.338436	-0.003856	-0.016794	-0.028109	-0.243896	0.648926	0.406250	0.425793	-0.779940	-0.250081	-0.384517
41397		7.870403	-4.795855	-3.411097	0.005013	-0.020152	-0.030362	-0.247070	0.656494	0.411133	0.425762	-0.779944	-0.250252	-0.384431
41398		7.874902	-4.735109	-3.393914	0.012992	-0.029911	-0.034839	-0.241455	0.658203	0.400879	0.425834	-0.779964	-0.250491	-0.384157
41399		7.892795	-4.685748	-3.422696	0.014205	-0.037461	-0.036072	-0.239990	0.657227	0.405762	0.425878	-0.779994	-0.250696	-0.383912
41400		7.965852	-4.620119	-3.387021	0.007707	-0.033650	-0.039881	-0.254395	0.654297	0.405029	0.425857	-0.780044	-0.250943	-0.383671
41401		7.992105	-4.608339	-3.370865	-0.007144	-0.026196	-0.037151	-0.250977	0.658936	0.404541	0.425767	-0.780084	-0.251103	-0.383586
41402		8.055932	-4.631142	-3.367572	-0.015470	-0.016979	-0.039267	-0.257568	0.654785	0.405029	0.425662	-0.780133	-0.251198	-0.383542
41403		8.021804	-4.576758	-3.341532	-0.030104	-0.000359	-0.029730	-0.254883	0.648193	0.408447	0.425497	-0.780171	-0.251160	-0.383673
41404		7.946486	-4.651673	-3.379972	-0.050120	0.014592	-0.027637	-0.246826	0.654297	0.412598	0.425158	-0.780238	-0.251074	-0.383967
41405		7.921616	-4.692135	-3.449976	-0.051506	0.011868	-0.019534	-0.247314	0.652344	0.412598	0.424869	-0.780381	-0.250940	-0.384084
