// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
41360		7.012573	1.997644	6.557822	0.028898	0.024152	0.052847	-0.332520	-0.179443	-0.538086	0.909266	0.148303	-0.379078	0.086840
41361		7.009862	2.043275	6.533265	0.023587	0.012711	0.041635	-0.333252	-0.181396	-0.544678	0.909247	0.148341	-0.379016	0.087246
41362		7.046063	2.042772	6.534090	0.012654	0.003900	0.033451	-0.338379	-0.177734	-0.538086	0.909221	0.148328	-0.379015	0.087543
41363		7.039259	2.080822	6.518907	0.002592	-0.006673	0.024521	-0.332275	-0.176514	-0.530762	0.909178	0.148276	-0.379095	0.087729
41364		6.989126	2.048774	6.509179	-0.011581	-0.019139	0.017635	-0.338135	-0.171631	-0.539795	0.909118	0.148150	-0.379271	0.087801
41365		7.016455	2.051114	6.464995	-0.019354	-0.031149	0.006181	-0.338867	-0.178955	-0.532959	0.909038	0.148011	-0.379530	0.087746
41366		6.951559	1.991973	6.445496	-0.030031	-0.038917	-0.002514	-0.316162	-0.189453	-0.534912	0.908951	0.147829	-0.379847	0.087581
41367		6.894499	1.915760	6.416465	-0.030731	-0.052726	-0.012316	-0.339355	-0.175293	-0.530762	0.908828	0.147684	-0.380257	0.087321
41368		6.915095	1.855955	6.417046	-0.028017	-0.060382	-0.014178	-0.333740	-0.174072	-0.536621	0.908679	0.147569	-0.380722	0.087048
41369		6.945068	1.846771	6.495059	-0.030178	-0.065457	-0.005591	-0.328125	-0.176758	-0.533447	0.908509	0.147408	-0.381238	0.086829
41370		6.976485	1.830255	6.511009	-0.026867	-0.062977	0.004843	-0.337158	-0.178467	-0.530273	0.908337	0.147230	-0.381745	0.086706
41371		6.953244	1.832343	6.493256	-0.018350	-0.058610	0.016840	-0.337158	-0.183105	-0.533447	0.908161	0.147064	-0.382226	0.086710
41372		6.928349	1.863915	6.514052	-0.003042	-0.060036	0.024913	-0.341309	-0.183105	-0.531494	0.907958	0.146979	-0.382714	0.086826
41373		6.944141	1.930834	6.520828	0.007328	-0.062320	0.030906	-0.337891	-0.180176	-0.540039	0.907734	0.146947	-0.383213	0.087021
41374		6.909098	1.945728	6.542302	0.011308	-0.063349	0.036215	-0.338135	-0.183105	-0.529053	0.907502	0.146927	-0.383714	0.087267
41375		6.916501	1.967962	6.531478	0.015664	-0.072795	0.040990	-0.339355	-0.183594	-0.526123	0.907236	0.146933	-0.384277	0.087550
41376		6.905934	2.013473	6.506566	0.018341	-0.081873	0.042787	-0.348633	-0.176514	-0.533447	0.906940	0.146963	-0.384896	0.087842
41377		6.878028	2.064884	6.552958	0.011421	-0.088693	0.046020	-0.344482	-0.181396	-0.534668	0.906636	0.146935	-0.385558	0.088127
41378		6.865010	2.081201	6.581164	0.010730	-0.102387	0.036194	-0.340332	-0.181885	-0.531738	0.906304	0.146957	-0.386288	0.088306
41379		6.848519	2.067779	6.642622	0.009055	-0.109493	0.026340	-0.341797	-0.173584	-0.535889	0.905967	0.147018	-0.387037	0.088387
41380		6.831719	2.078042	6.680146	0.002117	-0.119924	0.018638	-0.340332	-0.178955	-0.525146	0.905624	0.147062	-0.387823	0.088377
41381		6.803276	2.100233	6.757802	-0.007257	-0.121672	0.012315	-0.350098	-0.177979	-0.529785	0.905297	0.147073	-0.388608	0.088271
41382		6.800724	2.079336	6.819341	-0.015053	-0.119684	0.003306	-0.337402	-0.175293	-0.534668	0.905019	0.147054	-0.389307	0.088069
41383		6.802738	2.061932	6.829406	-0.020604	-0.109223	-0.001764	-0.351562	-0.177734	-0.532959	0.904806	0.147005	-0.389874	0.087828
