// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43929		8.210595	-2.475276	4.769539	-0.002472	0.004865	-0.003234	-0.422607	0.484863	-0.163818	0.588424	-0.454568	-0.224396	-0.629898
43930		8.210269	-2.460787	4.765472	0.002011	0.006138	-0.006574	-0.431396	0.484619	-0.169434	0.588409	-0.454514	-0.224402	-0.629949
43931		8.230297	-2.447328	4.757729	-0.001485	0.005294	-0.004575	-0.423584	0.482178	-0.169434	0.588387	-0.454478	-0.224391	-0.629999
43932		8.205785	-2.452035	4.743140	0.002531	0.007492	-0.007081	-0.419189	0.477539	-0.165527	0.588373	-0.454413	-0.224395	-0.630058
43933		8.217743	-2.448126	4.751752	0.001954	0.003857	-0.006898	-0.421875	0.479248	-0.170898	0.588350	-0.454371	-0.224414	-0.630103
43934		8.201230	-2.439312	4.775272	-0.000029	0.004197	-0.005904	-0.418457	0.476074	-0.168945	0.588326	-0.454338	-0.224417	-0.630148
43935		8.201186	-2.438620	4.775701	-0.000546	0.002243	-0.004552	-0.418457	0.481689	-0.170166	0.588303	-0.454320	-0.224423	-0.630180
43936		8.189098	-2.427180	4.763121	-0.004626	-0.001037	-0.004058	-0.425537	0.480225	-0.163330	0.588260	-0.454339	-0.224423	-0.630206
43937		8.218120	-2.459655	4.757268	-0.002113	-0.001222	-0.003873	-0.419678	0.481445	-0.168457	0.588227	-0.454346	-0.224438	-0.630227
43938		8.185774	-2.447090	4.748240	-0.001588	-0.000467	-0.003537	-0.428955	0.477295	-0.171387	0.588199	-0.454348	-0.224451	-0.630248
43939		8.218621	-2.458958	4.756762	-0.005681	-0.001949	-0.005572	-0.427734	0.485596	-0.159668	0.588141	-0.454373	-0.224459	-0.630280
43940		8.210698	-2.454581	4.767933	-0.002123	-0.000023	-0.005559	-0.425293	0.487305	-0.169434	0.588099	-0.454372	-0.224477	-0.630314
43941		8.227351	-2.461633	4.745077	-0.004658	0.003159	-0.009959	-0.424805	0.477539	-0.170166	0.588031	-0.454358	-0.224483	-0.630385
43942		8.211004	-2.452741	4.768354	-0.004138	0.004514	-0.010466	-0.417969	0.488770	-0.177979	0.587963	-0.454336	-0.224489	-0.630463
43943		8.202719	-2.447422	4.780627	-0.001591	0.009008	-0.013327	-0.423584	0.479736	-0.173828	0.587898	-0.454271	-0.224498	-0.630567
43944		8.202443	-2.418205	4.771903	-0.001632	0.004928	-0.011123	-0.427490	0.472900	-0.173584	0.587836	-0.454230	-0.224518	-0.630646
43945		8.194273	-2.413102	4.783854	-0.004136	0.003912	-0.009622	-0.431396	0.484131	-0.166016	0.587769	-0.454208	-0.224529	-0.630721
43946		8.215075	-2.454852	4.794808	-0.003130	0.001944	-0.007589	-0.427734	0.490234	-0.170410	0.587711	-0.454194	-0.224547	-0.630779
43947		8.239793	-2.451712	4.755948	-0.001629	0.004328	-0.010278	-0.422607	0.480469	-0.172119	0.587652	-0.454152	-0.224570	-0.630856
43948		8.206837	-2.421258	4.797289	-0.003126	0.001343	-0.006746	-0.420898	0.483154	-0.171875	0.587601	-0.454141	-0.224587	-0.630905
43949		8.215260	-2.424753	4.785722	-0.005624	-0.000273	-0.004403	-0.424805	0.476074	-0.166260	0.587551	-0.454152	-0.224590	-0.630943
