// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
38386		9.069943	-3.706019	-0.882412	0.009454	-0.010021	-0.005056	-0.370850	0.793213	-0.037598	0.584854	-0.582671	-0.453123	-0.336333
38387		9.082686	-3.702197	-0.853112	0.005106	-0.007143	-0.008058	-0.371094	0.794189	-0.034180	0.584829	-0.582635	-0.453211	-0.336318
38388		9.038599	-3.707873	-0.877803	0.009996	-0.011977	-0.005683	-0.375000	0.797607	-0.036133	0.584814	-0.582602	-0.453325	-0.336251
38389		9.080420	-3.702988	-0.904089	0.008053	-0.015992	-0.007465	-0.367920	0.794189	-0.043457	0.584772	-0.582579	-0.453461	-0.336179
38390		9.068352	-3.659929	-0.876033	0.002204	-0.006784	-0.006724	-0.368652	0.806396	-0.035156	0.584738	-0.582562	-0.453533	-0.336170
38391		9.079184	-3.647608	-0.917725	-0.005646	0.000199	-0.004188	-0.362549	0.798828	-0.032959	0.584699	-0.582573	-0.453538	-0.336214
38392		9.061826	-3.701232	-0.869329	-0.013511	0.010011	-0.002295	-0.374023	0.799316	-0.032959	0.584662	-0.582601	-0.453465	-0.336327
38393		9.032951	-3.701850	-0.813696	-0.013751	0.011105	-0.001517	-0.376221	0.799561	-0.034668	0.584632	-0.582630	-0.453382	-0.336442
38394		9.071259	-3.711048	-0.862978	-0.001597	0.009734	-0.002980	-0.368896	0.796631	-0.041992	0.584654	-0.582597	-0.453344	-0.336513
38395		9.069826	-3.717332	-0.874421	-0.005222	0.011352	-0.003814	-0.365723	0.801270	-0.037354	0.584663	-0.582572	-0.453291	-0.336609
38396		9.063970	-3.688110	-0.887133	-0.002092	0.014751	-0.002065	-0.370361	0.796631	-0.043213	0.584707	-0.582530	-0.453221	-0.336701
38397		9.093529	-3.702230	-0.881238	0.000452	0.017043	0.000022	-0.373291	0.795166	-0.040527	0.584776	-0.582477	-0.453137	-0.336784
38398		9.061887	-3.705977	-0.871802	-0.000343	0.022920	0.000783	-0.369141	0.799561	-0.038574	0.584866	-0.582414	-0.453020	-0.336896
38399		9.070136	-3.712572	-0.899415	0.006186	0.020943	0.000283	-0.372559	0.801025	-0.038574	0.584979	-0.582323	-0.452931	-0.336975
38400		9.082870	-3.709738	-0.865587	0.005585	0.022665	-0.000024	-0.371338	0.798096	-0.042236	0.585094	-0.582232	-0.452835	-0.337064
38401		9.061119	-3.697665	-0.931727	0.010311	0.025855	-0.001440	-0.369385	0.799805	-0.033203	0.585240	-0.582102	-0.452743	-0.337157
38402		9.040286	-3.705291	-0.903348	0.005379	0.029647	0.000393	-0.376221	0.792969	-0.033447	0.585375	-0.582000	-0.452612	-0.337275
38403		9.024873	-3.676781	-0.894692	0.011069	0.028462	-0.004136	-0.376465	0.800537	-0.039795	0.585516	-0.581857	-0.452529	-0.337388
38404		8.986491	-3.722760	-0.876785	0.013356	0.021106	-0.004772	-0.370850	0.801270	-0.031250	0.585639	-0.581723	-0.452492	-0.337456
38405		8.976538	-3.718188	-0.890356	0.017345	0.016836	-0.007352	-0.368652	0.796143	-0.038086	0.585755	-0.581582	-0.452493	-0.337495
38406		9.019868	-3.717168	-0.876301	0.021713	0.007084	-0.012703	-0.376709	0.802979	-0.042480	0.585846	-0.581426	-0.452580	-0.337490
38407		9.050853	-3.718849	-0.893558	0.015511	0.002543	-0.010769	-0.371094	0.797119	-0.035400	0.585892	-0.581322	-0.452664	-0.337475
38408		9.026712	-3.738713	-0.894807	0.003850	-0.001106	-0.010238	-0.363281	0.798096	-0.039062	0.585865	-0.581296	-0.452730	-0.337480
38409		9.046901	-3.751552	-0.873000	-0.002615	-0.000924	-0.013323	-0.374756	0.795654	-0.038330	0.585810	-0.581291	-0.452782	-0.337514
38410		9.068152	-3.752927	-0.874212	-0.008317	0.001062	-0.013952	-0.372070	0.799072	-0.041016	0.585721	-0.581306	-0.452824	-0.337587
38411		9.023884	-3.768290	-0.876294	-0.006790	-0.008097	-0.017038	-0.366943	0.793945	-0.030518	0.585605	-0.581330	-0.452919	-0.337617
38412		9.029160	-3.740762	-0.875861	-0.004242	-0.019373	-0.017800	-0.379150	0.804199	-0.033691	0.585449	-0.581388	-0.453077	-0.337578
38413		9.051277	-3.730317	-0.903238	-0.002007	-0.026960	-0.019366	-0.376709	0.804932	-0.039551	0.585260	-0.581463	-0.453281	-0.337502
38414		9.033408	-3.717061	-0.893583	-0.001360	-0.025622	-0.018775	-0.367432	0.793213	-0.038574	0.585097	-0.581526	-0.453469	-0.337424
38415		8.991706	-3.713979	-0.908447	0.004754	-0.027198	-0.021289	-0.367188	0.798096	-0.034912	0.584965	-0.581525	-0.453711	-0.337328
38416		9.004207	-3.718910	-0.858753	0.010123	-0.022663	-0.022116	-0.367676	0.810303	-0.028076	0.584867	-0.581510	-0.453933	-0.337226
38417		8.983055	-3.719203	-0.873608	0.014600	-0.027092	-0.021752	-0.373047	0.799561	-0.038330	0.584763	-0.581543	-0.454148	-0.337061
38418		9.015923	-3.712376	-0.882950	0.010186	-0.022434	-0.021189	-0.365967	0.802246	-0.042236	0.584672	-0.581523	-0.454363	-0.336963
38419		9.008149	-3.698203	-0.890387	0.003297	-0.021870	-0.026286	-0.374512	0.803955	-0.036377	0.584569	-0.581510	-0.454552	-0.336910
38420		9.003505	-3.741344	-0.850589	-0.003782	-0.017953	-0.025164	-0.378418	0.795654	-0.037598	0.584412	-0.581554	-0.454707	-0.336896
38421		9.010450	-3.777014	-0.816762	-0.004921	-0.025025	-0.028350	-0.372314	0.804443	-0.035400	0.584211	-0.581571	-0.454949	-0.336890
38422		8.998692	-3.786726	-0.828309	-0.004431	-0.027215	-0.029912	-0.366211	0.802734	-0.028320	0.584022	-0.581629	-0.455148	-0.336848
38423		9.009927	-3.781675	-0.851202	-0.006905	-0.029286	-0.031070	-0.375488	0.796387	-0.028076	0.583806	-0.581721	-0.455350	-0.336789
38424		9.017835	-3.805720	-0.841622	-0.011823	-0.028337	-0.028584	-0.376465	0.795166	-0.039307	0.583553	-0.581814	-0.455572	-0.336767
38425		9.008366	-3.797737	-0.864310	-0.018429	-0.030479	-0.024146	-0.375488	0.803955	-0.029053	0.583326	-0.581907	-0.455746	-0.336763
38426		9.034484	-3.832969	-0.869375	-0.021513	-0.028803	-0.021097	-0.371338	0.805176	-0.037109	0.583072	-0.582111	-0.455845	-0.336718
38427		9.028656	-3.801553	-0.889060	-0.014338	-0.025362	-0.011995	-0.375244	0.793945	-0.029297	0.582949	-0.582277	-0.455862	-0.336621
38428		9.010323	-3.789548	-0.879712	-0.012627	-0.023074	-0.008791	-0.373291	0.800049	-0.031250	0.582795	-0.582413	-0.455952	-0.336531
38429		9.021770	-3.781372	-0.888868	-0.004044	-0.018509	-0.001146	-0.372559	0.800537	-0.031494	0.582749	-0.582549	-0.455952	-0.336375
38430		9.023886	-3.763543	-0.901684	-0.007557	-0.014413	0.004406	-0.370361	0.791992	-0.034180	0.582724	-0.582713	-0.455887	-0.336223
38431		9.046250	-3.749662	-0.914771	-0.003216	-0.008549	0.006407	-0.367676	0.795898	-0.022949	0.582756	-0.582787	-0.455839	-0.336103
38432		9.072108	-3.722651	-0.900726	0.001036	0.001936	0.011348	-0.370850	0.800781	-0.029541	0.582808	-0.582919	-0.455722	-0.335943
38433		9.045551	-3.741967	-0.937082	0.005256	0.009359	0.015996	-0.371338	0.796631	-0.027344	0.582963	-0.583009	-0.455517	-0.335795
38434		9.072945	-3.709546	-0.907036	0.010580	0.018764	0.019033	-0.374512	0.796875	-0.033936	0.583158	-0.583048	-0.455310	-0.335671
38435		9.034119	-3.748217	-0.912617	0.019499	0.015582	0.018445	-0.363525	0.798584	-0.034180	0.583413	-0.583004	-0.455140	-0.335534
38436		9.037437	-3.726536	-0.906344	0.016903	0.015072	0.019937	-0.369141	0.800537	-0.039795	0.583694	-0.583014	-0.454902	-0.335351
38437		9.062957	-3.701509	-0.887881	0.015480	0.022669	0.020394	-0.375000	0.795410	-0.033203	0.584019	-0.582974	-0.454619	-0.335239
38438		9.057871	-3.729382	-0.886101	0.013780	0.026271	0.016831	-0.372559	0.794434	-0.032959	0.584254	-0.582913	-0.454424	-0.335201
38439		9.029643	-3.711059	-0.872279	0.015180	0.021499	0.015727	-0.370605	0.799561	-0.033203	0.584472	-0.582857	-0.454261	-0.335136
38440		9.040501	-3.706122	-0.874160	0.012849	0.015040	0.012573	-0.373291	0.794189	-0.034668	0.584664	-0.582852	-0.454095	-0.335036
38441		9.038935	-3.703875	-0.907111	0.014490	0.009174	0.010693	-0.373779	0.796875	-0.032471	0.584820	-0.582797	-0.454025	-0.334955
38442		9.067646	-3.704159	-0.959919	0.014432	0.006911	0.005251	-0.368164	0.806152	-0.033691	0.584933	-0.582759	-0.453984	-0.334879
38443		9.053313	-3.669571	-0.941297	0.002811	0.012989	0.000584	-0.366943	0.792236	-0.040527	0.585050	-0.582806	-0.453808	-0.334832
38444		9.029593	-3.679930	-0.963616	0.003918	0.014969	-0.001029	-0.363770	0.794434	-0.035400	0.585197	-0.582708	-0.453715	-0.334870
38445		9.017676	-3.697928	-0.933463	-0.000188	0.008017	-0.003805	-0.364990	0.788086	-0.035645	0.585254	-0.582713	-0.453637	-0.334868
38446		9.028800	-3.700999	-0.914955	-0.003879	0.009392	-0.005570	-0.373047	0.794434	-0.037354	0.585272	-0.582684	-0.453604	-0.334932
38447		8.999037	-3.681395	-0.953772	-0.000720	-0.002806	-0.011188	-0.371826	0.796631	-0.036865	0.585248	-0.582634	-0.453674	-0.334967
38448		9.003555	-3.726205	-0.929963	-0.006465	-0.003894	-0.012088	-0.366455	0.793945	-0.031006	0.585194	-0.582635	-0.453715	-0.335004
38449		9.013262	-3.734712	-0.926749	0.001289	-0.011327	-0.016488	-0.368408	0.802734	-0.033447	0.585085	-0.582679	-0.453815	-0.334980
38450		9.017759	-3.718102	-0.903186	-0.006469	-0.013846	-0.020746	-0.368164	0.788330	-0.036133	0.584964	-0.582764	-0.453877	-0.334962
38451		9.021043	-3.768051	-0.894744	-0.004433	-0.025197	-0.025403	-0.369629	0.790039	-0.036865	0.584794	-0.582741	-0.454125	-0.334962
38452		9.031276	-3.774506	-0.895125	-0.005661	-0.035569	-0.029811	-0.379395	0.791748	-0.039551	0.584580	-0.582731	-0.454435	-0.334933
38453		9.025414	-3.752402	-0.892571	0.000298	-0.038636	-0.029987	-0.370361	0.791992	-0.032227	0.584385	-0.582619	-0.454844	-0.334912
38454		9.033917	-3.765325	-0.907067	0.001950	-0.044503	-0.031877	-0.369873	0.793213	-0.028320	0.584121	-0.582661	-0.455198	-0.334820
38455		9.046726	-3.753112	-0.919247	-0.000243	-0.044611	-0.033528	-0.370850	0.802979	-0.031738	0.583800	-0.582769	-0.455525	-0.334746
38456		9.027689	-3.744727	-0.925121	-0.003782	-0.045608	-0.032785	-0.373779	0.790283	-0.032959	0.583537	-0.582901	-0.455786	-0.334620
38457		9.039786	-3.743578	-0.915039	-0.009949	-0.044288	-0.031188	-0.376953	0.795654	-0.031494	0.583233	-0.582951	-0.456138	-0.334583
38458		9.030855	-3.750441	-0.880307	-0.005885	-0.034498	-0.029063	-0.374756	0.795654	-0.032959	0.582978	-0.582992	-0.456422	-0.334568
38459		9.028457	-3.759948	-0.911576	-0.000377	-0.038197	-0.027047	-0.370361	0.795654	-0.029053	0.582781	-0.583017	-0.456708	-0.334478
38460		9.024165	-3.731658	-0.895401	0.005180	-0.029873	-0.024807	-0.377441	0.794678	-0.025879	0.582619	-0.583087	-0.456898	-0.334379
38461		9.002972	-3.731807	-0.910872	0.007165	-0.025610	-0.022099	-0.372314	0.792480	-0.035400	0.582413	-0.583133	-0.457124	-0.334349
38462		9.033928	-3.731583	-0.933410	0.003432	-0.019386	-0.019981	-0.371338	0.791016	-0.024414	0.582387	-0.583071	-0.457293	-0.334271
