// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
35465		9.535836	-0.101855	-2.366528	-0.007091	-0.001592	-0.003028	-0.846436	-0.191406	-0.168701	0.597638	0.183182	-0.766070	0.149698
35466		9.545428	-0.108445	-2.383629	0.000987	-0.001306	-0.003012	-0.838135	-0.196777	-0.157471	0.597632	0.183208	-0.766071	0.149687
35467		9.546494	-0.080069	-2.344558	0.010705	-0.004736	-0.002066	-0.833984	-0.196533	-0.163330	0.597579	0.183292	-0.766083	0.149734
35468		9.555636	-0.061656	-2.347682	0.005054	-0.003087	-0.002675	-0.836914	-0.197510	-0.162842	0.597555	0.183338	-0.766088	0.149748
35469		9.534901	-0.062558	-2.346690	0.001985	-0.001710	-0.000961	-0.840332	-0.196045	-0.165039	0.597544	0.183357	-0.766092	0.149752
35470		9.538565	-0.107967	-2.325480	0.000967	-0.004050	-0.003812	-0.842285	-0.194336	-0.163086	0.597523	0.183392	-0.766103	0.149731
35471		9.548555	-0.153166	-2.364613	0.009784	-0.005438	-0.002658	-0.830078	-0.201904	-0.164307	0.597479	0.183466	-0.766112	0.149771
35472		9.557342	-0.109073	-2.353403	0.013882	-0.002636	-0.005780	-0.837158	-0.197998	-0.163818	0.597452	0.183574	-0.766096	0.149828
35473		9.536402	-0.096852	-2.345366	0.012039	-0.004039	-0.006964	-0.829834	-0.188965	-0.157715	0.597420	0.183682	-0.766088	0.149866
35474		9.560451	-0.128304	-2.318763	0.010187	-0.007282	-0.003886	-0.837646	-0.195557	-0.169922	0.597368	0.183765	-0.766102	0.149903
35475		9.558933	-0.142925	-2.351784	0.014217	-0.001539	-0.012728	-0.839600	-0.198242	-0.168945	0.597360	0.183916	-0.766066	0.149932
35476		9.556771	-0.106114	-2.355857	0.015954	-0.003617	-0.009537	-0.836182	-0.198730	-0.156982	0.597333	0.184055	-0.766042	0.149989
35477		9.536350	-0.131680	-2.369423	0.015196	-0.004690	-0.011471	-0.837158	-0.194824	-0.165527	0.597304	0.184203	-0.766021	0.150030
35478		9.547261	-0.122016	-2.354390	0.018631	-0.001321	-0.014273	-0.833740	-0.195312	-0.164062	0.597293	0.184380	-0.765976	0.150086
35479		9.524784	-0.111553	-2.371516	0.022020	-0.005280	-0.014406	-0.833252	-0.197998	-0.163086	0.597254	0.184578	-0.765945	0.150160
35480		9.542724	-0.047830	-2.363229	0.016686	-0.006209	-0.013444	-0.827637	-0.199463	-0.167480	0.597214	0.184745	-0.765927	0.150203
35481		9.555440	-0.060938	-2.337785	0.014278	-0.005401	-0.012051	-0.843994	-0.194580	-0.168457	0.597183	0.184893	-0.765909	0.150235
35482		9.553638	-0.062456	-2.364011	0.014597	-0.007978	-0.010475	-0.832764	-0.199951	-0.167725	0.597139	0.185033	-0.765902	0.150273
35483		9.552385	-0.102516	-2.411758	0.013273	-0.006839	-0.009836	-0.835205	-0.190674	-0.169922	0.597102	0.185169	-0.765892	0.150301
35484		9.522116	-0.108047	-2.401432	0.021620	-0.003449	-0.013162	-0.837646	-0.196289	-0.163330	0.597076	0.185357	-0.765852	0.150376
