// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
35465		9.117169	-3.530886	-0.986201	-0.003903	0.023706	-0.008783	-0.398926	0.792480	-0.077148	0.590901	-0.563201	-0.482774	-0.317128
35466		9.110471	-3.528134	-1.028753	0.005215	0.016841	-0.012228	-0.392578	0.788574	-0.067627	0.590961	-0.563081	-0.482762	-0.317246
35467		9.112891	-3.508227	-1.016082	0.010895	0.017135	-0.010882	-0.388672	0.787842	-0.075684	0.591045	-0.562949	-0.482754	-0.317336
35468		9.108531	-3.501188	-1.044531	0.005159	0.021518	-0.011993	-0.389893	0.785645	-0.072754	0.591124	-0.562819	-0.482719	-0.317475
35469		9.092861	-3.503884	-1.052629	0.001521	0.019684	-0.011421	-0.396240	0.783936	-0.075439	0.591178	-0.562714	-0.482681	-0.317617
35470		9.088578	-3.531615	-0.993335	-0.003818	0.018114	-0.008893	-0.395996	0.792480	-0.071045	0.591206	-0.562651	-0.482626	-0.317760
35471		9.068153	-3.543083	-1.030677	0.003644	0.004885	-0.011243	-0.384766	0.783447	-0.071533	0.591209	-0.562578	-0.482667	-0.317822
35472		9.070257	-3.523239	-1.020391	0.010285	-0.001444	-0.010841	-0.388916	0.786133	-0.073730	0.591217	-0.562493	-0.482755	-0.317823
35473		9.080812	-3.530259	-1.049965	0.017719	-0.003227	-0.011181	-0.385010	0.796387	-0.068848	0.591251	-0.562377	-0.482874	-0.317785
35474		9.083664	-3.524530	-1.035765	0.016778	-0.005184	-0.011741	-0.392334	0.790283	-0.081055	0.591268	-0.562272	-0.483004	-0.317741
35475		9.109510	-3.545474	-1.063317	0.022351	-0.001252	-0.010927	-0.395752	0.787354	-0.078857	0.591326	-0.562135	-0.483128	-0.317687
