// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
14999		9.535814	0.784880	-2.157472	0.006211	0.000481	0.000777	-0.833984	-0.222412	0.764648	-0.114682	-0.776911	0.079946	-0.613894
15000		9.532732	0.803562	-2.135661	0.010945	-0.002441	-0.000490	-0.837646	-0.220703	0.768311	-0.114612	-0.776934	0.079889	-0.613885
15001		9.531359	0.752790	-2.151439	0.008625	-0.007928	-0.002727	-0.825928	-0.227051	0.767822	-0.114562	-0.776985	0.079835	-0.613837
15002		9.536608	0.805183	-2.158116	0.008000	-0.007233	-0.002860	-0.833984	-0.218750	0.772217	-0.114520	-0.777031	0.079783	-0.613793
15003		9.520874	0.812736	-2.225975	0.004017	-0.007855	-0.005432	-0.834229	-0.224121	0.770996	-0.114516	-0.777079	0.079734	-0.613740
15004		9.514874	0.761369	-2.222217	0.003167	-0.011954	-0.007345	-0.838623	-0.221924	0.773193	-0.114526	-0.777149	0.079682	-0.613656
15005		9.544655	0.720494	-2.241877	0.004218	-0.009107	-0.008814	-0.830811	-0.220703	0.773193	-0.114537	-0.777209	0.079612	-0.613587
15006		9.570053	0.765010	-2.276372	0.009324	-0.001052	-0.012230	-0.830811	-0.222900	0.764160	-0.114535	-0.777237	0.079489	-0.613569
15007		9.558288	0.809075	-2.275642	0.005424	0.001938	-0.012489	-0.823975	-0.228027	0.770996	-0.114558	-0.777249	0.079383	-0.613562
15008		9.527215	0.742287	-2.297773	0.000403	0.005483	-0.015265	-0.837158	-0.232910	0.761475	-0.114631	-0.777245	0.079280	-0.613567
15009		9.499819	0.798091	-2.287838	-0.001060	0.009094	-0.018984	-0.833740	-0.218750	0.769287	-0.114731	-0.777229	0.079161	-0.613584
15010		9.477125	0.825760	-2.310314	0.007321	0.014856	-0.022280	-0.837891	-0.227783	0.767334	-0.114795	-0.777200	0.078972	-0.613632
15011		9.478853	0.849127	-2.305708	0.018714	0.022010	-0.019224	-0.834473	-0.230225	0.766113	-0.114776	-0.777152	0.078736	-0.613728
15012		9.506690	0.858289	-2.284538	0.021394	0.033473	-0.015759	-0.833984	-0.226807	0.769043	-0.114732	-0.777053	0.078496	-0.613892
15013		9.550425	0.886457	-2.257172	0.025946	0.038819	-0.015340	-0.832764	-0.217285	0.768799	-0.114662	-0.776939	0.078228	-0.614084
15014		9.524240	0.884395	-2.193321	0.024292	0.045692	-0.013985	-0.839355	-0.222656	0.765381	-0.114604	-0.776790	0.077971	-0.614315
15015		9.527922	0.843915	-2.072195	0.017598	0.044092	-0.010328	-0.831543	-0.218506	0.766846	-0.114576	-0.776644	0.077763	-0.614532
15016		9.558018	0.756164	-2.023705	0.018016	0.038599	-0.011979	-0.828613	-0.214355	0.763428	-0.114554	-0.776515	0.077550	-0.614726
15017		9.548735	0.734079	-1.980296	0.029384	0.026644	-0.017535	-0.839355	-0.227539	0.770264	-0.114473	-0.776443	0.077263	-0.614868
15018		9.561678	0.830498	-1.999126	0.033282	0.018664	-0.013862	-0.830078	-0.226074	0.773682	-0.114348	-0.776425	0.076970	-0.614951
15019		9.568307	0.737491	-1.992279	0.024619	0.009481	-0.018046	-0.827148	-0.227295	0.764648	-0.114296	-0.776435	0.076705	-0.614980
15020		9.575317	0.782368	-2.007873	0.011695	0.005378	-0.016864	-0.836670	-0.224365	0.768555	-0.114317	-0.776423	0.076520	-0.615015
15021		9.576301	0.751338	-2.094850	0.004440	0.000975	-0.024724	-0.835693	-0.223633	0.763428	-0.114419	-0.776434	0.076335	-0.615005
15022		9.573590	0.770517	-2.147148	-0.010780	0.002420	-0.024034	-0.837402	-0.226074	0.761719	-0.114609	-0.776408	0.076238	-0.615015
15023		9.609614	0.699063	-2.133656	-0.022292	0.001074	-0.028256	-0.833008	-0.215332	0.762451	-0.114896	-0.776379	0.076176	-0.615006
15024		9.558703	0.727301	-2.238404	-0.005516	0.003577	-0.034898	-0.829834	-0.222900	0.763184	-0.115067	-0.776359	0.076001	-0.615020
15025		9.535101	0.844150	-2.298068	0.005116	0.009202	-0.040018	-0.845215	-0.225830	0.765869	-0.115213	-0.776339	0.075734	-0.615051
15026		9.551667	0.890159	-2.289536	-0.002639	0.013781	-0.034854	-0.838867	-0.221924	0.766602	-0.115378	-0.776281	0.075539	-0.615118
15027		9.527530	0.819037	-2.340362	-0.002830	0.022996	-0.040044	-0.845703	-0.230957	0.765137	-0.115568	-0.776200	0.075297	-0.615213
15028		9.505985	0.980926	-2.318536	0.010783	0.032062	-0.037085	-0.833496	-0.223389	0.761963	-0.115679	-0.776084	0.075000	-0.615376
15029		9.489173	1.006412	-2.294030	0.004215	0.040655	-0.033957	-0.840088	-0.218262	0.765625	-0.115829	-0.775941	0.074736	-0.615559
