// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
13168		9.381425	1.544392	-1.657142	0.008513	-0.047829	-0.051125	-0.831543	-0.298340	0.717285	-0.147134	-0.763518	0.051908	-0.626656
13169		9.366988	1.686721	-1.721738	0.027100	-0.048790	-0.043998	-0.822754	-0.295166	0.718262	-0.147170	-0.763825	0.051546	-0.626303
13170		9.369107	1.766329	-1.726464	0.002882	-0.042971	-0.026888	-0.826416	-0.300781	0.718018	-0.147271	-0.764069	0.051412	-0.625993
13171		9.379913	1.735954	-1.690640	-0.048804	-0.033686	-0.011209	-0.830322	-0.301270	0.710938	-0.147628	-0.764190	0.051635	-0.625742
13172		9.387225	1.520059	-1.651636	-0.064836	-0.017036	0.003175	-0.834961	-0.304932	0.710449	-0.148023	-0.764199	0.052009	-0.625608
13173		9.393890	1.334519	-1.703567	-0.021794	-0.002287	0.012167	-0.824951	-0.300293	0.714111	-0.148102	-0.764179	0.052199	-0.625597
13174		9.406361	1.368654	-1.780566	0.033807	0.009868	0.021820	-0.824951	-0.304443	0.709473	-0.147774	-0.764161	0.052152	-0.625701
13175		9.454338	1.353588	-1.789771	0.061206	0.020160	0.048294	-0.833496	-0.296387	0.717529	-0.147129	-0.764114	0.052125	-0.625912
13176		9.569619	1.370854	-1.838983	0.050785	0.022713	0.087158	-0.824463	-0.298828	0.720459	-0.146339	-0.764028	0.052404	-0.626179
13177		9.693609	1.162640	-1.844432	0.036614	0.041292	0.140427	-0.826172	-0.301758	0.714600	-0.145357	-0.763809	0.053083	-0.626618
13178		9.688581	1.055636	-1.962329	0.056820	0.048941	0.197130	-0.826660	-0.297363	0.718994	-0.143930	-0.763552	0.054028	-0.627179
13179		9.830357	0.890069	-2.025137	0.077299	0.054522	0.276465	-0.840820	-0.291504	0.716553	-0.141928	-0.763263	0.055390	-0.627868
13180		10.033527	0.806321	-1.955922	0.081320	0.063341	0.365874	-0.841797	-0.283691	0.723389	-0.139391	-0.762899	0.057324	-0.628704
13181		10.164759	0.569439	-1.883019	0.088045	0.068089	0.458950	-0.840576	-0.273193	0.719971	-0.136276	-0.762472	0.059847	-0.629669
13182		10.205733	0.167228	-1.692509	0.114436	0.072041	0.569613	-0.843750	-0.269775	0.710938	-0.132362	-0.761982	0.062979	-0.630791
13183		10.169000	-0.272642	-1.490236	0.175651	0.069948	0.697085	-0.841309	-0.256104	0.718262	-0.127313	-0.761458	0.066678	-0.632081
13184		10.182955	-0.851839	-1.436285	0.290506	0.069963	0.846855	-0.847412	-0.243164	0.716064	-0.120650	-0.760911	0.070780	-0.633599
13185		10.174428	-1.062452	-1.367323	0.452417	0.089058	1.002121	-0.860840	-0.225586	0.712891	-0.112002	-0.760234	0.075121	-0.635497
13186		10.223899	-0.998428	-1.420028	0.586260	0.117927	1.183835	-0.867432	-0.195557	0.716553	-0.101336	-0.759273	0.080061	-0.637829
13187		10.238101	-0.791342	-1.418861	0.609278	0.154261	1.388329	-0.869629	-0.174072	0.717773	-0.089285	-0.757862	0.086204	-0.640501
13188		10.366713	-0.752123	-1.451401	0.525466	0.198363	1.600676	-0.865967	-0.145264	0.712646	-0.076644	-0.755783	0.094080	-0.643481
13189		10.472170	-1.002235	-1.470989	0.419472	0.261607	1.783428	-0.881348	-0.121094	0.710449	-0.064140	-0.752977	0.103513	-0.646682
13190		10.522387	-1.414859	-1.413035	0.340200	0.325735	1.929734	-0.887939	-0.087891	0.712402	-0.051014	-0.749319	0.114424	-0.650250
13191		10.535954	-1.831237	-1.413070	0.331415	0.375284	2.046152	-0.889160	-0.062012	0.706543	-0.037197	-0.745024	0.125925	-0.653987
13192		10.619221	-2.028644	-1.411973	0.346984	0.421829	2.140028	-0.897949	-0.017578	0.696533	-0.023155	-0.740082	0.137805	-0.657839
13193		10.680805	-2.319130	-1.361455	0.391063	0.479633	2.221692	-0.904297	0.014404	0.689941	-0.008390	-0.734527	0.150008	-0.661738
13194		10.729496	-2.587632	-1.311115	0.440719	0.517443	2.272166	-0.907471	0.057617	0.685059	0.006879	-0.728311	0.162206	-0.665737
13195		10.567437	-2.645705	-1.279854	0.458395	0.535397	2.319492	-0.919189	0.089355	0.681641	0.022545	-0.721704	0.174332	-0.669509
