// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
28280		9.084026	-2.973299	-1.935393	0.025956	-0.016849	-0.029168	-0.761230	-0.066650	0.378174	-0.192446	-0.627577	0.453148	-0.603132
28281		9.117937	-2.988301	-1.959390	0.031215	-0.027346	-0.030211	-0.760010	-0.070312	0.376221	-0.192331	-0.627878	0.452877	-0.603059
28282		9.130597	-3.040422	-1.926590	0.024964	-0.030962	-0.025436	-0.758545	-0.066650	0.380371	-0.192216	-0.628170	0.452667	-0.602950
28283		9.106558	-3.036434	-1.938856	0.021626	-0.041373	-0.021703	-0.760010	-0.069824	0.375732	-0.192056	-0.628494	0.452511	-0.602780
28284		9.082064	-3.033049	-1.952258	0.016594	-0.043540	-0.016041	-0.756104	-0.071289	0.373535	-0.191884	-0.628798	0.452414	-0.602590
28285		9.119572	-2.996883	-1.987962	0.015615	-0.037294	-0.001510	-0.757080	-0.071289	0.374268	-0.191666	-0.629014	0.452389	-0.602453
28286		9.101247	-2.975877	-1.910454	0.009415	-0.030466	0.012088	-0.762939	-0.073486	0.376465	-0.191437	-0.629135	0.452457	-0.602349
28287		9.109501	-2.967952	-1.889165	0.005700	-0.027108	0.023546	-0.758789	-0.066406	0.376221	-0.191183	-0.629188	0.452597	-0.602269
28288		9.142844	-2.926712	-1.858804	-0.006228	-0.022973	0.033362	-0.763672	-0.064697	0.381836	-0.190960	-0.629162	0.452839	-0.602184
28289		9.169859	-2.879223	-1.862746	-0.013256	-0.016889	0.039648	-0.755615	-0.071045	0.376465	-0.190770	-0.629068	0.453135	-0.602120
28290		9.179031	-2.879407	-1.872040	-0.017244	-0.002897	0.044025	-0.753174	-0.067871	0.374756	-0.190641	-0.628880	0.453443	-0.602125
28291		9.163828	-2.886567	-1.834010	-0.013050	-0.005166	0.047527	-0.757812	-0.060547	0.374756	-0.190475	-0.628697	0.453743	-0.602144
28292		9.203197	-2.855207	-1.766935	-0.012212	-0.009273	0.046554	-0.755371	-0.060547	0.372803	-0.190304	-0.628536	0.454030	-0.602149
28293		9.255537	-2.856364	-1.827862	-0.003443	-0.020526	0.042002	-0.754639	-0.063721	0.378418	-0.190084	-0.628459	0.454251	-0.602132
28294		9.244476	-2.837509	-1.854775	0.013817	-0.017656	0.036091	-0.751953	-0.065918	0.377930	-0.189832	-0.628417	0.454336	-0.602192
28295		9.325448	-2.780160	-1.883357	0.030359	-0.023880	0.028936	-0.761719	-0.060059	0.370850	-0.189522	-0.628461	0.454297	-0.602273
28296		9.355808	-2.709300	-1.863289	0.032034	-0.026063	0.021932	-0.750977	-0.056641	0.376221	-0.189262	-0.628548	0.454187	-0.602347
28297		9.428297	-2.673747	-1.895440	0.033780	-0.022674	0.015460	-0.765381	-0.055664	0.381592	-0.189049	-0.628657	0.454015	-0.602429
28298		9.515669	-2.601166	-1.964683	0.036277	-0.009181	0.011448	-0.751953	-0.060547	0.381836	-0.188974	-0.628716	0.453747	-0.602593
