// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
58930		8.010621	-5.623342	-0.547674	0.029420	-0.049408	-0.008673	-0.376953	0.812500	0.379639	0.473455	-0.718578	-0.107157	-0.497999
58931		8.025323	-5.613933	-0.460400	0.045794	-0.061349	-0.010778	-0.382812	0.818359	0.387939	0.473630	-0.718642	-0.107653	-0.497634
58932		8.072902	-5.506731	-0.486972	0.040130	-0.066240	-0.011294	-0.387695	0.812744	0.385986	0.473684	-0.718789	-0.108148	-0.497262
58933		8.024105	-5.597667	-0.485585	0.033406	-0.068476	-0.009621	-0.372559	0.817871	0.377930	0.473675	-0.718987	-0.108615	-0.496882
58934		8.074114	-5.573388	-0.548488	0.047563	-0.073451	-0.017516	-0.389404	0.820068	0.378906	0.473881	-0.719054	-0.109209	-0.496459
58935		8.192898	-5.442752	-0.693093	0.034199	-0.055313	-0.015639	-0.379883	0.826904	0.386230	0.473968	-0.719132	-0.109666	-0.496163
58936		8.169068	-5.458690	-0.766648	-0.009524	-0.017953	-0.015994	-0.378906	0.815186	0.382324	0.473822	-0.719228	-0.109804	-0.496133
58937		8.090630	-5.534552	-0.729955	-0.044557	0.017391	-0.009569	-0.376221	0.811523	0.386963	0.473490	-0.719340	-0.109627	-0.496326
58938		8.096409	-5.533285	-0.618994	-0.059532	0.032159	-0.009213	-0.377197	0.809082	0.386475	0.473035	-0.719477	-0.109332	-0.496626
58939		8.059632	-5.582243	-0.519660	-0.065200	0.036473	-0.013403	-0.376465	0.810547	0.384277	0.472529	-0.719614	-0.109026	-0.496976
58940		8.046658	-5.603225	-0.497307	-0.052813	0.031117	-0.011436	-0.381348	0.814941	0.381836	0.472143	-0.719702	-0.108782	-0.497269
58941		7.988388	-5.633829	-0.420070	-0.036404	0.013339	-0.009340	-0.386230	0.821045	0.390381	0.471887	-0.719777	-0.108663	-0.497429
58942		8.008843	-5.618091	-0.496672	-0.000159	-0.010387	-0.010411	-0.381592	0.813721	0.388916	0.471787	-0.719824	-0.108785	-0.497430
58943		8.090567	-5.515020	-0.586448	0.012803	-0.021603	-0.010419	-0.379639	0.820557	0.383057	0.471751	-0.719862	-0.109004	-0.497360
58944		8.036610	-5.601211	-0.561986	0.015115	-0.024429	-0.012897	-0.380371	0.815186	0.385254	0.471796	-0.719862	-0.109264	-0.497262
58945		8.070550	-5.539528	-0.612387	0.019203	-0.026753	-0.011092	-0.384766	0.814209	0.387451	0.471825	-0.719873	-0.109541	-0.497157
58946		8.038655	-5.552283	-0.565423	0.014536	-0.025851	-0.008661	-0.377686	0.819824	0.375732	0.471800	-0.719916	-0.109784	-0.497065
58947		8.032754	-5.550916	-0.580715	0.014969	-0.027427	-0.011408	-0.379395	0.809326	0.389648	0.471896	-0.719898	-0.110063	-0.496938
58948		8.086195	-5.489907	-0.592181	0.020627	-0.027807	-0.010043	-0.383545	0.803711	0.384766	0.471877	-0.719943	-0.110334	-0.496830
58949		8.071661	-5.516372	-0.603302	0.017971	-0.028499	-0.009385	-0.383301	0.815186	0.383301	0.471836	-0.719973	-0.110626	-0.496761
58950		8.069905	-5.501322	-0.620297	0.007368	-0.017319	-0.007911	-0.371338	0.821777	0.388672	0.471811	-0.719992	-0.110814	-0.496715
58951		8.053256	-5.555893	-0.614546	-0.024045	-0.004651	-0.004217	-0.375977	0.808350	0.386475	0.471656	-0.720121	-0.110756	-0.496688
58952		8.050208	-5.564505	-0.582725	-0.034978	0.006358	-0.004004	-0.379395	0.812744	0.387451	0.471388	-0.720231	-0.110643	-0.496808
58953		8.073984	-5.554470	-0.580206	-0.033439	0.006899	-0.006412	-0.386230	0.815674	0.381104	0.471128	-0.720327	-0.110549	-0.496937
58954		8.096750	-5.506610	-0.641747	-0.025784	0.006879	-0.008239	-0.379639	0.826172	0.392090	0.470940	-0.720347	-0.110539	-0.497088
58955		8.155487	-5.408214	-0.703824	-0.042604	0.020372	-0.003321	-0.385254	0.813721	0.387695	0.470681	-0.720439	-0.110319	-0.497249
58956		8.084378	-5.550485	-0.670533	-0.076022	0.047239	-0.000947	-0.390625	0.814941	0.391357	0.470206	-0.720531	-0.109891	-0.497659
58957		8.089571	-5.577726	-0.641057	-0.077403	0.049758	-0.000013	-0.377930	0.819824	0.387207	0.469696	-0.720631	-0.109439	-0.498097
58958		8.085028	-5.568316	-0.588757	-0.072647	0.060380	0.001228	-0.376465	0.814697	0.385254	0.469338	-0.720655	-0.108951	-0.498506
58959		8.042644	-5.576162	-0.630655	-0.054147	0.061723	0.001522	-0.389893	0.816162	0.393311	0.469104	-0.720591	-0.108538	-0.498908
58960		8.073124	-5.521037	-0.608789	-0.060031	0.064237	0.006221	-0.376709	0.810791	0.393066	0.468755	-0.720567	-0.108051	-0.499376
58961		8.025358	-5.563091	-0.567047	-0.075823	0.065086	0.007249	-0.379150	0.812012	0.393799	0.468361	-0.720621	-0.107453	-0.499796
58962		8.022489	-5.595706	-0.580976	-0.070154	0.062767	0.010035	-0.383057	0.816650	0.397949	0.468010	-0.720658	-0.106874	-0.500196
58963		8.087240	-5.498833	-0.625679	-0.072037	0.060710	0.009201	-0.383545	0.811279	0.392578	0.467623	-0.720719	-0.106288	-0.500596
58964		8.040704	-5.559481	-0.603184	-0.092808	0.067654	0.010543	-0.376221	0.813721	0.395752	0.467145	-0.720803	-0.105616	-0.501063
58965		8.031393	-5.633986	-0.600125	-0.099506	0.072755	0.009978	-0.382812	0.810547	0.397949	0.466660	-0.720913	-0.104862	-0.501515
58966		8.097060	-5.490225	-0.643801	-0.110077	0.088033	0.008717	-0.382324	0.814209	0.399902	0.466072	-0.720998	-0.104016	-0.502114
58967		8.094994	-5.476010	-0.657387	-0.150934	0.107681	0.013102	-0.384521	0.810059	0.399902	0.465286	-0.721167	-0.102894	-0.502831
58968		8.014508	-5.640420	-0.557803	-0.150248	0.106200	0.017064	-0.385498	0.807617	0.397461	0.464503	-0.721336	-0.101775	-0.503541
58969		7.943406	-5.681352	-0.427610	-0.113146	0.075235	0.013200	-0.384521	0.811768	0.400391	0.463928	-0.721461	-0.100970	-0.504053
58970		7.893276	-5.778244	-0.457023	-0.067015	0.039043	0.011357	-0.376709	0.805664	0.398926	0.463614	-0.721561	-0.100480	-0.504297
58971		7.981427	-5.672247	-0.496569	-0.020853	0.015446	0.006536	-0.390625	0.807617	0.399414	0.463580	-0.721583	-0.100270	-0.504339
58972		7.979390	-5.612324	-0.509550	-0.002291	0.005611	0.006476	-0.393799	0.806885	0.402588	0.463589	-0.721542	-0.100214	-0.504401
58973		7.985956	-5.724151	-0.516957	0.003127	-0.004030	0.004741	-0.376953	0.805664	0.397461	0.463570	-0.721531	-0.100212	-0.504433
58974		7.964815	-5.705085	-0.538719	0.019487	-0.012158	-0.000228	-0.386475	0.807617	0.397949	0.463755	-0.721494	-0.100305	-0.504298
58975		8.036689	-5.611090	-0.602150	0.014646	-0.007767	-0.003907	-0.381836	0.804443	0.397705	0.463854	-0.721432	-0.100405	-0.504276
58976		8.053837	-5.562234	-0.673178	-0.014022	0.013206	-0.003079	-0.385742	0.807373	0.400879	0.463806	-0.721412	-0.100280	-0.504373
58977		8.056176	-5.618520	-0.627053	-0.037732	0.026695	-0.004593	-0.391846	0.808838	0.406250	0.463588	-0.721436	-0.100013	-0.504594
58978		7.995637	-5.659168	-0.615370	-0.026183	0.019216	-0.001729	-0.384033	0.814209	0.400391	0.463377	-0.721465	-0.099799	-0.504787
58979		7.962769	-5.673603	-0.566921	-0.009342	0.012307	-0.005485	-0.388184	0.807861	0.401367	0.463384	-0.721429	-0.099712	-0.504849
58980		8.016800	-5.566630	-0.571807	0.005756	-0.001573	-0.006010	-0.385010	0.808594	0.404053	0.463398	-0.721398	-0.099748	-0.504875
58981		7.994444	-5.606897	-0.448667	0.006512	-0.008918	-0.003349	-0.384766	0.811768	0.395264	0.463416	-0.721427	-0.099772	-0.504812
58982		7.930149	-5.733270	-0.520186	0.028038	-0.019304	-0.004753	-0.381104	0.813965	0.404785	0.463662	-0.721339	-0.099982	-0.504670
58983		7.926553	-5.739676	-0.453219	0.053611	-0.035436	-0.004958	-0.389404	0.812500	0.397705	0.463988	-0.721305	-0.100290	-0.504357
58984		7.929077	-5.750126	-0.406001	0.070717	-0.056210	-0.006466	-0.377441	0.816406	0.405029	0.464403	-0.721209	-0.100816	-0.504007
58985		7.887214	-5.796029	-0.388632	0.095755	-0.086950	-0.010260	-0.387695	0.817383	0.405029	0.464943	-0.721238	-0.101500	-0.503331
58986		7.999395	-5.555771	-0.551368	0.099684	-0.088333	-0.009772	-0.389160	0.817383	0.398682	0.465453	-0.721218	-0.102233	-0.502739
58987		8.026663	-5.620966	-0.521072	0.057034	-0.071945	-0.013657	-0.387207	0.811523	0.405029	0.465741	-0.721239	-0.102779	-0.502331
58988		7.964498	-5.731260	-0.465306	0.063075	-0.078068	-0.020972	-0.378174	0.808594	0.404541	0.465925	-0.721327	-0.103390	-0.501907
58989		8.040099	-5.557038	-0.518219	0.057112	-0.085043	-0.021412	-0.381836	0.809814	0.401367	0.466086	-0.721506	-0.103962	-0.501384
