// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56495		9.440693	-2.463526	-0.962478	-0.009491	-0.011406	0.023672	-0.844971	0.022217	0.496094	-0.066784	-0.694847	0.257327	-0.668214
56496		9.491041	-2.495359	-1.016392	-0.003582	-0.001117	0.019630	-0.847168	0.013916	0.503662	-0.066693	-0.694809	0.257462	-0.668211
56497		9.446134	-2.539580	-0.988409	-0.006543	-0.001887	0.012669	-0.844971	0.018555	0.491455	-0.066730	-0.694783	0.257552	-0.668199
56498		9.448016	-2.555803	-0.990799	0.002852	-0.000727	0.012262	-0.845947	0.022705	0.503418	-0.066712	-0.694750	0.257588	-0.668222
56499		9.440659	-2.595112	-0.944112	0.006681	0.002264	0.002608	-0.852539	0.029785	0.500488	-0.066623	-0.694742	0.257578	-0.668243
56500		9.438969	-2.562032	-0.972414	0.007685	-0.010936	0.006352	-0.836426	0.020508	0.497559	-0.066440	-0.694805	0.257604	-0.668185
56501		9.433541	-2.535159	-0.969292	0.015675	-0.009159	0.013000	-0.846191	0.027344	0.501465	-0.066242	-0.694836	0.257607	-0.668172
56502		9.415405	-2.519439	-1.008291	0.023062	-0.001207	0.008888	-0.845703	0.027100	0.493896	-0.065986	-0.694845	0.257557	-0.668207
56503		9.428571	-2.518136	-1.012258	0.017332	0.000285	0.008240	-0.848145	0.029297	0.496094	-0.065813	-0.694836	0.257524	-0.668246
56504		9.445886	-2.537108	-0.972688	0.001725	0.001735	0.005421	-0.851807	0.023193	0.495361	-0.065726	-0.694822	0.257569	-0.668252
56505		9.476490	-2.580466	-0.956132	0.003562	-0.001027	0.008738	-0.849365	0.027344	0.499023	-0.065678	-0.694803	0.257605	-0.668263
56506		9.479720	-2.549156	-0.970733	0.013131	-0.007706	0.007426	-0.836914	0.031494	0.503174	-0.065502	-0.694838	0.257605	-0.668243
56507		9.412911	-2.545037	-0.977018	0.026829	-0.002504	-0.004557	-0.834473	0.030029	0.501953	-0.065239	-0.694893	0.257480	-0.668260
56508		9.396980	-2.560845	-0.986563	0.033638	0.005072	-0.005948	-0.843018	0.027100	0.492920	-0.064977	-0.694906	0.257302	-0.668340
56509		9.425979	-2.560829	-0.948481	0.038192	-0.002601	-0.006931	-0.848145	0.020020	0.506836	-0.064758	-0.694935	0.257084	-0.668416
