// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56495		5.058383	2.009795	8.121306	-0.013432	0.002229	0.004667	-0.569336	0.267822	-0.457031	0.438584	-0.191039	-0.219492	-0.850277
56496		5.067189	2.042218	8.122048	-0.015284	0.002953	0.003952	-0.571289	0.260010	-0.446533	0.438593	-0.191081	-0.219367	-0.850295
56497		5.067489	2.008597	8.133236	-0.016308	0.004652	0.005671	-0.569092	0.261230	-0.459473	0.438606	-0.191126	-0.219233	-0.850313
56498		5.032855	2.008452	8.123772	-0.019152	0.004150	0.005458	-0.565186	0.267578	-0.447510	0.438622	-0.191176	-0.219074	-0.850335
56499		5.032471	2.005633	8.104027	-0.016811	0.004655	0.004453	-0.572998	0.277588	-0.453369	0.438635	-0.191212	-0.218930	-0.850357
56500		5.027458	1.985565	8.115303	-0.017648	0.004531	0.004096	-0.559570	0.264160	-0.452637	0.438644	-0.191251	-0.218782	-0.850381
56501		5.032233	1.969439	8.116128	-0.013278	0.003335	0.003805	-0.568848	0.270264	-0.452881	0.438656	-0.191281	-0.218669	-0.850398
56502		5.026756	1.980927	8.116871	-0.014448	0.003084	0.004307	-0.567383	0.273438	-0.454346	0.438670	-0.191319	-0.218546	-0.850414
56503		5.021372	1.992328	8.117585	-0.014271	0.002110	0.004306	-0.567139	0.272705	-0.455322	0.438682	-0.191361	-0.218428	-0.850428
56504		5.031396	1.962616	8.118299	-0.013466	0.005160	0.005882	-0.573242	0.264648	-0.454834	0.438712	-0.191381	-0.218300	-0.850441
56505		5.054613	1.984738	8.150478	-0.017994	0.005641	0.002019	-0.568359	0.268799	-0.456543	0.438709	-0.191406	-0.218144	-0.850477
56506		5.019542	1.984237	8.162024	-0.023557	0.008282	0.006962	-0.560303	0.271973	-0.447998	0.438737	-0.191442	-0.217929	-0.850510
56507		5.018794	1.979669	8.122275	-0.034629	0.008948	0.011476	-0.555176	0.270508	-0.451172	0.438781	-0.191519	-0.217624	-0.850548
56508		5.017974	1.973627	8.144906	-0.038143	0.008199	0.012976	-0.561279	0.269531	-0.457031	0.438828	-0.191614	-0.217295	-0.850586
56509		5.026938	1.970476	8.157375	-0.043519	0.009025	0.015839	-0.568848	0.264893	-0.445801	0.438889	-0.191725	-0.216918	-0.850626
56510		5.021677	1.945526	8.149212	-0.049062	0.009984	0.016624	-0.559326	0.267334	-0.459961	0.438946	-0.191850	-0.216498	-0.850675
56511		4.992497	1.895004	8.171932	-0.051398	0.008257	0.020552	-0.565674	0.270752	-0.452393	0.439028	-0.191998	-0.216057	-0.850712
56512		5.016303	1.911251	8.122647	-0.052216	0.006065	0.021041	-0.565430	0.270020	-0.453857	0.439108	-0.192166	-0.215610	-0.850746
56513		5.010851	1.916449	8.145558	-0.047521	0.006235	0.016960	-0.566650	0.261963	-0.452148	0.439168	-0.192308	-0.215201	-0.850787
56514		5.014439	1.957300	8.148032	-0.044008	0.006995	0.015458	-0.565186	0.270020	-0.449463	0.439219	-0.192427	-0.214818	-0.850830
56515		5.009195	1.963813	8.149941	-0.039623	0.003313	0.021026	-0.562744	0.272461	-0.455078	0.439312	-0.192567	-0.214471	-0.850838
56516		5.004723	1.939759	8.140988	-0.037288	0.005060	0.017096	-0.561279	0.281250	-0.454346	0.439388	-0.192669	-0.214142	-0.850858
56517		5.000287	1.916546	8.131784	-0.030882	0.001304	0.015436	-0.554932	0.277100	-0.450684	0.439463	-0.192774	-0.213872	-0.850864
56518		5.009782	1.945565	8.153955	-0.031031	-0.000637	0.014208	-0.558838	0.269775	-0.448242	0.439520	-0.192892	-0.213614	-0.850872
56519		5.015039	1.957586	8.144736	-0.031190	-0.001738	0.015059	-0.559814	0.274170	-0.455078	0.439566	-0.193016	-0.213370	-0.850882
56520		5.011848	1.903523	8.165535	-0.028488	-0.004432	0.016978	-0.559570	0.278076	-0.451660	0.439636	-0.193136	-0.213150	-0.850873
56521		5.022665	1.902199	8.155788	-0.026645	-0.003921	0.014762	-0.559814	0.276123	-0.450439	0.439697	-0.193252	-0.212944	-0.850867
56522		5.014063	1.893907	8.166411	-0.022100	-0.006111	0.014467	-0.562256	0.274414	-0.449707	0.439754	-0.193366	-0.212782	-0.850852
56523		5.015393	1.889803	8.166545	-0.020752	-0.006836	0.013962	-0.564941	0.281250	-0.447998	0.439801	-0.193478	-0.212636	-0.850839
56524		5.036629	1.861603	8.176775	-0.023273	-0.006354	0.014963	-0.569336	0.276611	-0.452148	0.439861	-0.193608	-0.212464	-0.850822
56525		4.998111	1.904665	8.177582	-0.025794	-0.005871	0.015964	-0.562256	0.271240	-0.445557	0.439913	-0.193729	-0.212278	-0.850813
56526		5.009142	1.903452	8.167685	-0.026641	-0.005150	0.017684	-0.556152	0.276855	-0.442139	0.439960	-0.193867	-0.212084	-0.850806
56527		5.035327	1.860395	8.178023	-0.029663	-0.004654	0.017468	-0.570801	0.277832	-0.442383	0.440022	-0.194028	-0.211854	-0.850795
56528		5.006647	1.875320	8.178893	-0.027845	-0.001225	0.016491	-0.561768	0.279297	-0.450439	0.440057	-0.194160	-0.211641	-0.850800
56529		4.998370	1.836094	8.137552	-0.028668	-0.003422	0.016973	-0.560303	0.282227	-0.451172	0.440131	-0.194273	-0.211416	-0.850791
56530		5.018240	1.868814	8.169849	-0.024474	-0.003665	0.016688	-0.557373	0.284668	-0.445801	0.440225	-0.194372	-0.211213	-0.850771
56531		5.024663	1.819106	8.179951	-0.025152	-0.002673	0.015477	-0.563232	0.276611	-0.447510	0.440314	-0.194492	-0.210995	-0.850751
56532		4.991008	1.848600	8.180839	-0.022618	-0.005236	0.015315	-0.552979	0.272949	-0.452393	0.440359	-0.194603	-0.210831	-0.850743
56533		5.016296	1.869242	8.171194	-0.018926	-0.005470	0.013813	-0.562988	0.282959	-0.443848	0.440425	-0.194655	-0.210688	-0.850733
56534		5.032252	1.855060	8.181547	-0.020099	-0.005714	0.014310	-0.555664	0.278320	-0.445557	0.440480	-0.194787	-0.210531	-0.850713
56535		4.984436	1.864464	8.181770	-0.017252	-0.005233	0.014531	-0.560791	0.282959	-0.444824	0.440549	-0.194880	-0.210392	-0.850690
56536		4.981320	1.844095	8.170889	-0.013024	-0.010483	0.013844	-0.558594	0.287598	-0.443604	0.440612	-0.195008	-0.210302	-0.850650
56537		5.012829	1.821359	8.169928	-0.006137	-0.012194	0.012547	-0.563477	0.279297	-0.439697	0.440704	-0.195132	-0.210248	-0.850588
56538		4.995480	1.812596	8.189414	0.001093	-0.014610	0.008310	-0.559814	0.280762	-0.451416	0.440693	-0.195257	-0.210300	-0.850552
56539		4.992920	1.826615	8.167485	0.007484	-0.017560	0.008717	-0.566162	0.283936	-0.448242	0.440757	-0.195289	-0.210393	-0.850488
56540		5.010585	1.817214	8.175679	0.015563	-0.021943	0.005677	-0.561279	0.278076	-0.446289	0.440788	-0.195358	-0.210566	-0.850414
56541		5.003345	1.878114	8.143335	0.016908	-0.022671	0.005169	-0.559570	0.285400	-0.443848	0.440793	-0.195420	-0.210761	-0.850349
56542		5.007344	1.848292	8.171170	0.018950	-0.027719	0.009630	-0.555664	0.272949	-0.445557	0.440872	-0.195551	-0.210948	-0.850231
56543		5.016250	1.867693	8.178729	0.025171	-0.030522	0.007958	-0.564941	0.278809	-0.439209	0.440883	-0.195618	-0.211236	-0.850138
56544		5.030701	1.842972	8.174936	0.026338	-0.029436	0.009538	-0.560791	0.283936	-0.446533	0.440877	-0.195766	-0.211523	-0.850036
56545		5.020234	1.856226	8.161456	0.025837	-0.030253	0.006238	-0.562988	0.281738	-0.440918	0.440946	-0.195854	-0.211779	-0.849916
56546		5.054224	1.838937	8.157642	0.028362	-0.031978	0.008151	-0.562744	0.279053	-0.451660	0.440974	-0.195998	-0.212071	-0.849796
56547		5.107166	1.859428	8.164907	0.022970	-0.027804	0.007258	-0.564941	0.281006	-0.448486	0.441035	-0.196018	-0.212326	-0.849696
56548		5.086033	1.868232	8.162463	0.017047	-0.018625	0.005550	-0.557129	0.274414	-0.439697	0.441079	-0.196037	-0.212505	-0.849624
56549		5.074201	1.848822	8.160221	0.012174	-0.016547	0.006718	-0.564697	0.277588	-0.449951	0.441068	-0.196110	-0.212645	-0.849578
56550		5.066800	1.846342	8.148162	0.009818	-0.014955	0.006877	-0.553467	0.283203	-0.452881	0.441101	-0.196104	-0.212776	-0.849529
56551		5.068709	1.877334	8.178272	0.004614	-0.013843	0.006824	-0.558838	0.278320	-0.444580	0.441277	-0.196060	-0.212797	-0.849442
56552		5.041380	1.866619	8.166714	0.001579	-0.010428	0.007857	-0.569580	0.273438	-0.447021	0.441322	-0.196098	-0.212824	-0.849404
56553		5.067694	1.859701	8.144791	-0.000751	-0.013832	0.007622	-0.555908	0.274414	-0.449463	0.441245	-0.196159	-0.212915	-0.849407
56554		5.039890	1.910141	8.154987	-0.002268	-0.012125	0.008138	-0.568115	0.281250	-0.453613	0.441303	-0.196137	-0.212938	-0.849376
56555		5.042225	1.877950	8.143185	-0.005610	-0.013832	0.009635	-0.564209	0.278809	-0.448242	0.441373	-0.196161	-0.212948	-0.849332
56556		5.029823	1.886282	8.173405	-0.002083	-0.014340	0.011052	-0.569092	0.282715	-0.448486	0.441420	-0.196217	-0.212980	-0.849286
56557		5.051876	1.861249	8.161452	-0.001578	-0.014350	0.012266	-0.560303	0.277588	-0.453369	0.441488	-0.196301	-0.213008	-0.849224
56558		5.059669	1.815112	8.169851	-0.001406	-0.016161	0.010177	-0.561279	0.279053	-0.448486	0.441581	-0.196278	-0.213052	-0.849170
56559		5.070986	1.880366	8.138522	-0.000247	-0.013838	0.008832	-0.564453	0.279785	-0.442139	0.441645	-0.196302	-0.213086	-0.849123
56560		5.054208	1.840894	8.167882	-0.000408	-0.014940	0.009682	-0.555664	0.274414	-0.449951	0.441646	-0.196432	-0.213124	-0.849083
56561		5.056026	1.871752	8.136052	0.000589	-0.014557	0.007107	-0.570801	0.278564	-0.455322	0.441699	-0.196388	-0.213181	-0.849051
56562		5.087377	1.850965	8.134504	0.001737	-0.010157	0.004920	-0.562500	0.277832	-0.449951	0.441715	-0.196315	-0.213271	-0.849037
56563		5.049740	1.867749	8.144366	0.003744	-0.010635	0.002693	-0.570801	0.276611	-0.447998	0.441737	-0.196268	-0.213347	-0.849018
