// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56495		3.342437	-2.058190	9.009127	0.004477	-0.014519	-0.000191	-0.343994	0.627197	-0.549316	0.600942	-0.202762	-0.022141	-0.772829
56496		3.363681	-2.040729	9.029095	0.007792	-0.006966	-0.000096	-0.344727	0.620605	-0.543213	0.600954	-0.202768	-0.022226	-0.772817
56497		3.330678	-2.049154	8.995357	0.003874	-0.003242	-0.000522	-0.340820	0.623047	-0.551025	0.600953	-0.202772	-0.022271	-0.772815
56498		3.296954	-2.038649	8.988363	0.004439	0.002853	0.001023	-0.341064	0.627930	-0.541992	0.600968	-0.202732	-0.022284	-0.772814
56499		3.253280	-2.068082	9.002435	0.005761	-0.001484	-0.001528	-0.348145	0.633057	-0.546875	0.600968	-0.202711	-0.022331	-0.772818
56500		3.255939	-2.128948	8.966621	0.009057	-0.005030	-0.003189	-0.333008	0.624512	-0.545166	0.600962	-0.202695	-0.022417	-0.772824
56501		3.301260	-2.089572	8.988027	0.014827	-0.003501	0.003905	-0.346680	0.631592	-0.544434	0.601013	-0.202641	-0.022516	-0.772795
56502		3.292918	-2.037192	9.008675	0.016091	-0.001566	0.000811	-0.344971	0.632080	-0.550049	0.601047	-0.202568	-0.022616	-0.772785
56503		3.291912	-2.022996	9.000603	0.015671	0.000483	-0.000446	-0.348877	0.632080	-0.545898	0.601074	-0.202481	-0.022704	-0.772785
56504		3.306003	-2.028106	9.014398	0.012590	0.000109	0.001644	-0.353516	0.625000	-0.548584	0.601109	-0.202408	-0.022770	-0.772775
56505		3.295632	-2.105008	8.982992	0.010559	0.005590	0.000208	-0.346680	0.628174	-0.546875	0.601132	-0.202308	-0.022798	-0.772782
