// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23875		9.665172	1.616161	-0.818781	0.030549	0.026245	0.047091	-0.682129	-0.496338	-0.124268	0.605897	0.432678	-0.595406	0.301943
23876		9.702975	1.527681	-0.734251	0.011526	0.035140	0.051702	-0.686523	-0.496094	-0.133789	0.605900	0.432391	-0.595386	0.302388
23877		9.727455	1.539371	-0.697254	-0.005905	0.032153	0.055266	-0.687256	-0.491699	-0.136719	0.605949	0.431997	-0.595436	0.302755
23878		9.708826	1.588237	-0.734306	-0.026385	0.033439	0.056198	-0.686768	-0.494873	-0.129150	0.606069	0.431499	-0.595535	0.303030
23879		9.701193	1.541755	-0.690395	-0.027746	0.029793	0.049241	-0.684570	-0.497803	-0.133301	0.606194	0.431037	-0.595630	0.303250
23880		9.704817	1.529783	-0.717016	-0.029113	0.032146	0.045356	-0.679688	-0.491211	-0.134766	0.606347	0.430579	-0.595701	0.303455
23881		9.678723	1.540261	-0.695637	-0.038094	0.027211	0.038200	-0.691406	-0.498291	-0.134766	0.606528	0.430120	-0.595794	0.303564
23882		9.671791	1.520110	-0.702165	-0.043232	0.023096	0.030090	-0.685791	-0.490479	-0.129150	0.606729	0.429683	-0.595888	0.303595
23883		9.693150	1.537196	-0.738642	-0.038536	0.025710	0.024618	-0.684326	-0.483154	-0.133057	0.606942	0.429286	-0.595937	0.303634
23884		9.702670	1.631984	-0.699486	-0.051509	0.034087	0.018853	-0.687500	-0.481689	-0.132568	0.607259	0.428830	-0.595955	0.303612
23885		9.686245	1.769442	-0.640248	-0.067945	0.032692	0.016941	-0.688477	-0.487549	-0.137939	0.607637	0.428303	-0.596009	0.303491
23886		9.712403	1.943099	-0.801926	-0.102936	0.017419	-0.002072	-0.691406	-0.484131	-0.133301	0.608124	0.427738	-0.596148	0.303038
23887		9.648421	2.294718	-0.867679	-0.178749	-0.004905	-0.034264	-0.689697	-0.486816	-0.136230	0.608859	0.427025	-0.596466	0.301941
23888		9.387121	2.498972	-0.787494	-0.245062	-0.049356	-0.053748	-0.686279	-0.490479	-0.137207	0.609672	0.426225	-0.597083	0.300208
23889		9.572214	2.546601	-0.722406	-0.243658	-0.117690	-0.129167	-0.686035	-0.486328	-0.134521	0.610351	0.426029	-0.597739	0.297790
23890		9.680336	2.715634	-0.915506	-0.294311	-0.167469	-0.205998	-0.677002	-0.488525	-0.134277	0.611178	0.426123	-0.598461	0.294492
23891		9.829565	2.551984	-1.213230	-0.350204	-0.196408	-0.266054	-0.683105	-0.500000	-0.140137	0.612216	0.426348	-0.599221	0.290435
23892		9.862776	2.478241	-1.226127	-0.339043	-0.196062	-0.357700	-0.677246	-0.501709	-0.143555	0.613447	0.427173	-0.599568	0.285876
23893		9.732428	2.904170	-1.268153	-0.412796	-0.226881	-0.453194	-0.679688	-0.500732	-0.138428	0.614980	0.428192	-0.599894	0.280318
23894		9.470092	3.345663	-1.120252	-0.454066	-0.247097	-0.563662	-0.667725	-0.507812	-0.135010	0.616787	0.429655	-0.600006	0.273795
23895		9.346851	3.761903	-0.893896	-0.388004	-0.300153	-0.777939	-0.669678	-0.521973	-0.139404	0.618564	0.432638	-0.599448	0.266205
23896		9.421193	4.010632	-1.269454	-0.351392	-0.313619	-1.001460	-0.664795	-0.537598	-0.135742	0.620685	0.437146	-0.597828	0.257401
23897		9.701535	4.485263	-1.404307	-0.321222	-0.336832	-1.180225	-0.652344	-0.543457	-0.132568	0.622959	0.442892	-0.595426	0.247461
23898		9.699987	4.684060	-1.292164	-0.386417	-0.372022	-1.285224	-0.645020	-0.548096	-0.125732	0.625398	0.448799	-0.592933	0.236404
23899		9.698066	4.842829	-1.066538	-0.439067	-0.427282	-1.373121	-0.629883	-0.568359	-0.133789	0.627779	0.454869	-0.590527	0.224203
23900		9.796406	5.313858	-1.140769	-0.509023	-0.489632	-1.505042	-0.614014	-0.591064	-0.129639	0.630347	0.461399	-0.587671	0.210752
23901		9.847109	6.026631	-1.489025	-0.680083	-0.557023	-1.650863	-0.606934	-0.612549	-0.120850	0.633483	0.467859	-0.584604	0.195051
23902		9.987863	6.400307	-1.564379	-0.853254	-0.620365	-1.833836	-0.599609	-0.612793	-0.130859	0.637194	0.474643	-0.581017	0.176401
23903		10.027652	6.207979	-1.636259	-1.076729	-0.661644	-1.996043	-0.569824	-0.637939	-0.128174	0.641319	0.480944	-0.577106	0.156048
23904		10.433148	5.703875	-1.808504	-1.181537	-0.660957	-2.117528	-0.549072	-0.661133	-0.135254	0.645832	0.486699	-0.572771	0.134010
23905		10.372643	5.616510	-1.921392	-1.148601	-0.654784	-2.230485	-0.529541	-0.682617	-0.139893	0.650116	0.493126	-0.567267	0.111287
23906		10.330057	5.845634	-1.804389	-1.068032	-0.664130	-2.369527	-0.501465	-0.697998	-0.155029	0.653778	0.500584	-0.560609	0.087793
