// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25861		8.256452	-2.483379	4.704437	-0.002767	0.001799	-0.002836	-0.471436	0.412109	-0.193115	0.574318	-0.461975	-0.217010	-0.640035
25862		8.243639	-2.481515	4.697668	-0.003710	0.003447	-0.005251	-0.464844	0.417725	-0.198975	0.574282	-0.461964	-0.216994	-0.640080
25863		8.225035	-2.479434	4.670846	-0.005229	-0.000255	-0.003690	-0.473633	0.422363	-0.201660	0.574252	-0.461980	-0.216974	-0.640103
25864		8.229085	-2.494144	4.690867	-0.004487	-0.000341	-0.002623	-0.470703	0.420166	-0.204590	0.574220	-0.461999	-0.216962	-0.640122
25865		8.261718	-2.498209	4.691840	-0.003368	0.000447	-0.007046	-0.466797	0.427002	-0.203125	0.574170	-0.462000	-0.216968	-0.640164
25866		8.260008	-2.468361	4.671134	-0.004349	0.001241	-0.005685	-0.471924	0.419922	-0.201904	0.574125	-0.462005	-0.216961	-0.640203
25867		8.263958	-2.482775	4.691490	-0.004148	0.002698	-0.004254	-0.476074	0.417480	-0.201660	0.574091	-0.462004	-0.216942	-0.640240
25868		8.245261	-2.480695	4.664833	-0.004148	0.002697	-0.004255	-0.473145	0.422852	-0.192383	0.574056	-0.462004	-0.216925	-0.640277
25869		8.253074	-2.466145	4.684564	-0.002967	0.003360	-0.004185	-0.465332	0.423096	-0.195557	0.574027	-0.461997	-0.216910	-0.640314
25870		8.242106	-2.493350	4.698682	-0.002086	0.004857	-0.006180	-0.471924	0.417969	-0.201172	0.573993	-0.461974	-0.216902	-0.640364
25871		8.258717	-2.481650	4.640550	-0.000465	0.006269	-0.007107	-0.471680	0.415527	-0.198730	0.573963	-0.461934	-0.216898	-0.640421
25872		8.243653	-2.477007	4.700022	0.001257	0.008409	-0.007320	-0.469971	0.426025	-0.197021	0.573941	-0.461878	-0.216896	-0.640481
25873		8.256040	-2.477630	4.708190	0.002299	0.007490	-0.004189	-0.470947	0.423096	-0.199219	0.573938	-0.461828	-0.216891	-0.640522
25874		8.255662	-2.492978	4.644561	0.003762	0.011316	-0.010243	-0.475342	0.426514	-0.203125	0.573915	-0.461739	-0.216900	-0.640604
25875		8.248236	-2.473402	4.724179	0.003764	0.011315	-0.010244	-0.474121	0.426514	-0.191895	0.573891	-0.461654	-0.216909	-0.640683
25876		8.240890	-2.487038	4.673794	0.003224	0.012855	-0.009882	-0.470459	0.417236	-0.202148	0.573870	-0.461564	-0.216905	-0.640768
25877		8.274639	-2.475043	4.676727	0.006471	0.015677	-0.011738	-0.468262	0.422363	-0.198730	0.573858	-0.461440	-0.216913	-0.640866
25878		8.247141	-2.468461	4.698330	0.010801	0.021450	-0.014160	-0.469727	0.426270	-0.201904	0.573858	-0.461264	-0.216926	-0.640988
25879		8.201116	-2.459631	4.693095	0.014356	0.014385	-0.014194	-0.471191	0.414307	-0.194580	0.573858	-0.461110	-0.216992	-0.641076
25880		8.261776	-2.450135	4.677622	0.021158	0.010142	-0.016082	-0.465332	0.414795	-0.201172	0.573866	-0.460941	-0.217125	-0.641146
25881		8.276275	-2.476998	4.707724	0.018502	0.012658	-0.018213	-0.467041	0.422119	-0.198975	0.573858	-0.460766	-0.217240	-0.641240
25882		8.271770	-2.458622	4.690444	0.014070	0.021237	-0.016114	-0.476562	0.419434	-0.206299	0.573859	-0.460576	-0.217280	-0.641362
25883		8.191109	-2.443342	4.749375	0.007922	0.015609	-0.014116	-0.466064	0.415771	-0.199463	0.573831	-0.460451	-0.217314	-0.641465
25884		8.232942	-2.477071	4.727903	0.004232	0.012040	-0.011261	-0.471436	0.418457	-0.205078	0.573806	-0.460359	-0.217327	-0.641549
25885		8.210076	-2.501939	4.703791	0.006158	0.013582	-0.018402	-0.468018	0.428955	-0.205322	0.573753	-0.460237	-0.217369	-0.641670
25886		8.251854	-2.430459	4.705295	0.007592	0.016546	-0.020686	-0.469971	0.416992	-0.206299	0.573706	-0.460096	-0.217394	-0.641804
25887		8.254339	-2.457005	4.696285	0.013215	0.020690	-0.022408	-0.477783	0.417969	-0.201904	0.573674	-0.459894	-0.217454	-0.641958
25888		8.230151	-2.478651	4.706425	0.014070	0.022289	-0.028909	-0.468994	0.412354	-0.203613	0.573602	-0.459682	-0.217541	-0.642144
25889		8.239558	-2.504692	4.685706	0.015471	0.028373	-0.035622	-0.463135	0.413086	-0.204834	0.573521	-0.459406	-0.217629	-0.642384
25890		8.202764	-2.402976	4.744996	0.015508	0.032326	-0.043841	-0.464355	0.422607	-0.206299	0.573413	-0.459094	-0.217717	-0.642674
25891		8.238351	-2.415208	4.771301	0.011033	0.027988	-0.038279	-0.478760	0.422607	-0.200439	0.573315	-0.458844	-0.217766	-0.642923
25892		8.235875	-2.380086	4.754385	0.009619	0.021999	-0.036076	-0.472168	0.421143	-0.208496	0.573187	-0.458659	-0.217844	-0.643143
25893		8.210962	-2.399624	4.796875	0.008550	0.019041	-0.035512	-0.473877	0.407471	-0.211670	0.573068	-0.458468	-0.217923	-0.643358
25894		8.275436	-2.493776	4.694032	0.005694	0.017168	-0.043663	-0.468262	0.412354	-0.198242	0.572886	-0.458251	-0.218057	-0.643629
25895		8.254604	-2.438933	4.714593	0.009004	0.026938	-0.053682	-0.471436	0.419434	-0.205811	0.572677	-0.457995	-0.218178	-0.643957
25896		8.224660	-2.396285	4.749208	0.008463	0.028558	-0.057844	-0.479492	0.416748	-0.197998	0.572457	-0.457725	-0.218289	-0.644307
25897		8.223465	-2.386835	4.785963	0.005327	0.026448	-0.055285	-0.478027	0.411377	-0.205322	0.572205	-0.457513	-0.218404	-0.644642
25898		8.252383	-2.368557	4.770259	0.002933	0.018241	-0.051791	-0.472900	0.410645	-0.203613	0.571959	-0.457326	-0.218540	-0.644946
25899		8.229129	-2.403216	4.747159	0.001494	0.018375	-0.053950	-0.477539	0.410889	-0.202148	0.571703	-0.457139	-0.218669	-0.645262
25900		8.216012	-2.393175	4.774960	0.000898	0.013141	-0.054462	-0.475098	0.409424	-0.206299	0.571420	-0.456995	-0.218828	-0.645561
25901		8.224543	-2.327327	4.774667	-0.000067	0.007992	-0.057765	-0.475586	0.408936	-0.209961	0.571121	-0.456856	-0.219013	-0.645861
25902		8.255824	-2.369318	4.713297	-0.001143	0.011048	-0.057065	-0.476562	0.407471	-0.206299	0.570835	-0.456689	-0.219177	-0.646177
25903		8.255609	-2.360592	4.747858	-0.003325	0.017175	-0.055652	-0.478271	0.411377	-0.194092	0.570545	-0.456519	-0.219302	-0.646510
25904		8.246098	-2.321654	4.774384	-0.003270	0.011137	-0.055805	-0.476318	0.411133	-0.204834	0.570211	-0.456452	-0.219442	-0.646805
