// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25861		9.539713	2.388423	-1.133955	-0.039522	0.001801	-0.002008	-0.638672	-0.577881	-0.076172	0.595578	0.485093	-0.567456	0.296590
25862		9.493083	2.366096	-1.114947	-0.034277	0.006392	-0.001928	-0.631592	-0.572754	-0.084961	0.595751	0.484916	-0.567501	0.296444
25863		9.469713	2.344976	-1.118787	-0.020900	0.009698	-0.003338	-0.640869	-0.568604	-0.089111	0.595899	0.484798	-0.567487	0.296367
25864		9.461405	2.351882	-1.106136	-0.004989	0.009861	-0.007592	-0.639404	-0.571777	-0.092529	0.595985	0.484784	-0.567420	0.296346
25865		9.472986	2.397636	-1.099648	0.004071	0.008590	-0.007750	-0.635986	-0.563965	-0.085205	0.596028	0.484819	-0.567336	0.296362
25866		9.476540	2.423863	-1.028130	0.010922	0.010026	-0.011845	-0.640137	-0.572021	-0.088379	0.596061	0.484904	-0.567211	0.296396
25867		9.489791	2.471999	-1.001110	-0.002949	0.010662	-0.008757	-0.643799	-0.575928	-0.089600	0.596149	0.484903	-0.567126	0.296382
25868		9.482826	2.460910	-0.997649	-0.018075	0.004123	-0.012117	-0.642334	-0.565674	-0.081787	0.596282	0.484859	-0.567093	0.296253
25869		9.498924	2.451631	-1.017711	-0.026275	-0.001282	-0.012388	-0.633057	-0.569092	-0.084473	0.596429	0.484788	-0.567099	0.296060
25870		9.521648	2.455306	-1.039884	-0.020345	0.000349	-0.012041	-0.638916	-0.571289	-0.087158	0.596565	0.484739	-0.567079	0.295904
25871		9.477538	2.443066	-1.065773	-0.016639	-0.006996	-0.012831	-0.635254	-0.575928	-0.086670	0.596658	0.484731	-0.567079	0.295731
25872		9.523432	2.556849	-1.050332	-0.021441	-0.015023	-0.016033	-0.638428	-0.566650	-0.083008	0.596744	0.484734	-0.567114	0.295485
25873		9.517873	2.590230	-0.971545	-0.046614	-0.031286	-0.013434	-0.638672	-0.570557	-0.087158	0.596857	0.484643	-0.567294	0.295061
25874		9.523609	2.647758	-0.918141	-0.102063	-0.052731	-0.012901	-0.641357	-0.563965	-0.088623	0.597104	0.484329	-0.567705	0.294284
25875		9.491171	2.668292	-1.035221	-0.181359	-0.069069	-0.008491	-0.640869	-0.565674	-0.080322	0.597603	0.483641	-0.568390	0.293080
25876		9.519251	2.796353	-1.001064	-0.257459	-0.108964	-0.014566	-0.638184	-0.573242	-0.088379	0.598243	0.482707	-0.569420	0.291309
25877		9.597107	2.900443	-1.092925	-0.348257	-0.109183	-0.020982	-0.637939	-0.566162	-0.086914	0.599283	0.481360	-0.570616	0.289050
25878		9.708252	3.067594	-1.103028	-0.434505	-0.097797	-0.040142	-0.636963	-0.563232	-0.093750	0.600770	0.479659	-0.571867	0.286307
25879		9.512602	3.248707	-1.223861	-0.594222	-0.130767	-0.047691	-0.637939	-0.573486	-0.092773	0.602763	0.477286	-0.573596	0.282600
25880		9.359962	3.324665	-1.388957	-0.727648	-0.179177	-0.044256	-0.631104	-0.571533	-0.106201	0.605061	0.474375	-0.575842	0.277986
25881		9.273779	3.201509	-1.113611	-0.735430	-0.210953	-0.063674	-0.635498	-0.562744	-0.099121	0.607252	0.471621	-0.578148	0.273064
25882		9.724016	3.184466	-1.058408	-0.728709	-0.192559	-0.126218	-0.643311	-0.567871	-0.112305	0.609616	0.469155	-0.580093	0.267868
