// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
21292		7.605387	0.501144	6.094379	-0.016838	0.009918	-0.007586	-0.632324	-0.473389	-0.188477	-0.472130	-0.383257	0.202238	-0.767664
21293		7.578979	0.467565	6.066647	-0.004973	0.004272	-0.001489	-0.636475	-0.452637	-0.185303	-0.472162	-0.383212	0.202249	-0.767663
21294		7.552982	0.465821	6.046806	0.003919	-0.006726	0.003479	-0.630371	-0.457520	-0.183838	-0.472098	-0.383261	0.202276	-0.767671
21295		7.607342	0.477099	6.104582	0.006705	-0.001221	0.006217	-0.625732	-0.454590	-0.183594	-0.472034	-0.383285	0.202258	-0.767703
21296		7.584620	0.487255	6.068518	0.012748	0.007880	0.008486	-0.630859	-0.463867	-0.183838	-0.471952	-0.383270	0.202173	-0.767783
21297		7.620725	0.529039	6.093511	0.015806	0.007695	0.007425	-0.633545	-0.458008	-0.185791	-0.471867	-0.383270	0.202067	-0.767864
21298		7.614403	0.510447	6.092401	0.027767	0.012644	0.006980	-0.622803	-0.463379	-0.186768	-0.471754	-0.383286	0.201862	-0.767978
21299		7.596571	0.510289	6.050606	0.024130	0.013294	0.012883	-0.625000	-0.466797	-0.188721	-0.471617	-0.383275	0.201697	-0.768112
21300		7.621650	0.512748	6.071540	0.028039	0.009620	0.014735	-0.624023	-0.459473	-0.193359	-0.471449	-0.383302	0.201527	-0.768246
21301		7.636074	0.533558	6.050721	0.030124	0.002334	0.017334	-0.629150	-0.466064	-0.181152	-0.471245	-0.383381	0.201382	-0.768370
21302		7.641231	0.527581	6.098786	0.027061	0.005571	0.016757	-0.630859	-0.470703	-0.189209	-0.471059	-0.383433	0.201242	-0.768495
21303		7.605470	0.521655	6.048618	0.024667	0.007631	0.015207	-0.626709	-0.458008	-0.181641	-0.470895	-0.383466	0.201104	-0.768615
21304		7.577479	0.485539	6.055923	0.025983	0.000078	0.020411	-0.623047	-0.458252	-0.181396	-0.470680	-0.383548	0.201005	-0.768732
21305		7.598557	0.467414	6.073027	0.031316	-0.003612	0.022552	-0.635986	-0.461670	-0.179688	-0.470427	-0.383671	0.200895	-0.768854
21306		7.634856	0.469387	6.068368	0.033877	-0.005825	0.022512	-0.633301	-0.462402	-0.182861	-0.470160	-0.383818	0.200780	-0.768974
21307		7.624549	0.488473	6.026103	0.038060	-0.008211	0.021141	-0.626709	-0.460449	-0.186279	-0.469882	-0.383999	0.200649	-0.769087
21308		7.615548	0.520736	6.057278	0.027743	-0.006333	0.020799	-0.638672	-0.462646	-0.184814	-0.469642	-0.384131	0.200580	-0.769186
