// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18880		8.359037	-4.936180	-1.302539	0.029583	0.041933	0.045466	-0.335205	0.680908	0.221191	0.513929	-0.703252	-0.263021	-0.414890
18881		8.403875	-4.981749	-1.255391	0.018975	0.037300	0.033898	-0.343018	0.682617	0.212891	0.514231	-0.703125	-0.262725	-0.414919
18882		8.373301	-4.977816	-1.347559	0.009714	0.029548	0.023727	-0.344238	0.689209	0.218506	0.514434	-0.703033	-0.262493	-0.414969
18883		8.350440	-4.957378	-1.335963	0.012275	0.034423	0.018138	-0.341797	0.675781	0.222168	0.514643	-0.702903	-0.262282	-0.415064
18884		8.346969	-4.929359	-1.317533	0.017902	0.036963	0.008790	-0.339355	0.684326	0.210938	0.514856	-0.702722	-0.262135	-0.415200
18885		8.359978	-4.863123	-1.279860	0.024816	0.041939	-0.003351	-0.343262	0.680908	0.209717	0.515075	-0.702469	-0.262063	-0.415401
18886		8.347684	-4.856965	-1.306909	0.015664	0.015486	-0.025030	-0.337891	0.681885	0.221436	0.515104	-0.702301	-0.262203	-0.415561
18887		8.342480	-4.871708	-1.330134	0.010156	0.001839	-0.039714	-0.337158	0.678955	0.212402	0.515014	-0.702175	-0.262472	-0.415716
18888		8.368898	-4.925026	-1.334743	0.007584	-0.006609	-0.051114	-0.342529	0.678223	0.212891	0.514845	-0.702067	-0.262840	-0.415874
18889		8.392734	-4.946895	-1.327968	0.008097	-0.008467	-0.056221	-0.343750	0.684814	0.225098	0.514651	-0.701958	-0.263251	-0.416038
18890		8.416807	-4.968794	-1.319720	0.024073	0.004624	-0.052703	-0.334473	0.679443	0.217285	0.514586	-0.701748	-0.263641	-0.416225
