// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18880		9.795192	0.262104	-0.859794	-0.005304	0.015396	0.042320	-0.757568	0.350830	0.319580	0.309441	-0.648433	-0.350410	-0.600827
18881		9.770260	0.200889	-0.871609	-0.018387	0.016089	0.037289	-0.760986	0.354980	0.309326	0.309562	-0.648515	-0.350078	-0.600870
18882		9.782541	0.162621	-0.894064	-0.029467	0.013098	0.017382	-0.764404	0.362305	0.314209	0.309528	-0.648577	-0.349803	-0.600981
18883		9.781414	0.178228	-0.863418	-0.023814	0.016420	0.000390	-0.764160	0.354004	0.323242	0.309449	-0.648558	-0.349640	-0.601137
18884		9.767353	0.148519	-0.850425	-0.016190	0.017319	-0.016415	-0.765137	0.356201	0.311523	0.309329	-0.648467	-0.349603	-0.601319
18885		9.785822	0.172140	-0.866024	0.003784	0.017962	-0.027848	-0.763916	0.354736	0.310059	0.309263	-0.648288	-0.349726	-0.601474
18886		9.751904	0.164154	-0.887535	0.020859	0.019067	-0.035774	-0.759277	0.349854	0.322510	0.309253	-0.648038	-0.349974	-0.601604
18887		9.772574	0.154427	-0.904375	0.030563	0.021475	-0.044085	-0.760986	0.352539	0.309814	0.309260	-0.647729	-0.350309	-0.601738
18888		9.747866	0.147840	-0.894476	0.029008	0.016032	-0.050725	-0.765381	0.351562	0.309570	0.309211	-0.647436	-0.350686	-0.601859
18889		9.783195	0.112265	-0.916925	0.027818	0.016724	-0.066263	-0.764160	0.358643	0.324707	0.309080	-0.647102	-0.351137	-0.602023
18890		9.750997	0.135598	-0.945746	0.029016	0.013980	-0.087572	-0.758057	0.349854	0.315430	0.308844	-0.646722	-0.351714	-0.602215
18891		9.768252	0.126814	-0.929518	0.018113	0.003245	-0.097685	-0.766113	0.352295	0.317871	0.308468	-0.646403	-0.352317	-0.602398
18892		9.753809	0.133317	-1.000361	0.019201	0.000970	-0.108545	-0.769287	0.357422	0.315186	0.308041	-0.646070	-0.352986	-0.602582
18893		9.795677	0.100923	-1.014200	0.022292	-0.006112	-0.118221	-0.765381	0.350830	0.310303	0.307564	-0.645749	-0.353737	-0.602729
18894		9.839584	0.220020	-1.026826	0.026168	-0.013909	-0.124799	-0.771240	0.350830	0.315674	0.307055	-0.645450	-0.354561	-0.602825
18895		9.782324	0.239434	-1.109058	0.016359	-0.023549	-0.128315	-0.771484	0.354004	0.309326	0.306445	-0.645231	-0.355381	-0.602887
18896		9.790509	0.134476	-1.091636	0.026866	-0.035350	-0.137766	-0.769775	0.357422	0.310791	0.305805	-0.645031	-0.356333	-0.602864
18897		9.827809	0.204054	-1.114983	0.057674	-0.037153	-0.163758	-0.765137	0.346191	0.319580	0.305201	-0.644705	-0.357574	-0.602784
18898		9.947666	0.319260	-1.128561	0.080497	-0.039108	-0.180792	-0.770264	0.337646	0.313477	0.304627	-0.644284	-0.359053	-0.602645
18899		10.036692	0.453814	-1.154219	0.099782	-0.038617	-0.201903	-0.766113	0.342529	0.306885	0.304040	-0.643749	-0.360755	-0.602497
18900		10.016222	0.768703	-1.194421	0.095625	-0.038835	-0.214811	-0.772949	0.336670	0.318604	0.303355	-0.643175	-0.362491	-0.602413
18901		9.597355	1.189093	-1.117602	0.054361	-0.047036	-0.222547	-0.769775	0.333496	0.313721	0.302351	-0.642764	-0.364138	-0.602364
18902		9.543307	1.504326	-1.199496	-0.024328	-0.063565	-0.217027	-0.769531	0.341553	0.316406	0.300841	-0.642589	-0.365458	-0.602507
18903		9.622066	1.682143	-1.226383	-0.117815	-0.071626	-0.222105	-0.777100	0.335693	0.314209	0.298706	-0.642676	-0.366373	-0.602921
18904		9.553035	1.996634	-1.172737	-0.232685	-0.087870	-0.237014	-0.778564	0.332031	0.318848	0.295717	-0.643063	-0.366920	-0.603649
18905		9.685093	2.121483	-1.130858	-0.337445	-0.095412	-0.262873	-0.778320	0.321289	0.328125	0.291895	-0.643628	-0.367181	-0.604746
18906		9.664957	2.243140	-1.075373	-0.386080	-0.100007	-0.311648	-0.778320	0.320801	0.336182	0.287446	-0.644135	-0.367567	-0.606102
18907		9.690980	2.474801	-0.996088	-0.398105	-0.094263	-0.377552	-0.784180	0.317627	0.337402	0.282479	-0.644415	-0.368223	-0.607739
18908		9.717325	2.548985	-1.021818	-0.390882	-0.087698	-0.444077	-0.787354	0.312988	0.346191	0.277030	-0.644381	-0.369315	-0.609618
18909		9.718832	2.673547	-1.032223	-0.370593	-0.082908	-0.516858	-0.783447	0.301758	0.353271	0.271077	-0.644044	-0.370858	-0.611709
18910		9.705315	2.815652	-1.127739	-0.365385	-0.083622	-0.595771	-0.790039	0.292725	0.359375	0.264698	-0.643404	-0.372753	-0.614021
18911		9.770202	3.053309	-1.178146	-0.365615	-0.096332	-0.670367	-0.787354	0.279297	0.360840	0.257521	-0.642596	-0.375064	-0.616506
18912		9.811478	3.340887	-1.255730	-0.400703	-0.109662	-0.727632	-0.788086	0.278076	0.371826	0.249913	-0.641658	-0.377466	-0.619143
18913		9.899259	3.456720	-1.347737	-0.461086	-0.116883	-0.773180	-0.790771	0.269775	0.379395	0.241233	-0.640849	-0.379469	-0.622192
18914		10.058481	3.443977	-1.350670	-0.502187	-0.116569	-0.819917	-0.792480	0.257812	0.390625	0.231868	-0.639941	-0.381481	-0.625448
18915		10.113256	3.379107	-1.296306	-0.507585	-0.118897	-0.860102	-0.804199	0.239990	0.391357	0.222668	-0.638655	-0.384043	-0.628529
18916		10.187382	3.390860	-1.261275	-0.484782	-0.118079	-0.910554	-0.801270	0.225586	0.406250	0.213775	-0.636860	-0.387387	-0.631380
18917		10.230665	3.595158	-1.346723	-0.481429	-0.120881	-0.954838	-0.808350	0.217285	0.416016	0.204758	-0.634847	-0.390942	-0.634198
18918		10.281975	3.544884	-1.285761	-0.486941	-0.127980	-1.003978	-0.819580	0.199707	0.431152	0.195435	-0.632639	-0.394707	-0.637008
18919		10.230912	3.727710	-1.311582	-0.459980	-0.127002	-1.060597	-0.813232	0.184082	0.446045	0.185934	-0.630150	-0.398833	-0.639744
18920		10.257439	4.017983	-1.290121	-0.465771	-0.131709	-1.107387	-0.810059	0.165527	0.447754	0.176201	-0.627446	-0.403118	-0.642465
18921		10.287288	4.168473	-1.292978	-0.485317	-0.126266	-1.151398	-0.814941	0.133545	0.458740	0.166153	-0.624515	-0.407445	-0.645261
18922		10.362630	4.249517	-1.253435	-0.497688	-0.120611	-1.193666	-0.831299	0.119629	0.468018	0.155644	-0.621446	-0.411786	-0.648084
18923		10.338637	4.206440	-1.223088	-0.484662	-0.112338	-1.244297	-0.832031	0.091797	0.477783	0.145188	-0.617963	-0.416404	-0.650884
18924		10.375125	3.993828	-1.068257	-0.446848	-0.107804	-1.309968	-0.829590	0.062988	0.478516	0.134616	-0.614105	-0.421452	-0.653553
18925		10.443099	4.005648	-1.102189	-0.395081	-0.096224	-1.378820	-0.830811	0.042480	0.480713	0.123779	-0.609934	-0.426918	-0.656049
