// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
14999		9.556812	-0.193292	2.138416	0.009748	0.016362	-0.001994	-0.842041	-0.437012	-0.418701	0.663727	0.318067	-0.538277	0.410557
15000		9.538969	-0.098496	2.101715	0.007336	0.013570	0.000053	-0.845459	-0.435547	-0.415527	0.663768	0.318061	-0.538177	0.410626
15001		9.555097	-0.079996	2.064127	0.006032	0.004993	0.004871	-0.837646	-0.441162	-0.419434	0.663732	0.318094	-0.538156	0.410688
15002		9.587715	-0.122622	2.129860	0.004491	0.002664	0.004675	-0.840576	-0.439209	-0.416504	0.663713	0.318095	-0.538139	0.410739
15003		9.590999	-0.155605	2.128283	0.002681	0.014719	0.003956	-0.841309	-0.438965	-0.416260	0.663740	0.318076	-0.538067	0.410805
15004		9.579365	-0.138487	2.068924	0.003224	0.019517	0.004685	-0.847168	-0.435547	-0.416992	0.663784	0.318044	-0.537969	0.410888
15005		9.551362	-0.094355	2.129916	0.004996	0.005053	0.001508	-0.833252	-0.438965	-0.414551	0.663773	0.318079	-0.537935	0.410923
15006		9.559648	-0.113472	2.130594	0.004511	0.003045	0.003078	-0.836182	-0.438965	-0.418701	0.663746	0.318121	-0.537918	0.410955
15007		9.581938	-0.126716	2.152229	0.000811	0.016726	0.006730	-0.830566	-0.444336	-0.411377	0.663799	0.318048	-0.537839	0.411029
15008		9.558801	-0.115398	2.134291	0.004218	0.009790	0.009947	-0.844727	-0.447266	-0.423340	0.663755	0.318086	-0.537813	0.411105
15009		9.585341	-0.183832	2.180869	0.008635	0.007632	0.006829	-0.841553	-0.434814	-0.416016	0.663740	0.318108	-0.537757	0.411185
15010		9.573824	-0.212161	2.252934	0.010336	0.016301	0.008423	-0.845459	-0.441895	-0.417480	0.663752	0.318102	-0.537655	0.411305
15011		9.592007	-0.193211	2.279525	0.011916	0.027898	0.008303	-0.839844	-0.441162	-0.418213	0.663805	0.318091	-0.537477	0.411461
15012		9.563956	-0.217468	2.289470	0.011002	0.033534	0.009530	-0.840576	-0.443359	-0.416748	0.663894	0.318025	-0.537267	0.411643
15013		9.545991	-0.237395	2.334103	0.011901	0.036012	0.012772	-0.836914	-0.431152	-0.417969	0.663971	0.317962	-0.537046	0.411854
15014		9.537924	-0.242495	2.292972	0.007816	0.050838	0.018664	-0.844482	-0.437744	-0.417480	0.664117	0.317702	-0.536788	0.412155
15015		9.485072	-0.245489	2.240609	0.016006	0.048310	0.022574	-0.837646	-0.434570	-0.421387	0.664215	0.317549	-0.536500	0.412492
15016		9.463386	-0.223502	2.168241	0.028669	0.037906	0.022803	-0.831787	-0.425293	-0.420898	0.664260	0.317446	-0.536214	0.412870
15017		9.404108	-0.217681	2.158982	0.035685	0.037985	0.023240	-0.841797	-0.447266	-0.413086	0.664272	0.317319	-0.535938	0.413307
15018		9.356709	-0.128164	2.038459	0.036945	0.015053	0.024292	-0.831299	-0.441406	-0.412842	0.664148	0.317483	-0.535743	0.413632
15019		9.384106	-0.073145	2.022121	0.033891	-0.018781	0.020231	-0.829102	-0.445557	-0.421631	0.663892	0.317717	-0.535759	0.413842
15020		9.462876	-0.051184	2.072591	0.038308	-0.044439	0.014023	-0.838867	-0.439209	-0.414795	0.663597	0.318075	-0.535831	0.413948
15021		9.535114	-0.099440	2.094753	0.040524	-0.050814	0.008282	-0.839600	-0.439209	-0.416992	0.663223	0.318495	-0.535988	0.414021
15022		9.512582	-0.166598	2.071672	0.039788	-0.055874	0.005142	-0.843506	-0.439209	-0.419189	0.662859	0.318931	-0.536154	0.414054
15023		9.485980	-0.212619	2.032672	0.049923	-0.074690	0.002833	-0.832764	-0.430176	-0.417480	0.662403	0.319490	-0.536377	0.414064
15024		9.513295	-0.199734	2.073913	0.052565	-0.089138	-0.000976	-0.835205	-0.439697	-0.414551	0.661878	0.320035	-0.536704	0.414059
15025		9.544654	-0.172818	2.192727	0.049378	-0.091291	-0.001511	-0.849365	-0.438965	-0.410889	0.661360	0.320658	-0.537019	0.413994
15026		9.529078	-0.200331	2.277859	0.053844	-0.078149	-0.006047	-0.843994	-0.433105	-0.408691	0.660871	0.321302	-0.537261	0.413962
15027		9.560050	-0.230274	2.225042	0.045807	-0.062818	-0.011217	-0.852783	-0.443115	-0.406250	0.660488	0.321812	-0.537449	0.413935
15028		9.632449	-0.286911	2.226578	0.045056	-0.075903	-0.005344	-0.839111	-0.435059	-0.408447	0.660025	0.322426	-0.537690	0.413882
15029		9.688399	-0.294662	2.320122	0.045022	-0.069283	0.005466	-0.845459	-0.433350	-0.405273	0.659589	0.322848	-0.537926	0.413941
15030		9.667005	-0.247740	2.357025	0.038827	-0.028635	0.013186	-0.850586	-0.443848	-0.408936	0.659301	0.323059	-0.537999	0.414141
15031		9.605854	-0.152363	2.301953	0.028405	-0.011526	0.019497	-0.840820	-0.441895	-0.406494	0.659138	0.323184	-0.537956	0.414359
15032		9.502276	-0.065312	2.205847	0.016400	-0.006964	0.015711	-0.848877	-0.439697	-0.399902	0.659052	0.323225	-0.537909	0.414524
15033		9.385504	-0.041081	2.053699	0.007384	-0.010232	0.011935	-0.840576	-0.445068	-0.403076	0.658928	0.323279	-0.537946	0.414631
15034		9.442759	-0.075028	1.955088	0.007826	-0.035010	0.006599	-0.844727	-0.442383	-0.412354	0.658766	0.323468	-0.538044	0.414614
15035		9.586736	-0.103618	1.983404	0.016706	-0.054298	0.013558	-0.839600	-0.441650	-0.400879	0.658523	0.323670	-0.538216	0.414620
15036		9.727514	-0.121705	2.118445	0.012278	-0.036304	0.013713	-0.850586	-0.437744	-0.397705	0.658302	0.323842	-0.538359	0.414650
15037		9.710652	-0.063544	2.086694	-0.000445	-0.000691	0.010253	-0.841797	-0.436768	-0.404053	0.658239	0.323829	-0.538393	0.414716
15038		9.585116	0.014035	1.925262	-0.013128	0.011318	0.003724	-0.855225	-0.441162	-0.410889	0.658352	0.323686	-0.538341	0.414715
15039		9.520727	-0.003141	1.965469	-0.019127	-0.032331	-0.004369	-0.847412	-0.440186	-0.409424	0.658345	0.323714	-0.538500	0.414499
15040		9.526547	-0.113497	2.025704	-0.028766	-0.035048	-0.006680	-0.847900	-0.435303	-0.395752	0.658366	0.323707	-0.538700	0.414211
15041		9.586434	-0.212692	1.936448	-0.032788	-0.000354	-0.006251	-0.851074	-0.437256	-0.402344	0.658431	0.323603	-0.538829	0.414021
15042		9.615178	-0.212522	1.880633	-0.023914	-0.028965	0.001016	-0.841309	-0.439209	-0.391846	0.658365	0.323590	-0.539069	0.413823
15043		9.638720	-0.224997	1.970462	-0.010331	-0.047970	-0.002386	-0.848145	-0.435059	-0.402100	0.658131	0.323816	-0.539391	0.413599
15044		9.612836	-0.179613	2.099415	-0.011699	-0.026055	0.001353	-0.855713	-0.436523	-0.407227	0.658044	0.323828	-0.539590	0.413468
15045		9.566207	-0.166534	2.115796	-0.011345	-0.011419	-0.003862	-0.850098	-0.427734	-0.404541	0.658066	0.323797	-0.539671	0.413351
15046		9.516356	-0.120783	2.059762	-0.006712	-0.013377	-0.004608	-0.850098	-0.435059	-0.405273	0.658042	0.323726	-0.539798	0.413280
15047		9.519951	-0.186503	2.140727	0.002748	-0.036055	-0.001455	-0.850098	-0.440674	-0.401855	0.657909	0.323837	-0.539973	0.413176
15048		9.556582	-0.237891	2.246124	0.014477	-0.026574	0.003324	-0.850098	-0.437256	-0.400635	0.657764	0.324034	-0.540044	0.413159
15049		9.555824	-0.249808	2.227246	0.020443	0.000375	0.004163	-0.846680	-0.436768	-0.403320	0.657706	0.324134	-0.539968	0.413273
15050		9.580224	-0.250946	2.187847	0.022741	-0.001926	0.009374	-0.849365	-0.434814	-0.394531	0.657652	0.324193	-0.539884	0.413422
15051		9.569410	-0.221853	2.218630	0.037268	0.000203	0.008526	-0.850586	-0.434082	-0.393066	0.657473	0.324383	-0.539799	0.413668
15052		9.548036	-0.219843	2.246764	0.032353	0.034112	0.012839	-0.847412	-0.443848	-0.402832	0.657428	0.324409	-0.539567	0.414022
15053		9.485233	-0.249368	2.111676	0.025482	0.039666	0.017035	-0.850342	-0.442139	-0.395508	0.657549	0.324375	-0.539206	0.414327
15054		9.540384	-0.250148	2.010067	0.019600	0.025225	0.016577	-0.846924	-0.440430	-0.394531	0.657528	0.324412	-0.539007	0.414591
15055		9.562027	-0.208914	1.993045	0.016474	0.010502	0.019763	-0.852295	-0.438232	-0.412842	0.657432	0.324458	-0.538918	0.414822
15056		9.603761	-0.203604	2.037739	0.014497	0.016609	0.016038	-0.839111	-0.438232	-0.404785	0.657532	0.324301	-0.538727	0.415036
15057		9.605660	-0.216434	1.935833	0.011430	0.046768	0.010440	-0.850586	-0.440430	-0.395020	0.657769	0.324117	-0.538367	0.415269
15058		9.602505	-0.207491	1.896193	0.020811	0.022019	0.008164	-0.842773	-0.431152	-0.400635	0.657726	0.324212	-0.538199	0.415482
15059		9.683875	-0.216891	1.950625	0.025736	0.014551	0.009258	-0.850342	-0.444336	-0.401855	0.657689	0.324189	-0.538069	0.415726
15060		9.592120	-0.154738	2.043153	0.014187	0.028959	0.009954	-0.847656	-0.437500	-0.400391	0.657765	0.324199	-0.537833	0.415904
15061		9.465506	-0.076064	1.960501	-0.001047	0.016796	0.003930	-0.843994	-0.433105	-0.398193	0.657818	0.324130	-0.537752	0.415977
15062		9.396733	0.016845	1.861355	-0.015683	-0.004853	-0.004795	-0.845703	-0.435791	-0.402100	0.657822	0.324070	-0.537851	0.415892
15063		9.454955	-0.025292	1.884286	-0.027599	-0.036859	-0.006344	-0.845947	-0.436768	-0.401367	0.657764	0.324060	-0.538128	0.415632
15064		9.553672	-0.139218	2.027912	-0.033435	-0.057036	-0.007358	-0.842285	-0.432129	-0.394043	0.657635	0.324114	-0.538530	0.415274
15065		9.638763	-0.191196	2.129344	-0.042404	-0.025122	-0.017975	-0.846924	-0.433350	-0.402344	0.657638	0.324074	-0.538815	0.414929
15066		9.590501	-0.165708	2.098815	-0.045761	-0.031725	-0.027810	-0.838379	-0.432617	-0.398193	0.657734	0.324003	-0.539083	0.414484
