// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
14999		6.373693	-1.422487	7.303881	0.003231	-0.001269	-0.000667	-0.864502	0.842041	-0.370117	0.482019	-0.338345	-0.113070	-0.800247
15000		6.355847	-1.414199	7.310287	0.003520	-0.001992	-0.001246	-0.873047	0.842285	-0.367432	0.482019	-0.338343	-0.113105	-0.800243
15001		6.380702	-1.423345	7.290547	0.001708	-0.003125	0.002541	-0.858887	0.835693	-0.370850	0.482030	-0.338365	-0.113125	-0.800224
15002		6.351530	-1.409330	7.290119	0.002572	-0.005293	0.000805	-0.864014	0.844238	-0.365967	0.482038	-0.338391	-0.113161	-0.800204
15003		6.393220	-1.429101	7.296331	0.005576	-0.003086	0.002517	-0.868164	0.837891	-0.367188	0.482067	-0.338391	-0.113204	-0.800180
15004		6.380913	-1.440190	7.307680	0.002881	-0.003301	-0.001890	-0.867920	0.841553	-0.364014	0.482060	-0.338400	-0.113242	-0.800175
15005		6.381891	-1.392043	7.318277	0.006750	-0.003262	-0.001914	-0.862549	0.840820	-0.365479	0.482063	-0.338394	-0.113305	-0.800167
15006		6.352819	-1.439217	7.292443	0.006441	-0.009181	-0.003120	-0.862305	0.838867	-0.371582	0.482051	-0.338426	-0.113394	-0.800148
15007		6.364468	-1.446952	7.330560	0.008909	-0.013343	-0.004135	-0.853271	0.832520	-0.365723	0.482036	-0.338475	-0.113518	-0.800118
15008		6.362516	-1.437922	7.277181	0.008166	-0.013520	-0.006596	-0.870117	0.829102	-0.373779	0.482004	-0.338525	-0.113642	-0.800099
15009		6.383123	-1.411243	7.265868	0.010716	-0.012212	-0.007927	-0.867676	0.842285	-0.367432	0.481972	-0.338556	-0.113781	-0.800086
15010		6.407610	-1.436329	7.263940	0.008740	-0.001722	-0.008105	-0.872314	0.834473	-0.368896	0.481942	-0.338526	-0.113865	-0.800104
15011		6.394707	-1.430968	7.290381	0.010961	0.004197	-0.008874	-0.863525	0.836182	-0.369629	0.481918	-0.338451	-0.113942	-0.800139
15012		6.382259	-1.407431	7.299317	0.015712	0.008709	-0.008857	-0.864990	0.834229	-0.367676	0.481913	-0.338329	-0.114032	-0.800181
15013		6.369544	-1.398529	7.294304	0.016409	0.012774	-0.006417	-0.862793	0.843750	-0.365967	0.481930	-0.338179	-0.114104	-0.800224
15014		6.373612	-1.415293	7.301075	0.014556	0.011600	-0.006546	-0.869629	0.835205	-0.365479	0.481941	-0.338045	-0.114167	-0.800266
15015		6.366904	-1.393542	7.297562	0.014266	0.012322	-0.005969	-0.864258	0.842529	-0.371338	0.481952	-0.337907	-0.114226	-0.800308
15016		6.359030	-1.389751	7.312207	0.012352	0.012323	-0.003999	-0.860352	0.845703	-0.371826	0.481976	-0.337775	-0.114263	-0.800344
15017		6.346236	-1.382016	7.307018	0.009268	0.008575	-0.001491	-0.868652	0.830566	-0.364990	0.482008	-0.337681	-0.114284	-0.800362
15018		6.356317	-1.419575	7.318123	0.005734	0.003924	-0.002021	-0.859375	0.833496	-0.361816	0.482006	-0.337632	-0.114316	-0.800379
15019		6.338638	-1.378072	7.321436	0.009888	0.003240	-0.002628	-0.854004	0.833252	-0.369141	0.482020	-0.337572	-0.114369	-0.800388
15020		6.356538	-1.369721	7.329519	0.005595	-0.004302	-0.003497	-0.864502	0.836670	-0.368652	0.482019	-0.337561	-0.114424	-0.800386
15021		6.332709	-1.421596	7.323285	0.006257	-0.009590	-0.000715	-0.866211	0.834961	-0.370361	0.482024	-0.337590	-0.114501	-0.800359
