// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
13168		9.539144	-0.312717	2.320592	0.020819	-0.006390	0.004270	-0.828857	-0.402344	-0.470215	0.683844	0.287137	-0.547175	0.387954
13169		9.564456	-0.267749	2.427123	0.021999	0.010467	0.009280	-0.821777	-0.398438	-0.470215	0.683809	0.287186	-0.547067	0.388132
13170		9.537584	-0.256855	2.423534	0.014637	0.028736	0.008639	-0.823730	-0.404541	-0.473877	0.683905	0.287087	-0.546863	0.388325
13171		9.482785	-0.257906	2.380607	0.005071	0.031806	0.006663	-0.828125	-0.403320	-0.481445	0.684034	0.286950	-0.546672	0.388467
13172		9.467328	-0.276419	2.346837	-0.008570	0.016405	0.003937	-0.831299	-0.405518	-0.484375	0.684171	0.286731	-0.546589	0.388505
13173		9.491245	-0.322655	2.366673	-0.013183	0.011143	-0.003031	-0.823486	-0.399902	-0.477783	0.684316	0.286537	-0.546534	0.388469
13174		9.518331	-0.299924	2.364694	-0.013542	0.015984	-0.005685	-0.821289	-0.407959	-0.485107	0.684484	0.286356	-0.546450	0.388425
13175		9.529970	-0.316841	2.353744	-0.014402	0.019222	-0.008365	-0.833252	-0.398682	-0.477783	0.684688	0.286153	-0.546339	0.388372
13176		9.550248	-0.341401	2.360047	-0.014439	0.015508	-0.003475	-0.822021	-0.404541	-0.472168	0.684832	0.285992	-0.546273	0.388330
13177		9.536488	-0.335518	2.359664	-0.011065	0.023588	-0.003975	-0.820801	-0.409180	-0.478027	0.684974	0.285886	-0.546163	0.388311
13178		9.535347	-0.346132	2.408609	-0.012824	0.026353	-0.004442	-0.821289	-0.407715	-0.475342	0.685147	0.285738	-0.546037	0.388293
13179		9.451132	-0.323668	2.389143	-0.014197	0.029361	-0.015900	-0.829834	-0.403809	-0.475830	0.685363	0.285643	-0.545875	0.388209
13180		9.429285	-0.296585	2.389397	-0.014352	0.020974	-0.018721	-0.826172	-0.403809	-0.474121	0.685552	0.285584	-0.545753	0.388091
13181		9.402176	-0.294443	2.367335	-0.016878	0.004395	-0.017689	-0.826172	-0.400146	-0.478027	0.685665	0.285567	-0.545735	0.387927
