// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
13168		0.100215	9.233403	-3.130166	0.005239	-0.005626	-0.017443	-0.074951	-0.974365	-0.198242	0.383009	0.527449	-0.618302	-0.439095
13169		0.121992	9.212682	-3.161398	0.008717	-0.001936	-0.017032	-0.065430	-0.970947	-0.199951	0.382899	0.527557	-0.618265	-0.439113
13170		0.101888	9.262690	-3.191198	0.021581	0.007504	-0.015659	-0.072754	-0.979004	-0.200439	0.382750	0.527829	-0.618157	-0.439067
13171		0.067108	9.350718	-3.195880	0.017394	0.016267	-0.017069	-0.075684	-0.974854	-0.207520	0.382688	0.528050	-0.618077	-0.438969
13172		0.067203	9.375021	-3.191313	-0.002414	0.020316	-0.010705	-0.077393	-0.976074	-0.206055	0.382766	0.528166	-0.617963	-0.438922
13173		0.050978	9.356559	-3.253525	-0.021320	0.025813	-0.011161	-0.068359	-0.972900	-0.205078	0.382959	0.528226	-0.617778	-0.438942
13174		0.043216	9.270120	-3.282087	-0.026380	0.024470	-0.010102	-0.064453	-0.980957	-0.210938	0.383142	0.528335	-0.617512	-0.439025
13175		0.010769	9.205629	-3.324378	-0.023288	0.018940	-0.007013	-0.077148	-0.972656	-0.202637	0.383276	0.528458	-0.617255	-0.439122
13176		0.015532	9.246644	-3.344339	-0.016852	0.009988	-0.003225	-0.069580	-0.977051	-0.200439	0.383385	0.528435	-0.617187	-0.439150
13177		0.006577	9.288039	-3.292651	-0.000696	0.006507	0.000518	-0.066406	-0.980713	-0.203857	0.383388	0.528497	-0.617152	-0.439123
13178		-0.007063	9.352366	-3.305364	0.005547	-0.007064	0.005633	-0.067383	-0.978760	-0.199707	0.383295	0.528535	-0.617180	-0.439118
