// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
13168		5.241253	1.841261	8.024984	-0.001240	-0.009954	0.005663	-0.368408	0.254395	-0.586426	0.659804	-0.134922	-0.265832	-0.689774
13169		5.265681	1.833860	8.050860	-0.002560	-0.007195	0.003005	-0.361084	0.258057	-0.590820	0.659802	-0.134984	-0.265854	-0.689755
13170		5.231057	1.830816	8.048484	-0.000965	-0.007764	0.005268	-0.365234	0.250977	-0.591064	0.659821	-0.135041	-0.265876	-0.689717
13171		5.231365	1.847848	8.036811	0.000221	-0.004460	0.003102	-0.369873	0.251953	-0.599121	0.659829	-0.135072	-0.265898	-0.689695
13172		5.238691	1.851996	8.023851	-0.002837	-0.009385	0.003403	-0.367188	0.254395	-0.597168	0.659825	-0.135149	-0.265929	-0.689672
13173		5.219132	1.889520	8.027006	-0.005169	-0.006918	0.007229	-0.362549	0.256592	-0.595459	0.659845	-0.135232	-0.265929	-0.689636
13174		5.234908	1.844737	8.035219	-0.008396	-0.007990	0.009833	-0.360596	0.252441	-0.600830	0.659874	-0.135343	-0.265914	-0.689593
13175		5.228777	1.872650	8.024937	-0.013460	-0.008668	0.011207	-0.370850	0.258789	-0.593994	0.659904	-0.135488	-0.265871	-0.689552
13176		5.162079	1.916876	8.007923	-0.027880	-0.010782	0.017643	-0.361816	0.253418	-0.587646	0.659949	-0.135736	-0.265752	-0.689507
13177		5.169120	1.889971	8.071356	-0.035701	-0.019436	0.028472	-0.360596	0.251709	-0.593750	0.660027	-0.136093	-0.265623	-0.689411
13178		5.183889	1.905227	8.067056	-0.037881	-0.027880	0.031150	-0.359131	0.249268	-0.587158	0.660099	-0.136508	-0.265523	-0.689298
13179		5.267703	1.809058	8.038508	-0.039536	-0.026896	0.031265	-0.371094	0.256836	-0.588135	0.660171	-0.136918	-0.265408	-0.689193
13180		5.221612	1.858845	8.016055	-0.046727	-0.029359	0.031833	-0.369873	0.259033	-0.586182	0.660232	-0.137383	-0.265264	-0.689096
