// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
30064		8.090085	-5.429028	-0.781864	0.001830	-0.010968	-0.014507	-0.717285	0.219238	0.357178	-0.019827	-0.597885	0.427195	-0.677971
30065		8.117215	-5.475265	-0.757358	0.004579	-0.007602	-0.016396	-0.714844	0.211182	0.354736	-0.019870	-0.597987	0.427089	-0.677946
30066		8.110429	-5.446920	-0.775966	-0.001033	-0.008943	-0.012594	-0.725586	0.209473	0.362549	-0.019922	-0.598085	0.427031	-0.677895
30067		8.116702	-5.451982	-0.753449	-0.004707	-0.007223	-0.013249	-0.716064	0.216797	0.360596	-0.019995	-0.598172	0.426993	-0.677840
30068		8.089229	-5.528104	-0.797808	-0.002473	-0.006227	-0.016508	-0.715332	0.208496	0.359619	-0.020078	-0.598265	0.426925	-0.677799
30069		8.105685	-5.462093	-0.819954	-0.004015	-0.006866	-0.017261	-0.717773	0.213135	0.358398	-0.020169	-0.598362	0.426865	-0.677748
30070		8.087861	-5.501143	-0.837679	-0.010007	0.000362	-0.015683	-0.716797	0.219482	0.362305	-0.020305	-0.598413	0.426846	-0.677711
30071		8.085656	-5.494736	-0.818314	-0.008398	0.003240	-0.017039	-0.723145	0.218262	0.352539	-0.020448	-0.598452	0.426814	-0.677692
30072		8.106496	-5.450987	-0.801901	-0.011229	0.006380	-0.016178	-0.724609	0.217285	0.356934	-0.020608	-0.598470	0.426805	-0.677678
30073		8.107142	-5.464145	-0.788391	-0.009096	0.004024	-0.016278	-0.716797	0.224121	0.358887	-0.020749	-0.598500	0.426785	-0.677659
30074		8.121916	-5.495189	-0.746888	0.014680	-0.007645	-0.016987	-0.717773	0.216309	0.365234	-0.020731	-0.598603	0.426630	-0.677666
30075		8.120822	-5.439799	-0.811403	0.017025	-0.005562	-0.016914	-0.713623	0.219971	0.352051	-0.020706	-0.598689	0.426463	-0.677696
30076		8.085796	-5.475465	-0.777804	0.004828	-0.002025	-0.017290	-0.724854	0.214844	0.360840	-0.020756	-0.598755	0.426364	-0.677698
30077		8.073327	-5.521481	-0.770688	0.002117	-0.004275	-0.016456	-0.722412	0.225098	0.352783	-0.020801	-0.598828	0.426287	-0.677681
30078		8.093111	-5.493342	-0.740725	0.007524	-0.008494	-0.017188	-0.724609	0.208008	0.360107	-0.020801	-0.598922	0.426183	-0.677664
30079		8.120028	-5.440838	-0.714127	0.021445	-0.013390	-0.021451	-0.721191	0.218262	0.357666	-0.020736	-0.599057	0.425979	-0.677674
30080		8.126255	-5.427020	-0.747646	0.023360	-0.013710	-0.018364	-0.722168	0.219727	0.359863	-0.020639	-0.599178	0.425779	-0.677696
30081		8.134687	-5.400683	-0.751230	0.036646	-0.025439	-0.019788	-0.720703	0.218506	0.353271	-0.020440	-0.599370	0.425496	-0.677710
30082		8.082985	-5.578828	-0.691319	0.072999	-0.040395	-0.021075	-0.721924	0.224609	0.367188	-0.020023	-0.599655	0.425002	-0.677781
30083		8.060764	-5.515897	-0.685341	0.112942	-0.065695	-0.025197	-0.722656	0.215332	0.360840	-0.019311	-0.600095	0.424268	-0.677872
30084		8.156428	-5.431348	-0.727043	0.104593	-0.065848	-0.030343	-0.713379	0.219238	0.365234	-0.018677	-0.600540	0.423558	-0.677939
30085		8.111767	-5.452064	-0.848433	0.095094	-0.060040	-0.031588	-0.715576	0.205566	0.366943	-0.018118	-0.600967	0.422884	-0.677997
30086		8.002767	-5.736884	-0.677920	0.099408	-0.061321	-0.037210	-0.718994	0.221436	0.358887	-0.017585	-0.601431	0.422162	-0.678049
30087		8.085836	-5.408896	-0.623908	0.132237	-0.086243	-0.042657	-0.716064	0.213623	0.366211	-0.016780	-0.602015	0.421257	-0.678115
30088		8.186477	-5.311520	-0.702215	0.100118	-0.077137	-0.040470	-0.717041	0.210938	0.364990	-0.016168	-0.602545	0.420526	-0.678113
30089		8.134140	-5.467206	-0.743361	0.104883	-0.078251	-0.042640	-0.713623	0.221191	0.364990	-0.015567	-0.603090	0.419747	-0.678124
30090		8.254718	-5.202214	-0.898944	0.104748	-0.077254	-0.034066	-0.716553	0.219482	0.358154	-0.014890	-0.603599	0.419010	-0.678142
30091		8.002373	-5.508467	-0.834297	0.106197	-0.080959	-0.029147	-0.711426	0.216064	0.360840	-0.014213	-0.604112	0.418293	-0.678142
