// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
30064		4.554187	1.601770	8.484340	0.008182	-0.039954	0.009026	-0.717285	-0.340332	-0.356201	-0.248156	-0.254830	-0.020114	-0.934385
30065		4.428508	1.619219	8.496323	0.000710	-0.042560	-0.009134	-0.718262	-0.348633	-0.360596	-0.248233	-0.255161	-0.020051	-0.934276
30066		4.420144	1.539397	8.574056	-0.002174	-0.043313	-0.026491	-0.728027	-0.353027	-0.351318	-0.248459	-0.255485	-0.020006	-0.934128
30067		4.454318	1.495930	8.559772	-0.002198	-0.041644	-0.030229	-0.717529	-0.344238	-0.352783	-0.248706	-0.255797	-0.019967	-0.933978
30068		4.532434	1.440549	8.575354	0.002427	-0.036925	-0.026809	-0.718750	-0.350586	-0.356201	-0.248915	-0.256078	-0.019964	-0.933845
30069		4.624022	1.411902	8.559269	0.008056	-0.027231	-0.014453	-0.720703	-0.347656	-0.354492	-0.249014	-0.256294	-0.019993	-0.933759
30070		4.581906	1.419369	8.454405	0.008206	-0.025593	0.001969	-0.720215	-0.343018	-0.353516	-0.248982	-0.256499	-0.019984	-0.933711
30071		4.528410	1.496903	8.475603	0.015478	-0.034961	-0.002266	-0.724854	-0.346680	-0.360596	-0.248967	-0.256789	-0.020010	-0.933635
30072		4.519721	1.545506	8.497995	0.007115	-0.041826	-0.012882	-0.729004	-0.346924	-0.352783	-0.249053	-0.257110	-0.019975	-0.933525
30073		4.496024	1.476403	8.516242	0.010736	-0.042038	-0.017490	-0.722168	-0.339844	-0.355225	-0.249167	-0.257433	-0.019975	-0.933405
30074		4.516041	1.435524	8.516419	0.014441	-0.040971	-0.013909	-0.724121	-0.347412	-0.342529	-0.249243	-0.257747	-0.019990	-0.933298
30075		4.581011	1.427859	8.556786	0.018127	-0.040898	-0.012117	-0.719971	-0.343750	-0.361328	-0.249296	-0.258057	-0.020019	-0.933197
30076		4.556201	1.370142	8.530126	0.011698	-0.037307	-0.014042	-0.726318	-0.351074	-0.352295	-0.249373	-0.258318	-0.019994	-0.933105
30077		4.605348	1.315698	8.545848	0.014488	-0.037150	-0.010413	-0.726074	-0.339600	-0.356445	-0.249412	-0.258572	-0.019965	-0.933025
30078		4.611064	1.336863	8.585364	0.011756	-0.031615	-0.009714	-0.728271	-0.358643	-0.351074	-0.249444	-0.258771	-0.019899	-0.932963
30079		4.614279	1.291084	8.542925	0.006290	-0.031481	-0.006907	-0.726562	-0.343994	-0.352783	-0.249464	-0.258940	-0.019757	-0.932913
30080		4.694556	1.230004	8.661846	0.010916	-0.031325	-0.003303	-0.725098	-0.343506	-0.349854	-0.249436	-0.259120	-0.019623	-0.932874
30081		4.699799	1.222679	8.719144	0.010878	-0.023258	-0.007332	-0.722412	-0.347900	-0.355957	-0.249434	-0.259229	-0.019482	-0.932847
30082		4.688690	1.184809	8.765605	0.002536	-0.014468	-0.015875	-0.727539	-0.341553	-0.345947	-0.249511	-0.259229	-0.019260	-0.932831
30083		4.646927	1.129242	8.785389	-0.013329	-0.018219	-0.038422	-0.729736	-0.350342	-0.353271	-0.249779	-0.259223	-0.018956	-0.932767
30084		4.725323	0.850864	8.939939	-0.020134	-0.020527	-0.069395	-0.722412	-0.348633	-0.345459	-0.250280	-0.259154	-0.018568	-0.932660
30085		4.861495	0.569309	9.049136	-0.031408	-0.017846	-0.091368	-0.720947	-0.360107	-0.343262	-0.251011	-0.259055	-0.018137	-0.932499
30086		4.908396	0.248762	9.060637	-0.073332	-0.026701	-0.145426	-0.723633	-0.349609	-0.351562	-0.252256	-0.258868	-0.017357	-0.932230
30087		5.095974	-0.626038	9.158442	-0.140735	-0.056244	-0.189075	-0.719727	-0.357910	-0.339844	-0.253896	-0.258755	-0.015933	-0.931842
30088		5.414577	-1.881314	9.292960	-0.159244	-0.078285	-0.209878	-0.727051	-0.359131	-0.344727	-0.255774	-0.258756	-0.014248	-0.931355
30089		5.609945	-2.835011	9.409786	-0.222106	-0.099931	-0.193441	-0.720215	-0.349854	-0.346191	-0.257434	-0.258682	-0.011566	-0.930955
30090		5.706862	-3.983062	9.690095	-0.343596	-0.137196	-0.187431	-0.724121	-0.349609	-0.347900	-0.259311	-0.258746	-0.007537	-0.930458
30091		6.121643	-5.604273	10.131298	-0.433453	-0.153866	-0.146012	-0.719971	-0.352295	-0.342041	-0.260811	-0.258641	-0.002147	-0.930096
30092		6.449402	-6.961365	10.390396	-0.519458	-0.153879	0.072569	-0.727783	-0.334961	-0.332764	-0.260866	-0.258286	0.004777	-0.930169
30093		6.620327	-7.302247	10.826269	-0.614678	-0.160001	0.368521	-0.731445	-0.333740	-0.337891	-0.258531	-0.257957	0.013089	-0.930832
30094		6.537170	-7.070712	11.371608	-0.730344	-0.153714	0.630742	-0.730713	-0.318359	-0.322266	-0.254071	-0.256961	0.023741	-0.932124
30095		6.301785	-6.663039	11.868541	-0.826055	-0.138805	0.820234	-0.725830	-0.298340	-0.310303	-0.249016	-0.255789	0.034603	-0.933470
30096		6.229282	-6.113355	12.464107	-0.928893	-0.112339	0.960608	-0.732422	-0.275391	-0.313721	-0.243891	-0.254187	0.046362	-0.934750
30097		5.815983	-5.609212	12.926916	-1.070268	-0.067519	1.076668	-0.734375	-0.239014	-0.316406	-0.236734	-0.251125	0.061572	-0.936537
30098		5.546370	-5.114002	13.517793	-1.198646	-0.003274	1.132848	-0.726318	-0.221680	-0.303467	-0.228872	-0.246728	0.078551	-0.938388
30099		5.426595	-5.080599	13.886512	-1.307851	0.106700	1.191246	-0.730957	-0.207275	-0.298340	-0.220729	-0.240889	0.096273	-0.940204
30100		5.561752	-5.392243	14.046332	-1.312416	0.243306	1.339356	-0.725098	-0.173340	-0.296143	-0.211472	-0.233561	0.113929	-0.942205
30101		6.071426	-5.094570	14.306418	-1.249929	0.394502	1.549332	-0.719238	-0.135498	-0.293213	-0.200533	-0.224686	0.131042	-0.944527
