// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
28280		7.084208	-0.484011	6.645138	0.022646	0.028750	-0.001557	-0.247070	0.238525	-0.770020	0.891610	-0.119873	-0.379572	-0.215840
28281		7.051305	-0.473853	6.660617	0.026277	0.030247	0.001450	-0.246338	0.235840	-0.774902	0.891735	-0.119628	-0.379393	-0.215776
28282		7.031019	-0.467663	6.692042	0.017230	0.029275	-0.002173	-0.245361	0.239014	-0.765869	0.891842	-0.119436	-0.379207	-0.215766
28283		7.047811	-0.490837	6.687194	0.015879	0.019845	0.000886	-0.245605	0.233643	-0.770020	0.891922	-0.119285	-0.379087	-0.215729
28284		7.093024	-0.542792	6.733611	0.012520	0.018863	-0.006365	-0.241455	0.235352	-0.774658	0.891984	-0.119137	-0.378973	-0.215756
28285		7.119188	-0.537400	6.714434	0.010080	0.022084	-0.008825	-0.245361	0.236572	-0.773438	0.892049	-0.118996	-0.378832	-0.215811
28286		7.058785	-0.524115	6.671551	0.008174	0.014538	-0.007052	-0.250244	0.230713	-0.778564	0.892093	-0.118890	-0.378741	-0.215850
28287		7.020777	-0.493637	6.708732	0.003224	0.012496	-0.009951	-0.244629	0.236816	-0.776855	0.892120	-0.118818	-0.378657	-0.215924
28288		6.978403	-0.491708	6.715915	-0.001860	0.013144	-0.013908	-0.251221	0.238525	-0.770508	0.892139	-0.118770	-0.378560	-0.216044
28289		6.970973	-0.504344	6.745649	-0.003872	0.003415	-0.017398	-0.242920	0.229736	-0.771973	0.892121	-0.118742	-0.378528	-0.216186
28290		6.991323	-0.538424	6.748419	-0.000378	0.007609	-0.015448	-0.241699	0.232178	-0.778320	0.892128	-0.118688	-0.378460	-0.216306
28291		7.021357	-0.554466	6.747767	0.003014	0.011111	-0.017050	-0.243408	0.240234	-0.779297	0.892150	-0.118600	-0.378364	-0.216430
28292		7.033930	-0.566810	6.775264	0.004019	0.014516	-0.010413	-0.243164	0.241211	-0.780273	0.892200	-0.118525	-0.378231	-0.216502
28293		7.060418	-0.526056	6.750448	0.007498	0.015728	-0.011877	-0.242920	0.235352	-0.773193	0.892257	-0.118422	-0.378086	-0.216573
28294		7.080902	-0.474385	6.759706	0.007414	0.019510	-0.010303	-0.239014	0.231445	-0.773926	0.892330	-0.118320	-0.377910	-0.216635
28295		7.098160	-0.437685	6.755064	-0.001956	0.033659	-0.007657	-0.251709	0.232178	-0.781738	0.892445	-0.118269	-0.377606	-0.216722
28296		7.111600	-0.381148	6.731800	-0.009647	0.042167	-0.001155	-0.238037	0.242188	-0.777588	0.892592	-0.118279	-0.377213	-0.216794
