// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
28280		9.436742	2.283045	-0.969463	0.027518	0.012270	-0.022814	-0.816406	-0.514404	-0.028076	0.597393	0.483348	-0.562207	0.305647
28281		9.451653	2.298319	-0.985310	0.031330	0.004544	-0.027840	-0.815918	-0.515137	-0.028076	0.597359	0.483623	-0.561992	0.305674
28282		9.461098	2.268226	-1.027728	0.035821	-0.000141	-0.031821	-0.817139	-0.512939	-0.022461	0.597295	0.483950	-0.561773	0.305682
28283		9.459777	2.272850	-1.029673	0.034151	-0.007735	-0.034438	-0.816406	-0.518066	-0.028076	0.597179	0.484340	-0.561593	0.305623
28284		9.434357	2.280280	-1.041038	0.032380	-0.016767	-0.035259	-0.811768	-0.517578	-0.031494	0.597060	0.484706	-0.561453	0.305533
28285		9.390147	2.335683	-1.036449	0.025811	-0.025426	-0.026720	-0.815430	-0.517578	-0.032959	0.596928	0.484990	-0.561403	0.305432
28286		9.380575	2.287282	-0.980944	0.018721	-0.035274	-0.015526	-0.819092	-0.520508	-0.031738	0.596768	0.485189	-0.561461	0.305322
28287		9.423234	2.290814	-0.983499	0.012231	-0.043007	-0.005133	-0.815186	-0.515381	-0.031006	0.596563	0.485337	-0.561618	0.305198
28288		9.428756	2.294144	-0.956030	-0.001879	-0.052481	0.003249	-0.820068	-0.515381	-0.022705	0.596355	0.485392	-0.561891	0.305014
28289		9.440900	2.299727	-0.893918	-0.011299	-0.055167	0.010090	-0.812744	-0.520264	-0.027100	0.596112	0.485432	-0.562237	0.304787
28290		9.464962	2.323043	-0.859860	-0.018637	-0.053704	0.019098	-0.813232	-0.518555	-0.030029	0.595900	0.485372	-0.562624	0.304584
28291		9.458835	2.251329	-0.817274	-0.020953	-0.052533	0.021054	-0.813721	-0.514648	-0.028564	0.595728	0.485253	-0.563008	0.304401
28292		9.482841	2.245678	-0.817050	-0.012486	-0.054485	0.021744	-0.814697	-0.514648	-0.029053	0.595514	0.485168	-0.563381	0.304266
28293		9.570073	2.249676	-0.762813	0.000505	-0.054205	0.013970	-0.817139	-0.515137	-0.023682	0.595284	0.485171	-0.563677	0.304162
