// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
28280		6.036704	-2.584475	7.177228	0.030078	-0.016821	-0.001206	-0.629150	0.062988	-0.569092	-0.395206	-0.240948	0.270256	-0.844226
28281		6.034032	-2.602661	7.147639	0.025060	-0.025726	0.010205	-0.629150	0.058594	-0.571289	-0.395026	-0.241189	0.270185	-0.844264
28282		6.048562	-2.614951	7.168728	0.022446	-0.036022	0.015084	-0.625732	0.064697	-0.563232	-0.394797	-0.241483	0.270170	-0.844292
28283		6.045321	-2.674288	7.225940	0.014853	-0.043202	0.016737	-0.628174	0.059326	-0.569824	-0.394552	-0.241798	0.270242	-0.844294
28284		5.936524	-2.668409	7.207543	0.006716	-0.044454	0.017280	-0.625000	0.060059	-0.573730	-0.394316	-0.242092	0.270377	-0.844276
28285		5.867652	-2.687250	7.266332	-0.004691	-0.044656	0.022439	-0.628418	0.062256	-0.575684	-0.394065	-0.242334	0.270605	-0.844251
28286		5.870477	-2.660310	7.299271	-0.019644	-0.038436	0.026540	-0.634766	0.059814	-0.572021	-0.393828	-0.242464	0.270924	-0.844222
28287		5.907362	-2.556916	7.343545	-0.030900	-0.026275	0.029107	-0.629639	0.064453	-0.575195	-0.393623	-0.242453	0.271286	-0.844205
28288		5.896226	-2.469029	7.347520	-0.042415	-0.014859	0.022896	-0.633789	0.066162	-0.567139	-0.393512	-0.242329	0.271668	-0.844169
28289		5.926055	-2.388606	7.364398	-0.053915	-0.009561	0.013582	-0.625977	0.062744	-0.569092	-0.393506	-0.242142	0.272079	-0.844093
28290		5.943619	-2.392214	7.392752	-0.057419	-0.003436	0.007002	-0.626465	0.066162	-0.574707	-0.393575	-0.241910	0.272458	-0.844006
28291		5.956062	-2.371780	7.345429	-0.055060	0.007409	0.006698	-0.628418	0.069580	-0.573242	-0.393674	-0.241604	0.272758	-0.843950
28292		6.004308	-2.351488	7.298973	-0.057705	-0.004295	0.013580	-0.630615	0.072754	-0.573730	-0.393712	-0.241355	0.273103	-0.843892
28293		6.086675	-2.367999	7.362019	-0.046658	-0.010490	0.022931	-0.631836	0.068359	-0.570068	-0.393658	-0.241168	0.273382	-0.843880
28294		6.180532	-2.322966	7.438189	-0.034626	-0.011200	0.036043	-0.627197	0.065918	-0.570068	-0.393498	-0.241005	0.273583	-0.843936
28295		6.114541	-2.186623	7.425942	-0.018431	-0.011223	0.044462	-0.639404	0.071533	-0.572266	-0.393257	-0.240892	0.273658	-0.844056
28296		6.102515	-2.098288	7.431946	-0.017646	-0.017707	0.041007	-0.628906	0.079102	-0.571533	-0.393057	-0.240842	0.273677	-0.844158
28297		6.131274	-2.083350	7.521551	-0.006948	-0.020889	0.038856	-0.642578	0.074219	-0.564453	-0.392832	-0.240880	0.273589	-0.844280
28298		6.249119	-2.041260	7.620799	-0.000960	-0.011052	0.046983	-0.626221	0.070801	-0.565674	-0.392631	-0.240863	0.273395	-0.844441
28299		6.241867	-1.958056	7.639962	0.010049	-0.001583	0.054339	-0.633545	0.072021	-0.573975	-0.392334	-0.240838	0.273100	-0.844682
28300		6.364999	-1.751975	7.688633	0.023624	-0.001407	0.070341	-0.634033	0.067139	-0.570068	-0.391978	-0.240843	0.272579	-0.845014
28301		6.593853	-1.302313	7.853785	0.026765	-0.000404	0.095766	-0.642334	0.071045	-0.566650	-0.391487	-0.240841	0.272052	-0.845412
28302		6.932965	-0.734133	7.963679	0.040089	0.003470	0.102578	-0.630615	0.074707	-0.565430	-0.391066	-0.240908	0.271301	-0.845829
28303		7.358761	0.046906	8.067980	0.052903	0.007307	0.089782	-0.637451	0.073730	-0.564697	-0.390620	-0.241132	0.270379	-0.846266
28304		7.752888	0.976114	8.109474	0.054619	0.011980	0.060212	-0.631104	0.075195	-0.571533	-0.390625	-0.241586	0.269122	-0.846535
28305		8.236724	1.946762	8.239726	0.055346	-0.002988	0.011471	-0.632812	0.089600	-0.567627	-0.390932	-0.242535	0.267453	-0.846651
28306		8.747961	2.691720	8.386483	0.154901	-0.029634	-0.108755	-0.629639	0.079102	-0.569824	-0.391989	-0.244507	0.264660	-0.846473
28307		9.017973	3.553103	8.502957	0.231316	-0.072293	-0.217173	-0.635010	0.075439	-0.571533	-0.393595	-0.247624	0.260918	-0.845983
28308		9.180301	3.809382	8.656464	0.373374	-0.141704	-0.334807	-0.633057	0.066895	-0.578125	-0.395957	-0.252402	0.255579	-0.845098
28309		9.147435	4.389646	9.033124	0.487104	-0.223225	-0.436063	-0.635498	0.051025	-0.577393	-0.398467	-0.258865	0.248728	-0.844007
28310		9.176137	4.721132	9.777855	0.561192	-0.278716	-0.572635	-0.645020	0.047119	-0.580566	-0.401666	-0.266643	0.240713	-0.842391
