// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
58930		8.264953	-2.645865	4.596405	-0.007365	-0.006962	0.013567	-0.894775	0.389893	0.154053	0.193432	-0.513963	0.042217	-0.834652
58931		8.283806	-2.631968	4.569527	-0.009172	-0.006113	0.014655	-0.904297	0.399902	0.163818	0.193497	-0.514015	0.042333	-0.834599
58932		8.260792	-2.642415	4.605045	-0.010132	-0.005421	0.013622	-0.909180	0.395752	0.161621	0.193608	-0.514064	0.042478	-0.834536
58933		8.256291	-2.646204	4.583447	-0.012844	-0.006483	0.019845	-0.890625	0.401855	0.157715	0.193672	-0.514126	0.042633	-0.834475
58934		8.216538	-2.650341	4.569326	-0.012726	-0.002349	0.013816	-0.909180	0.401855	0.155273	0.193856	-0.514135	0.042830	-0.834416
58935		8.181108	-2.687503	4.545054	-0.009280	-0.003245	0.006910	-0.897705	0.405273	0.162354	0.193917	-0.514162	0.042938	-0.834380
58936		8.244074	-2.661443	4.583341	-0.009000	-0.001479	-0.000388	-0.897949	0.399170	0.157471	0.194002	-0.514168	0.043045	-0.834351
58937		8.247365	-2.654155	4.539844	-0.004077	0.001523	-0.005845	-0.897949	0.392090	0.164551	0.194005	-0.514157	0.043075	-0.834356
58938		8.248106	-2.669788	4.572087	-0.008202	0.004877	-0.007268	-0.898438	0.393066	0.162598	0.193891	-0.514145	0.043100	-0.834388
58939		8.251642	-2.652506	4.560639	-0.003451	0.004009	-0.008274	-0.895752	0.390869	0.157227	0.193805	-0.514130	0.043092	-0.834418
58940		8.244284	-2.659609	4.584028	-0.008710	0.006527	-0.010868	-0.897949	0.398926	0.157959	0.193676	-0.514108	0.043114	-0.834460
58941		8.267473	-2.641817	4.579138	-0.008257	0.005143	-0.008845	-0.907959	0.402100	0.163330	0.193635	-0.514084	0.043164	-0.834482
58942		8.255456	-2.659088	4.550810	-0.007122	0.005977	-0.007673	-0.899170	0.393555	0.162354	0.193588	-0.514057	0.043204	-0.834507
58943		8.247562	-2.641183	4.573701	-0.006949	0.007505	-0.007533	-0.897461	0.401855	0.156006	0.193497	-0.514022	0.043229	-0.834548
58944		8.255483	-2.648615	4.583509	-0.003275	0.005535	-0.008133	-0.902100	0.395508	0.156250	0.193510	-0.513981	0.043252	-0.834570
58945		8.258658	-2.640397	4.540784	-0.004917	0.004012	-0.008315	-0.903320	0.400635	0.160400	0.193439	-0.513968	0.043258	-0.834594
58946		8.263037	-2.664546	4.562394	-0.003778	0.008748	-0.005733	-0.898193	0.400391	0.149902	0.193423	-0.513940	0.043289	-0.834613
58947		8.231531	-2.638256	4.590119	-0.002312	0.004839	-0.007101	-0.900391	0.391846	0.162109	0.193433	-0.513874	0.043293	-0.834651
58948		8.246916	-2.637735	4.576854	-0.001295	0.003875	-0.004492	-0.903076	0.386963	0.157471	0.193367	-0.513888	0.043277	-0.834659
58949		8.243337	-2.654044	4.588954	-0.002881	0.002082	-0.003098	-0.902588	0.398926	0.158691	0.193263	-0.513891	0.043257	-0.834682
58950		8.246952	-2.637073	4.577171	-0.002715	-0.000290	-0.004368	-0.890137	0.400635	0.162354	0.193254	-0.513923	0.043265	-0.834664
58951		8.235575	-2.645290	4.579624	-0.004185	-0.000284	-0.004410	-0.898682	0.391602	0.160645	0.193290	-0.513942	0.043295	-0.834642
58952		8.267455	-2.661047	4.583990	-0.001356	0.000242	-0.007478	-0.902344	0.395508	0.159668	0.193213	-0.513962	0.043257	-0.834650
58953		8.255306	-2.652585	4.554876	-0.000840	0.004830	-0.007058	-0.907715	0.396240	0.154297	0.193163	-0.513955	0.043236	-0.834667
58954		8.220589	-2.642684	4.593974	-0.002709	0.002046	-0.008957	-0.899902	0.407959	0.161621	0.193089	-0.513953	0.043210	-0.834687
58955		8.248038	-2.633285	4.577396	-0.004128	-0.002119	-0.008833	-0.904297	0.395508	0.157959	0.193128	-0.514011	0.043230	-0.834641
58956		8.256249	-2.649704	4.554844	-0.005310	0.001214	-0.010172	-0.909912	0.396729	0.166504	0.193035	-0.514027	0.043214	-0.834653
58957		8.245068	-2.656957	4.557514	-0.002480	0.001740	-0.013240	-0.897461	0.399170	0.157715	0.192922	-0.514107	0.043173	-0.834633
58958		8.261328	-2.646027	4.575332	-0.001063	0.002002	-0.014774	-0.896240	0.395996	0.153076	0.192870	-0.514088	0.043123	-0.834659
58959		8.249568	-2.636376	4.546196	0.000353	0.002264	-0.016308	-0.909180	0.396973	0.160889	0.192792	-0.514033	0.043043	-0.834715
58960		8.250298	-2.624916	4.578129	-0.000774	0.005326	-0.016070	-0.896240	0.393555	0.159668	0.192679	-0.514048	0.042981	-0.834735
58961		8.266565	-2.648271	4.565478	0.000412	0.001991	-0.014731	-0.899902	0.392822	0.161865	0.192590	-0.514044	0.042903	-0.834762
58962		8.242975	-2.612818	4.569900	-0.003657	0.005063	-0.014578	-0.903076	0.398438	0.166016	0.192466	-0.514051	0.042859	-0.834788
58963		8.251773	-2.610079	4.610625	-0.003152	-0.000487	-0.012390	-0.902588	0.392090	0.158203	0.192405	-0.514133	0.042828	-0.834754
58964		8.252029	-2.618041	4.578945	-0.006997	-0.000057	-0.011932	-0.897217	0.394043	0.161377	0.192277	-0.514152	0.042801	-0.834772
58965		8.260825	-2.659808	4.556791	-0.005191	-0.003238	-0.008431	-0.903076	0.392822	0.161621	0.192220	-0.514203	0.042783	-0.834755
58966		8.261590	-2.624551	4.586348	-0.008414	-0.010461	-0.008632	-0.900391	0.398438	0.160156	0.192119	-0.514323	0.042770	-0.834705
58967		8.246433	-2.573668	4.596832	-0.010398	-0.013480	-0.003096	-0.900146	0.394287	0.162598	0.192118	-0.514446	0.042807	-0.834628
58968		8.264486	-2.650219	4.582346	-0.009775	-0.017234	-0.002346	-0.906006	0.392822	0.157715	0.192083	-0.514610	0.042822	-0.834534
58969		8.285138	-2.659414	4.554789	-0.008474	-0.014867	-0.001032	-0.903076	0.396484	0.162598	0.192029	-0.514720	0.042826	-0.834478
58970		8.293979	-2.676523	4.530687	0.001197	-0.008805	-0.006077	-0.895996	0.392822	0.162354	0.192027	-0.514809	0.042770	-0.834427
58971		8.286418	-2.632959	4.551695	0.000007	-0.001569	-0.006000	-0.907227	0.392822	0.161865	0.192006	-0.514839	0.042730	-0.834415
58972		8.267456	-2.623386	4.576433	0.002437	-0.002263	-0.004927	-0.912842	0.390137	0.161377	0.191960	-0.514882	0.042669	-0.834402
58973		8.260054	-2.639842	4.567903	0.001305	0.000801	-0.004687	-0.896729	0.395264	0.157959	0.191858	-0.514905	0.042608	-0.834415
58974		8.283526	-2.656267	4.531942	0.004021	-0.000468	-0.006321	-0.904297	0.394287	0.160156	0.191889	-0.514880	0.042545	-0.834426
58975		8.260500	-2.637658	4.568358	0.002833	0.002863	-0.007657	-0.900391	0.390625	0.157471	0.191857	-0.514866	0.042485	-0.834446
58976		8.260743	-2.636488	4.568595	-0.000443	-0.000193	-0.008022	-0.903809	0.389160	0.162598	0.191787	-0.514849	0.042431	-0.834475
58977		8.273107	-2.617580	4.597114	-0.000779	-0.003254	-0.008303	-0.910889	0.394043	0.165039	0.191675	-0.514908	0.042377	-0.834466
58978		8.284914	-2.616924	4.562746	-0.000156	-0.000769	-0.010729	-0.903076	0.400879	0.158691	0.191574	-0.514975	0.042324	-0.834452
58979		8.289227	-2.624296	4.551582	-0.000838	0.000916	-0.008467	-0.906250	0.391113	0.161133	0.191622	-0.514957	0.042303	-0.834453
58980		8.289784	-2.613949	4.583214	0.001761	0.001754	-0.007253	-0.905518	0.393799	0.163086	0.191547	-0.514959	0.042242	-0.834471
58981		8.281769	-2.605025	4.574380	-0.001466	0.002334	-0.004630	-0.901367	0.395508	0.154541	0.191513	-0.514980	0.042228	-0.834467
58982		8.298098	-2.655394	4.562156	-0.003674	0.004290	-0.003986	-0.902100	0.397705	0.161621	0.191533	-0.514896	0.042228	-0.834514
58983		8.266117	-2.638499	4.558619	0.000170	0.010099	-0.007622	-0.907959	0.396240	0.157227	0.191558	-0.514845	0.042215	-0.834540
58984		8.285753	-2.662011	4.567401	0.001868	0.013690	-0.010451	-0.900879	0.399414	0.164795	0.191527	-0.514722	0.042167	-0.834626
58985		8.280424	-2.601043	4.579080	0.001534	0.010627	-0.010733	-0.910156	0.400635	0.163330	0.191570	-0.514707	0.042145	-0.834627
58986		8.272259	-2.616747	4.572420	-0.000391	0.015906	-0.011384	-0.910645	0.400879	0.163574	0.191572	-0.514642	0.042131	-0.834667
58987		8.248432	-2.632730	4.579722	-0.001356	0.014263	-0.007828	-0.908447	0.394775	0.167236	0.191600	-0.514593	0.042136	-0.834691
58988		8.271411	-2.639531	4.576929	0.000748	0.012840	-0.011623	-0.901123	0.390869	0.165283	0.191535	-0.514598	0.042094	-0.834704
58989		8.258875	-2.621243	4.580727	0.000803	0.012571	-0.010047	-0.901367	0.389648	0.161621	0.191461	-0.514585	0.042056	-0.834731
58990		8.273697	-2.585199	4.599346	-0.000490	0.010198	-0.011361	-0.903564	0.391113	0.163818	0.191357	-0.514548	0.042013	-0.834780
58991		8.261886	-2.636057	4.541142	0.000982	0.010195	-0.011318	-0.905518	0.400879	0.161865	0.191273	-0.514537	0.041964	-0.834809
58992		8.249763	-2.608540	4.576031	0.000076	0.010615	-0.010775	-0.903809	0.391846	0.166992	0.191324	-0.514494	0.041963	-0.834824
58993		8.253545	-2.615607	4.566082	0.000087	0.006711	-0.012187	-0.907715	0.393799	0.160400	0.191244	-0.514551	0.041915	-0.834809
58994		8.249497	-2.605333	4.578338	-0.001047	0.009769	-0.011948	-0.902100	0.393066	0.159180	0.191174	-0.514503	0.041880	-0.834857
