// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56495		6.696814	-5.330319	4.903277	0.003118	-0.004688	-0.009499	-0.676514	0.484863	0.061523	0.240274	-0.463615	0.191090	-0.831153
56496		6.721817	-5.302963	4.901134	0.001305	-0.000296	-0.004103	-0.680664	0.474121	0.071777	0.240251	-0.463621	0.191065	-0.831162
56497		6.676079	-5.310739	4.887020	-0.001330	0.004832	0.000352	-0.677002	0.478760	0.059082	0.240226	-0.463603	0.191083	-0.831175
56498		6.639495	-5.286029	4.884329	-0.001669	0.006883	-0.001781	-0.679443	0.483887	0.069580	0.240196	-0.463561	0.191101	-0.831202
56499		6.616310	-5.340722	4.853362	-0.003144	0.007477	-0.001955	-0.684570	0.490967	0.065186	0.240159	-0.463519	0.191130	-0.831230
56500		6.627396	-5.345537	4.820400	0.002757	0.005103	-0.001262	-0.669189	0.483643	0.064941	0.240153	-0.463479	0.191118	-0.831256
56501		6.658533	-5.340168	4.837895	0.006674	0.007128	-0.000733	-0.682129	0.488037	0.064697	0.240165	-0.463418	0.191088	-0.831294
56502		6.656023	-5.301831	4.884181	0.007980	0.007998	0.000298	-0.681396	0.488770	0.061035	0.240187	-0.463349	0.191056	-0.831334
56503		6.640658	-5.294993	4.898916	0.005030	0.009185	-0.000049	-0.683105	0.491943	0.061279	0.240194	-0.463277	0.191046	-0.831374
56504		6.655008	-5.310538	4.875811	0.002418	0.008322	0.001737	-0.686768	0.481689	0.061035	0.240204	-0.463212	0.191058	-0.831404
56505		6.654912	-5.329768	4.854473	0.001280	0.007739	0.007548	-0.682129	0.487061	0.063477	0.240252	-0.463144	0.191101	-0.831418
56506		6.713941	-5.328644	4.856929	0.005198	0.009474	0.006793	-0.672363	0.490234	0.067383	0.240307	-0.463060	0.191119	-0.831445
56507		6.667505	-5.301108	4.909460	0.001739	0.016219	0.014152	-0.666748	0.485840	0.066162	0.240388	-0.462929	0.191204	-0.831476
56508		6.614858	-5.290598	4.898929	-0.002033	0.019024	0.016710	-0.676514	0.483887	0.060059	0.240467	-0.462780	0.191329	-0.831507
56509		6.585779	-5.336419	4.859693	-0.004305	0.014360	0.012928	-0.682617	0.479248	0.070068	0.240519	-0.462672	0.191444	-0.831525
56510		6.647351	-5.347275	4.871651	-0.001861	0.016983	0.013282	-0.674561	0.481201	0.055176	0.240580	-0.462541	0.191555	-0.831555
56511		6.722083	-5.345676	4.893523	0.001067	0.022091	0.017575	-0.678955	0.486084	0.062256	0.240677	-0.462359	0.191675	-0.831601
56512		6.715685	-5.300699	4.952523	-0.000763	0.031626	0.021771	-0.682129	0.484375	0.061768	0.240780	-0.462115	0.191844	-0.831668
56513		6.752087	-5.275849	4.972524	-0.010769	0.040345	0.027895	-0.679932	0.476807	0.063721	0.240867	-0.461821	0.192115	-0.831743
56514		6.712191	-5.257225	4.993810	-0.021455	0.059782	0.034961	-0.679932	0.483398	0.061279	0.240922	-0.461405	0.192511	-0.831866
56515		6.649318	-5.322997	4.950417	-0.027518	0.065444	0.042780	-0.676025	0.486572	0.059082	0.240998	-0.460945	0.192982	-0.831990
56516		6.635111	-5.300842	4.968447	-0.032918	0.070679	0.047256	-0.677490	0.495850	0.060303	0.241079	-0.460448	0.193517	-0.832118
56517		6.608701	-5.284514	5.008741	-0.043884	0.076867	0.055702	-0.668701	0.489746	0.062012	0.241171	-0.459914	0.194172	-0.832234
56518		6.722278	-5.331777	4.992382	-0.060080	0.091071	0.062732	-0.673584	0.486328	0.062500	0.241229	-0.459296	0.194989	-0.832367
56519		6.718909	-5.340001	4.976175	-0.065306	0.117576	0.070514	-0.669434	0.488037	0.054932	0.241262	-0.458500	0.195914	-0.832579
56520		6.587785	-5.413811	4.932961	-0.070499	0.126950	0.074139	-0.675781	0.495605	0.056152	0.241289	-0.457637	0.196896	-0.832815
56521		6.713887	-5.335774	5.042989	-0.067216	0.136855	0.085686	-0.667725	0.490479	0.055908	0.241390	-0.456680	0.197922	-0.833067
56522		6.685564	-5.148117	5.343888	-0.084214	0.204310	0.071190	-0.673828	0.495605	0.056885	0.241216	-0.455320	0.199140	-0.833572
56523		6.618957	-4.972743	5.486045	-0.132345	0.276467	0.045940	-0.675293	0.501953	0.057617	0.240544	-0.453576	0.200701	-0.834342
56524		6.359573	-4.846894	5.735153	-0.201790	0.334104	-0.006297	-0.681152	0.497559	0.049561	0.239140	-0.451623	0.202614	-0.835342
56525		6.567189	-4.638505	6.058743	-0.287622	0.419380	-0.080198	-0.677002	0.490967	0.050049	0.236719	-0.449295	0.204938	-0.836719
56526		6.487324	-4.186163	6.551422	-0.410079	0.586149	-0.214343	-0.669922	0.491211	0.056396	0.232611	-0.446214	0.207869	-0.838794
56527		6.441775	-3.835149	6.948662	-0.605204	0.775216	-0.377215	-0.689941	0.490479	0.046143	0.226348	-0.442386	0.211826	-0.841541
56528		6.333565	-3.967342	6.767061	-0.820739	0.925572	-0.515993	-0.687012	0.487061	0.035400	0.217886	-0.437911	0.216842	-0.844831
56529		6.477088	-4.244678	6.388949	-0.993110	1.047622	-0.629046	-0.687988	0.483154	0.030762	0.207826	-0.432929	0.222681	-0.848407
56530		6.580742	-4.539628	5.966786	-1.135667	1.142854	-0.711285	-0.691406	0.480225	0.034424	0.196551	-0.427543	0.229223	-0.852075
56531		6.445486	-4.983702	5.333815	-1.217400	1.170752	-0.735003	-0.702881	0.468994	0.027100	0.184843	-0.422016	0.236183	-0.855543
56532		6.434060	-5.265569	5.047586	-1.243854	1.164241	-0.734486	-0.700928	0.458496	0.020264	0.172922	-0.416418	0.243285	-0.858782
56533		6.555745	-5.204232	5.131766	-1.249877	1.164635	-0.749037	-0.718018	0.462646	0.023926	0.161081	-0.410970	0.250349	-0.861674
56534		6.438030	-5.048353	5.316952	-1.285077	1.196510	-0.774007	-0.716797	0.446777	0.018799	0.148713	-0.404899	0.257436	-0.864678
56535		6.371654	-4.971116	5.403780	-1.338179	1.210341	-0.801936	-0.728027	0.450684	0.015869	0.136111	-0.399056	0.264887	-0.867216
56536		6.381205	-4.883773	5.542007	-1.401029	1.252768	-0.846509	-0.732422	0.445557	0.014404	0.122886	-0.392644	0.272405	-0.869785
56537		6.324347	-4.976802	5.446152	-1.466915	1.299283	-0.902272	-0.745117	0.430176	0.010254	0.108967	-0.386121	0.280296	-0.872050
56538		6.256201	-5.208343	5.132908	-1.506450	1.326072	-0.937619	-0.748535	0.425293	-0.001465	0.094186	-0.379606	0.288698	-0.873889
56539		6.184474	-5.591613	4.698913	-1.518554	1.296805	-0.943797	-0.765137	0.419189	-0.000732	0.079298	-0.373389	0.297176	-0.875202
56540		6.187159	-5.801516	4.417015	-1.492432	1.255069	-0.938199	-0.765381	0.406006	-0.005371	0.064576	-0.367385	0.305472	-0.876097
56541		6.356343	-5.950722	4.344179	-1.454014	1.225450	-0.936525	-0.771973	0.408936	-0.006104	0.050058	-0.361510	0.313449	-0.876672
56542		6.299873	-6.161448	3.964897	-1.399313	1.173704	-0.898334	-0.778076	0.389160	-0.013428	0.036110	-0.355826	0.321090	-0.876918
56543		6.249999	-6.466951	3.739457	-1.307197	1.080669	-0.837224	-0.792725	0.388916	-0.010498	0.023132	-0.350587	0.328203	-0.876833
56544		6.328983	-6.602257	3.768370	-1.188942	0.999489	-0.778026	-0.793457	0.385254	-0.021729	0.011162	-0.345725	0.334621	-0.876572
56545		6.298784	-6.404583	3.958005	-1.082740	0.953388	-0.736648	-0.801514	0.380615	-0.023926	-0.000061	-0.341053	0.340394	-0.876250
56546		6.220827	-6.379328	4.093520	-1.005569	0.903799	-0.694842	-0.809570	0.369385	-0.036133	-0.010612	-0.336603	0.345722	-0.875821
56547		6.163204	-6.415061	4.153960	-0.932434	0.851273	-0.648668	-0.813721	0.363770	-0.035400	-0.020460	-0.332385	0.350645	-0.875300
56548		6.170244	-6.223496	4.432002	-0.870443	0.813228	-0.617074	-0.813232	0.350830	-0.035400	-0.029786	-0.328338	0.355205	-0.874721
56549		6.285099	-5.962953	4.832196	-0.836076	0.827245	-0.621587	-0.824951	0.349365	-0.046875	-0.039086	-0.324183	0.359475	-0.874160
56550		6.248346	-5.851655	4.955834	-0.843892	0.854119	-0.621135	-0.818115	0.349365	-0.058105	-0.048485	-0.319796	0.363745	-0.873538
56551		6.128336	-6.023414	4.757066	-0.837647	0.877456	-0.632082	-0.826660	0.341553	-0.054688	-0.058018	-0.315238	0.367874	-0.872885
56552		5.946516	-6.228578	4.454494	-0.816929	0.852969	-0.614885	-0.844971	0.329102	-0.064453	-0.067289	-0.310778	0.371863	-0.872128
56553		5.971724	-6.608569	4.099540	-0.766300	0.785300	-0.567539	-0.835449	0.324219	-0.071289	-0.075863	-0.306656	0.375619	-0.871273
56554		5.981557	-6.695523	3.905606	-0.679407	0.722060	-0.509610	-0.850586	0.327393	-0.085205	-0.083579	-0.302841	0.378932	-0.870467
56555		5.810719	-6.766337	3.884753	-0.585510	0.632136	-0.450025	-0.855469	0.320068	-0.084717	-0.090324	-0.299540	0.381786	-0.869688
56556		6.028953	-6.589492	4.175277	-0.503478	0.564597	-0.406940	-0.857666	0.321777	-0.088379	-0.096320	-0.296636	0.384221	-0.868967
56557		5.841663	-6.458739	4.319264	-0.448334	0.523486	-0.372642	-0.852295	0.311035	-0.098877	-0.101789	-0.293953	0.386379	-0.868299
56558		5.622099	-6.532176	4.354299	-0.397236	0.453068	-0.350665	-0.854736	0.312256	-0.094727	-0.106737	-0.291737	0.388278	-0.867604
56559		5.457751	-6.547783	4.197730	-0.335399	0.355923	-0.325952	-0.857666	0.302979	-0.093994	-0.111029	-0.290178	0.389881	-0.866869
56560		5.483718	-6.889378	3.852326	-0.254763	0.208605	-0.271416	-0.853516	0.297852	-0.100586	-0.114241	-0.289562	0.391180	-0.866073
56561		5.664700	-7.225467	3.338220	-0.131355	0.027041	-0.166761	-0.871582	0.302246	-0.106689	-0.115790	-0.290018	0.392043	-0.865324
56562		6.156940	-7.349444	3.204811	0.035704	-0.142351	-0.031635	-0.861084	0.301514	-0.099365	-0.115388	-0.291411	0.392238	-0.864821
56563		6.501246	-6.791033	4.136679	0.176461	-0.192280	0.052358	-0.868408	0.297363	-0.095459	-0.113860	-0.293031	0.391717	-0.864712
56564		6.404805	-6.087128	4.964173	0.212419	-0.144848	0.079873	-0.862793	0.302246	-0.090820	-0.112198	-0.294258	0.390967	-0.864852
56565		6.129149	-5.846750	5.212259	0.193618	-0.122479	0.096623	-0.855957	0.300781	-0.095947	-0.110541	-0.295248	0.390348	-0.865007
56566		5.936356	-5.890363	5.215489	0.166691	-0.118904	0.101639	-0.856689	0.303467	-0.087891	-0.108931	-0.296159	0.389900	-0.865102
