// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56495		8.785496	-4.038016	1.765100	0.002656	-0.006768	-0.008409	-0.589111	0.662842	0.221924	0.429026	-0.632090	-0.103195	-0.636984
56496		8.793463	-4.028511	1.781836	0.010171	-0.011179	-0.006956	-0.586670	0.655029	0.229980	0.429033	-0.632107	-0.103325	-0.636941
56497		8.805282	-4.005170	1.742410	0.011003	-0.001911	-0.006429	-0.585449	0.660156	0.220459	0.429046	-0.632081	-0.103424	-0.636943
56498		8.783458	-4.014457	1.768799	0.007917	-0.003057	-0.005203	-0.586182	0.663330	0.230469	0.429057	-0.632065	-0.103505	-0.636939
56499		8.750490	-4.045789	1.834253	0.004560	-0.000648	-0.007612	-0.593018	0.668457	0.225586	0.429039	-0.632046	-0.103572	-0.636959
56500		8.732655	-4.074719	1.856247	0.008916	0.000179	-0.007515	-0.575684	0.659668	0.225342	0.429047	-0.632004	-0.103658	-0.636980
56501		8.755538	-4.062903	1.830355	0.010426	-0.005956	-0.007637	-0.590576	0.669434	0.224121	0.429060	-0.631987	-0.103772	-0.636970
56502		8.772594	-4.038000	1.837309	0.016924	-0.004823	-0.008189	-0.587646	0.667236	0.220947	0.429108	-0.631938	-0.103917	-0.636963
56503		8.770352	-4.013093	1.827873	0.011370	-0.005108	-0.008210	-0.593018	0.668945	0.224609	0.429128	-0.631907	-0.104033	-0.636961
56504		8.764810	-4.049795	1.848816	0.008897	0.002354	-0.010647	-0.595215	0.660645	0.221924	0.429130	-0.631840	-0.104121	-0.637012
56505		8.765421	-4.048015	1.849815	0.019264	-0.001682	-0.007784	-0.591309	0.666992	0.223877	0.429202	-0.631755	-0.104262	-0.637025
56506		8.792302	-4.022113	1.767517	0.022611	-0.008510	-0.007313	-0.578857	0.667725	0.226807	0.429291	-0.631690	-0.104439	-0.637000
56507		8.764803	-4.017816	1.827156	0.018885	-0.002898	-0.007940	-0.574463	0.665771	0.226074	0.429362	-0.631610	-0.104581	-0.637009
56508		8.760472	-3.999762	1.846623	0.016744	-0.003201	-0.007289	-0.585449	0.662842	0.220947	0.429426	-0.631536	-0.104708	-0.637018
56509		8.755861	-4.032930	1.853974	0.021153	0.000023	-0.008932	-0.589600	0.658203	0.231445	0.429510	-0.631420	-0.104855	-0.637052
56510		8.739042	-4.057827	1.863180	0.024763	0.002844	-0.007210	-0.582031	0.661621	0.217529	0.429626	-0.631274	-0.104999	-0.637095
56511		8.786019	-4.061995	1.836360	0.021103	-0.002356	-0.007186	-0.588623	0.664062	0.226074	0.429728	-0.631165	-0.105137	-0.637112
56512		8.822985	-4.000241	1.794197	0.012598	0.003233	-0.004395	-0.587646	0.662842	0.222168	0.429808	-0.631053	-0.105192	-0.637159
56513		8.805822	-3.992553	1.750703	0.006911	0.006925	-0.005271	-0.586914	0.655029	0.221191	0.429854	-0.630943	-0.105211	-0.637234
56514		8.850198	-3.971342	1.700205	-0.000129	0.015022	-0.000115	-0.588867	0.662354	0.225586	0.429884	-0.630829	-0.105137	-0.637339
56515		8.846688	-3.948226	1.692972	-0.011052	0.023852	-0.000318	-0.583252	0.664795	0.218506	0.429863	-0.630711	-0.104987	-0.637495
56516		8.810305	-3.988045	1.790131	-0.019802	0.035265	0.003905	-0.585938	0.669922	0.223145	0.429824	-0.630580	-0.104736	-0.637691
56517		8.750232	-3.975383	1.823337	-0.027302	0.037503	0.005579	-0.576660	0.665527	0.223389	0.429760	-0.630462	-0.104434	-0.637900
56518		8.761643	-4.015527	1.864058	-0.029556	0.039038	0.008519	-0.581543	0.660156	0.224365	0.429693	-0.630362	-0.104096	-0.638100
56519		8.764542	-4.085500	1.836891	-0.024492	0.039953	0.010686	-0.580566	0.666016	0.218994	0.429656	-0.630232	-0.103766	-0.638306
56520		8.780066	-4.043183	1.898235	-0.021652	0.035900	0.010161	-0.585205	0.668213	0.222412	0.429653	-0.630104	-0.103464	-0.638484
56521		8.707371	-4.074752	1.918424	-0.042297	0.024383	0.009365	-0.578125	0.665039	0.223145	0.429531	-0.630100	-0.103097	-0.638630
56522		8.660075	-4.170817	1.907291	-0.031057	0.007752	0.012650	-0.587402	0.664795	0.225830	0.429474	-0.630156	-0.102820	-0.638657
56523		8.882606	-3.763845	1.917340	-0.086646	0.035584	0.008157	-0.583740	0.673584	0.228027	0.429129	-0.630243	-0.102159	-0.638909
56524		8.986633	-3.633341	1.884660	-0.229474	0.110440	0.018907	-0.592529	0.668701	0.222900	0.428170	-0.630442	-0.100440	-0.639629
56525		8.839862	-3.815701	1.985662	-0.339672	0.167524	0.017988	-0.587891	0.660889	0.232422	0.426639	-0.630687	-0.097975	-0.640792
56526		8.812749	-3.847445	2.089132	-0.379527	0.189498	0.014583	-0.580322	0.665039	0.236816	0.424847	-0.630971	-0.095241	-0.642114
56527		9.018566	-3.407410	2.050846	-0.460381	0.240565	0.009314	-0.595459	0.664307	0.237549	0.422660	-0.631256	-0.091927	-0.643758
56528		9.192212	-3.111442	1.953517	-0.646409	0.341800	0.011798	-0.589600	0.658691	0.233398	0.419537	-0.631563	-0.087306	-0.646138
56529		9.069163	-3.419981	1.883311	-0.842859	0.453420	0.016396	-0.586670	0.663574	0.239502	0.415433	-0.631927	-0.081277	-0.649213
56530		8.965737	-3.673504	1.812708	-0.957366	0.522157	0.018667	-0.585938	0.660400	0.252930	0.410777	-0.632263	-0.074440	-0.652660
56531		9.011244	-3.627060	1.757949	-1.083717	0.590367	0.017858	-0.592773	0.654541	0.252686	0.405426	-0.632630	-0.066678	-0.656478
56532		8.819470	-4.076276	1.741513	-1.180090	0.642676	0.019792	-0.587891	0.642578	0.256348	0.399539	-0.632942	-0.058241	-0.660577
56533		8.750924	-4.131518	1.742547	-1.225390	0.668557	0.018796	-0.598633	0.651611	0.273193	0.393404	-0.633258	-0.049419	-0.664662
56534		8.791178	-4.067629	1.694316	-1.316624	0.715506	0.016043	-0.594971	0.638184	0.274658	0.386699	-0.633438	-0.039982	-0.669046
56535		8.848127	-3.885510	1.737269	-1.442627	0.783861	0.017329	-0.604248	0.643555	0.283447	0.379344	-0.633616	-0.029574	-0.673613
56536		8.793983	-4.030357	1.758703	-1.572499	0.854032	0.018003	-0.605957	0.638428	0.294678	0.371237	-0.633591	-0.018302	-0.678536
56537		8.689042	-4.138435	1.734680	-1.628345	0.896510	0.019905	-0.613281	0.622314	0.302490	0.362780	-0.633365	-0.006566	-0.683518
56538		8.573399	-4.381977	1.766106	-1.636113	0.909452	0.013919	-0.612305	0.617188	0.301270	0.354078	-0.632982	0.005307	-0.688429
56539		8.443590	-4.503603	1.745629	-1.608105	0.899002	0.012208	-0.627197	0.613281	0.314453	0.345588	-0.632434	0.016906	-0.693044
56540		8.286114	-4.846181	1.646333	-1.578087	0.892492	0.006406	-0.622559	0.601318	0.320312	0.336983	-0.631614	0.028328	-0.697641
56541		8.185744	-5.038461	1.650904	-1.552331	0.887699	-0.004287	-0.627197	0.604980	0.331787	0.328526	-0.630718	0.039588	-0.701925
56542		8.144399	-5.158809	1.619423	-1.511669	0.874112	-0.008465	-0.627930	0.586914	0.333008	0.320245	-0.629598	0.050531	-0.706043
56543		8.020124	-5.417814	1.751166	-1.435019	0.823490	-0.021196	-0.640625	0.586914	0.346191	0.312320	-0.628567	0.060911	-0.709683
56544		7.944670	-5.558060	1.805822	-1.311110	0.749706	-0.031702	-0.644531	0.583984	0.343262	0.304866	-0.627467	0.070367	-0.713015
56545		7.917592	-5.499408	1.815008	-1.219310	0.690825	-0.025391	-0.646240	0.580078	0.353027	0.298008	-0.626379	0.079166	-0.715942
56546		8.023309	-5.346409	1.874824	-1.160313	0.651865	-0.030003	-0.652588	0.568848	0.347656	0.291453	-0.625353	0.087562	-0.718555
56547		7.985603	-5.388112	1.881211	-1.094281	0.609935	-0.031922	-0.655029	0.564941	0.359619	0.285202	-0.624371	0.095506	-0.720901
56548		8.027294	-5.378412	1.859957	-1.022553	0.564136	-0.035984	-0.651123	0.551758	0.366943	0.279470	-0.623464	0.102861	-0.722916
56549		8.212614	-5.162344	1.860838	-1.008041	0.548305	-0.034893	-0.663330	0.553955	0.361084	0.273821	-0.622597	0.110102	-0.724757
