// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56495		9.705921	-1.401692	0.105638	0.007443	-0.009479	-0.006221	-0.925537	0.012451	0.515869	-0.035761	-0.690098	0.135441	-0.710029
56496		9.708931	-1.388739	0.112630	0.013595	-0.007710	-0.007243	-0.927734	0.001709	0.520996	-0.035717	-0.690156	0.135321	-0.709998
56497		9.724482	-1.315147	0.105631	0.008162	-0.008319	-0.001823	-0.924805	0.002441	0.510986	-0.035827	-0.690200	0.135223	-0.709968
56498		9.705792	-1.379149	0.099161	0.005663	-0.006499	-0.000867	-0.925537	0.010986	0.523682	-0.035942	-0.690227	0.135145	-0.709951
56499		9.703897	-1.431862	0.096824	0.003280	-0.003594	0.000421	-0.934082	0.016113	0.516357	-0.035906	-0.690250	0.135131	-0.709933
56500		9.685136	-1.496316	0.090726	0.006838	-0.006439	0.002419	-0.916992	0.005371	0.516357	-0.035806	-0.690291	0.135117	-0.709901
56501		9.695325	-1.467828	0.071114	0.012827	-0.004333	0.000151	-0.928223	0.013672	0.516113	-0.035794	-0.690314	0.135028	-0.709896
56502		9.703875	-1.432126	0.095025	0.013855	-0.005447	-0.001736	-0.928223	0.015869	0.512207	-0.035699	-0.690354	0.134948	-0.709877
56503		9.678819	-1.419071	0.111441	0.012338	-0.003320	-0.003578	-0.927490	0.017334	0.515137	-0.035613	-0.690384	0.134870	-0.709867
56504		9.699458	-1.436405	0.129634	0.006862	-0.002508	0.000931	-0.934814	0.008301	0.513672	-0.035508	-0.690404	0.134857	-0.709855
56505		9.701632	-1.463601	0.089412	0.016655	-0.002587	-0.002603	-0.929688	0.011230	0.514893	-0.035488	-0.690419	0.134735	-0.709865
56506		9.699807	-1.381462	0.076550	0.022511	-0.000049	-0.001274	-0.919189	0.015381	0.520508	-0.035381	-0.690423	0.134602	-0.709892
56507		9.675171	-1.389148	0.096672	0.020947	-0.005776	-0.000134	-0.913574	0.014893	0.517822	-0.035198	-0.690470	0.134503	-0.709874
56508		9.707340	-1.439692	0.106013	0.015155	0.001149	0.004324	-0.924072	0.012451	0.513428	-0.035039	-0.690463	0.134459	-0.709897
56509		9.680222	-1.480365	0.121793	0.014875	0.000401	0.002749	-0.928711	0.007080	0.524170	-0.034940	-0.690450	0.134399	-0.709926
