// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56496		9.617887	0.248415	-2.122950	-0.072784	0.006173	-0.040400	-0.847900	0.086182	-0.242920	0.619424	-0.095488	-0.773725	-0.092442
56497		9.586192	0.258339	-2.105043	-0.067228	0.003904	-0.043854	-0.843262	0.090332	-0.254883	0.619361	-0.095549	-0.773688	-0.093105
56498		9.611026	0.264821	-2.108170	-0.065276	0.003509	-0.043342	-0.844482	0.096924	-0.239990	0.619312	-0.095607	-0.773643	-0.093750
56499		9.614693	0.256252	-2.125263	-0.058708	0.001528	-0.043559	-0.850830	0.100098	-0.249756	0.619241	-0.095628	-0.773623	-0.094354
56500		9.591851	0.224233	-2.076922	-0.049728	-0.000715	-0.045094	-0.834229	0.091309	-0.247070	0.619161	-0.095595	-0.773624	-0.094907
56501		9.618124	0.178115	-2.088994	-0.037859	-0.000128	-0.045825	-0.845947	0.097168	-0.246338	0.619095	-0.095496	-0.773630	-0.095386
56502		9.621824	0.168947	-2.106592	-0.025396	0.001625	-0.046383	-0.847656	0.097168	-0.248047	0.619051	-0.095330	-0.773636	-0.095785
56503		9.634594	0.195955	-2.146349	-0.005402	0.003646	-0.045877	-0.848145	0.097168	-0.248779	0.619038	-0.095068	-0.773646	-0.096050
56504		9.588488	0.213674	-2.118103	0.016205	0.003192	-0.044948	-0.852295	0.088135	-0.250000	0.619040	-0.094704	-0.773675	-0.096165
56505		9.617617	0.286453	-2.140985	0.028329	0.002882	-0.045610	-0.849365	0.092285	-0.248535	0.619048	-0.094278	-0.773716	-0.096200
56506		9.584857	0.330651	-2.101002	0.034135	0.003645	-0.046009	-0.836914	0.096436	-0.244141	0.619065	-0.093819	-0.773759	-0.096198
56507		9.597364	0.379133	-2.103172	0.021956	0.005930	-0.047337	-0.834473	0.092041	-0.245361	0.619086	-0.093412	-0.773780	-0.096286
56508		9.593475	0.380670	-2.122385	0.013069	0.001276	-0.045839	-0.843262	0.092041	-0.252930	0.619071	-0.093060	-0.773817	-0.096424
56509		9.597118	0.369921	-2.140148	0.015737	0.000118	-0.047103	-0.849121	0.084473	-0.242432	0.619048	-0.092684	-0.773864	-0.096554
56510		9.597892	0.338980	-2.163083	0.026327	-0.000646	-0.045223	-0.842041	0.083740	-0.252930	0.619028	-0.092264	-0.773924	-0.096609
56511		9.601313	0.350402	-2.143713	0.035191	-0.000928	-0.044799	-0.845215	0.090088	-0.245850	0.619009	-0.091801	-0.773995	-0.096603
56512		9.636711	0.337925	-2.178532	0.042853	0.000391	-0.041729	-0.847168	0.086914	-0.247314	0.619004	-0.091319	-0.774065	-0.096533
56513		9.604810	0.343247	-2.161807	0.048169	0.002009	-0.041272	-0.846924	0.077637	-0.248779	0.619009	-0.090812	-0.774134	-0.096425
56514		9.585440	0.453198	-2.187327	0.055233	0.000158	-0.032454	-0.846924	0.084473	-0.246338	0.619012	-0.090324	-0.774214	-0.096224
56515		9.571478	0.538086	-2.164017	0.054220	0.000812	-0.025815	-0.846436	0.084717	-0.248535	0.619016	-0.089882	-0.774289	-0.096002
56516		9.593807	0.613130	-2.123076	0.035346	0.000985	-0.022044	-0.846924	0.091064	-0.250244	0.619005	-0.089549	-0.774350	-0.095899
56517		9.596424	0.635396	-2.118242	-0.002142	0.000404	-0.014423	-0.838623	0.088135	-0.247559	0.618967	-0.089450	-0.774377	-0.096019
56518		9.568645	0.620378	-2.118748	-0.047518	0.001361	-0.004980	-0.844482	0.081787	-0.245117	0.618912	-0.089627	-0.774352	-0.096406
56519		9.595738	0.568060	-2.129858	-0.084357	-0.000019	0.004776	-0.841797	0.085205	-0.248535	0.618819	-0.090031	-0.774306	-0.096999
56520		9.620064	0.495440	-2.146090	-0.093228	-0.001746	0.010246	-0.846191	0.090820	-0.246582	0.618716	-0.090517	-0.774252	-0.097628
56521		9.586180	0.431320	-2.208853	-0.089907	-0.003689	0.011115	-0.839355	0.086670	-0.247314	0.618592	-0.090994	-0.774218	-0.098240
56522		9.579683	0.407508	-2.233366	-0.069009	-0.001253	0.007904	-0.845459	0.088379	-0.244141	0.618506	-0.091349	-0.774183	-0.098722
56523		9.602423	0.394614	-2.190061	-0.050364	-0.001492	0.005059	-0.845215	0.095215	-0.242432	0.618404	-0.091585	-0.774187	-0.099106
56524		9.595473	0.329900	-2.138574	-0.030416	-0.004261	-0.003378	-0.851807	0.090332	-0.247559	0.618283	-0.091696	-0.774234	-0.099402
56525		9.582641	0.376197	-2.138100	-0.017187	-0.008116	-0.007719	-0.849854	0.084229	-0.242920	0.618144	-0.091672	-0.774320	-0.099617
56526		9.572481	0.442818	-2.132908	0.000647	-0.007576	-0.015711	-0.840332	0.087646	-0.236572	0.618021	-0.091502	-0.774421	-0.099754
56527		9.586288	0.458360	-2.107349	0.009029	-0.004988	-0.020328	-0.856445	0.091309	-0.237305	0.617929	-0.091337	-0.774499	-0.099865
56528		9.604154	0.456592	-2.099277	0.013693	-0.002566	-0.022005	-0.849609	0.088379	-0.246338	0.617803	-0.091072	-0.774615	-0.099983
56529		9.576845	0.513881	-2.087389	0.009848	-0.000810	-0.017104	-0.843750	0.093018	-0.245117	0.617745	-0.090857	-0.774677	-0.100060
56530		9.566234	0.571885	-2.133252	0.002056	0.000699	-0.008335	-0.842285	0.092529	-0.240723	0.617716	-0.090802	-0.774695	-0.100147
56531		9.590070	0.584868	-2.152433	-0.000266	-0.006985	-0.002111	-0.846436	0.090576	-0.243408	0.617632	-0.090818	-0.774750	-0.100229
56532		9.566631	0.621755	-2.159507	-0.007475	-0.012206	0.004781	-0.839111	0.082275	-0.246338	0.617509	-0.090870	-0.774830	-0.100318
56533		9.574845	0.657857	-2.183762	-0.015527	-0.012720	0.009507	-0.849365	0.091309	-0.236328	0.617431	-0.090957	-0.774870	-0.100413
56534		9.560087	0.666957	-2.174400	-0.038179	-0.010751	0.014238	-0.843018	0.085205	-0.240723	0.617257	-0.091221	-0.774941	-0.100695
56535		9.572447	0.558049	-2.138464	-0.052688	-0.014158	0.013220	-0.848389	0.095215	-0.242188	0.617098	-0.091520	-0.774985	-0.101052
56536		9.582776	0.478634	-2.132414	-0.062275	-0.018081	0.016497	-0.843994	0.097900	-0.239014	0.616884	-0.091937	-0.775052	-0.101465
56537		9.629349	0.389210	-2.109438	-0.062079	-0.019041	0.020484	-0.851074	0.089844	-0.235596	0.616671	-0.092449	-0.775110	-0.101859
56538		9.623135	0.369970	-2.084295	-0.056296	-0.013458	0.032980	-0.844482	0.093750	-0.244385	0.616484	-0.092888	-0.775167	-0.102148
56539		9.660035	0.363564	-2.016312	-0.050643	-0.010932	0.049360	-0.854736	0.097168	-0.239746	0.616410	-0.093461	-0.775141	-0.102276
56540		9.633342	0.388501	-2.042304	-0.068616	-0.005623	0.062306	-0.846436	0.094482	-0.243164	0.616309	-0.094177	-0.775109	-0.102474
56541		9.596233	0.427762	-2.036793	-0.096901	-0.004336	0.070408	-0.842285	0.103271	-0.236816	0.616269	-0.095103	-0.774986	-0.102783
56542		9.579783	0.428854	-2.144648	-0.135069	-0.005023	0.080708	-0.838867	0.093262	-0.238037	0.616176	-0.096441	-0.774824	-0.103314
56543		9.595231	0.286459	-2.178707	-0.165162	-0.008208	0.093134	-0.849365	0.101807	-0.232666	0.616087	-0.097891	-0.774629	-0.103947
56544		9.575931	0.210390	-2.202579	-0.167205	-0.012761	0.098343	-0.844727	0.108154	-0.236816	0.615883	-0.099412	-0.774512	-0.104575
56545		9.602301	0.168753	-2.179549	-0.152979	-0.014268	0.091256	-0.845215	0.114502	-0.233398	0.615715	-0.100903	-0.774378	-0.105124
56546		9.620375	0.053180	-2.158550	-0.135528	-0.010910	0.085152	-0.846680	0.109863	-0.241455	0.615548	-0.102337	-0.774260	-0.105591
56547		9.581404	-0.002194	-2.206797	-0.099438	-0.013934	0.079123	-0.845215	0.111328	-0.235107	0.615457	-0.103439	-0.774156	-0.105811
56548		9.566082	0.058320	-2.136012	-0.061834	-0.013426	0.063734	-0.839111	0.104004	-0.230713	0.615347	-0.104281	-0.774124	-0.105858
56549		9.590560	0.128076	-2.193950	-0.033692	-0.013739	0.047735	-0.846924	0.114746	-0.239502	0.615249	-0.104799	-0.774141	-0.105789
56550		9.615684	0.162566	-2.275585	-0.010788	-0.012636	0.031327	-0.831299	0.121338	-0.239014	0.615196	-0.105191	-0.774149	-0.105650
56551		9.583755	0.238054	-2.312251	0.021315	-0.011937	0.021374	-0.841064	0.115967	-0.233643	0.615209	-0.105553	-0.774128	-0.105373
56552		9.574242	0.357353	-2.244552	0.036756	-0.012247	0.015721	-0.850586	0.111572	-0.232422	0.615149	-0.105641	-0.774214	-0.105000
56553		9.549586	0.480085	-2.218080	0.033077	-0.011308	0.013744	-0.837646	0.111572	-0.237305	0.615051	-0.105605	-0.774344	-0.104646
56554		9.542667	0.496503	-2.169709	0.010598	-0.016912	0.015395	-0.849854	0.120850	-0.244141	0.614987	-0.105755	-0.774400	-0.104458
56555		9.545213	0.513489	-2.167414	-0.026816	-0.024019	0.022809	-0.847412	0.116943	-0.236084	0.614861	-0.106270	-0.774425	-0.104492
56556		9.556312	0.466245	-2.173723	-0.061477	-0.029301	0.029033	-0.848633	0.124023	-0.234619	0.614619	-0.106914	-0.774501	-0.104695
56557		9.618926	0.346969	-2.184144	-0.081962	-0.030324	0.029333	-0.842773	0.117432	-0.239014	0.614333	-0.107767	-0.774564	-0.105032
56558		9.610299	0.081280	-2.210917	-0.092500	-0.029307	0.023505	-0.843750	0.122559	-0.231445	0.614114	-0.108536	-0.774567	-0.105496
56559		9.611934	-0.000612	-2.196471	-0.062413	-0.026216	0.011045	-0.843750	0.118652	-0.228271	0.613861	-0.109119	-0.774646	-0.105789
56560		9.627681	0.083426	-2.158219	-0.025495	-0.022202	0.001459	-0.838135	0.116455	-0.230957	0.613640	-0.109355	-0.774777	-0.105868
56561		9.623432	0.100737	-2.143022	0.001522	-0.017339	0.002011	-0.854736	0.121338	-0.237061	0.613531	-0.109441	-0.774862	-0.105792
56562		9.599782	0.153038	-2.163639	-0.005101	-0.008426	0.002374	-0.843994	0.123047	-0.232666	0.613474	-0.109646	-0.774878	-0.105788
56563		9.582185	0.084693	-2.220747	-0.024419	-0.001253	0.004176	-0.851318	0.121826	-0.232666	0.613447	-0.109988	-0.774837	-0.105887
56564		9.576181	0.009560	-2.255837	-0.045406	0.001662	-0.001468	-0.845703	0.127686	-0.231445	0.613391	-0.110357	-0.774795	-0.106141
56565		9.537846	-0.049479	-2.288174	-0.042699	-0.001505	-0.000806	-0.841309	0.124756	-0.232666	0.613324	-0.110835	-0.774749	-0.106363
56566		9.573444	-0.218875	-2.320883	-0.012567	-0.002529	-0.005446	-0.843506	0.124512	-0.223633	0.613305	-0.111086	-0.774721	-0.106419
56567		9.621093	-0.316384	-2.231390	0.038045	0.004439	-0.014187	-0.836670	0.130127	-0.228271	0.613274	-0.110933	-0.774810	-0.106103
56568		9.672924	-0.213068	-2.198671	0.084540	0.016079	-0.020016	-0.837402	0.122559	-0.222656	0.613428	-0.110678	-0.774798	-0.105570
56569		9.632581	-0.016984	-2.210879	0.107456	0.031605	-0.019387	-0.845459	0.123779	-0.233154	0.613648	-0.110079	-0.774810	-0.104820
56570		9.567721	0.122794	-2.279818	0.100585	0.036573	-0.021182	-0.851807	0.118652	-0.231445	0.613961	-0.109641	-0.774704	-0.104233
56571		9.550260	0.222572	-2.348669	0.097633	0.035796	-0.024000	-0.843262	0.114746	-0.229736	0.614215	-0.109073	-0.774662	-0.103646
56572		9.516712	0.421457	-2.374024	0.089454	0.029482	-0.023413	-0.838867	0.112793	-0.240234	0.614429	-0.108451	-0.774655	-0.103077
56573		9.536963	0.446395	-2.271528	0.062779	0.022762	-0.026870	-0.835693	0.117676	-0.231934	0.614683	-0.108014	-0.774550	-0.102808
56574		9.582325	0.353262	-2.145270	0.024425	0.023280	-0.020548	-0.839844	0.125488	-0.242920	0.614831	-0.107838	-0.774476	-0.102669
56575		9.659222	0.237616	-2.073141	-0.024857	0.028305	-0.004304	-0.839844	0.113770	-0.233398	0.615071	-0.108300	-0.774190	-0.102898
56576		9.634849	0.095917	-2.125464	-0.065060	0.040010	0.007612	-0.839600	0.123047	-0.228027	0.615262	-0.108655	-0.773947	-0.103213
56577		9.592776	0.039119	-2.237489	-0.070415	0.039472	0.006125	-0.846436	0.107910	-0.242920	0.615387	-0.109170	-0.773736	-0.103511
56578		9.593043	-0.010299	-2.359768	-0.058409	0.037106	0.004422	-0.846680	0.117676	-0.230957	0.615625	-0.109429	-0.773457	-0.103900
56579		9.563372	-0.045067	-2.360990	-0.028711	0.034170	-0.007227	-0.848389	0.120117	-0.229248	0.615732	-0.109552	-0.773339	-0.104016
56580		9.611554	-0.046517	-2.331022	0.010989	0.036964	-0.011075	-0.843750	0.116943	-0.238037	0.615860	-0.109486	-0.773264	-0.103879
56581		9.611136	0.043775	-2.291316	0.041983	0.043222	-0.019215	-0.842773	0.119873	-0.234863	0.616153	-0.109211	-0.773098	-0.103676
56582		9.604640	0.116705	-2.224129	0.055391	0.044254	-0.022425	-0.843262	0.124756	-0.240234	0.616424	-0.108883	-0.772969	-0.103363
56583		9.571707	0.222579	-2.181649	0.062623	0.043497	-0.026383	-0.843506	0.111328	-0.240234	0.616740	-0.108659	-0.772786	-0.103083
56584		9.578485	0.279654	-2.178669	0.057115	0.039067	-0.033916	-0.844971	0.118652	-0.238281	0.617005	-0.108110	-0.772683	-0.102854
56585		9.572207	0.273698	-2.212663	0.054572	0.034448	-0.037672	-0.840332	0.112061	-0.240234	0.617202	-0.107712	-0.772609	-0.102639
56586		9.568744	0.310142	-2.203760	0.054920	0.032637	-0.040582	-0.843750	0.121338	-0.242432	0.617417	-0.107158	-0.772541	-0.102443
56587		9.575536	0.376073	-2.150247	0.061029	0.030475	-0.038944	-0.845215	0.119873	-0.246826	0.617628	-0.106841	-0.772444	-0.102234
56588		9.618776	0.387491	-2.154856	0.055829	0.036892	-0.041284	-0.842773	0.121338	-0.244873	0.617905	-0.106553	-0.772276	-0.102129
56589		9.641631	0.391920	-2.120452	0.035952	0.039848	-0.036872	-0.842041	0.116943	-0.236084	0.618169	-0.106402	-0.772088	-0.102102
56590		9.589500	0.374650	-2.164361	0.015080	0.035573	-0.031856	-0.840576	0.114258	-0.242676	0.618300	-0.106171	-0.772022	-0.102050
56591		9.576344	0.366887	-2.186108	0.004276	0.029367	-0.029019	-0.842773	0.123779	-0.236816	0.618451	-0.106042	-0.771908	-0.102134
56592		9.597725	0.299391	-2.167279	0.009235	0.029864	-0.029616	-0.843018	0.114258	-0.242920	0.618536	-0.106042	-0.771841	-0.102123
56593		9.612971	0.214669	-2.121352	0.026657	0.029191	-0.034677	-0.843506	0.116455	-0.240967	0.618685	-0.105771	-0.771762	-0.102099
56594		9.644593	0.177175	-2.057237	0.031905	0.033761	-0.037115	-0.845947	0.118164	-0.250244	0.618840	-0.105487	-0.771686	-0.102029
56595		9.654613	0.139660	-2.021423	0.027120	0.032277	-0.032542	-0.838379	0.116455	-0.247314	0.619065	-0.105441	-0.771503	-0.102101
56596		9.635445	0.113729	-2.015882	0.034667	0.034452	-0.026462	-0.850342	0.108887	-0.246338	0.619315	-0.105284	-0.771334	-0.102026
56597		9.597374	0.098933	-2.085777	0.053855	0.034228	-0.024094	-0.838867	0.116211	-0.242432	0.619513	-0.104894	-0.771256	-0.101811
56598		9.612355	0.105547	-2.105666	0.078911	0.035841	-0.026993	-0.831055	0.118164	-0.241943	0.619750	-0.104427	-0.771188	-0.101362
56599		9.622620	0.143997	-2.121914	0.094046	0.036463	-0.028722	-0.842041	0.116943	-0.242188	0.620026	-0.103888	-0.771113	-0.100795
56600		9.614904	0.194909	-2.095117	0.105226	0.033931	-0.030608	-0.842773	0.105713	-0.247559	0.620239	-0.103304	-0.771099	-0.100187
56601		9.616654	0.181524	-2.075600	0.110320	0.032553	-0.033194	-0.843262	0.110107	-0.255615	0.620491	-0.102489	-0.771079	-0.099617
56602		9.623153	0.136367	-2.059675	0.121591	0.030104	-0.039018	-0.838867	0.112061	-0.252686	0.620806	-0.101825	-0.770978	-0.099125
56603		9.611688	0.096176	-2.052386	0.133043	0.034593	-0.038799	-0.841797	0.104492	-0.248535	0.621140	-0.101098	-0.770884	-0.098499
56604		9.669045	0.117443	-2.029309	0.149853	0.038722	-0.036111	-0.843018	0.108643	-0.242920	0.621454	-0.100068	-0.770870	-0.097676
56605		9.623888	0.119798	-2.048179	0.160009	0.041847	-0.033323	-0.847900	0.103271	-0.256348	0.621727	-0.099037	-0.770908	-0.096687
56606		9.632979	0.107228	-2.039382	0.169505	0.046787	-0.033694	-0.839111	0.110107	-0.249756	0.622146	-0.098059	-0.770799	-0.095849
56607		9.654759	0.127757	-2.084794	0.182314	0.049778	-0.033166	-0.836182	0.100098	-0.254150	0.622557	-0.097057	-0.770724	-0.094797
56608		9.589767	0.184504	-2.103763	0.189641	0.050105	-0.024281	-0.846924	0.095703	-0.253174	0.623030	-0.095893	-0.770624	-0.093684
56609		9.626048	0.123472	-2.053624	0.188537	0.044900	-0.021716	-0.846680	0.101807	-0.258789	0.623396	-0.094694	-0.770612	-0.092561
56610		9.639218	0.017631	-2.073805	0.190547	0.049578	-0.016304	-0.832520	0.099854	-0.253662	0.623848	-0.093756	-0.770490	-0.091476
56611		9.637234	0.017190	-2.033647	0.205361	0.048277	-0.018220	-0.837646	0.094727	-0.260742	0.624300	-0.092556	-0.770423	-0.090171
