// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23875		9.730019	-1.113622	-0.767358	0.030297	0.019201	0.127636	-0.839844	-0.156982	-0.199219	0.617736	0.227300	-0.698201	0.281518
23876		9.696974	-1.143629	-0.748125	0.013974	0.014941	0.129980	-0.846924	-0.154785	-0.210938	0.617491	0.226581	-0.698337	0.282296
23877		9.682220	-1.143019	-0.784927	-0.009703	0.015683	0.122747	-0.845215	-0.152100	-0.211426	0.617320	0.225773	-0.698504	0.282903
23878		9.663045	-1.205648	-0.866554	-0.009744	0.011803	0.109883	-0.844727	-0.153320	-0.200684	0.617147	0.225055	-0.698673	0.283434
23879		9.676480	-1.145176	-0.834073	0.003318	0.008575	0.092864	-0.843018	-0.155029	-0.206055	0.616969	0.224511	-0.698798	0.283947
23880		9.689920	-1.100946	-0.866618	0.004262	0.003240	0.077775	-0.836670	-0.150635	-0.206299	0.616792	0.224072	-0.698920	0.284377
23881		9.666534	-1.028839	-0.890705	0.000406	-0.001943	0.070983	-0.851318	-0.157715	-0.208740	0.616605	0.223669	-0.699068	0.284735
23882		9.645426	-1.065755	-0.850328	-0.004501	-0.006779	0.058771	-0.844238	-0.147705	-0.203369	0.616426	0.223331	-0.699232	0.284986
23883		9.606102	-1.043554	-0.857027	-0.005651	-0.014708	0.031759	-0.840820	-0.142090	-0.206055	0.616266	0.223169	-0.699391	0.285069
23884		9.661615	-0.898499	-0.846959	-0.011002	-0.021947	0.010360	-0.845215	-0.140625	-0.204102	0.616123	0.223129	-0.699563	0.284988
23885		9.734816	-0.795556	-0.895217	-0.027391	-0.029062	-0.002009	-0.846436	-0.145996	-0.206787	0.616001	0.223111	-0.699786	0.284717
23886		9.757619	-0.628842	-0.835226	-0.037660	-0.031370	-0.015207	-0.850586	-0.143555	-0.203613	0.615920	0.223147	-0.700020	0.284288
23887		9.919672	-0.271484	-0.820946	-0.077784	-0.028986	-0.022020	-0.848633	-0.144775	-0.199463	0.615957	0.223045	-0.700315	0.283560
23888		9.945080	0.279055	-0.778743	-0.122359	-0.022521	-0.034445	-0.841309	-0.151367	-0.200684	0.616170	0.222827	-0.700642	0.282460
23889		10.057921	1.032905	-0.936687	-0.215119	-0.019856	-0.052380	-0.846436	-0.145264	-0.199707	0.616659	0.222318	-0.701105	0.280640
23890		10.170481	1.561042	-0.810096	-0.285917	-0.014545	-0.094315	-0.836670	-0.148926	-0.199463	0.617465	0.221830	-0.701586	0.278038
23891		10.102900	1.710126	-0.859668	-0.376309	-0.018789	-0.188977	-0.844238	-0.156982	-0.209473	0.618707	0.221569	-0.702064	0.274254
23892		10.143010	2.191019	-1.022977	-0.410604	-0.026864	-0.347560	-0.839111	-0.158203	-0.209473	0.620424	0.222352	-0.702243	0.269237
23893		10.502417	2.894395	-0.952468	-0.374669	-0.023907	-0.505785	-0.843018	-0.156738	-0.206299	0.622490	0.224380	-0.701971	0.263432
23894		10.710692	3.344068	-1.135653	-0.276780	-0.035837	-0.637615	-0.834961	-0.169434	-0.203857	0.624673	0.228002	-0.701199	0.257135
23895		10.903629	4.111190	-1.308865	-0.114563	-0.025178	-0.802630	-0.839111	-0.184082	-0.208008	0.627001	0.233443	-0.699655	0.250713
23896		10.996773	4.836753	-1.098708	-0.088989	-0.010882	-0.962159	-0.836914	-0.201172	-0.205811	0.629818	0.240532	-0.697370	0.243205
23897		10.991288	4.891610	-0.956319	-0.135984	-0.028061	-1.146545	-0.832764	-0.208496	-0.202148	0.633105	0.248810	-0.694663	0.233913
23898		11.172757	4.854718	-0.963258	-0.214065	-0.048250	-1.365950	-0.829102	-0.219727	-0.199219	0.636735	0.257956	-0.691725	0.222585
23899		11.556260	5.496111	-0.995436	-0.318711	-0.035998	-1.579621	-0.819336	-0.242920	-0.205078	0.640847	0.267711	-0.688401	0.209166
23900		12.144208	5.785348	-1.030275	-0.479783	-0.028139	-1.714885	-0.810791	-0.271729	-0.203857	0.645426	0.277315	-0.684649	0.194361
23901		12.486260	5.338427	-1.342329	-0.586068	-0.034050	-1.798623	-0.809082	-0.295898	-0.202637	0.650388	0.286758	-0.680521	0.177923
23902		12.578011	4.901902	-1.649120	-0.546684	-0.050723	-1.908187	-0.810547	-0.304199	-0.210205	0.655231	0.297670	-0.675607	0.160066
23903		12.936297	4.904734	-1.656666	-0.424673	-0.043915	-2.067146	-0.786621	-0.336182	-0.207520	0.659154	0.311088	-0.669655	0.142483
23904		13.444070	5.385299	-1.126978	-0.438236	0.000601	-2.207315	-0.776123	-0.368652	-0.208740	0.663225	0.322738	-0.663677	0.124522
23905		13.536614	5.675752	-0.767855	-0.523397	0.012028	-2.316818	-0.764160	-0.400635	-0.214355	0.667535	0.334812	-0.656721	0.104952
23906		13.971956	5.760654	-0.971930	-0.620824	0.024137	-2.415498	-0.746826	-0.426025	-0.230225	0.672029	0.347345	-0.648553	0.084307
23907		14.370489	5.650389	-1.186923	-0.667235	0.076975	-2.515818	-0.721191	-0.452881	-0.232178	0.676539	0.360267	-0.638952	0.065130
23908		14.521162	6.060281	-0.935915	-0.676365	0.130158	-2.609596	-0.707764	-0.482910	-0.231689	0.680918	0.371478	-0.629489	0.045804
23909		14.414774	6.145563	-0.950667	-0.774768	0.159600	-2.648388	-0.687256	-0.517334	-0.248779	0.685206	0.382353	-0.619440	0.024344
23910		14.522076	5.896758	-1.346601	-0.834704	0.183383	-2.703424	-0.665283	-0.546387	-0.243408	0.689700	0.394310	-0.607308	0.003324
23911		14.624286	5.514092	-1.664509	-0.803596	0.221992	-2.792977	-0.632080	-0.578369	-0.272461	0.693365	0.405186	-0.595539	-0.020048
23912		14.642655	5.564606	-1.718860	-0.695222	0.238709	-2.900071	-0.602051	-0.606445	-0.282471	0.696906	0.418273	-0.581169	-0.040149
23913		14.482748	5.988475	-1.673405	-0.618620	0.252779	-2.967942	-0.562256	-0.634033	-0.280273	0.699656	0.431624	-0.566223	-0.059781
23914		13.821077	6.230095	-1.442982	-0.639847	0.283011	-3.005130	-0.532959	-0.671875	-0.291016	0.701651	0.442440	-0.552620	-0.080888
23915		13.271543	5.730687	-1.334575	-0.781811	0.284812	-3.042443	-0.495361	-0.687988	-0.307861	0.703674	0.453706	-0.536947	-0.103351
23916		12.837263	5.046110	-1.668861	-0.816885	0.266417	-3.098350	-0.445801	-0.715576	-0.319336	0.705237	0.464041	-0.521412	-0.124241
23917		12.285647	4.549434	-1.877543	-0.721328	0.255289	-3.149563	-0.412354	-0.739746	-0.333008	0.705667	0.474002	-0.506362	-0.144756
23918		11.861152	4.345313	-1.815560	-0.619459	0.239834	-3.137419	-0.355225	-0.763184	-0.340820	0.704960	0.483924	-0.491915	-0.163917
23919		11.335114	4.528339	-1.518462	-0.595914	0.230362	-3.048993	-0.312988	-0.769775	-0.355713	0.703725	0.492810	-0.478327	-0.181968
23920		9.854330	3.691627	-0.945393	-0.626366	0.208508	-2.904605	-0.272461	-0.787598	-0.357178	0.702374	0.500532	-0.465337	-0.198997
23921		8.867792	2.786477	-0.988956	-0.615184	0.188482	-2.763822	-0.230225	-0.800293	-0.376709	0.700833	0.507406	-0.452967	-0.214926
23922		8.042037	1.961542	-0.972024	-0.557308	0.178967	-2.624786	-0.179932	-0.804932	-0.381592	0.699003	0.513779	-0.441263	-0.229591
23923		7.436613	0.913705	-0.871682	-0.459991	0.162814	-2.459447	-0.143066	-0.812256	-0.390137	0.696803	0.519826	-0.430480	-0.242762
23924		6.537237	-0.056727	-0.766851	-0.320470	0.128590	-2.254142	-0.106445	-0.824463	-0.389404	0.694136	0.525654	-0.421019	-0.254176
23925		5.785962	-0.756676	-0.655118	-0.161589	0.091897	-2.016906	-0.074463	-0.818848	-0.395752	0.691041	0.531313	-0.413103	-0.263656
23926		4.867268	-1.347623	-0.260859	-0.083043	0.058427	-1.752876	-0.052490	-0.810547	-0.398193	0.688000	0.536305	-0.406682	-0.271371
23927		4.069102	-1.950592	0.073225	-0.068169	0.016868	-1.458659	-0.025391	-0.816162	-0.395996	0.685395	0.540185	-0.401803	-0.277469
